Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Office 365 Administration (Exam 70-346),www.udemy.com/course/office-365-administration-exam-70-346/,Intellezy Trainers,64.99,15.59,"4.4(3,544 ratings)",IT & Software,IT Certification,Microsoft Office 365,"13,003",English,This course is designed to give users a tour and understanding of the administrative capabilities in Office 365.,2/2019,01/01/20
Microsoft 365 Identity And Services (Exam MS-100),www.udemy.com/course/microsoft-365-identity-and-services-exam-ms-100/,Intellezy Trainers,64.99,15.59,4.3(224 ratings),Office Productivity,Microsoft,Microsoft Office 365,"1,096",English,Learn topics from the Microsoft MS-100 exam,8/2019,01/01/20
Mastering Office 365 (2019),www.udemy.com/course/mastering-office-365-2016/,Chip Reaves,39.99,14.99,"4.3(1,350 ratings)",Office Productivity,Microsoft,Microsoft Office 365,"6,762",English,"How To Take Full Advantage of Office 365: Your Modern, Collaborative Business Tools",12/2019,01/01/20
Crash Course to pass the Microsoft 365 Fundamentals MS-900,www.udemy.com/course/crash-course-to-pass-the-microsoft-365-fundamentals-ms-900/,Andre Hiotis,39.99,11.39,4.1(216 ratings),IT & Software,IT Certification,Microsoft Office 365,661,English,Microsoft 365 Certified Fundamentals MS-900 Exam,9/2019,01/01/20
Office 365 SharePoint Sites,www.udemy.com/course/office-365-sites/,Intellezy Trainers,49.99,14.99,4.3(989 ratings),Office Productivity,Microsoft,Microsoft Office 365,"4,115",English,"Understand Sites, navigation, libraries, searching, newsfeeds, views, permissions, and organization of Office 365 Sites.",3/2019,01/01/20
Microsoft Office Essential Skills,www.udemy.com/course/microsoft-office-essential-skills/,David Millard,39.99,14.99,4.5(582 ratings),Office Productivity,Microsoft,Microsoft Office 365,"2,121",English,Learn the essential Microsoft Office skills employers want from a Microsoft Certified Trainer!,1/2018,01/01/20
Microsoft Office 2016 Essential Training: 9 Course Bundle,www.udemy.com/course/microsoft-office-2016-training-course-bundle/,Simon Sez IT,199.99,15.59,4.3(588 ratings),Office Productivity,Microsoft,Microsoft Office 365,"5,969",English,"Comprehensive, all-in-one training to get the most out of Microsoft Office 2016. 9-in-1 courses with 70 hours of video.",5/2018,01/01/20
Migrating from Microsoft Exchange to O365,www.udemy.com/course/migrating-from-microsoft-exchange-to-o365/,Thomas Mitchell,39.99,14.99,4.5(540 ratings),IT & Software,Other,Microsoft Exchange Server,"2,978",English,How to Make the Move from Exchange 2010 to Office 365,11/2017,01/01/20
Office 365 - Exchange Online - Beginner to Professional 2019,www.udemy.com/course/o365exchangeonline/,Andy Petrovic,59.99,15.59,4.4(194 ratings),IT & Software,Other,Microsoft Office 365,"1,217",English,Learn how to manage your organization using Microsoft Office 365 and Exchange Online,10/2018,01/01/20
Master Microsoft Office 365,www.udemy.com/course/microsoft-office-365-en/,SONIC Performance Support - E-Learning Experts,19.99,11.99,4.4(215 ratings),Office Productivity,Microsoft,Microsoft Office 365,"1,296",English,Make better use of the full functional variety Office 365 has to offer.,6/2019,01/01/20
Practical Office 365 Administration,www.udemy.com/course/practical-office-365-administration/,Packt Publishing,124.99,14.99,4.0(118 ratings),Development,Databases,Microsoft Office 365,652,English,Learn in depth about Office 365 for Administrators and also find useful tips and resources to enhance your role as an Of,6/2017,01/01/20
Microsoft Exchange Hybrid Migration to Office 365,www.udemy.com/course/microsoft-exchange-hybrid-migration-to-office-365/,Ashraf Ismail,19.99,11.99,4.2(283 ratings),IT & Software,Other,Microsoft Office 365,"1,165",English,Microsoft Exchange hybrid migration to Exchange online step by step and comparison with other migration methods,10/2018,01/01/20
Office 365 Planner,www.udemy.com/course/office-365-planner/,Intellezy Trainers,29.99,14.99,4.4(109 ratings),Office Productivity,Microsoft,Microsoft Office 365,516,English,Learn how to work more efficiently with your teams with Office 365 Planner.,9/2019,01/01/20
Exam MS-100: Managing Office 365 Identities and Requirements,www.udemy.com/course/exam-ms-100-managing-office-365-identities-and-requirements/,Packt Publishing,124.99,14.99,3.7(118 ratings),IT & Software,Network & Security,Microsoft Office 365,467,English,Everything you need to know in order to pass the Microsoft 365 Identity and Services (MS-100) exam successfully,11/2019,01/01/20
Microsoft Office 365 Administration,www.udemy.com/course/microsoft-office-365-administration/,Integrity Training,199.99,14.99,4.1(71 ratings),Office Productivity,Microsoft,Microsoft Office 365,315,English,Microsoft Office 365 Administration,11/2018,01/01/20
