Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Ultimate Microsoft Office 2016 Training Bundle,www.udemy.com/course/the-ultimate-microsoft-office-2016-training-bundle/,Simon Sez IT,199.99,19.79,"4.4(2,111 ratings)",Office Productivity,Microsoft,Microsoft Office,"12,457",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2016 Inside And OutâQuickly, No Travel or Classes.",5/2018,01/01/20
"Microsoft Office; Excel, Word & PowerPoint 2019 - Beginners",www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word/,Simon Sez IT,49.99,14.99,4.2(31 ratings),Office Productivity,Microsoft,Microsoft Office,242,English,Learn the essentials of Microsoft Office in this 3-course bundle for Office 355 or Office 2019 users.,10/2019,01/01/20
The Ultimate Microsoft Office 2013 Training Bundle 71 Hours,www.udemy.com/course/microsoft-office-2013-training-courses/,Simon Sez IT,199.99,15.59,4.5(384 ratings),Office Productivity,Microsoft,Microsoft Office,"4,981",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2013 Inside And OutâQuickly, No Travel or Classes.",6/2018,01/01/20
The Ultimate Microsoft Office 2010 Training Bundle  48 Hours,www.udemy.com/course/the-ultimate-microsoft-office-2010-training-bundle/,Simon Sez IT,199.99,14.99,4.5(288 ratings),Office Productivity,Microsoft,Microsoft Office,"5,178",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2010 Inside And OutâQuickly, No Travel or Classes.",6/2018,01/01/20
"Microsoft Excel, Outlook and Word 2016 for Beginners",www.udemy.com/course/microsoft-excel-outlook-and-word-2016-training-course-for-beginners/,Simon Sez IT,144.99,14.99,4.1(159 ratings),Office Productivity,Microsoft,Microsoft Office,"4,386",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2016 Inside And OutâQuickly, No Travel or Classes.",12/2018,01/01/20
Microsoft Office Shortcuts and Speed Tips,www.udemy.com/course/office-shortcuts/,Christopher Boykin,79.99,14.99,4.4(948 ratings),Office Productivity,Microsoft,Microsoft Office,"4,343",English,"Work faster, not harder in Microsoft Windows, Excel, Word and PowerPoint with these shortcuts tips",11/2017,01/01/20
Microsoft Office 2010 Made Easy,www.udemy.com/course/office-2010-made-easy/,Dr. Harold L. Fisher,19.99,11.39,4.3(170 ratings),Office Productivity,Microsoft,Microsoft Office,"5,414",English,"An easy step-by-step course that will help anyone master the basics of Microsoft Word, Excel, PowerPoint, and Access.",4/2014,01/01/20
MS Office 2013: 10-in-1 Courses To Maximize Productivity,www.udemy.com/course/microsoft-office-2013-training-course-bundle/,Simon Sez IT,199.99,13.19,3.7(299 ratings),Office Productivity,Microsoft,Microsoft Office,"3,185",English,"Comprehensive, all-in-one training to get the most out of Microsoft Office 2013. 10-in-1 courses with 80 hours of video.",6/2018,01/01/20
Ultimate Microsoft Office Productivity Tips ,www.udemy.com/course/boost-productivity-with-8-simple-tips-from-microsoft-office/,Kyle Pew,39.99,11.39,4.5(113 ratings),Office Productivity,Microsoft,Microsoft Office,"5,311",English,"Boost Productivity with these Microsoft Office Tips (Excel, Word, PowerPoint & Outlook)",8/2016,01/01/20
Microsoft Excel and PowerPoint Training With Certificate,www.udemy.com/course/microsoft-excel-and-powerpoint-training-with-certificate/,Startup Saturdays,19.99,11.39,3.8(128 ratings),Office Productivity,Microsoft,Microsoft Office,"1,582",English,Learn the most essential and valuable skills for personal and professional success,12/2014,01/01/20
Microsoft Office Time-Saving Techniques,www.udemy.com/course/microsoft-office-2013-time-saving-tools-for-the-office-newb/,Kyle Pew,39.99,11.39,4.6(87 ratings),Office Productivity,Microsoft,Microsoft Office,"3,050",English,"Become More Productive in Microsoft Office Excel, Word, PowerPoint and Outlook",8/2016,01/01/20
MS Office 2010 Complete Training - Beginner to Expert Level,www.udemy.com/course/ms-office-2010-complete-training/,Himanshu Dhar,49.99,11.39,4.0(28 ratings),Office Productivity,Microsoft,Microsoft Office,"1,724",English,"Complete Practical training from the basic to the advance level in MS Excel, Word, PowerPoint and Access.",9/2018,01/01/20
Learn how to simplified HR Reports,www.udemy.com/course/learn-how-to-simplified-hr-reports-like-a-pro/,Info Trek,34.99,11.39,4.8(27 ratings),Office Productivity,Microsoft,Microsoft Office,"1,287",English,Simplified HR Reports with Excel,3/2018,01/01/20
Microsoft Sway Essentials,www.udemy.com/course/microsoft-sway-essentials/,Chip Reaves,24.99,11.39,4.3(61 ratings),Office Productivity,Microsoft,Microsoft Office,264,English,"Learn The Easy Way To Create Compelling, Modern Presentations With Microsoft Sway",7/2016,01/01/20
Microsoft Office 2016 Essentials: 5 Course Bundle,www.udemy.com/course/microsoft-office-2016-essentials-5-course-training-bundle/,Simon Sez IT,199.99,11.39,3.9(37 ratings),Office Productivity,Microsoft,Microsoft Office,"3,660",English,"Learn Microsoft Office 2016 the easy way with this comprehensive, 5-course bundle. Includes Excel (basic & advanced), Wo",6/2019,01/01/20
MS Office - Advanced - Efficiency Training,www.udemy.com/course/ms-office-efficiency/,Learn iT! Anytime,24.99,11.39,4.4(131 ratings),Office Productivity,Microsoft,Microsoft Office,719,English,"Learn the most important shortcuts and time saving tools in Outlook, Excel, Word and PowerPoint. WIN at Office!",10/2012,01/01/20
Microsoft Excell ( Conditional formatting),www.udemy.com/course/microsoft-excell-conditional-formatting/,Denis Kulikov,104.99,11.39,3.3(19 ratings),IT & Software,Hardware,Excel,"4,358",English,Conditional formatting in Microsoft Excell from beginner to advance just in couple of hours!,2/2019,01/01/20
Working With Microsoft Office On The iPad ,www.udemy.com/course/working-with-microsoft-office-on-the-ipad/,Infinite Skills,49.99,11.39,4.7(10 ratings),Office Productivity,Microsoft,Microsoft Office,152,English,Learn how to setup and use Microsoft Office on the iPad,6/2014,01/01/20
PowerPoint 2016 Essentials for Mac - In-depth training,www.udemy.com/course/powerpoint-2016-essentials-for-mac/,ITPro TV,99.99,11.39,3.9(5 ratings),Office Productivity,Microsoft,PowerPoint,21,English,"Comprehensive, real world training in PowerPoint 2016 for Mac starting from the very beginning. Exercise files included.",1/2019,01/01/20
Microsoft Office 2016 Bundle - Maximize your productivity!,www.udemy.com/course/microsoft-office-2016-bundle-maximize-your-productivity/,ABC Tuts,149.99,11.39,4.0(24 ratings),Office Productivity,Microsoft,Microsoft Office,72,English,"Make yourself more productive by learning Word, Excel and PowerPoint on easy and quick way!",11/2017,01/01/20
The Business Guide to Microsoft Office,www.udemy.com/course/the-business-guide-to-microsoft-office/,Elizabeth Nofs,199.99,11.39,4.7(6 ratings),Office Productivity,Microsoft,Microsoft Office,45,English,Another Computer Mama Guide,6/2017,01/01/20
Learn What's New in Microsoft Office 2016!,www.udemy.com/course/new-in-office-2016/,SONIC Performance Support - E-Learning Experts,19.99,11.39,3.9(4 ratings),Office Productivity,Microsoft,Microsoft Office,204,English,"This course will help you bridge the gap from the version you already know, to the latest release of Microsoft Office.",5/2019,01/01/20
Office 2016 Integrated Solution Development,www.udemy.com/course/office-2016-integrated-solution-development/,Russell Mangum,19.99,11.39,4.3(12 ratings),Office Productivity,Microsoft,Microsoft Office,46,English,Learn how to develop solutions in Office 2016 using VBA - without learning VBA! Let the programs write the code.,10/2018,01/01/20
"Word 2016 Advanced for MAC - Intermediate, in-depth training",www.udemy.com/course/word-2016-advanced-for-mac/,ITPro TV,99.99,11.39,4.0(1 rating),Office Productivity,Apple,Microsoft Word,9,English,"Comprehensive, real world training in Word 2016 MAC to enhance documents and automate tasks. Exercise files included.",1/2019,01/01/20
Microsoft Word: Become Word Expert in 5 Days Urdu/Hindi,www.udemy.com/course/excel-live-classroom/,Accountech Training & Solutions,164.99,11.39,4.7(6 ratings),IT & Software,Other,Microsoft Office,31,English,A-Z complete office training from begginer to expert level,12/2019,01/01/20
Learn What's New in Office 2013,www.udemy.com/course/learn-whats-new-in-office-2013/,ClipTraining LLC,29.99,11.39,4.1(5 ratings),Office Productivity,Microsoft,Microsoft Office,145,English,Learn all about the latest suite of Office programs from the experts in this Microsoft Office 2013 tutorial.,3/2013,01/01/20
Mastering Microsoft Office 2010 Training Tutorial,www.udemy.com/course/mastering-microsoft-office-2010-made-easy-training-tutorial/,"TeachUcomp, Inc.",29.99,11.39,3.9(9 ratings),Office Productivity,Microsoft,Microsoft Office,118,English,"Learn Introductory through Advanced material in Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Windows and Word",6/2013,01/01/20
Word 2016 Expert - In-depth training for long documents,www.udemy.com/course/word-2016-expert/,ITPro TV,99.99,11.39,4.7(2 ratings),Office Productivity,Microsoft,Microsoft Word,23,English,"Comprehensive, real world training in Word 2016 for long document creation and collaboration. Exercise files included.",1/2019,01/01/20
Office 2010 New Features,www.udemy.com/course/cwoffice-2010-new-features/,Intellezy Trainers,39.99,11.39,4.5(17 ratings),Office Productivity,Microsoft,Microsoft Office,828,English,"What's new and improved in the 2010 versions of Word, PowerPoint, Excel, Outlook and Access",5/2018,01/01/20
"Excel 2016 Advanced for Mac- Intermediate, in-depth training",www.udemy.com/course/excel-2016-advanced-for-mac/,ITPro TV,99.99,11.39,4.3(2 ratings),Office Productivity,Microsoft,Excel,13,English,"Comprehensive, real world training in Excel 2016 to analyze data and enhance workbooks. Exercise files included.",2/2019,01/01/20
Microsoft Office 2019: New Features,www.udemy.com/course/microsoft-office-2019-new-features/,Integrity Training,49.99,11.39,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,2,English,All new and improved,9/2019,01/01/20
Office 2019 New Features - Beginner,www.udemy.com/course/office-2019-new-features-beginner/,Intellezy Trainers,39.99,11.39,5.0(2 ratings),Office Productivity, Microsoft,Microsoft Office,6,English,A review of the updated MS Office suite,3/2019,01/01/20
"Office 2013 For Dummies Video Training, Deluxe Edition",www.udemy.com/course/office-2013-for-dummies-video-training-deluxe-edition/,John Wiley & Sons,49.99,11.39,4.1(18 ratings),Office Productivity,Microsoft,Microsoft Office,"1,668",English,"Learn Office 2013 right now with this easy to follow, self-paced course! For Dummies. Making Learning Easier!",7/2013,01/01/20
Microsoft Office 2016 Excel Basic,www.udemy.com/course/microsoft-office-2016-excel-basic/,Integrity Training,199.99,11.39,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,3,English,Microsoft Office Excel 2016,11/2018,01/01/20
Microsoft Office 2013: PowerPoint,www.udemy.com/course/microsoft-office-2013-powerpoint/,Stone River eLearning,199.99,11.39,4.5(3 ratings),Office Productivity,Microsoft,Microsoft Office,23,English,Know all about PowerPoint,1/2017,01/01/20
Getting Started With Microsoft Office 2010 Tutorial,www.udemy.com/course/getting-started-with-microsoft-office-2010/,Infinite Skills,49.99,11.39,3.9(9 ratings),Office Productivity,Microsoft,Microsoft Office,289,English,This Microsoft Office 2010 tutorial will quickly get you up to speed. Taught by an expert trainer.,1/2017,01/01/20
Microsoft Office 2013: Outlook,www.udemy.com/course/microsoft-office-2013-outlook/,Stone River eLearning,199.99,11.39,4.6(3 ratings),IT & Software,IT Certification,Microsoft Outlook,19,English,Know all about Outlook,1/2017,01/01/20
Microsoft Office Tips and Tricks: Get in Pro Mode,www.udemy.com/course/microsoft-office-tips-and-tricks-get-in-pro-mode-in-no-time-word-excel/,Coding Academy,99.99,11.39,3.6(80 ratings),Office Productivity,Microsoft,Microsoft Office,"8,093",English,"Work faster, Save Time and Money while using Microsoft Windows, Excel, Word and others with these Hidden Tips and Tricks",11/2019,01/01/20
"PowerPoint 2016 Essentials - Beginner, in-depth training",www.udemy.com/course/powerpoint-2016-essentials/,ITPro TV,99.99,11.39,4.1(2 ratings),Office Productivity,Microsoft,PowerPoint,14,English,"Comprehensive, real world training in PowerPoint 2016 starting from the very beginning. Exercise files included.",1/2019,01/01/20
PowerPoint 2016 Advanced - In-depth training,www.udemy.com/course/powerpoint-2016-advanced-itprotv/,ITPro TV,99.99,11.39,0.0(0 ratings),Office Productivity,Microsoft,PowerPoint,13,English,"Comprehensive, real world training in PowerPoint 2016 to enhance presentations. Exercise files included.",1/2019,01/01/20
Office 2007 New Features,www.udemy.com/course/cwoffice-2007-new-features/,Intellezy Trainers,39.99,11.39,5.0(1 rating),Office Productivity,Microsoft,Microsoft Office,25,English,"What's new and improved in the 2007 versions of Word, PowerPoint, Excel, Outlook and Access",10/2016,01/01/20
PowerPoint Presentation Design for 2016 | PPT Online Course,www.udemy.com/course/office-pro-text-editing-tricks-shortcuts-and-pdf-recipes/,Yoda Learning,19.99,11.39,4.3(2 ratings),Office Productivity,Microsoft,Microsoft Office,581,English,"Learn PowerPoint 2013 & 2016 Office Pro Tricks like Text Editing Tricks, Shortcuts and PDF Recipes",6/2016,01/01/20
Microsoft Word Learning Made Easy,www.udemy.com/course/learn-microsoft-office-from-base-to-advance/,Pardeep Sharma,34.99,11.39,2.5(3 ratings),Office Productivity,Microsoft,Microsoft Office,525,English,Practical Learning of Microsoft Word in Daily Office WorK,4/2019,01/01/20
Awesome MS Office Tips You Must Know to Thrive @ Workplace,www.udemy.com/course/awesome-ms-office-tips-you-must-know-to-thrive-workplace/,Dr. Adrian Low,19.99,11.39,4.1(66 ratings),Business,Strategy,Microsoft Office,"3,593",English,Awesome MS Office Tips You Must Know to Thrive @ Workplace,9/2017,01/01/20
Microsoft Office 2013: Excel,www.udemy.com/course/microsoft-office-2013-excel/,Stone River eLearning,199.99,11.39,4.0(1 rating),IT & Software,IT Certification,Excel,19,English,Know all about Excel,1/2017,01/01/20
What's New in Office 2013 and Windows 8?,www.udemy.com/course/whats-new-in-office-2013-and-windows-8/,SONIC Performance Support - E-Learning Experts,19.99,11.39,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,618,English,Let SONIC help you get up to speed on this latest version of Windows 8 and Office 2013!,5/2015,01/01/20
Gain Focus in Your Day with Microsoft To Do,www.udemy.com/course/microsoft-to-do/,Adam Steinfurth,19.99,11.39,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,0,English,Learn to use the power of To Do to reduce the complexity of your day to a few focused lists.,12/2019,01/01/20
"Excel 2016 Essentials for Mac - Beginner, in-depth training",www.udemy.com/course/excel-2016-essentials-for-mac/,ITPro TV,99.99,11.39,4.0(1 rating),Office Productivity,Microsoft,Excel,10,English,"Comprehensive, real world training in Excel 2016 starting from the very beginning. Exercise files included.",2/2019,01/01/20
Technological Adaptability,www.udemy.com/course/technological-adaptability1/,Melonie R McMichael,19.99,11.99,5.0(1 rating),IT & Software,Other,Microsoft Office,11,English,Developing Basic Technical Skills,11/2018,01/01/20
The College Guide to Microsoft Office 2013,www.udemy.com/course/the-college-guide-to-microsoft-office-2013/,Elizabeth Nofs,199.99,11.99,4.3(2 ratings),Office Productivity,Microsoft,Microsoft Office,10,English,Another Computer Mama Guide,6/2017,01/01/20
Take your Excel Skills to the Next Level,www.udemy.com/course/take-your-excel-skills-to-the-next-level/,Joshua Hamilton,19.99,11.99,0.0(0 ratings),IT & Software,Operating Systems,Microsoft Office,0,English,Quick Hit tips to help you get started in Microsoft Excel,10/2018,01/01/20
Learn What's New in Office 2010,www.udemy.com/course/learn-whats-new-in-office-2010/,ClipTraining LLC,19.99,11.99,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,0,English,Learn from the Microsoft experts about the new upgrades and features available in the Office 2010 suit.,3/2013,01/01/20
What's New in Office 2010 and Windows 7?,www.udemy.com/course/whats-new-in-office-2010-and-windows-7/,SONIC Performance Support - E-Learning Experts,19.99,11.99,4.7(3 ratings),Office Productivity,Microsoft,Microsoft Office,745,English,Let SONIC help you get up to speed on Office 2010 and Windows 7!,5/2015,01/01/20
Upgrading from Office 2003 to Office 2010 - Essentials,www.udemy.com/course/2003-2010/,VideoTraining Online,19.99,11.99,0.0(0 ratings),Office Productivity,Microsoft,Microsoft Office,56,English,Learn about the major differences between Office 2003 and Office 2010 and ways to make the upgrade painless!,2/2013,01/01/20
Microsoft Office 2013: Access,www.udemy.com/course/microsoft-office-2013-access/,Stone River eLearning,199.99,11.99,4.9(6 ratings),IT & Software,IT Certification,Microsoft Office,41,English,Become an Expert,1/2017,01/01/20
"Learn Microsoft Word, PowerPoint & Outlook In 90 Minutes!",www.udemy.com/course/learn-microsoft-word-powerpoint-outlook-in-90-minutes/,MyExcelOnline John Michaloudis,199.99,11.99,4.2(13 ratings),IT & Software,Other,Microsoft Office,"4,300",English,"Master Microsoft Office: Word, PowerPoint, Outlook & Excel Basics!",12/2019,01/01/20
Office 2013 New Features - Learn Now!,www.udemy.com/course/office-2013-new-features/,Learn iT! Anytime,39.99,11.99,4.0(2 ratings),Office Productivity,Microsoft,Microsoft Office,58,English,Explore the innovative new features of Microsoftâs Office 2013.,10/2012,01/01/20
Radically Easy Microsoft Office Integration 1.0,www.udemy.com/course/radically-easy-microsoft-office-integration-10/,Joy Jolie,19.99,11.99,4.3(3 ratings),Office Productivity,Microsoft,Microsoft Office,122,English,"Save TIME, MONEY and EFFORT Sharing and Linking Information Between Outlook, Word, Excel and PowerPoint",3/2018,01/01/20
Office 2013 New Features,www.udemy.com/course/office-2013-new-features2/,Intellezy Trainers,39.99,11.99,4.0(11 ratings),Office Productivity,Microsoft,Microsoft Office,65,English,"On overview of the new features found in the 2013 versions of Word, Excel, PowerPoint, Outlook and Access",4/2018,01/01/20
Office 2016 New Features,www.udemy.com/course/office-2016-new-features/,Intellezy Trainers,39.99,11.99,4.3(3 ratings),Office Productivity,Microsoft,Microsoft Office,12,English,"Learn about the new features in Office 2016 such as Tell Me, ink equations, new chart types, version history, and themes",4/2018,01/01/20
Quickmigration Office 2003 to 2010 migration training,www.udemy.com/course/migration-training-office-2003-2010/,Erwin Nelissen,0.0,Free,4.1(107 ratings),Office Productivity,Microsoft,Microsoft Office,"6,296",English,Get used to the new functions and features of Office 2010.,10/2014,01/01/20
Microsoft Office 2016 Suite of Applications,www.udemy.com/course/microsoft-office-2016-suite-of-applications/,Dr. Jeelani S. F.,0.0,Free,4.1(263 ratings),IT & Software,Other,Microsoft Office,"6,318",English,An Overview,7/2018,01/01/20
PowerPoint for Business - a Beginners Guide to Presentations,www.udemy.com/course/powerpoint-for-business-a-beginners-guide-to-presentations/,Lita Doolan,0.0,Free,3.8(6 ratings),IT & Software,Operating Systems,PowerPoint,"3,550",English,Easy ways to make a great Presentation fast,12/2019,01/01/20
Das große Microsoft Office 2016 - 2019 Einsteiger Training,www.udemy.com/course/das-grosse-microsoft-office-2016-fur-einsteiger-und-umsteiger/,René Fürst,94.99,11.99,4.5(311 ratings),Office-ProduktivitÃ¤t,Microsoft,Microsoft Office,2.460,Deutsch,"Erlernen Sie die notwendigen Grundlagen in Word, Excel, PowerPoint und Outlook 2016 - 2019 in einem umfassenden Training",10/2019,01/01/20
Pacote Office - Microsoft Office Essencial Todas as Versões.,www.udemy.com/course/pacote-office-essencial/,Wagner Cardoso,19.99,11.99,"4.7(2,017 ratings)",Produtividade no escritÃ³rio,Microsoft,Microsoft Office,4.683,PortuguÃªs,"Microsoft Office com Excel, Word e PowerPoint de forma simples e direta com exemplos prÃ¡ticos e realmente aplicÃ¡veis.",9/2019,01/01/20
Microsoft Office 2016 de A à Z | Guide Complet,www.udemy.com/course/microsoft-office-2016-fr/,Michel Martin,194.99,11.99,4.1(237 ratings),ProductivitÃ© bureautique,Microsoft,Microsoft Office,1Â 992,FranÃ§ais,"Word, Excel, PowerPoint et Outlook 2016 de A Ã  Z.",3/2018,01/01/20
Microsoft Office - Word e Excel Iniciante ao Intermediário,www.udemy.com/course/excel-completo-do-basico-ao-dinamico/,Wagner Cardoso,19.99,11.99,4.8(481 ratings),Produtividade no escritÃ³rio,Microsoft,Microsoft Office,1.432,PortuguÃªs,Aprenda Criar Planilhas do BÃ¡sico ao dinÃ¢mico no Excel e FormataÃ§Ã£o completa de TCC com Word em Exemplos Simples e Reais,9/2019,01/01/20
Corso sul Pacchetto OFFICE 2016,www.udemy.com/course/corso-sul-pacchetto-office-2016/,Lezione online,199.99,11.99,4.5(138 ratings),ProduttivitÃ  in ufficio,Microsoft,Microsoft Office,682,Italiano,Il corso ti permetterÃ  di apprendere e approfondire le funzionalitÃ  piÃ¹ importanti dei software di Office 2016,8/2018,01/01/20
"Pacote Office - Word, Excel e PowerPoint",www.udemy.com/course/officeessencial/,Luan Murilo de Oliveira e Souza,74.99,11.99,4.2(81 ratings),Produtividade no escritÃ³rio,Microsoft,Microsoft Office,306,PortuguÃªs,Aprenda como utilizar estes softwares de forma inteligente e dinÃ¢mica,11/2019,01/01/20
Informática Completo do Zero,www.udemy.com/course/curso-de-informatica-completo/,Emerson Serra,199.99,11.99,4.1(231 ratings),TI e software,Outro,Sistemas de informaÃ§Ã£o,649,PortuguÃªs,Aprenda Tudo o que VocÃª Precisa Saber Sobre InformÃ¡tica para o Dia-a-Dia e Mercado de Trabalho!,12/2019,01/01/20
Microsoft Office 2010,www.udemy.com/course/microsoft-office-20102/,Etraining S.A DE C.V,49.99,11.99,4.5(321 ratings),Office Productivity,Microsoft,Microsoft Office,"1,088",Spanish,"Aprende la paqueterÃ­a de Office 2010 (Word, Power Point, Excel, Access, Outlook). 312 videos y 25 horas de contenido.",4/2014,01/01/20
"Office 2016 (Word, Excel, İleri Excel, PowerPoint, Outlook)",www.udemy.com/course/office-2016-word-excel-ileri-excel-powerpoint-outlook/,Sanal Ogretim Setleri Sanal Ogretim,0.0,34.99,4.6(44 ratings),BT ve YazÄ±lÄ±m,DiÄer,Microsoft Office,201,TÃ¼rkÃ§e,"31 Saat Video Ders anlatÄ±m mevcuttur.Word, Excel, Outlook, Powerpoint ve Ä°leri Excel (FormÃ¼l kullanÄ±mÄ± Dahil) anlatÄ±ldÄ±",4/2019,01/01/20
Dominando o Office 2019,www.udemy.com/course/dominando-o-office-2019/,Hugo Vasconcelos,199.99,11.99,4.7(150 ratings),Produtividade no escritÃ³rio,Microsoft,Microsoft Office,468,PortuguÃªs,Word - Excel - Power Point,12/2018,01/01/20
"Curso Microsoft Office Completo. Word, Excel e Power Point",www.udemy.com/course/curso-expert-em-microsoft-officce-word-excel-e-power-point/,André Rossiter,199.99,11.99,4.6(24 ratings),Produtividade no escritÃ³rio,Microsoft,Microsoft Office,160,PortuguÃªs,"AlÃ©m de ensinar de forma ampla os fundamentos do Microsoft Office, o aluno ainda ganha os similares do Google Drive",9/2018,01/01/20
