Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Power BI - A Complete Introduction,www.udemy.com/course/powerbi-complete-introduction/,Manuel Lorenz,199.99,14.99,"4.5(22,319 ratings)",Business,Data & Analytics,Microsoft Power BI,"75,037",English,"Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Service and PowerBI Developer",11/2019,12/31/19
Microsoft Power BI - Up & Running With Power BI Desktop,www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,Maven Analytics,199.99,11.39,"4.6(9,445 ratings)",Business,Data & Analytics,Microsoft Power BI,"34,908",English,"Transform, analyze & visualize data with Microsoft Power BI Desktop: hands-on demos, projects & 1-on-1 Power BI support",12/2019,12/31/19
Powerful Reports and Dashboards with Microsoft Power BI,www.udemy.com/course/powerful-reports-and-dashboards-with-microsoft-powerbi/,Ian Littlejohn,99.99,11.99,"4.5(2,582 ratings)",Business,Data & Analytics,Microsoft Power BI,"15,283",English,"Learn to use the free Microsoft Power BI to create reports, analyze data and develop interactive dashboards in minutes",11/2019,12/31/19
Microsoft Power BI - Publishing to Power BI Service,www.udemy.com/course/power-bi-service/,Maven Analytics,199.99,11.39,4.6(516 ratings),Business,Data & Analytics,Microsoft Business Intelligence,"3,926",English,"Publish & share Power BI reports in the cloud with Microsoft Power BI Service, and become a Power BI power user!",12/2019,12/31/19
Power BI A-Z: Hands-On Power BI Training For Data Science!,www.udemy.com/course/mspowerbi/,Kirill Eremenko,199.99,11.39,"4.5(5,280 ratings)",Business,Data & Analytics,Microsoft Power BI,"20,400",English,Learn Microsoft Power BI for Data Science and Data Analytics. Build visualizations and BI reports with Power BI Desktop,12/2019,12/31/19
Power BI Masterclass - beginners to advanced,www.udemy.com/course/power-bi-masterclass-beginners-to-advanced/,Dan We,199.99,14.39,"4.3(1,423 ratings)",Business,Data & Analytics,Microsoft Power BI,"6,128",English,Microsoft Power BI - How to master self service business intelligence in no time. Power BI Training online,12/2019,12/31/19
Power BI Master Class - Data Modeling and DAX Formulas,www.udemy.com/course/power-bi-master-class-data-modelling-and-dax-formulas/,Ian Littlejohn,99.99,15.59,"4.4(1,360 ratings)",Office Productivity,Microsoft,Microsoft Power BI,"5,629",English,"Learn how to create data models, relationships and use DAX formulas in Microsoft Power BI",9/2019,12/31/19
The Complete Power BI Practical Course 2019,www.udemy.com/course/the-complete-power-bi-practical-course/,365 Careers,199.99,11.39,4.4(66 ratings),Office Productivity,Other,Microsoft Power BI,"1,014",English,Power BI: Jump start your career as Power BI developer,12/2019,12/31/19
Microsoft Power BI Business Scenarios,www.udemy.com/course/advanced-microsoft-power-bi-business-scenarios/,BizticsCom King,199.99,11.39,4.4(53 ratings),IT & Software,Other,Microsoft Power BI,824,English,Intermediate course for Power BI users to create real world Business Scenarios step-by-step using Microsoft free tools.,12/2019,12/31/19
Power BI Master Class - Dashboards and Power BI Service,www.udemy.com/course/power-bi-master-class-dashboards-and-power-bi-service/,Ian Littlejohn,99.99,11.39,4.5(666 ratings),Office Productivity,Microsoft,Microsoft Power BI,"3,163",English,Learn how to create interactive dashboards and to publish to the Power BI Service,9/2019,12/31/19
Power BI Master Class - Consume and Transform Data,www.udemy.com/course/power-bi-master-class-consume-and-transform-data/,Ian Littlejohn,99.99,11.39,4.3(658 ratings),Office Productivity,Microsoft,Microsoft Power BI,"2,722",English,"Learn how to import, transform and prepare data using the Query Editor in Microsoft Power BI",11/2019,12/31/19
Microsoft Power BI Masterclass - Expand Excellence,www.udemy.com/course/microsoft-power-bi-masterclass-expand-excellence/,Dan We,199.99,11.39,4.4(284 ratings),Business,Data & Analytics,Microsoft Power BI,"2,355",English,achieve the next Level of Business Intelligence with Microsoft Power BI Desktop. How to master Power BI Desktop,12/2019,12/31/19
Data Visualization and Interactive Dashboards with Power BI,www.udemy.com/course/data-visualization-and-interactive-dashboards-with-power-bi/,Packt Publishing,199.99,11.39,4.2(45 ratings),Development,Databases,Microsoft Power BI,509,English,Create stunning dashboards with Microsoft Power BI to analyze your business data and gain accurate insights,12/2018,12/31/19
BI Developer : Learn ( Power BI |SSIS |SSRS |SSAS|DW|T-SQL ),www.udemy.com/course/bi-developer-learn-power-bi-ssis-ssrs-ssasdwt-sql/,Bluelime Learning Solutions,139.99,11.39,3.9(48 ratings),IT & Software,Other,Microsoft Power BI,"2,667",English,Gain Business Intelligence from Transforming Data,8/2019,12/31/19
Learn Power BI Fast,www.udemy.com/course/learn-power-bi-fast/,Parker Stevens,99.99,11.39,4.5(486 ratings),Development,Databases,Microsoft Power BI,"4,245",English,Build a professional Power BI report in less than 2 hours. Learn data visualization basics and advanced techniques.,2/2018,12/31/19
"Power BI Masterclass 8 - Python, Finance, and advanced DAX",www.udemy.com/course/power-bi-masterclass-8-python-finance-and-advanced-dax/,Dan We,194.99,11.39,4.6(58 ratings),Development,Web Development,Microsoft Power BI,533,English,How to become a data analyst and learn Power BI. Power BI online training for data analysts,11/2019,12/31/19
Microsoft Power BI Desktop - Data Analytics with Dashboards,www.udemy.com/course/power-bi-desktop-sales-dashboard-in-1-hour/,Charlie Walker,94.99,11.99,4.4(251 ratings),Business,Data & Analytics,Microsoft Power BI,"5,616",English,Learn Microsoft PowerBI to build interactive dashboards in Microsoft Power BI Desktop and PowerBI Service,3/2018,12/31/19
"Mastering Intermediate DAX - Power BI, Power Pivot & SSAS",www.udemy.com/course/mastering-intermediate-dax-power-bi-power-pivot-ssas/,Paula Guilfoyle,89.99,16.19,4.4(147 ratings),Business,Data & Analytics,DAX,"1,205",English,"Take your Data Analysis Expression Skills to the Next Level with DAX for Power BI, Power Pivot and Analysis Services",11/2017,12/31/19
Power BI Masterclass - Data Analysis Deep Dive,www.udemy.com/course/power-bi-masterclass-data-analysis-deep-dive/,Dan We,199.99,11.39,4.1(127 ratings),Business,Data & Analytics,Microsoft Power BI,"1,120",English,Master Data Analytics and Visualization with Power BI. Microsoft Power BI beginner to advanced. Learn Power BI DAX,12/2019,12/31/19
Power BI Masterclass - How to use CALCULATE in DAX,www.udemy.com/course/power-bi-masterclass-how-to-use-calculate-in-dax/,Dan We,189.99,11.39,4.6(15 ratings),IT & Software,IT Certification,Microsoft Power BI,116,English,"How to use the CALCULATE function in DAX , understanding the CALCULATE function in POWER BI - a step by step approach",11/2019,12/31/19
Power BI Essentials: Introduction to Microsoft Power BI,www.udemy.com/course/microsoft-power-bi-introduction/,Grant Gamble,199.99,13.19,4.2(713 ratings),Business,Data & Analytics,Microsoft Power BI,"5,721",English,"Power BI Online Training: Comprehensive introduction to Power BI Desktop, the Power BI service and Power BI mobile apps",8/2018,12/31/19
"Microsoft Power BI Masterclass 7  Learn DAX, R, and Gateways",www.udemy.com/course/microsoft-power-bi-masterclass-7-learn-dax-r-and-gateways/,Dan We,199.99,11.39,4.3(80 ratings),Business,Data & Analytics,Microsoft Power BI,591,English,How to become a bi data analyst. Microsoft Power BI online training,11/2019,12/31/19
70-778: Analyzing & Visualizing Data with Microsoft Power BI,www.udemy.com/course/analyzing-visualizing-data-with-microsoft-power-bi/,Rahul Kumar,199.99,11.39,3.7(5 ratings),IT & Software,IT Certification,Microsoft Power BI,122,English,70-778: Analyzing & Visualizing Data with Microsoft Power BI certification in First Attempt,12/2019,12/31/19
Excel 2016 Power BI - 10 Easy Steps for Beginners,www.udemy.com/course/excel-2016-power-bi-10-easy-steps-for-beginners/,Gilly Dow,129.99,11.39,4.6(44 ratings),IT & Software,Other,Microsoft Power BI,355,English,"Master how to automate repetitive tasks, shape and transform data with Power Query and present reports with Power View",3/2019,12/31/19
Microsoft Power BI Masterclass™ - A Complete Hands-on Guide,www.udemy.com/course/microsoft-power-bi-hands-on/,Apex Education,199.99,11.39,3.3(12 ratings),Business,Data & Analytics,Microsoft Power BI,854,English,"Learn how to use Microsoft's Power BI Tools, Power BI desktop, Power BI Services, Data Visualization & Advanced Tools",12/2019,12/31/19
From Excel Pivot Table to Power BI,www.udemy.com/course/pivot-table-to-power-bi/,Dr. Nitin Paranjape,0.0,49.99,4.4(748 ratings),Office Productivity,Microsoft,Excel,"3,323",English,Be THE Power BI guru! Learn a new way of handling data and creating interactive dashboards with Microsoft Power BI tools,10/2016,12/31/19
The Power BI Masterclass - Tips and Tricks,www.udemy.com/course/the-power-bi-masterclass-tips-and-tricks/,Dan We,99.99,11.39,4.5(28 ratings),IT & Software,IT Certification,Microsoft Power BI,152,English,Learn Microsoft Power BI tips and tricks to improve your Power BI skills - become a successful data analyst in Power BI,11/2019,12/31/19
"Power BI Masterclass - DAX, Excel And More",www.udemy.com/course/power-bi-masterclass-dax-excel-and-more/,Dan We,199.99,11.39,4.6(73 ratings),Business,Data & Analytics,Microsoft Power BI,577,English,"Understanding DAX table calculations, many to many relationships and the powerful interaction between Power BI and Excel",11/2019,12/31/19
