Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 10 PDU,www.udemy.com/course/microsoft-project-tutorial/,Srikanth Shirodkar,199.99,11.99,"4.4(7,498 ratings)",Office Productivity,Microsoft,Microsoft Project,"33,339",English,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 10 PDUs,12/2018,01/01/20
Master Microsoft Project 2016 - 6 PDUs from a PMI REP,www.udemy.com/course/microsoft-project-2016/,Joseph Phillips,99.99,11.39,"4.5(2,419 ratings)",Office Productivity,Microsoft,Microsoft Project,"10,929",English,Microsoft Project 2016: Building an Effective Project Management Plan,7/2019,01/01/20
Project Management With MS Project - Scheduling Master Class,www.udemy.com/course/managing-projects-with-microsoft-project-scheduling-software/,Igor Ovchinnikov,144.99,11.39,"4.5(1,103 ratings)",Business,Project Management,Microsoft Project,"5,955",English,"Managing projects with Microsoft Project? Learn project management, planning, scheduling, and tracking best practices.",11/2018,01/01/20
Ultimate Microsoft Project 2016 Course - Beginner to Expert,www.udemy.com/course/ultimate-microsoft-project-2016-course-beginner-to-expert/,Simon Sez IT,199.99,12.59,4.4(897 ratings),Office Productivity,Microsoft,Microsoft Project,"5,633",English,18 Hours of Training. The Most Convenient Way to Boost Your Confidence And Learn MS Project 2016 Inside And OutâQuickly,8/2019,01/01/20
"Microsoft Project: MS Project 2013, 2016 &2019 comp./ 8 pdus",www.udemy.com/course/microsoft-project-ms-project-for-pmp-candidates-and-pmps-10pdus/,PMP Sabri C.,199.99,11.39,4.4(673 ratings),IT & Software,Other,Microsoft Project,"8,321",English,Microsoft Project: Learn project management by using MS Project! Creation and management of a real project plan - 8 pdus,11/2019,01/01/20
Microsoft Project ADVANCED: Project Management Technics 3PDU,www.udemy.com/course/ms_project/,Srikanth Shirodkar,199.99,11.39,4.4(215 ratings),Business,Project Management,Microsoft Project,"2,230",English,MS PROJECT 2016 ADVANCED Project Management Techniques -incl Enterprise level. HANDS-ON from #1 BESTSELLING INSTRUCTOR,11/2018,01/01/20
Microsoft Project 13/16/19 - Like a Boss (Exam 74-343 prep),www.udemy.com/course/project-2013-like-a-boss/,Brian Culp,149.99,11.39,4.4(341 ratings),Office Productivity,Microsoft,Microsoft Project,"2,041",English,"From Beginner to Boss with Project 2013, 2016, 2019. Incl. keyboard shortcuts and many Quick Reference Guides.",10/2018,01/01/20
Master Microsoft Project - Project from Beginner to Advanced,www.udemy.com/course/microsoft-project-from-beginner-to-advanced/,Kirt Kershaw,149.99,11.39,4.6(36 ratings),Office Productivity,Microsoft,Microsoft Project,276,English,"Manage projects with ease with this Microsoft Project A-Z Course - Microsoft Project 2010, Project 2013, Project 2016",2/2019,01/01/20
Microsoft Project 2019: Beginner to Advanced Mega Bundle,www.udemy.com/course/microsoft-project-2019-beginner-to-advanced-online-course/,Simon Sez IT,74.99,11.39,4.4(25 ratings),Office Productivity,Microsoft,Microsoft Project,327,English,This ultimate guide to Microsoft Project 2019 takes you from Project novice to superstar project manager,8/2019,01/01/20
Project Management Professional  : the PMP in Four Weeks,www.udemy.com/course/the-pmp-in-four-weeks/,Marcos Garcia,199.99,11.39,4.4(237 ratings),Teaching & Academics,Teacher Training,Microsoft Project,"2,710",English,"Have you taken a PMP course and found the instructor hard to understand? Unlike those other PMP courses, this course has",3/2018,01/01/20
Microsoft Project 2016 Advanced Training Master Class,www.udemy.com/course/microsoft-project-2016-advanced-training-course/,Simon Sez IT,149.99,11.39,4.2(81 ratings),Office Productivity,Microsoft,Microsoft Project,"2,812",English,The ultimate next step for anyone interested in supercharging their project management skills,6/2019,01/01/20
Microsoft Project Beginner to Advanced Bundle,www.udemy.com/course/microsoft-project-beginner-to-advanced-bundle/,Simon Sez IT,49.99,11.39,4.5(17 ratings),Office Productivity,Microsoft,Microsoft Project,365,English,The Ultimate Microsoft Project Bundle covering 2016 & 2019 editions and taking you from novice to MS Project Pro,8/2019,01/01/20
The Ultimate Microsoft Project 2013 Training Bundle 19 Hours,www.udemy.com/course/the-ultimate-microsoft-project-2013-training-bundle/,Simon Sez IT,169.99,11.39,4.3(622 ratings),Office Productivity,Microsoft,Microsoft Project,"9,865",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Project 2013 Inside And OutâQuickly, No Travel or Classes.",6/2018,01/01/20
Microsoft Project 2016 For Beginners: Master the Essentials,www.udemy.com/course/microsoft-project-2016-training-for-beginners/,Simon Sez IT,149.99,11.39,4.3(298 ratings),Office Productivity,Microsoft,Microsoft Project,"2,378",English,Become an expert at the world's most popular project management software. 9 hours of professional training.,6/2018,01/01/20
Agile Project Management Utilizing Microsoft  Project,www.udemy.com/course/agile-project-management-utilizing-microsoft-project-planning-tools/,Luke Angel,199.99,11.39,4.5(196 ratings),Business,Project Management,Microsoft Project,"3,338",English,"Use Microsoft ProjectTo build, plan , and run your agile projects",11/2017,01/01/20
Microsoft Project 2016 - Absolute beginners to Experts,www.udemy.com/course/microsoft-project-2016-absolute-beginners-to-experts/,24x7Coach.com an education brand of Mahtia Business Solutions Pvt. Ltd.,199.99,11.39,4.4(114 ratings),Office Productivity,Microsoft,Microsoft Project,"2,528",English,Learn most widely used features in simplest possible way & Earn 15 PDUs for PMP renewal by PMI R.E.P.,7/2018,01/01/20
Microsoft Project: The Full Course - Become an Expert Today,www.udemy.com/course/microsoft-project-the-full-course/,"Tony Agront, PMP, MBA",109.99,11.39,4.5(125 ratings),Office Productivity,Microsoft,Microsoft Project,"2,984",English,Everything You Need to Learn Microsoft Project Today! Bonus and extra lessons from the very Basics to Advanced skills.,10/2016,01/01/20
Microsoft Project : How to Build a Detailed Project Plan,www.udemy.com/course/microsoft-project-how-to-build-a-detailed-project-plan/,Brett Anderson,199.99,11.39,4.5(264 ratings),Office Productivity,Microsoft,Microsoft Project,"1,027",English,Clear Concise Steps to Building a Project Plan in Microsoft Project. Become a professional in under an hour,10/2015,01/01/20
