Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Master Microsoft Word Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/,Kyle Pew,149.99,11.99,"4.6(4,613 ratings)",Office Productivity,Microsoft,Microsoft Word,"20,306",English,"Master the most popular Word Processing tool, Microsoft Word. Microsoft Word 2010, Word 2013, Word 2016, Word 2019",8/2019,01/01/20
Master Microsoft Word  - Word from Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced/,Kirt Kershaw,149.99,11.99,4.7(286 ratings),Office Productivity,Microsoft,Microsoft Word,"2,103",English,"Master the most famous Word processing tool, Microsoft Word. Microsoft Word 2010, 2013, 2016, 2019 and 365",2/2019,01/01/20
Microsoft Word VBA Macro Programming - Introduction,www.udemy.com/course/gcs-microsoft-word-vba-macro-programming-introduction/,Grant Gamble,94.99,11.99,4.2(571 ratings),Office Productivity,Microsoft,Microsoft Word,"8,171",English,"The only Word VBA programming course on the web. Why learn Excel VBA, if you plan to automate Microsoft Word?",11/2015,01/01/20
Advanced Microsoft Word VBA Macro Programming,www.udemy.com/course/advanced-word-vba-online-course/,Grant Gamble,124.99,11.99,4.6(116 ratings),Office Productivity,Microsoft,Microsoft Word,"1,433",English,Excel VBA macro programming isn't all there is to VBA. Take a deep dive into Microsoft Word automation.,7/2017,01/01/20
"Microsoft Excel, PowerPoint and Word 2016 for Beginners",www.udemy.com/course/microsoft-excel-powerpoint-and-word-2016-course/,Simon Sez IT,199.99,11.99,4.2(448 ratings),Office Productivity,Microsoft,Excel,"5,546",English,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2016 Inside And OutâQuickly, No Travel or Classes.",8/2019,01/01/20
"Microsoft Office: Word, Excel and Access Productivity Bundle",www.udemy.com/course/microsoft-office-word-excel-access/,IsáBel .,199.99,11.99,4.6(192 ratings),Office Productivity,Microsoft,Microsoft Word,"6,099",English,1 Billion+ Use Office Apps as Their Primary Productivity Tool. Get the Tips in 200+ Lectures to Help Office Work for You,10/2019,01/01/20
Learn Microsoft Word 2016 For Beginners - Basics to Advanced,www.udemy.com/course/learn-microsoft-word-2016-for-beginners-training/,Simon Sez IT,74.99,11.99,4.8(461 ratings),Office Productivity,Microsoft,Microsoft Word,"3,258",English,Become a Word 2016 power user. We start at the very beginning progressing with more than 80 helpful videos.,9/2019,01/01/20
Microsoft Word 1: 9 hours to Specialist (intermediate) level,www.udemy.com/course/77-418-session-1improve-ms-word-skills-to-certificate-level/,Phillip Burton,124.99,11.99,4.6(107 ratings),Office Productivity,Microsoft,Microsoft Word,684,English,Learn skills needed for the Microsoft Word Specialist certificate exam 77-418 (2013) & 77-725 (2016). 9 hours of video.,3/2019,01/01/20
Microsoft Word 2016: Beginner and Intermediate Training,www.udemy.com/course/microsoft-word-2016-beginner-and-intermediate-training/,365 Careers,94.99,11.99,4.4(200 ratings),Office Productivity,Microsoft,Microsoft Word,"2,021",English,Microsoft Word 2016 at Its Best (with Exercises in Every Lecture) - Boost Your Office Productivity in No Time,5/2018,01/01/20
Microsoft Word 2016 - Bootcamp - Zero to Hero training,www.udemy.com/course/microsoft-word-2016-bootcamp-zero-to-hero-training/,Daniel Walter Scott,199.99,11.99,4.8(66 ratings),Office Productivity,Microsoft,Microsoft Word,"1,401",English,"Become proficient in Microsoft Word 2016 so you can create beautiful, professional documents, easily!",7/2019,01/01/20
Microsoft Word 2: from Intermediate to Expert certification,www.udemy.com/course/microsoft-word-from-intermediate-to-expert-certification/,Phillip Burton,124.99,11.99,4.4(57 ratings),Office Productivity,Microsoft,Microsoft Word,420,English,"Covers Levels 5 to 9, and the Microsoft Word Expert Exams 77-726 (2016), 77-425 (2013), 77-426 (2010), 77-887 (2007)",3/2019,01/01/20
Microsoft Word for Mac - Office 365 on Mac OS,www.udemy.com/course/word-for-mac/,Colin Marks,39.99,11.99,4.5(82 ratings),Office Productivity,Apple,Microsoft Office 365,"1,213",English,"The power of Microsoft Word, on your Mac.",9/2019,01/01/20
MS Word for Writers,www.udemy.com/course/ms-word-for-writers/,Demi Stevens,199.99,11.99,4.5(21 ratings),Personal Development,Creativity,Microsoft Word,602,English,Word-processing Mastery for Those Who Most Appreciate the Power of Words,1/2019,01/01/20
Word 2016 Advanced,www.udemy.com/course/word-2016-advanced/,Intellezy Trainers,39.99,11.99,4.6(103 ratings),Office Productivity,Microsoft,Microsoft Word,462,English,"Learn to automate Word with Building Blocks, macros and Mail Merge, create TOC, indexes and master pages, and forms.",4/2018,01/01/20
Microsoft Word for Mac - From Beginner to Expert in 5 Hours,www.udemy.com/course/microsoft-word-for-mac/,Todd McLeod,19.99,11.99,4.4(166 ratings),Office Productivity,Microsoft,macOS,"2,758",English,This Microsoft Word class will make you a master of Microsoft Word. The training uses Word 2011 for an Apple Mac.,12/2015,01/01/20
Master Microsoft Word with Word 2019/365 for Beginners,www.udemy.com/course/microsoft-word-2019-online-course/,Simon Sez IT,29.99,11.99,4.2(2 ratings),Office Productivity,Microsoft,Microsoft Word,521,English,"Conquer your Word documents, improve your productivity and automate admin by mastering Microsoft Word",9/2019,01/01/20
Microsoft Word 2019 for All Levels + Job Guide,www.udemy.com/course/shortest-microsoft-word/,Jed Guinto,19.99,11.39,4.0(879 ratings),Office Productivity,Microsoft,Microsoft Word,"18,763",English,"Comes with a unique quick start guide which you can finish in an hour! Everything after, leads to Mastery!",8/2019,01/01/20
