Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
After Effects CC 2020: Complete Course from Novice to Expert,www.udemy.com/course/after-effects-kinetic-typography/,Louay Zambarakji,199.99,11.99,"4.6(13,679 ratings)",Design,3D & Animation,After Effects,"81,771",English,"Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.",11/2019,12/30/19
After Effects - Motion Graphics & Data Visualization,www.udemy.com/course/animated-infographic-video-data-visualisation/,Daniel Walter Scott,194.99,11.99,"4.6(2,379 ratings)",Design,3D & Animation,After Effects,"15,435",English,"Using Adobe After Effects create beautiful VFX Visual Effects, data visualization & VFX Compositing.",7/2019,12/30/19
Adobe After Effects CC: The Complete Motion Graphics Course,www.udemy.com/course/adobe-after-effects-2017-essential-motion-graphics-training/,Louay Zambarakji,199.99,11.99,"4.6(2,204 ratings)",Design,Design Tools,Motion Graphics,"63,834",English,Create Motion Graphics with Adobe After Effects CC: Best Techniques and Methods to Become a Top Motion Graphics Artist,8/2019,12/30/19
Adobe After Effects CC - Motion Graphics Design & VFX,www.udemy.com/course/become-a-motion-graphic-designer-using-after-effects/,Daniel Walter Scott,94.99,11.99,4.6(990 ratings),Design,3D & Animation,After Effects,"5,993",English,Learn the techniques to start your career as a Motion Graphic artist.,7/2019,12/30/19
After Effects CC 2019 Motion Graphics & Animation Principles,www.udemy.com/course/motion-graphics-course/,Louay Zambarakji,199.99,11.99,4.7(274 ratings),Business,Media,After Effects,"11,360",English,In After Effects CC Learn to create motion graphics animations and apply the animation principles in After Effects CC,6/2019,12/30/19
Kinetic Typography in After Effects: Motion Graphics Course,www.udemy.com/course/kinetic-typography-crash-course/,Phil Ebiner,99.99,11.99,4.3(911 ratings),Design,3D & Animation,Motion Graphics,"24,576",English,"Start creating your own kinetic typography videos, titles, and motion graphics in Adobe After Effects in just minutes!",7/2018,12/30/19
Futuristic HUD Motion Graphics in After Effects,www.udemy.com/course/futuristic-hud-animations-in-after-effects/,Sam DeZeeuw,74.99,11.99,4.7(225 ratings),Design,Design Tools,After Effects,"2,399",English,"Learn how to create motion graphics in After Effects like what you see in Iron Man, Star Wars or other action movies",1/2018,12/30/19
Going Further With Apple Motion 5,www.udemy.com/course/applemotion5_gf/,James Rickards,99.99,11.99,4.7(58 ratings),Design,3D & Animation,Motion Graphics,493,English,"New for 2019 - Taking Your Apple Motion 5 skills to the NEXT level, continue your training here - Pro Certified Trainer",1/2019,12/30/19
Rigging a Character with Duik Bassel in After Effects,www.udemy.com/course/rigging-a-character-with-duik-bassel-in-after-effects/,Motion Guru,99.99,11.99,4.3(18 ratings),Design,3D & Animation,Motion Graphics,165,English,Learn Duik Bassel to easily Rig your character and make walk cycle Animation for it and improve your motion graphics.,10/2019,12/30/19
After Effects Logo Animation - after effects motion graphics,www.udemy.com/course/after-effects-logo-animation/,Andrzej Pach,94.99,11.99,4.9(83 ratings),Design,3D & Animation,After Effects,"1,453",English,Create motion graphics logo animations in After Effects. A complete guide to title openers in after effects,11/2019,12/30/19
