Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Mixing Masterclass,www.udemy.com/course/mixing-masterclass/,Jason Allen,79.99,11.99,4.5(231 ratings),Music,Production,Music Mixing,"2,064",English,The secret weapon of music making that will take your tracks from good to great.,10/2019,01/01/20
Mixing & Mastering Electronic Dance Music (EDM),www.udemy.com/course/mixing-mastering-edm/,Fuad Murad,94.99,11.99,4.4(487 ratings),Music,Production,EDM,"4,148",English,Learn how to professionally mix and master any style of electronic dance music using any plugins or DAW.,10/2019,01/01/20
Music Production in Studio One - Learn Presonus Studio One 4,www.udemy.com/course/studio-one-music-production-course/,Tomas George,194.99,11.99,4.5(53 ratings),Music,Production,Music Mixing,328,English,"Learn Presonus Studio One 4 + Music Production in this Complete Course for Creating, Recording, Mixing Music + Mastering",12/2019,01/01/20
Mixing EDM Vocals:  Create Professional Vocal Tracks,www.udemy.com/course/mixing-edm-vocals/,Fuad Murad,69.99,11.99,4.7(72 ratings),Music,Production,Music Mixing,"1,030",English,"Learn the best plugins, techniques, tips and tricks for mixing EDM vocals like a pro in any DAW using any plugins",2/2018,01/01/20
Mixing Music - Learn how to mix a Pop Rock Song like a Pro!,www.udemy.com/course/in-depth-mixing-poprock/,Signature Sound,84.99,11.99,4.6(202 ratings),Music,Production,Music Mixing,"2,174",English,Mixing Music: Improve your mixes & learn the BEST techniques in the industry used on multiple platinum selling records!,4/2014,01/01/20
"How to Make a Mashup, Remix & Edit for DJing using Ableton",www.udemy.com/course/how-to-make-a-mashup/,Ross Palmer,149.99,11.99,4.6(17 ratings),Music,Production,Music Mixing,188,"English
 ","Mashups and original edits fill the gap between production, DJing, and mixtapes. These Ableton skills are essential.",11/2019,01/01/20
Mixing for Music Producers,www.udemy.com/course/mixingtutorial/,Dylan Bowes,19.99,11.99,4.6(432 ratings),Music,Production,Music Mixing,"2,410",English,Get your tracks radio-ready with this comprehensive guide to mixing for producers.,6/2015,01/01/20
Mixing a Song From Start to Finish,www.udemy.com/course/mixing-a-song-from-start-to-finish/,Matt Hayes,49.99,11.99,4.6(333 ratings),Music,Production,Music Mixing,"1,941",English,Give your music a professional sound with this step-by-step guide,6/2018,01/01/20
Learn How to Become a DJ with Traktor,www.udemy.com/course/learn-how-to-become-a-dj-with-traktor-part-i/,Max Porcelli,29.99,11.99,4.5(387 ratings),Music,Music Software,Traktor,"2,205",English,Learn How to Become a DJ in no time. Including basic mixing techniques you can use with any DJ Software. With Captions!,10/2019,01/01/20
MIXING AND MASTERING - ABLETON LIVE,www.udemy.com/course/mixing-and-mastering-ableton-course/,Philip Harris,0.0,199.99,4.4(193 ratings),Music,Production,Music Mixing,805,English,Learn how to Mix and Master any music to make it loud and punchy like the professionals!,4/2019,01/01/20
Mixing Music - Learn how to mix a Hip Hop Song like a Pro!,www.udemy.com/course/in-depth-mixing-hiphop/,Signature Sound,84.99,11.99,4.1(139 ratings),Music,Production,Music Mixing,"1,701",English,Mixing Music: Learn the BEST music production & mixing techniques used by the pros on numerous platinum selling records!,8/2014,01/01/20
"Operating the Audio Mixer, A Beginning Sound Engineer Course",www.udemy.com/course/operating-the-audio-mixer-a-beginning-sound-engineer-course/,RF Audio,29.99,11.99,4.2(66 ratings),Music,Production,Audio Engineering,263,English,Learn to Mix Live Sound,6/2018,01/01/20
