Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Music Production in Logic Pro X - The Complete Course!,www.udemy.com/course/thecompletelogicprox/,Tomas George,194.99,11.99,"4.6(4,440 ratings)",Music,Production,Logic Pro X,"27,217",English,"Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X",12/2019,12/30/19
Music Production in Ableton Live 10 - The Complete Course!,www.udemy.com/course/abletonlive10/,Tomas George,194.99,11.99,"4.5(1,830 ratings)",Music,Production,Ableton Live,"10,190",English,"Learn Music Production in Ableton Live 10 Today and Understand how to Create, Record and Edit Your Own Music + Live Sets",11/2019,12/30/19
Music + Audio Production in Logic Pro X - The Complete Guide,www.udemy.com/course/music-production-in-logic-pro-x-course/,Make Pro Music,199.99,11.99,"4.5(7,680 ratings)",Music,Production,Music Production,"32,990",English,"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",11/2019,12/30/19
Songwriting & Music Production In GarageBand- A Total Guide!,www.udemy.com/course/songwriting-music-production-in-garageband-a-total-guide/,Dean Davis,199.99,11.99,4.4(816 ratings),Music,Production,Songwriting,"3,860",English,Learn how to use the powerful tools that GarageBand offers for creative songwriting and high quality music production!,11/2018,12/30/19
Music Production I - Learn to be a Music Producer!,www.udemy.com/course/music-production/,Mitch Houston,199.99,11.99,4.5(982 ratings),Music,Production,Music Production,"5,485",English,Learn how to become a recording/music production engineer with little to no knowledge! Record music like a pro!,9/2019,12/30/19
Mixing & Mastering with Presonus Studio One✅,www.udemy.com/course/mixing-mastering-with-presonus-studio-one/,Gary Hiebner,159.99,11.99,4.4(228 ratings),Music,Production,Music Production,"1,633",English,Learning the tricks and techniques to mixing and mastering your songs in Presonus Studio One,12/2019,12/30/19
Music Producer Masterclass: Make Electronic Music,www.udemy.com/course/music-producer-masterclass/,Chester Sky,199.99,11.99,4.4(571 ratings),Music,Production,Music Production,"2,940",English,Compose Music At A Professional level. Learn FL studio From Beginner To Expert Level. Become A Music Producer.,8/2019,12/30/19
Learn How to Make Electronic Music with Cubase,www.udemy.com/course/jumpstart-your-music-production-career-with-cubase/,Max Porcelli,59.99,11.99,4.5(428 ratings),Music,Music Software,Music Production,"2,099",English,Learn How to Create an Electronic Track from A to Z - a Comprehensive Guide to Using Cubase for Your Productions!,11/2019,12/30/19
Music Production in Studio One - Learn Presonus Studio One 4,www.udemy.com/course/studio-one-music-production-course/,Tomas George,194.99,11.99,4.5(53 ratings),Music,Production,Music Mixing,324,English,"Learn Presonus Studio One 4 + Music Production in this Complete Course for Creating, Recording, Mixing Music + Mastering",12/2019,12/30/19
"Film, TV, & Video Game Music Composition + Production BASICS",www.udemy.com/course/film-tv-video-game-music-composition-production/,Steven Melin,199.99,11.99,4.4(524 ratings),Music,Production,Game Music,"4,221",English,"Learn how to Write, Produce, Mix, & Master professional-quality Music for Film, TV, & Video Games! All levels welcome!",5/2019,12/30/19
Soundtrack Composer Masterclass: Score Films and Video Games,www.udemy.com/course/soundtrack-composer-masterclass/,Chester Sky,199.99,11.99,4.5(173 ratings),Music,Music Techniques,Music Composition,"1,303",English,"Compose Epic Music Soundtracks Scores For Film, TV, & Video Games. Master Orchestration With Software. Be A Composer.",7/2019,12/30/19
Garageband for Songwriting and Music Production,www.udemy.com/course/garageband-for-songwriting-and-music-production/,Fran Solo,199.99,11.99,4.4(210 ratings),Music,Music Software,GarageBand,"3,127",English,"Become a master at using GarageBand. Learn how to Compose, Edit, Mix and Master your music with real life examples.",8/2019,12/30/19
Audio Mastering: the complete guide,www.udemy.com/course/audio-mastering-the-complete-guide-i/,Marco Galvan,94.99,11.99,4.5(189 ratings),Music,Production,Music Production,"1,057",English,The step-by-step course about mastering engineering. Learn how to improve the audio quality of your music,7/2019,12/30/19
Music Production II - Music Production Workflow - COMPLETE!!,www.udemy.com/course/music-production-ii-recording-complete-course/,Mitch Houston,194.99,11.99,4.6(208 ratings),Music,Music Software,Audio Production,"3,574",English,"Learn to create a Music Production Workflow, and produce professional quality music within any Music Production DAW!",9/2019,12/30/19
Learn Music Production Essentials ✅,www.udemy.com/course/learn-music-production-essentials/,Gary Hiebner,199.99,11.99,4.3(179 ratings),Music,Production,Music Production,"1,176",English,"Learn how to Record, Edit, Mix and Master your Tracks into a Professional Music Production",8/2019,12/30/19
The Sound Kitchen - Great sound made easy,www.udemy.com/course/the-sound-kitchen-great-sound-made-easy/,Timoteo Alicino,24.99,11.99,4.7(301 ratings),Music,Other,Music Production,"1,393",English,"Sound Engineering course for musicians, volunteers, professionals. For both beginners and people with some knowledge",1/2018,12/30/19
