Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Cyber Security Course : Network Security!,www.udemy.com/course/network-security-course/,Nathan House,119.99,11.39,"4.5(6,608 ratings)",IT & Software,Network & Security,Cyber Security,"85,499",English,"Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers",,12/30/19
Network Hacking Continued - Intermediate to Advanced,www.udemy.com/course/network-hacking-continued-intermediate-to-advanced/,Zaid Sabih,189.99,11.99,"4.7(1,209 ratings)",IT & Software,Network & Security,Ethical Hacking,"20,597",English,Learn advanced techniques to hack into WiFi & wired networks & write own python scripts to implement custom MITM attacks,11/2019,12/30/19
Learn Network Hacking From Scratch (WiFi & Wired),www.udemy.com/course/wifi-hacking-penetration-testing-from-scratch/,Zaid Sabih,99.99,11.99,"4.6(2,941 ratings)",IT & Software,Network & Security,Network Security,"38,786",English,"Learn how to hack both WiFi and wired networks like black hat hackers, and learn how to secure them from these attacks.",12/2019,12/30/19
The Complete Nmap Ethical Hacking Course : Network Security,www.udemy.com/course/the-complete-nmap-ethical-hacking-course-network-security/,Nathan House,99.99,11.39,"4.5(1,654 ratings)",IT & Software,Network & Security,Ethical Hacking,"16,188",English,Become an expert in the ethical hacking and network security tool Nmap!,10/2019,12/30/19
"Network Security Analysis Using Wireshark, Snort, and SO",www.udemy.com/course/network-security-analysis-using-wireshark-snort-and-so/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.39,4.4(344 ratings),IT & Software,Network & Security,Network Security,"3,453",English,Learn real technical skills from a real cybersecurity professional with 100% hands-on labs.,6/2019,12/30/19
ARP spoofing &Man In The Middle Attacks Execution &Detection,www.udemy.com/course/learn-practical-attacks-against-network-clients/,Zaid Sabih,49.99,11.39,4.3(247 ratings),IT & Software,Network & Security,Network Security,"3,746",English,Learn practical attacks to test the security of clients connected to a network and how to protect against these attacks,12/2019,12/30/19
Fortigate Firewall - Admin Crash Course,www.udemy.com/course/fortigate-admin-crash-course/,Ofer Shmueli,199.99,11.39,4.1(196 ratings),IT & Software,Network & Security,Network Security,928,English,Learn to administrate your fortigate Firewall in both NAT and Transparent Mode,6/2019,12/30/19
"Snort Intrusion Detection, Rule Writing, and PCAP Analysis",www.udemy.com/course/snort-intrusion-detection-rule-writing-and-pcap-analysis/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.39,4.4(364 ratings),IT & Software,Network & Security,Cyber Security,"3,234",English,Learn how to write Snort rules from a real cybersecurity professional with lectures and hands-on lab exercises.,1/2019,12/30/19
Rootkits and Stealth Apps: Creating & Revealing 2.0 HACKING,www.udemy.com/course/rootkit-and-stealth-software-development/,Hacking School,99.99,11.39,4.3(315 ratings),IT & Software,Network & Security,Network Security,"5,933",English,Ethical Hacking in Practice. Complete guide to rootkit and stealth software development. Practical ROOTKIT HACKING 101,12/2019,12/30/19
Cyber Security: Network Fundamentals & Network Layer Attacks,www.udemy.com/course/network-for-penetration-testers-fundamentals-attacks/,Muharrem AYDIN,99.99,11.39,4.5(246 ratings),IT & Software,Network & Security,Network Security,"3,051",English,"To learn Network Security, Sniffing, Subnetting, ARP Spoof, Password Cracking and implement custom MitM attacks, enroll",11/2019,12/30/19
