Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Neuroplasticity: How To Rewire Your Brain,www.udemy.com/course/neuroplasticity/,Gregory Caremans - Brain Academy,149.99,11.39,"4.6(6,939 ratings)",Personal Development,Motivation,Neuroplasticity,"58,563",English,"How to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience research",10/2019,12/30/19
Neuroplasticity 2.0 Modern Neuroscience To Rewire Your Brain,www.udemy.com/course/modern-neuroplasticity-how-to-rewire-your-brain-for-success/,Silviu Marisk - Top Instructor,199.99,13.19,4.7(224 ratings),Health & Fitness,Mental Health,Neuroplasticity,"6,181",English,Learn How To Rewire Your Neural Circuits to a Smarter & Flexible Brain ...Â ALL based on Neuroscience and Neuroplasticity,12/2019,12/30/19
Mental Health and Neuroplasticity: Change your Brain,www.udemy.com/course/change-your-brain/,Emma McAdam,199.99,14.99,4.5(254 ratings),Health & Fitness,Mental Health,Neuroplasticity,"2,021",English,10 Alternatives to Medication to improve Mental Health - Research backed treatments for Depression and Anxiety,10/2019,12/30/19
Neuroplasticity: The Ultimate Brain Rewiring Formula 3.0 ®,www.udemy.com/course/neuroplasticity-understanding-the-neuroscience-of-wiring/,The Best-Selling Author | Noah Merriby ​,199.99,13.19,4.1(271 ratings),Personal Development,Personal Transformation,Neuroplasticity,"3,278",English,"The Ability To Change Your Neural Structural & Rewire Behavior, Thoughts & Habits Via Neuroplasticity and Neuroscience",6/2019,12/30/19
Neuroplasticity: Rewire Your Brain With Dr. Cliff Saunders,www.udemy.com/course/neuroplasticity-101-reprogram-your-brain-while-you-sleep/,Life Progression Project,199.99,11.99,4.7(88 ratings),Personal Development,Personal Transformation,Neuroplasticity,"1,511",English,"Neuroplasticity: How to overcome fear, stress, anger, depression. Set & achieve big goals based on Neuroscience research",11/2018,12/30/19
Fully Accredited Certification in Neuroplasticity Practice,www.udemy.com/course/neuroplasticity-brain-plasticity-therapy-rewiring-brain-made-easy/,"Assoc. Prof. Krishna N. Sharma, Ph.D.",199.99,11.39,4.4(25 ratings),Personal Development,Memory & Study Skills,Neuroplasticity,742,English,"Rewire brain to improve memory and creativity; and get rid of anxiety, depression, bad habits, procrastination etc.",10/2019,12/30/19
Fully Accredited Professional Neuroplasticity Diploma Course,www.udemy.com/course/fully-accredited-professional-neuroplasticity-diploma-course/,Dr Karen E Wells,94.99,11.39,4.6(32 ratings),Personal Development,Memory & Study Skills,Neuroplasticity,263,English,Easy & Effective Techniques To Rewire Your Brain Using Neuroscience!,11/2019,12/30/19
Neuroplasticity: Neuroscience Synthesis To Rewire Your Brain,www.udemy.com/course/9-courses-in-1-neroplasticity-flexibility-integration/,The Best-Selling Author | Noah Merriby ​,199.99,11.39,4.3(114 ratings),Personal Development,Memory & Study Skills,Neuroplasticity,"3,755",English,"The Ability To Change Your Neural Structural & Rewire Behavior, Thoughts & Habits Via Neuroplasticity and Neuroscience",6/2019,12/30/19
"Money Healing for Prosperity, Abundance and Success",www.udemy.com/course/money-healing/,Nan Ross,49.99,11.39,5.0(4 ratings),Personal Development,Personal Transformation,Neuroplasticity,44,English,Remove hidden abundance blocks that sabotage financial growth while rewiring the mind for prosperity and success.,9/2019,12/30/19
Unleash Your Super-Brain: Hack Your Neuroplasticity,www.udemy.com/course/hackyourneuroplasticity/,Dr. Brady Salcido,139.99,13.79,4.7(40 ratings),Personal Development,Personal Transformation,Neuroplasticity,340,English,"Rewire Your Brain To Change Bad Habits, Increase Your Brain Power, Boost Self Esteem, and Maximize Productivity.",6/2018,12/30/19
NEUROPLASTICITY & MIND CONTROL - LETS FOCUS AND CONCENTRATE,www.udemy.com/course/neuroplasticity-mind-control-lets-focus-and-concentrate/,Shaikh Husain ONTARGET53,0.0,49.99,4.9(5 ratings),Teaching & Academics,Other Teaching & Academics,Neuroplasticity,10,English,TASK ORIENTED CONCENTRATION AND FOCUS,8/2019,12/30/19
"Neuroplasticity: rewire your brain , memory and habits.",www.udemy.com/course/neuroplasticity-rewire-your-brain-memory-and-habits/,Amine Benyakoub,19.99,11.39,4.6(20 ratings),Personal Development,Memory & Study Skills,Neuroplasticity,"1,446",English,"How neuroscience can help you rewire your brain, your memory and your personality.",5/2018,12/30/19
Neuroplasticity: Changing your Brain for Improving your Life,www.udemy.com/course/neuroplasticity-neuroscience-brain-training/,Laura Andronescu,199.99,11.39,4.4(65 ratings),Personal Development,Personal Transformation,Neuroplasticity,"4,924",English,"Neuroplasticity & Neuroscience â How to Change your Thinking Pattern, Limiting Beliefs and Habits â Brain Training.",8/2019,12/30/19
Neuroplasticity to Heal Chronic Pain & Emotional Distress,www.udemy.com/course/neuroplasticity-to-heal-chronic-pain-emotional-distress/,Jackie Garton,179.99,11.39,3.7(34 ratings),Health & Fitness,Mental Health,Neuroplasticity,169,English,How to heal chronic pain & emotional distress with cutting edge neuroplastic techniques & leading therapeutic strategies,6/2018,12/30/19
Brain Training: Harness Neuroplasticity Through Neuroscience,www.udemy.com/course/brain-training-harness-neuroplasticity-through-neuroscience/,David Mills,149.99,11.39,4.5(7 ratings),Personal Development,Personal Transformation,Neuroplasticity,"1,521",English,"Brain Training Strategies Based On Neuroscience Research, Neuroplasticity, Brain Health, Self-Directed Neuroplasticity",9/2018,12/30/19
High IQ Course: The Science of Being Smart,www.udemy.com/course/high-iq-course-the-science-of-being-smart-neuroplasticity/,Chris M Nemo,199.99,11.39,4.2(18 ratings),Personal Development,Motivation,Neuroplasticity,"2,607",English,Learn how IQ is measured and how you can increase your IQ score by using your brain's Neuroplasticity,11/2019,12/30/19
