Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Node.js Developer Course (3rd Edition),www.udemy.com/course/the-complete-nodejs-developer-course-2/,Andrew Mead,84.99,11.39,"4.7(38,426 ratings)",Development,Programming Languages,Node.Js,"157,563", English,"Learn Node.js by building real-world applications with Node, Express, MongoDB, Jest, and more!",6/2019,12/29/19
Angular & NodeJS - The MEAN Stack Guide,www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,149.99,11.39,"4.6(13,963 ratings)",Development,Web Development,MEAN Stack,"68,147",English,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,11/2019,12/29/19
"Node.js, Express, MongoDB & More: The Complete Bootcamp 2020",www.udemy.com/course/nodejs-express-mongodb-bootcamp/,Jonas Schmedtmann,199.99,11.39,"4.8(1,724 ratings)",Development,Web Development,Node.Js,"13,124",English,"Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",12/2019,12/29/19
Node.js API Masterclass With Express & MongoDB,www.udemy.com/course/nodejs-api-masterclass/,Brad Traversy,119.99,11.39,4.8(781 ratings),Development,Web Development,Node.Js,"5,087",English,Create a real world backend for a bootcamp directory app,10/2019,12/29/19
Node with React: Fullstack Web Development,www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,179.99,11.39,"4.6(10,053 ratings)",Development,Web Development,React,"54,174",English,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",12/2019,12/29/19
The Modern GraphQL Bootcamp (with Node.js and Apollo),www.udemy.com/course/graphql-bootcamp/,Andrew Mead,84.99,11.39,"4.7(2,266 ratings)",Development,Programming Languages,Node.Js,"14,428",English,"Learn how to build GraphQL applications using Node.js. Includes Prisma, authentication, Apollo Client, and more!",6/2019,12/29/19
Node.js: The Complete Guide to Build RESTful APIs (2018),www.udemy.com/course/nodejs-master-class/,Mosh Hamedani,179.99,11.39,"4.6(6,888 ratings)",Development,"Web Development
 ",Node.Js,"29,298",English,"Learn to build fast, scalable and secure RESTful services with Node, Express and MongoDB, from setup to production",4/2018,12/29/19
Node JS: Advanced Concepts,www.udemy.com/course/advanced-node-for-developers/,Stephen Grider,119.99,11.39,"4.7(3,801 ratings)",Development,Web Development,Node.Js,"24,115",English,"Get advanced with Node.Js! Learn caching with Redis, speed up through clustering, and add image upload with S3 and Node!",12/2019,12/29/19
Learn and Understand NodeJS,www.udemy.com/course/understand-nodejs/,Anthony Alicea,194.99,11.39,"4.5(21,722 ratings)",Development,Web Development,Node.Js,"95,103",English,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",12/2016,12/29/19
NestJS Zero to Hero - Modern TypeScript Back-end Development,www.udemy.com/course/nestjs-zero-to-hero/,Ariel Weinberger,34.99,11.39,4.7(964 ratings),Development,Web Development,Node.Js,"9,645",English,Develop and deploy enterprise back-end applications following best practices using Node.js and TypeScript,7/2019,12/29/19
Docker for Node.js Projects From a Docker Captain,www.udemy.com/course/docker-mastery-for-nodejs/,Bret Fisher,89.99,11.39,4.7(433 ratings),Development,Development Tools,Docker,"4,432",English,"Build, test, deploy Node for Docker, Kubernetes, Swarm, and ARM with the latest DevOps practices from a container expert",12/2019,12/29/19
MERN Stack React Node Ecommerce from Scratch to Deployment,www.udemy.com/course/react-node-ecommerce/,Ryan Dhungel,19.99,11.39,4.5(375 ratings),Development,Web Development,Node.Js,"2,258",English,MERN Stack React Node MongoDB powered E-Commerce App with PayPal and Credit Card Payment along with Admin Dashboard,12/2019,12/29/19
MERN Stack - React Node from Scratch Building Social Network,www.udemy.com/course/node-react/,Ryan Dhungel,19.99,11.39,4.4(405 ratings),Development,Web Development,Node.Js,"6,875",English,Master MERN Stack from Scratch while building awesome Social Network. Covers entire Front/Backend Database & Deployment.,12/2019,12/29/19
Learn Web Scraping with NodeJs in 2019 - The Crash Course,www.udemy.com/course/nodejs-web-scraping/,Grohs Fabian,104.99,11.39,4.7(250 ratings),Development,Web Development,Node.Js,"1,732",English,"Learn and be great at Web Scraping with NodeJs and tools like: Puppeteer by Google, Request, Cheerio, NightmareJs.",5/2019,12/29/19
The Complete Vue JS Developer Course – inc. Vue JS 2!,www.udemy.com/course/vue-js-2-the-full-guide-by-real-apps-vuex-router-node/,Filip Jerga,179.99,11.39,4.6(116 ratings),Development,Web Development,Vue JS,"1,342",English,"Build real web apps with Vuex, Router, Node! Master Vue Js and Vue JS 2!",8/2019,12/29/19
Node.js Unit Testing In-Depth,www.udemy.com/course/nodejs-unit-testing-in-depth/,Murtez Alrohani,89.99,11.39,4.6(366 ratings),Development,Software Testing,Node.Js,"25,630",English,"âA focused, in-depth look into Node.js unit testing, from absolute beginner to very advanced.",7/2019,12/29/19
Nodejs Express - unit testing/integration tests with Jest,www.udemy.com/course/nodejs-unit-testing-and-integration-testing-with-express-and-jest/,Stefan Hyltoft,199.99,11.39,4.2(65 ratings),Development,Web Development,Node.Js,"2,769",English,"Learn to build a full CRUD REST API with Nodejs using TDD in Jest in JavaScript ES6, with unit test and integration test",11/2019,12/29/19
Learn Nodejs by building 12 projects,www.udemy.com/course/learn-nodejs-by-building-10-projects/,Eduonix Learning Solutions,49.99,11.39,"4.2(1,692 ratings)",Development,Web Development,Node.Js,"13,143",English,Become an Expert Nodejs Developer While Building Real World Applications,12/2018,12/29/19
"Node, SQL, & PostgreSQL - Mastering Backend Web Development",www.udemy.com/course/node-postgresql/,David Joseph Katz,99.99,11.39,4.4(555 ratings),Development,Web Development,Node.Js,"3,164",English,"Boost your Node, Express, SQL, PostgreSQL and Backend Development Skills! NodeJS, Databases, Express, JS, ES6, + more!",11/2017,12/29/19
NestJs: Modern ways to build APIs with Typescript and NestJs,www.udemy.com/course/build-apis-with-nestjs/,Haider Malik,199.99,11.39,4.1(12 ratings),Development,Web Development,Node.Js,"4,484",English,"Step by Step guide to build Restful and GraphQL APIs with Node.Js, Nest.Js, MongoDB, Mysql, Postgres, and Typescript etc",10/2019,12/29/19
Node.js for Beginners - Become a Node.js Developer + Project,www.udemy.com/course/nodejs-for-beginners-become-a-nodejs-developer/,Edwin Diaz,199.99,11.39,4.3(724 ratings),Development,Web Development,Node.Js,"7,777",English,Node.js for Beginners: learn everything you need to become a Node.js Developer with practical exercises & projects,12/2019,12/29/19
Understanding NPM - Node.js Package Manager,www.udemy.com/course/understanding-npm/,Bogdan Stashchuk,129.99,11.39,4.5(243 ratings),Development,Web Development,Node.Js,"17,167",English,"Understand and practice NPM. Learn how to use NPM in Node.js, how to install NPM packages, how to configure NPM scripts.",12/2019,12/29/19
Node with SocketIO: Build A Full Web Chat App From Scratch,www.udemy.com/course/node-with-socketio-build-a-full-web-chat-app-from-scratch/,Uzochukwu Eddie Odozi,84.99,11.39,4.2(192 ratings),Development,Web Development,Node.Js,"1,616",English,"Build A Complete Chat App With Private and Group Chat Functionalities Using NodeJS, SocketIO, MongoDB, Express",7/2019,12/29/19
Complete back end development with NodeJS with projects,www.udemy.com/course/complete-back-end-development-with-nodejs-projects/,Igneus Technologies,199.99,11.39,4.6(62 ratings),Development,Web Development,Node.Js,314,English,"Learn Javascript, NodeJS, Express, passportjs, mongodb along with various projects",11/2018,12/29/19
All about NodeJS,www.udemy.com/course/all-about-nodejs/,Sachin Bhatnagar,49.99,11.39,"4.3(1,394 ratings)",Development,Web Development,Node.Js,"11,562",English,Create & Deploy High Performance Node JS Apps on the Cloud and More !,8/2019,12/29/19
NodeJS with SQL Web Development Course,www.udemy.com/course/nodejs-with-sql/,Luis Ramirez Jr,199.99,11.39,3.7(129 ratings),Development,Web Development,Node.Js,774,English,Learn how to build real world web applications with NodeJS and SQL using the latest features of JavaScript.,1/2019,12/29/19
Build NodeJS applications with Mongodb,www.udemy.com/course/node-js-mongo-db-2018/,Kati Frantz,199.99,11.39,4.5(625 ratings),Development,Web Development,Node.Js,"21,632",English,"Learn to build fullstack web applications with the most popular server side framework, NodeJS",9/2018,12/29/19
Building Microservices with Node.js,www.udemy.com/course/building-microservices-with-nodejs/,Packt Publishing,124.99,11.39,3.5(95 ratings),Development,Web Development,Node.Js,317,English,"Build maintainable, testable & scalable Microservices with Node.js.",8/2018,12/29/19
The Serverless Framework with Node.js & AWS,www.udemy.com/course/the-serverless-framework-with-nodejs-aws/,Loren Stewart,119.99,13.19,4.3(264 ratings),Development,Web Development,Amazon AWS,"1,855",English,Quickly Code and Deploy Serverless Functions,10/2018,12/29/19
Build a Stock Market Web App With Node and Javascript,www.udemy.com/course/build-a-stock-market-web-app-with-node-and-javascript/,John Elder,199.99,11.39,4.6(31 ratings),Development,Web Development,Node.Js,"3,590",English,Learn Web Development With Node JS - Javascript - and Express JS!,11/2019,12/29/19
Node.js Design Patterns,www.udemy.com/course/nodejs-design-patterns/,Packt Publishing,124.99,11.39,4.7(19 ratings),Development,Web Development,Node.Js,148,English,Write efficient and resilient Node.js applications using industry-standard software design patterns,3/2019,12/29/19
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,www.udemy.com/course/build-an-amazon-clone-nodejs-stripe-elasticsearch/,Arash Yahya,19.99,11.39,4.2(447 ratings),Development, Web Development,MongoDB,"3,130",English,Learn how to use Javascript Serverside Nodejs to build Amazon Clone,2/2016,12/29/19
Mastering Node.js 12.x,www.udemy.com/course/mastering-nodejs-12x/,Packt Publishing,124.99,11.39,4.6(35 ratings),Development,Web Development,Node.Js,235,English,Your one-stop solution to getting ahead with Node.js 12.x,3/2019,12/29/19
Node.js REST API with Express & MongoDB - Solid Architecture,www.udemy.com/course/nodejs-rest-api-jwt-security-mongodb-complete-guide/,Rapid Dev Pro,29.99,11.39,4.5(79 ratings),Development,Web Development,Node.Js,359,English,"Build MVC Rest API with Node.js, Express & MongoDB. Secure REST API with JWT, document API with Swagger, Mongoose ODM",10/2019,12/29/19
Develop Discord Bots in nodejs Complete course,www.udemy.com/course/discord-bots-development-in-nodejs-for-beginners/,Erik Petersson,199.99,11.39,4.2(63 ratings),Development,Software Engineering,Node.Js,"6,595",English,Learn how to make 10+ advanced and awesome Discord bots,8/2019,12/29/19
"Top Web Development Bundle: Django, Ruby on Rails, Node",www.udemy.com/course/ultimate-web-development-bundle-django-ruby-on-rails-node/,John Elder,199.99,11.39,4.5(13 ratings),Development,Web Development,Django,"4,606",English,"Learn The Three Most Popular Web Development Frameworks! Django and Python, Ruby on Rails, and Node and Javascript!",11/2019,12/29/19
Fullstack Node.js and Express Bootcamp with Real Projects,www.udemy.com/course/fullstack-nodejs-and-express-bootcamp-with-real-projects/,Ebenezer Ogbu,199.99,11.39,4.7(14 ratings),Development,Web Development,Node.Js,62,English,"Learn How to Build Fullstack Web Applications Using Node, Express, Sequelize, Nunjucks, HTML, CSS, Bootstrap, JavaScript",9/2019,12/29/19
