Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
HOW TO PAINT FROM BEGINNER TO MASTER,www.udemy.com/course/how-to-paint-from-beginner-to-master/,Joseph Patric Daniels,179.99,11.99,4.6(918 ratings),Lifestyle,Arts & Crafts,Oil Painting,"6,130",English,Oil Painting For All Skill Levels,8/2019,12/31/19
Impressionism - Paint this Italy Scene in Oil or Acrylic,www.udemy.com/course/impressionism-paint-this-italy-scene-in-oil-or-acrylic/,Christopher Clark,39.99,11.99,4.2(221 ratings),Lifestyle,Arts & Crafts,Acrylic Painting,"1,602",English,Learn Impressionism techniques by creating this Italian street painting. For total beginner through advanced painters.,12/2016,12/31/19
Oil Painting Master Series,www.udemy.com/course/oil-painting-master-series/,Matthew Fussell,29.99,11.99,4.0(388 ratings),Lifestyle,Arts & Crafts,Oil Painting,"2,657",English,A complete course for artists wishing to get started with oil painting or further their skills and knowledge.,8/2014,12/31/19
Beginning Oil Painting: A Simple Approach for Rapid Success,www.udemy.com/course/mikecallahan_beginningoilpainting/,Mike Callahan,79.99,11.99,4.8(56 ratings),Lifestyle,Arts & Crafts,Oil Painting,264,English,Quickly gain basic oil painting skills with this simple approach - start creating your own original art with confidence,9/2019,12/31/19
Oil Painting - Learn The Zorn Limited Color Palette,www.udemy.com/course/oil-painting-learn-the-zorn-limited-color-palette/,Waltteri Reunamo,59.99,11.99,4.0(31 ratings),Lifestyle,Arts & Crafts,Oil Painting,"1,095",English,Improve your portrait oil painting with this limited color palette used by professional painters all around the world.,12/2019,12/31/19
How to Add Light to Your Landscape Painting,www.udemy.com/course/how-to-add-light-to-your-landscape-painting/,Malcolm Dewey,34.99,11.99,4.7(61 ratings),Lifestyle,Arts & Crafts,Oil Painting,555,English,A Detailed Lesson into Color and Light Effects in Landscape Painting,8/2018,12/31/19
"Oil Painting For Beginners, Use Layers In Your Oil Painting",www.udemy.com/course/oil-painting-technique-revealed-use-layers-in-your-painting/,Rob Cassie,59.99,11.99,4.1(10 ratings),Lifestyle,Arts & Crafts,Oil Painting,871,English,Complete Your Own Oil Painting Using Basic Skills And Layering And Create An Oil Painting To Be Proud Of.,6/2018,12/31/19
Water Mixable Oil Painting Projects,www.udemy.com/course/water-mixable-oil-paint-course/,Rod Moore,99.99,11.99,5.0(1 rating),Lifestyle,Arts & Crafts,Oil Painting,31,English,3 Full Length Water Mixable Oil Painting Projects For Beginners. Learn New Water Mixable Oil Painting Techniques,7/2019,12/31/19
Complete Guide To Realistic Oil Painting - Part 1,www.udemy.com/course/complete-guide-to-realistic-oil-painting/,Maurizio De Angelis,109.99,11.99,3.0(1 rating),Lifestyle,Arts & Crafts,Oil Painting,16,English,Learn how to achieve realistic oil painting with this step-by-step course,11/2019,12/31/19
Palette Knife Oil Painting Techniques,www.udemy.com/course/oil-painting-with-a-palette-knife/,Heith M Vierow,19.99,11.99,0.0(0 ratings),Teaching & Academics,Other Teaching & Academics,Oil Painting,10,English,Painting a Shadowy Windmill by the Stream,5/2019,12/31/19
Still Life Oil Painting for Beginners,www.udemy.com/course/still-life-oil-painting-for-beginners/,Jerry Jiao,49.99,11.99,4.5(15 ratings),Lifestyle,Arts & Crafts,Oil Painting,639,English,"Still life painting, the easy methods and professional quality",4/2018,12/31/19
"Use palette knife, easy and impressive",www.udemy.com/course/use-palette-knife-easy-and-impressive/,Le Meily,19.99,11.99,4.0(1 rating),Lifestyle,Arts & Crafts,Oil Painting,26,English,oil painting course,7/2018,12/31/19
Beginner Impressionism Seascape Painting Water Mixable Oil,www.udemy.com/course/beginner-impressionism-seascape-painting-water-mixable-oil/,Kellie Chasse,39.99,11.99,4.6(7 ratings),Lifestyle,Arts & Crafts,Oil Painting,62,English,"Simple Project for Beginner Oil Painters, step by step, impasto seascape palette knife painting easy clean up .",12/2019,12/31/19
Non-Toxic Oil Painting-Paint a Rose,www.udemy.com/course/water-soluble-oil-painting-for-beginners-part-1/,Filip Gherghisan,29.99,11.99,4.1(4 ratings),Lifestyle,Arts & Crafts,Oil Painting,360,English,Learn the easiest way to oil paint (oil painting with water),12/2017,12/31/19
Oil Pastel Paintings,www.udemy.com/course/oil-pastel-paintings/,Kamna Kundal,19.99,11.99,4.0(8 ratings),Lifestyle,Arts & Crafts,Oil Painting,"2,226",English,Advanced Course for Beginners,9/2019,12/31/19
Introduction to Oil Painting,www.udemy.com/course/introduction-to-oil-painting/,Ashleigh Smith,39.99,11.99,3.8(8 ratings),Lifestyle,Arts & Crafts,Oil Painting,152,English,Beginners guide to Oil Painting,3/2018,12/31/19
Oil & Acrylic Painting - Tuscany Impressionist Landscape,www.udemy.com/course/painting-course-impressionist-landscape-in-oil-or-acrylic/,Rod Moore,39.99,11.39,4.0(6 ratings),Lifestyle,Arts & Crafts,Acrylic Painting,47,English,Painting Course in Oils or Acrylic paint exploring Impressionism Techniques in landscape painting,2/2018,12/31/19
Sunrises - An Oil Painting Lesson,www.udemy.com/course/sunrises-an-oil-painting-lesson/,Timothy Borkert,19.99,11.39,4.2(4 ratings),Lifestyle,Arts & Crafts,Oil Painting,23,English,Learn to paint beautiful sunrises and sunsets with oil paints,5/2018,12/31/19
Fine Art: Painting A Landscape With Oil Colors,www.udemy.com/course/painting-a-landscape-with-oil-colors/,Mandar Marathe,59.99,11.39,4.5(3 ratings),Lifestyle,Arts & Crafts,Oil Painting,28,English,My simple process of landscape painting with oil colors,4/2017,12/31/19
The Elephant Tree - Beginner Oil Painting Lesson,www.udemy.com/course/the-elephant-tree-beginner-oil-painting-lesson/,Timothy Borkert,19.99,11.39,4.8(6 ratings),Lifestyle,Arts & Crafts,Oil Painting,597,English,"Paint ""The Elephant Tree"" and learn how to paint with oils (works with acrylics too!)",9/2018,12/31/19
How To Paint A Beautiful Morning Landscape In Oil,www.udemy.com/course/how-to-paint-a-beautiful-morning-landscape-in-oil/,Mandar Marathe,59.99,11.39,4.4(2 ratings),Lifestyle,Arts & Crafts,Oil Painting,18,English,From planning a painting using 9 parameters to painting it!,1/2018,12/31/19
Photo To Painting A Landscape In Oil - Contemplation,www.udemy.com/course/photo-to-landscape-painting-in-oil/,Mandar Marathe,59.99,11.39,0.0(0 ratings),Lifestyle,Arts & Crafts,Oil Painting,6,English,"Step By Step Composition, Color Mixing and Painting",11/2018,12/31/19
PAINT IN OILS... A  REALISTIC  STILL LIFE... STEP BY STEP,www.udemy.com/course/paint-in-oils-a-realistic-still-life-with-dr-michael-sullo/,Dr. Michael sullo,59.99,11.39,0.0(0 ratings),Teaching & Academics,Humanities,Oil Painting,4,English,"DR. MICHAEL SULLO Teaches you, his student how to draw in one point perspective, AND PAINT IN THE EUROPEAN TECHNIQUE",3/2019,12/31/19
Finger painting with oil paint - Seaside Flowers,www.udemy.com/course/finger-painting-with-oil-paint-seaside-flowers/,Angie Noll,19.99,11.39,4.7(2 ratings),Lifestyle,Arts & Crafts,Oil Painting,10,English,Use your fingers to paint a gorgeous seaside scene in oil paint,11/2018,12/31/19
Painting in Oils with Michael Schutte,www.udemy.com/course/painting-in-oils-with-michael-schutte/,Michael Schutte,19.99,11.39,4.5(4 ratings),Lifestyle,Arts & Crafts,Oil Painting,11,English,Learn the Techniques of the Dutch Masters,4/2019,12/31/19
"Painting in Oils with Michael Schutte, Chrome Island",www.udemy.com/course/painting-with-michael-schutte-chrome-island/,Michael Schutte,19.99,11.39,0.0(0 ratings),Teaching & Academics,Other Teaching & Academics,Oil Painting,4,English,Painting in Oils with Michael Schutte. The Lighthouse on Chrome Island Canada BC,6/2019,12/31/19
Changing colors - A Photo to Oil Painting Workshop,www.udemy.com/course/changing-colors-a-photo-to-oil-painting-workshop/,Mandar Marathe,59.99,11.39,0.0(0 ratings),"Lifestyle
 ",Arts & Crafts,Oil Painting,13,English,Experience the transformation of a simple photo to an artwork!,12/2017,12/31/19
How To Paint Hyper Realistic Oil Painting of Leafs,www.udemy.com/course/how-to-paint-hyper-realistic-oil-painting-of-leafs/,Narendra Subhashchandra Limaye,19.99,11.39,2.5(7 ratings),Personal Development,Creativity,Oil Painting,"1,015",English,How To Do Realistic Oil Paintings,4/2019,12/31/19
Learn From Monet - Paint Water Lilies - Impressionism,www.udemy.com/course/learn-from-monet-paint-water-lilies-impressionism/,Elvira Byrnes,84.99,11.39,3.0(2 ratings),Personal Development,Creativity,Impressionism,4,English,Step by step instructions with Elvira Byrnes how to sketch in oil from a Monet Water Lilies painting,10/2018,12/31/19
Finger Painting with Oils - Window Box,www.udemy.com/course/finger-painting-with-oils-window-box/,Angie Noll,19.99,11.39,5.0(1 rating),Lifestyle,Arts & Crafts,Oil Painting,7,English,Explore this wonderful medium by using your fingertips to paint with.,10/2018,12/31/19
"Start Oil painting seascape, sky, clouds & flying bird",www.udemy.com/course/starting-oil-painting-seascape-sky-clouds-flying-bird/,Goutami Mishra,19.99,11.39,0.0(0 ratings),Lifestyle,Arts & Crafts,Oil Painting,0,English,"How to start oil painting and creating realistic seascape, sea waves, sky clouds and a flying seagull with every detail",12/2019,12/31/19
