Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Udemy Masters: Learn Online Course Creation - Unofficial,www.udemy.com/course/online-course-masters/,Phil Ebiner,199.99,11.99,"4.6(1,837 ratings)",Teaching & Academics,Online Education,Online Course Creation,"10,482",English,"Gain freedom with your own online courses & Udemy courses: idea, validation, production, & promotion. (Unofficial)",11/2019,12/29/19
Build a Six-Figure Online Business Selling Online Courses,www.udemy.com/course/create-and-sell-your-own-online-course/,Eli Natoli,94.99,11.99,4.6(398 ratings),Teaching & Academics,Online Education,Online Business,"4,858",English,Course creation: Learn exactly how to build a six-figure online business by creating and selling online courses.,8/2019,12/29/19
How to Create an Awesome Online Course,www.udemy.com/course/how-to-create-an-awesome-online-course/,Miguel Hernandez,199.99,15.59,"4.5(1,558 ratings)",Teaching & Academics,Online Education,Online Course Creation,"15,337",English,Miguel Hernandez reveals all the secrets he uses to make over 90K a year teaching online,11/2018,12/29/19
Udemy Course Creation for Passive Income (Unofficial),www.udemy.com/course/udemy-masterclass-passive-income/,Louise Croft,199.99,11.39,4.6(584 ratings),Teaching & Academics,Online Education,"Passive Income
 ","2,065",English,"Udemy course creation for earning in your sleep, even without Udemy teaching experience. Practical & honest (unofficial)",7/2019,12/29/19
Teach English Online: find students and start teaching now,www.udemy.com/course/teach-english-online/,Charles Cornelius MA CertEd CELTA,199.99,11.39,4.7(647 ratings),Teaching & Academics,Online Education,Teaching English,"3,721",English,The complete guide for anyone who wants to start a freelance career teaching English online,12/2019,12/29/19
"How to Create, Market & Sell Online Courses",www.udemy.com/course/how-to-create-market-and-sell-online-courses/,Instructor HQ,199.99,11.99,4.5(92 ratings),Teaching & Academics,Online Education,Online Course Creation,754,English,Daniel Scott details the steps he uses to make 100k per month creating and selling online courses.,5/2019,12/29/19
Udemy Mastery: How to create 1 course per day! (Unofficial),www.udemy.com/course/udemy-mastery-how-to-create-1-course-per-day-unofficial/,Business Hero,199.99,11.39,4.5(249 ratings),Teaching & Academics,Online Education,Online Course Creation,"2,478",English,#1 Udemy Course Creation Masterclass: The complete course for everyone who wants to create 1 course/day (Unofficial),11/2017,12/29/19
Online Course Creation (No. 1) - The 1-Week Plan,www.udemy.com/course/online-course-creation/,Cha~zay Sandhriel Ph.D.,179.99,11.39,4.8(194 ratings),Teaching & Academics,Online Education,Online Course Creation,"1,057",English,Let's create your first online course in one week. This step-by-step plan shows you how to go from planning to publish.,10/2019,12/29/19
Create The Best Online Courses Without Being On Camera,www.udemy.com/course/create-the-best-online-courses-without-being-on-camera/,Pat Parra,49.99,12.50,4.5(88 ratings),Teaching & Academics,Online Education,Online Course Creation,"2,841",English,Learn how to create online courses without being on camera and still get the best ratings in your niche,9/2019,12/29/19
Udemy Masters 2016: Online Course Creation - Unofficial,www.udemy.com/course/unofficial-teach-online-courses-complete-udemy-course-creation-guide/,Phil Ebiner,29.99,11.39,4.9(916 ratings),Teaching & Academics,Online Education,Online Course Creation,"40,167",English,Learn exactly how to create and sell online courses and have massive success with your own Udemy courses. (Unofficial),1/2017,12/29/19
Udemy Course Creation: Launching a Udemy Course (Unofficial),www.udemy.com/course/online-course-launch/,Phil Ebiner,199.99,11.39,4.8(80 ratings),Teaching & Academics,Online Education,Online Course Creation,"9,127",English,Have your best Udemy course launch ever with this 30-day blueprint for launching a Udemy course! (Unofficial),1/2018,12/29/19
Let's Create a Course in Articulate Storyline 3 / 360,www.udemy.com/course/lets-create-a-course-in-articulate-storyline-3-360/,Thor Melicher,49.99,11.99,4.4(509 ratings),Teaching & Academics,Online Education,Articulate Storyline,"1,847",English,Learn By Doing: Create a Course from Start to Finish in Articulate Storyline 3 / 360,11/2019,12/29/19
