Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Options Trading MasterClass: Options With Technical Analysis,www.udemy.com/course/option-trading-option-strategies-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,4.5(947 ratings),Personal Development,Personal Finance,Options Trading,"8,223",English,"Options Trading+++Strategies , Options Basics & Greeks (A 3-Course Bundle) For Stock & Day Trading By Technical Analysis",12/2019,12/29/19
Options Trading Basics (3-Course Bundle),www.udemy.com/course/learn-options-trading-courses/,Hari Swaminathan,0.0,49.99,"4.5(4,116 ratings)",Business,Finance,Options Trading,"25,760",English,"A bundle combines 1)Intro to Call and Put Options 2) Time decay, Implied Volatility, Greeks 3) Call and Puts Live trades",12/2019,12/29/19
Options Trading - How to Win with Weekly Options,www.udemy.com/course/work-from-home-setup-your-own-options-trading-business/,Jeff Tompkins,114.99,11.99,"4.2(2,216 ratings)",Business,Finance,Options Trading,"12,575",English,An Exact Blueprint for Options Trading Success,2/2019,12/29/19
How to Win 97% of Your Options Trades,www.udemy.com/course/how-to-win-97-percent-of-your-trades/,Jeff Tompkins,124.99,11.39,"4.3(1,243 ratings)",Business,Finance,Options Trading,"9,423",English,Trade Equity and ETF Options Like a Pro!,10/2019,12/29/19
Options Trading for Rookies:  Understand Options Completely,www.udemy.com/course/complete-course-introduction-to-option-trading/,Kal Zurn,149.99,11.39,4.8(632 ratings),Business,Finance,Financial Trading,"6,048",English,"Part 1: Learn everything you need to know about options, what they are, how they work, buying vs. selling and more!",12/2019,12/29/19
The Complete Options Trading Course (New 2019),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,199.99,17.39,4.4(421 ratings),Personal Development,Personal Finance,Binary Options,"2,397",English,"Profitable Options Trading Strategies For Trading Stock Options, Binary Options, Call & Put Using Technical Analysis",12/2019,12/29/19
How I Make Consistent Returns Trading Options,www.udemy.com/course/how-i-make-15-per-month-trading-options/,Stephen Burnich,199.99,11.39,4.7(535 ratings),Business,Finance,Options Trading,"5,270",English,"Learn to create consistent returns, trading one of our core strategies - Iron Condors",10/2019,12/29/19
Options Trading for Rookies: Basic Stock Options Strategies,www.udemy.com/course/basic-option-strategies-trading-vertical-options/,Kal Zurn,94.99,11.39,4.9(254 ratings),Business,Finance,Options Trading,"5,714",English,"Part 2: Learn to Trade Verticals, Iron Condors and the Five Golden Rules of Option Trading",12/2019,12/29/19
Options Trading for Rookies: Complete Guide to Stock Options,www.udemy.com/course/option-trading-for-rookies-the-complete-guide-to-options/,Kal Zurn,59.99,11.39,4.7(188 ratings),Personal Development,Personal Finance,Options Trading,"12,407",English,"Learn basic and advanced option trading strategies in one course, including covered calls, naked puts & iron condors",12/2019,12/29/19
Option Spreads and Credit Spreads Bundle,www.udemy.com/course/option-spreads-and-credit-spreads-bundle/,Hari Swaminathan,0.0,49.99,4.5(469 ratings),Business,Finance,Options Trading,"5,137",English,"This 2-course bundle on Option spreads and Credit Spreads surgery is the bedrock of stable ""Monthly Strategies""",12/2019,12/29/19
Options Trading: Technical Analysis For Options Trading 2019,www.udemy.com/course/technical-analysis-for-options-trading/,Wealthy Education,199.99,11.39,4.5(163 ratings),Personal Development,Personal Finance,Options Trading,"1,188",English,Technical Analysis For Stock Options & Binary Options Trading - How to Win The Stock Trading Game Like a Pro!,12/2019,12/29/19
Options Trading for Rookies: Make & Manage Profitable Trades,www.udemy.com/course/option-trading-for-rookies-make-and-manage-profitable-option-trades/,Kal Zurn,94.99,11.39,4.8(152 ratings),Business,Finance,Financial Trading,"2,737",English,"Part 3: Learn to make and manage profitable trades, find stocks to trade, use correct position sizing, liquidity & more",12/2019,12/29/19
Master the ThinkorSwim Stocks and Options Trading Platform,www.udemy.com/course/master-the-thinkorswim-stocks-and-options-trading-platform/,Hari Swaminathan,0.0,199.99,4.8(42 ratings),Business,Finance,Options Trading,197,English,"Unravel the ThinkorSwim platform by TD Ameritrade, a favorite among Option traders, but also a very complex platform",12/2019,12/29/19
The Advanced Options Trading Course (New 2019),www.udemy.com/course/the-advanced-options-trading-course/,Wealthy Education,199.99,11.39,4.4(18 ratings),Personal Development,Personal Finance,Options Trading,354,English,"Advanced Options Trading Strategies For Trading Stock Options, Binary Options, Call & Put Using Technical Analysis",12/2019,12/29/19
Options Trading for Rookies: Advanced Iron Condor Strategies,www.udemy.com/course/option-trading-for-rookies-advanced-option-strategies-iron-condor/,Kal Zurn,149.99,11.39,4.7(60 ratings),Business,Other,Options Trading,894,English,Learn to trade multiple variations of Iron Condors option trading: the six winning Iron Condor option strategies,12/2019,12/29/19
Trading Options For Consistent Returns: Calendar Spreads,www.udemy.com/course/trading-options-for-consistent-returns-calendar-spreads/,Stephen Burnich,199.99,11.39,4.7(129 ratings),Business,Finance,Options Trading,"1,779",English,Learn to create consistent monthly returns trading Calendar Spreads,10/2019,12/29/19
How To Trade Options On Earnings For Quick Profits,www.udemy.com/course/how-to-trade-options-on-earnings-for-quick-profits/,Stephen Burnich,199.99,11.39,4.9(9 ratings),Business,Finance,Options Trading,202,English,Learn To Profit From Stock's Earnings Announcements,10/2019,12/29/19
Day trading Options: The momentum strategy,www.udemy.com/course/garcapitaloptions/,Carlos Garcia,0.0,199.99,4.8(67 ratings),Business,Strategy,Options Trading,213,English,Learn how to day trade stock options using momentum strategy!,9/2018,12/29/19
Options Trading: Candlestick Hacks For Options Trading 2019,www.udemy.com/course/candlestick-patterns-for-options-trading/,Wealthy Education,199.99,11.39,4.3(92 ratings),Personal Development,Personal Finance,Candlestick Trading,751,English,Technical Analysis For Stock Options & Binary Options Trading - Candlestick Trading Hacks For Profitable Stock Trading,12/2019,12/29/19
Stock Options Strategy: Beginner level / low risk,www.udemy.com/course/options-investment-strategy-on-volatility-vxx/,"Pedro Branco (Book Author, Options Trader, Instructor)",19.99,11.39,4.7(162 ratings),Personal Development,Personal Finance,Options Trading,659,English,"An easy and highly profitable weekly income VXX options trading strategy, combined with an hedging strategy!",11/2019,12/29/19
Trading Options With Money Flow,www.udemy.com/course/trading-options-using-money-flow/,Stephen Burnich,199.99,11.39,4.5(81 ratings),"Business
 ",Finance,Options Trading,"1,677",English,How To Super Charge Your Trading Using Institutional Money Flow,10/2019,12/29/19
Master Iron Condors - Double the credit for half the risk,www.udemy.com/course/iron-condor-options-trading-strategy/,Hari Swaminathan,0.0,29.99,4.0(284 ratings),Business,Finance,Options Trading,"2,311",English,"The Iron Condor is one of the most popular Options strategies, and it is the undisputed ""King of Time Decay strategies"".",12/2019,12/29/19
How I Make My Profits Fly High Trading Butterfly Spreads,www.udemy.com/course/butterfly-spreads/,Stephen Burnich,199.99,11.39,4.5(9 ratings),Business,Finance,Financial Trading,94,English,Create Consistency Trading Butterfly Spreads,2/2019,12/29/19
Winning Option Strategies For Any Market,www.udemy.com/course/winning-option-strategies-for-any-market/,Stephen Burnich,199.99,11.39,4.6(53 ratings),Business,Finance,Options Trading,"1,386",English,Your Edge For Directional Trading With Options,10/2019,12/29/19
Control any Iron Condor with CondorMAX,www.udemy.com/course/manage-iron-condors-with-condormax/,Hari Swaminathan,0.0,199.99,4.7(24 ratings),Business,Finance,Options Trading,232,English,Elite proprietary intellectual property to trade Iron Condors. Techniques can be applied to credit spreads for a positiv,12/2019,12/29/19
CalendarMAX - Exploit Calendars and Diagonals with an Edge,www.udemy.com/course/calendarmax-exploit-calendars-and-diagonals-edge/,Hari Swaminathan,0.0,199.99,4.8(11 ratings),Business,Finance,Options Trading,133,English,Calendars and Diagonals are probably some of the most under rated strategies in the Options playbook,12/2019,12/29/19
"Generate Passive Income ""daily"" by 4 Option Selling Strategy",www.udemy.com/course/intraday-income-strategy-using-option-selling/,Danish Jamal,124.99,31.25,4.4(11 ratings),Finance & Accounting,Investing & Trading,Options Trading,39,English,Unique income strategy tailored for Intraday making it ideal for small account. Run income strategy like a business.,10/2019,12/29/19
Get the most out of Weekly Options with WeeklyMAX,www.udemy.com/course/weekly-options-with-weeklymax/,Hari Swaminathan,0.0,199.99,4.7(23 ratings),Business,Finance,Options Trading,254,English,Take maximum advantage of the unique features of Weekly Options in a smart way to create a consistent weekly income from,12/2019,12/29/19
The Complete Trading Guide to Commodities Options Selling,www.udemy.com/course/the-complete-trading-guide-to-commodities-options-selling/,Winston Wee,199.99,11.39,4.5(45 ratings),Business,Finance,Options Trading,"1,876",English,"Options Trading - Master the Art of Commodity Options Trading. Learn to Sell Options on Commodities Market, Oil, Gold ..",9/2017,12/29/19
How To Maximize Your Profits Trading Options,www.udemy.com/course/how-to-maximize-your-profits-trading-options/,Stephen Burnich,199.99,11.39,4.3(83 ratings), Business,Finance,Options Trading,"1,647",English,A Step-by-Step Course On Trading High Probability Short Strangles,10/2019,12/29/19
The Wheel Trade Options Trading System - Turbo Charge Method,www.udemy.com/course/the-wheel-trade-options-trading-system-turbo-charge-method/,Winston Wee,199.99,11.39,3.5(30 ratings),Business,Finance,Options Trading,"2,110",English,"Turbo Charge your Naked Put and Covered Call, Double up by selling Both Naked Put and Covered Call at the same time",7/2018,12/29/19
Options Spreads Bundle-  the heart of Options Trading,www.udemy.com/course/options-spreads-explained/,Hari Swaminathan,0.0,39.99,4.6(103 ratings),Business,Finance,Options Trading,992,English,"Master the art of constructing and managing Option spreads, and you have a skill for consistent monthly performance.",12/2019,12/29/19
"Advanced Options Concepts - Probability, Greeks, Simulation",www.udemy.com/course/advanced-options-analysis/,Hari Swaminathan,0.0,29.99,4.1(208 ratings),Business,Finance,Options Trading,"2,015",English,"Deep dive into Probability, Greek subtleties, and Options simulation. Learn how they affect Option prices and strategies",12/2019,12/29/19
"Using ""The Greeks"" To Understand Options",www.udemy.com/course/options-greeks/,Corey Halliday,24.99,11.99,3.6(126 ratings),Business,Finance,Options Trading,"2,508",English,Trading options without an understanding of the greeks would be like trying to fly a plane without any instruments,7/2016,12/29/19
Options 80% Plus Win Rate - Broken Wing Butterfly Strategy,www.udemy.com/course/high-probability-butterfly-spreads/,Steve Liguori,39.99,11.99,4.0(25 ratings),Business,Finance,Options Trading,208,English,Easy to Manage - Reliable Income Strategy,4/2019,12/29/19
Iron Condor System for Today's Market,www.udemy.com/course/iron-condor-system-for-todays-market/,Steve Liguori,129.99,11.99,4.6(38 ratings),Business,Finance,Options Trading,224,English,Clear Your Path to Success and Overcome Your Trading Obstacles,4/2019,12/29/19
"Backspreads, Diagonals and Butterflies - Advanced Strategies",www.udemy.com/course/calendars-diagonals-butterfly-spreads/,Hari Swaminathan,0.0,29.99,3.6(84 ratings),Business,Finance,Options Trading,"1,219",English,"This course combines 3 advanced spreads - Backspreads, Diagonals (and Double diagonals), and Butterfly spreads.",12/2019,12/29/19
Options Trading for Small Account - ETF SPY Strategy System,www.udemy.com/course/options-trading-for-small-account-etf-spy-strategy-system/,Winston Wee,99.99,11.99,4.0(39 ratings),Business,Finance,Options Trading,"2,228",English,A Strategy that work for all market condition - Earn Time Decay with this strategy and be in and out within 10 - 15 days,3/2018,12/29/19
Learn Options on Futures for Hedging Options and Stocks,www.udemy.com/course/learn-options-on-futures-for-hedging-options-and-stocks/,Hari Swaminathan,0.0,29.99,4.1(16 ratings),Business,Finance,Options Trading,261,English,Advanced hedging techniques to protect portfolios from overnight events that can impact Markets. Can be traded by itself,12/2019,12/29/19
Technical Analysis tools for Stocks and Options trading,www.udemy.com/course/technical-analysis-tools-for-stock-trading-and-options-trading/,Hari Swaminathan,0.0,19.99,4.6(163 ratings),Business,Finance,Stock Trading,"3,941",English,In-depth look at various technical analysis tools used in Stock trading and/or Options trading to give traders an edge.,12/2019,12/29/19
"Options Foundation - Time Decay, Implied Volatility, Greeks",www.udemy.com/course/learn-options-trading/,Hari Swaminathan,0.0,29.99,4.7(62 ratings),Business,Finance,Options Trading,652,English,"Option prices move due to 3 factors. Price, Implied Volatility and Time decay. Critical course to complete Option theory",12/2019,12/29/19
Weekly Options and study of Options expiration dynamics,www.udemy.com/course/weekly-options/,Hari Swaminathan,0.0,29.99,4.2(114 ratings),Business,Finance,Options Trading,"1,198",English,Options behavior in the final 2 weeks before expiry is dramatic. This course analyzes Weekly Options until the final day,12/2019,12/29/19
Option selling trading as income source. Beginners friendly,www.udemy.com/course/option-trading/,Alex Gorbunov,194.99,11.99,4.4(70 ratings),Business,Finance,Options Trading,"1,394",English,Learn how to use option time decay in this strategy. 14 days live run with real profits included!!,11/2015,12/29/19
Advanced Butterfly Spreads - High Reward Options Strategies,www.udemy.com/course/advanced-butterfly-spread-option-strategies/,Hari Swaminathan,0.0,29.99,3.6(31 ratings),Business,Finance,Options Trading,232,English,"The Butterfly Option Spread has limited attractive features, but it's a very flexible strategy. Learn Exotic Butterflies",12/2019,12/29/19
How To Trade Options On Futures For Max Leverage,www.udemy.com/course/how-to-trade-options-on-futures-for-max-leverage/,Stephen Burnich,199.99,11.99,3.9(3 ratings),Business,Finance,Options Trading,43,English,Your Complete Step-by-Step Guide To Trading Options On Futures,10/2019,12/29/19
Non Directional Weekly Options Trading System - ETF & Emini,www.udemy.com/course/etf-stock-options-non-directional-weekly-trading-system/,Winston Wee,199.99,11.99,4.4(67 ratings),Business,Finance,Options Trading,"1,217",English,The Art of Non Directional Trading using ETF SPY and Emini S&P 500 Options to gain consistent result,1/2017,12/29/19
Intermediate Options trading concepts for Stocks and Options,www.udemy.com/course/intermediate-options-trading-concepts-for-stocks-and-options-traders/,Hari Swaminathan,0.0,19.99,4.1(64 ratings),Business,Finance,Stock Trading,"2,213",English,A collection of the more subtle but important Options concepts that any Stock or Options trader will benefit from.,12/2019,12/29/19
Collection of Advanced Options concepts for Options traders,www.udemy.com/course/advanced-options-concepts-for-options-stock-traders/,Hari Swaminathan,0.0,19.99,4.2(59 ratings),Business,Finance,Options Trading,"2,219",English,"These advanced concepts will enhance your understanding of Options trading, Options market structure and specific topics",12/2019,12/29/19
Why Invest in Stocks? Buy LEAPS Options - It's  Much Cheaper,www.udemy.com/course/why-invest-in-stocks-buy-leaps-its-so-much-cheaper/,Menachem Reinshmidt,199.99,11.99,4.3(33 ratings),Business,Home Business,Options Trading,655,English,Buy exchange traded LEAPS options as a super cheap substitute to stocks. Enhance profitability with covered call selling,9/2016,12/29/19
Condor Broken Wing Butterfly Options Trading Course System,www.udemy.com/course/condor-broken-wing-butterfly-options-trading-course-system/,Winston Wee,199.99,11.99,3.8(23 ratings),Business,Finance,Options Trading,"1,419",English,Options Trading : Construct a credit broken wing butterfly spread and earn from a wide range of price movement.,8/2017,12/29/19
Advanced Butterfly Options Trading Course Strategy System,www.udemy.com/course/advanced-butterfly-options-trading-course-strategy-system/,Winston Wee,199.99,11.99,4.1(29 ratings),Business,Finance,Options Trading,"1,187",English,"Options Trading : Learn to use Advanced Butterfly Spread For Speculative Trade, Adjust and Repair a losing Iron Condor",9/2017,12/29/19
DayTradeMAX system using Options,www.udemy.com/course/daytrademax-system-using-options/,Hari Swaminathan,0.0,199.99,4.8(19 ratings),Business,Finance,Options Trading,191,English,A powerful way to day trade with Options - complete with Risk management techniques,12/2019,12/29/19
