Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update
PHP for Beginners - Become a PHP Master - CMS Project,www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,Edwin Diaz,199.99,13.19,"4.4(14,357 ratings)",Development,Web Development,PHP,"73,694",English,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,10/2019
PHP with Laravel for beginners - Become a Master in Laravel,www.udemy.com/course/php-with-laravel-for-beginners-become-a-master-in-laravel/,Edwin Diaz,149.99,11.99,"4.4(6,923 ratings)",Development,Web Development,Laravel,"29,634",English,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,12/2019
PHP OOP: Object Oriented Programming for beginners + Project,www.udemy.com/course/oop-php-object-oriented-programing-with-project-1-course/,Edwin Diaz,199.99,11.99,"4.5(2,551 ratings)",Development,Web Development,Object Oriented Programming,"16,550",English,PHP OOP: Learn OOP PHP and Take your skills to another level. Make serious money by building awesome applications.,3/2018
Build a Social Network from Scratch: JavaScript PHP + MySQL,www.udemy.com/course/make-a-social-media-website/,Reece Kenney,49.99,11.39,"4.6(1,811 ratings)",Development,Web Development,PHP,"8,508",English,"Learn JavaScript, PHP and MySQL by building the ultimate social network website from scratch! The complete guide!",7/2019
Create a Netflix clone from Scratch: JavaScript PHP + MySQL,www.udemy.com/course/netflix-clone/,Reece Kenney,49.99,11.39,4.8(63 ratings),Development,Web Development,PHP,714,English,"Learn JavaScript, PHP and MySQL by making the ultimate Netflix clone website completely from scratch!",11/2019
The Complete PHP MYSQL Professional Course with 5 Projects,www.udemy.com/course/the-complete-php-mysql-professional-course/,Jazeb Akram,199.99,11.39,"4.2(1,657 ratings)",Development,Web Development,PHP,"41,031",English,Learn PHP MYSQL by building 5 Projects including PHP Regular Expressions & CMS | Become a Full Stack Back-End Developer.,11/2019
Make a Spotify Clone from Scratch: JavaScript PHP and MySQL,www.udemy.com/course/spotify-clone/,Reece Kenney,49.99,11.39,"4.6(1,191 ratings)",Development,Web Development,JavaScript,"6,480",English,"Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide!",7/2019
PHP Unit Testing with PHPUnit,www.udemy.com/course/php-unit-testing/,Dave Hollingworth,124.99,11.39,4.5(482 ratings),Development,Web Development,PHP,"2,192",English,"Unit test your PHP code using the PHPUnit testing framework: find bugs quickly and early, and improve your code quality.",4/2019
PHP for Beginners: How to Build an E-Commerce Store,www.udemy.com/course/php-for-beginners-how-to-build-an-ecommerce-store/,Edwin Diaz,99.99,11.39,"4.5(1,107 ratings)",Development,Web Development,E-Commerce,"9,049",English,PHP E-commerce: in this course you will learn how to make full e-commerce websites to build your own home business.,10/2018
PHP for Beginners,www.udemy.com/course/php-for-beginners-/,Tim Buchalka's Learn Programming Academy,99.99,11.39,4.6(705 ratings),Development,Programming Languages,PHP,"3,821",English,Build a Content Management System from Scratch with PHP and MySQL,12/2019
"Ultimate PHP, CSS And SASS: Enhance Your JavaScript Skills!",www.udemy.com/course/ultimate-php-css-and-sass-enhance-your-javascript-skills/,Rick Sekuloski,199.99,11.39,4.6(39 ratings),Development,Web Development,PHP,400,English,"Ultimate PHP, CSS and Sass create most modern Flexbox, CSS grid and Bootstrap designs. Use Javascript, PHP PDO like pro.",12/2019
Make a Google search engine clone: JavaScript PHP and MySQL,www.udemy.com/course/google-search-engine-clone/,Reece Kenney,49.99,11.39,4.8(264 ratings),Development,Web Development,PHP,"1,914",English,"Learn JavaScript, PHP and MySQL by building your own search engine from scratch! A COMPLETE walkthrough!",6/2018
PHP for Beginners 2019: all PHP code used is fully explained,www.udemy.com/course/learn-php-via-examples-and-mini-tasks/,Patrick at Coding.Academy,199.99,11.39,4.6(594 ratings),Development,Web Development,PHP,"4,651",English,PHP for Beginners: Learn to Code in PHP. Every line of code explained in detail. A true PHP for Beginners Course 2019,8/2019
Learn Object Oriented PHP By Building a Complete Website,www.udemy.com/course/learn-object-oriented-php-by-building-a-complete-website/,Eduonix Learning Solutions,19.99,11.39,"4.2(7,181 ratings)",Development,Web Development,Object Oriented Programming,"111,521",English, Quick and Easy Guide to Master OOPs in PHP,12/2018
"Learn PHP 7, MySQL, Object-Oriented Programming, PHP Forms",www.udemy.com/course/beginners-guide-to-php/,John Morris,99.99,11.39,4.4(267 ratings),Development,Web Development,PHP,"1,397",English,"Build a secure login script, learn object-oriented programming, submit forms to MySQL and more.",2/2018
PHP Login and Registration System - Email Confirm Activation,www.udemy.com/course/php-mysql-login-and-registration-system-with-email-confirm-activation/,Edwin Diaz,99.99,11.39,4.5(628 ratings),Development,Web Development,PHP,"4,338",English,AMAZING complete Login and Registration System in PHP and MySQL by Edwin Diaz,12/2019
Create POS System - Inventory & sales with PHP 7 & adminLTE,www.udemy.com/course/create-pos-system-inventory-sales-with-php7-adminlte/,Juan Fernando Urrego,199.99,11.39,4.2(111 ratings),Development,Web Development,PHP,"1,227",English,Learn how to create a POS system with inventory management and billing using PHP 7 and AdminLTE,3/2019
