Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
PMP Exam Prep Seminar -  PMBOK Guide 6,www.udemy.com/course/pmp-pmbok6-35-pdus/,Joseph Phillips,199.99,13.19,"4.6(34,448 ratings)",Business,Project Management,PMBOK,"106,676",English,PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,11/2019,12/31/19
PMP EXAM PREP-Project Management Professional FULL TRAINING,www.udemy.com/course/pmp-training-for-pmp-certification-pmp-exam/,"Umer Waqar,PMP",199.99,11.39,"4.4(4,383 ratings)",Business,Project Management,PMP,"26,776",English,PMP Certification-Get 35 PDUs-Project Management Professional-Complete PMP Exam Prep-PMP Math-CAPM-PMBOK 6-Pmp exam,12/2019,12/31/19
PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,Technical Institute of America,149.99,16.19,"4.4(1,396 ratings)",Teaching & Academics,Test Prep,PMP,"4,944",English,Get your PMP Certification with a this PMI Accredited PMBOK 6th Edition exam prep course,7/2019,12/31/19
Project Management Professional (PMP)® - 35 Contact Hours,www.udemy.com/course/pmp-certification-complete/,LearnSmart LLC,0.0,199.99,"4.1(4,408 ratings)",Business,Project Management,PMP,"27,436",English,Full Project Management Certification training. Earn all 35 contact hours. Accredited PMI Provider.,10/2017,12/31/19
"PMP Exam Cram Session - PMBOK Guide, 6th Edition",www.udemy.com/course/pmp-exam-cram-session-pmbok6/,Joseph Phillips,99.99,11.39,"4.6(1,666 ratings)",Business,Project Management,PMP,"7,816",English,"PMP Essentials for PMBOK Guide, 6th Edition: Everything You Must Know to Pass the PMP Exam from a PMI REP",11/2019,12/31/19
PMP PMBOK 6 Practice Exams: Set One for PMP Candidates,www.udemy.com/course/pmp_practice_exams_1/,Joseph Phillips,99.99,15.59,4.2(501 ratings),Business,Project Management,PMBOK,"3,887",English,PMP Practice Exams for PMBOK 6: Blast to the PMP,10/2018,12/31/19
PMP Practice Test Exam 2019-PMBOK6,www.udemy.com/course/pmp-practice-test-2019-pmbok6/,Tridib Roy,24.99,11.39,4.6(209 ratings),Teaching & Academics,Test Prep,PMP,"1,338",English,421 Mock Questions Close and familiar to Real PMP exam,12/2019,12/31/19
PMP® Practice Exam 2019,www.udemy.com/course/pmp-practice-exam/,Georgio Daccache™,99.99,14.39,4.2(424 ratings),Business,Project Management,PMP,"2,166",English,"Latest Questions Based on the PMBOKÂ® Guide Exam 6th Edition, and updated for the 2019 PMP Exam! With explanation",11/2019,12/31/19
PMP Exam Preparation Course: 35 Contact Hours for PMI,www.udemy.com/course/pmp-exam-perpetration-course-35-contact-hours-for-pmi/,"Shadi Al Sha'er, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",199.99,11.39,4.6(106 ratings),Business,Project Management,PMP,506,English,PMP Exam Prep Workshop: Earn 35 contact hours by completing this PMP course and guarantee your pass from first trial!,12/2019,12/31/19
"PMP Certification Exam Prep PMBOK 6th Edition, 600 Questions",www.udemy.com/course/pmp-practice-exams-pmbok-guide-6th-edition/,Technical Institute of America,19.99,11.99,4.2(442 ratings),Business,Management,PMBOK,"3,039",English,3 Full Length Mock Exams from a PMI Registered Education Provider,6/2019,12/31/19
PMP® Certification v6: 2 PMP Exams& Detailed PMP Math_14pdus,www.udemy.com/course/pmp-exam-training-project-selection-methods-in-detail/,PMP Sabri C.,184.99,11.39,4.4(764 ratings),Business,Project Management,PMP,"9,198",English,PMP Exam Prep: 2 Realistic PMP Project Management Certification Exams and PMP Math Prep in Detail- PMBOKÂ® v6 compatible,11/2019,12/31/19
PMP Math Prep - PMP Math and Formulas,www.udemy.com/course/pmp-math/,Joseph Phillips,19.99,11.39,4.5(222 ratings),Business,Project Management,PMP,"1,430",English,PMP Success! All the formulas you must know for your PMP exam,2/2019,12/31/19
Project Management Professional (PMP) - 6th Edition,www.udemy.com/course/project-management-professional-pmp-6th-edition/,GreyCampus Inc.,0.0,199.99,4.4(283 ratings),Business,Project Management,PMP,"5,064",English,"""PMP Upgrade"" - A program to pass 6th edition Exams.",5/2018,12/31/19
PMP PMBOK 6 Practice Exams: Set Two for PMP Candidates,www.udemy.com/course/pmp-exams-set-2/,Joseph Phillips,99.99,14.99,4.1(247 ratings),Business,Project Management,PMBOK,"2,393",English,PMP Practice Exams for PMBOK 6: Blast to the PMP,9/2018,12/31/19
PMP PMBOK 6 Vocabulary Exams - All PMP Terms,www.udemy.com/course/pmp_vocabulary_exams/,Joseph Phillips,99.99,14.39,4.6(132 ratings),Business,Project Management,PMP,"1,133",English,PMP Exam Vocabulary: Terms You Must Know to Pass the PMP,8/2018,12/31/19
PMP® Exam Practice Test-1000 questions+ 400 FREE Questions,www.udemy.com/course/pmp-exam-practice-test/,Ranjana Singh,29.99,11.39,3.9(9 ratings),Business,Project Management,PMP,151,English,High Quality PMP questions to conquer the PMPÂ® certification exam|PMP Exam Practice test |Pass PMP exam in 1st attempt.,7/2019,12/31/19
Project Management Professional  : the PMP in Four Weeks,www.udemy.com/course/the-pmp-in-four-weeks/,Marcos Garcia,199.99,11.39,4.4(237 ratings),Teaching & Academics,Teacher Training,Microsoft Project,"2,709",English,"Have you taken a PMP course and found the instructor hard to understand? Unlike those other PMP courses, this course has",3/2018,12/31/19
PMP® Exam Prep 6th ed.: Workshop and 3 Full Practice Exams,www.udemy.com/course/pmp-exam-prep-workshop-and-full-practice-exam/,Paul Boudreau,24.99,11.39,4.5(157 ratings),Business,Project Management,PMP,848,English,How to Get Ready for the PMPÂ® Exam,5/2019,12/31/19
[PMBOK® V6] - PMP® Exam Simulator - Two Complete Exams,www.udemy.com/course/pmbok-v6-pmp-exam-simulator/,Leithy Mohamed Leithy,99.99,11.39,3.9(111 ratings),Business,Project Management,PMBOK,696,English,400 Questions and Answers,4/2018,12/31/19
PMP Exam Cram Session - 8 PDUs from a PMI REP,www.udemy.com/course/pmp-exam-cram-session-5-pdus-from-a-pmi-rep/,Joseph Phillips,99.99,11.39,4.7(617 ratings),Business,Project Management,PMP,"2,882",English,Cram Session for Passing the PMI PMP Exam - from a PMI Registered Education Provider,9/2017,12/31/19
"PMP Exam Maths, Formulas & Equations Simplified for PMP 6",www.udemy.com/course/pmp-exam-maths-formulas-equations-numericals-simplified/,Ahsan Riaz PMP,124.99,11.39,4.3(172 ratings),Business,Project Management,PMP,"1,764",English,PMP Exam Prep/PMP MATHS : PMP Project Management Professional Certification all Maths and Formulas of PMP and PMBOK 6.0,12/2018,12/31/19
PMP Practical Exams​ 2019 Based on PMBOK Guide 6th Edition,www.udemy.com/course/pmp-practical-exams-2018-based-on-pmbok-guide-6th-edition/,Waleed Elbasyouni,19.99,11.39,3.7(290 ratings),Business,Project Management,PMBOK,"12,021",English,Exam simulation Fully aligned with the PMBOK Guide 6th Edition 2019 To Pass your PMP Exam on your First attempt,9/2019,12/31/19
PMP Exam Prep : 4 Full PMP Exams (800 Questions & Answers),www.udemy.com/course/pmp-exam-prep-4-full-pmp-exams-800-questions-answers/,DIOUAN Abderrazzaq,19.99,11.39,4.2(56 ratings),Teaching & Academics,Test Prep,PMP,"2,203",English,Project Management Professional (PMPÂ® Exam Prep) :4 full high real PMPÂ® Exams,7/2019,12/31/19
PMP Exam Simulator 6th Edition,www.udemy.com/course/project-management-professional-pmp-exam-preppmbok06/,Mohamed Ezzat Abouzied,29.99,11.39,4.4(7 ratings),Personal Development,Leadership,PMP,124,English,PMP Exam Simulator 6th Edition,11/2019,12/31/19
PMP Certification Practice Test Exam-High Quality Questions,www.udemy.com/course/pmp-certification-full-length-practice-test-exam/,"Umer Waqar,PMP",49.99,15.59,4.1(359 ratings),Business,Project Management,PMP,"3,041",English,PMP Practice Exam-PMP Practice Tests-PMP Exam Questions-PMP Certification-PMP Exam Prep,12/2019,12/31/19
PMP Exam Simulator - PMBOK 6TH Edition -,www.udemy.com/course/pmp-exam-simulator-pmbok-6th-edition/,Khaled Abo Ali,19.99,11.39,3.9(47 ratings),Development,Development Tools,PMP,"1,337",English,HOW TO PASS PMP EXAM ON YOUR FIRST TRY,11/2019,12/31/19
PMP Exam by Knowledge areas+01 Full Exam (PMBOK 6th Edition),www.udemy.com/course/pmp-exam-questions-by-knowledge-area-pmbok-6th-edition-u/,Medhat Ragab,0.0,19.99,4.1(42 ratings),Teaching & Academics,Test Prep,PMP,267,English,PMP Exam Questions by Knowledge area + 01 Full Exam This course will help you passing the exam from the first attempt.,11/2019,12/31/19
PMP Practice Test: High Realistic Exams(270 HQ Questions),www.udemy.com/course/pmp-exam-prep-2019-2-full-real-pmp-exams-400-hq-questions/,PM Academy,194.99,11.39,3.8(141 ratings),Teaching & Academics,Test Prep,PMP,"4,621",English,Pass the PMP Exam On your First Try! Fully Updated with the PMBOK Guide - Sixth Edition - For the 2019 Exam!,11/2019,12/31/19
Project Management Professional (PMP)® certification - PMI,www.udemy.com/course/project-management-professional-pmp-certification-pmi/,Cloud Admins,19.99,11.39,5.0(6 ratings),IT & Software,IT Certification,PMP,71,English,Project Management Professional (PMP)Â® certification actual exam,11/2019,12/31/19
PMP Question Bank as per PMBOK6,www.udemy.com/course/pmp-questions-pmbok6/,Project Management House,49.99,13.79,4.2(209 ratings),Business,Project Management,PMP,"1,748",English,Questions on knowledge areas + a realistic timed 200 questions PMP practice exam aligned with PMBOK Guide 6th edition,7/2019,12/31/19
Learn PMP Math EVM Concepts in 1 Hr to Dominate the PMP Exam,www.udemy.com/course/pmp-exam-math-prep-earned-value-management-evm/,Garrett Heath,39.99,11.39,4.7(131 ratings),Business,Project Management,PMP,640,English,Go from freaking out about the EVM math problems on the PMP exam to mastering the concepts to confidently answer them.,4/2015,12/31/19
PMP Certification Exam Prep : 500 Practice Questions,www.udemy.com/course/practice-questions-for-the-pmp-exam/,"Roji Abraham, PMP",34.99,11.39,4.4(28 ratings),Teaching & Academics,Test Prep,PMP,343,English,500 Practice Questions to help you succeed in the PMP Certification Exam (based on the PMBOK 6th Edition),10/2019,12/31/19
