Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,www.udemy.com/course/social-media-marketing-ads/,COURSE ENVY,199.99,11.99,"4.5(6,408 ratings)",Marketing,Social Media Marketing,PPC Advertising,"52,643",English,"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy â¢",12/2019,12/29/19
YouTube Ads Mastery ft. The Triple Threat Strategy,www.udemy.com/course/youtube-ads-mastery-course/,Nathan Williams,199.99,11.39,4.8(98 ratings),Marketing,Advertising,PPC Advertising,"2,142",English,"Acquire new leads, convert them into customers, and maximize their lifetime value by following this 3 part strategy!",2/2019,12/29/19
Amazon PPC Course - 8 PPC Strategies To Lower Your ACOS,www.udemy.com/course/amazon-ppc-course-profitable-amazon-ppc-strategies-and-campaigns/,Sumner Hobart,49.99,13.19,4.7(29 ratings),Business,Entrepreneurship,Amazon FBA,163,English,Step-by-step guide to effortlessly set up 8 proven and HIGHLY profitable Amazon PPC campaigns for your Amazon products!,12/2019,12/29/19
Amazon PPC Product Ads: Grow Your Private Label FBA Products,www.udemy.com/course/amazon-pay-per-click-advertising-ppc/,Croxton MBA,24.99,13.19,4.4(317 ratings),Marketing,Digital Marketing,Private Label Products,"1,644",English,How create robust Amazon PPC product ads and sponsored campaigns to generate immediate traffic to your Amazon listings.,2/2016,12/29/19
Amazon PPC Mastery - Setup Sponsored Products Like a PPC Pro,www.udemy.com/course/amazon-ppc-sponsored-products-course/,Paul S.,99.99,13.19,4.0(363 ratings),Business,Data & Analytics,PPC Advertising,"1,262",English,Discover the Secrets to increase sales and decrease spend from a PPC Professional and 6 Figure Amazon Seller.,2/2016,12/29/19
Google Shopping Ads for E-Commerce: The Step by Step Guide,www.udemy.com/course/google-shopping-ads-for-e-commerce-the-step-by-step-guide/,Adam Reed,199.99,11.39,3.4(80 ratings),Marketing,Digital Marketing,PPC Advertising,"1,437",English,"Learn how to create, run and manage Google Shopping Ads for E-Commerce, Print on Demand and Shopify Dropshipping Stores",7/2018,12/29/19
PPC Course - How to Double Your Pay per Click Performance,www.udemy.com/course/how-to-double-your-pay-per-click-performance/,Mark Stephenson,94.99,11.39,4.7(95 ratings),Marketing,Digital Marketing,PPC Advertising,691,English,"Learn how to earn more with Google Adwords, Bing and Facebook Pay Per Click Advertising - Be an A to Z PPC Profesional!",8/2016,12/29/19
Google Ads / AdWords Hands on Experience Course - Practical,www.udemy.com/course/google-ads-hands-on-experience-course-only-practical/,Syed Quadri,19.99,11.39,4.4(3 ratings),Marketing,Digital Marketing,PPC Advertising,"1,285",English,From Beginner to Experts,10/2019,12/29/19
AdWords and Google Merchant Center - Advertising Products,www.udemy.com/course/adwords-and-google-merchant-center-advertising-products/,Dan Grijzenhout,94.99,11.39,3.7(10 ratings),Marketing,Product Marketing,PPC Advertising,637,English,How to Advertise Your Online Store Products on the Google Search Engine and More...,1/2018,12/29/19
Mobile PPC Traffic That Works to Boost Website Conversions,www.udemy.com/course/mobile-advertising-course/,Travis Townsend,19.99,11.39,3.8(22 ratings),Marketing,Advertising,PPC Advertising,"2,531",English,Learn traffic generation to get conversions on your website. Explore these traffic secrets and tap into mobile devices.,4/2015,12/29/19
Amazon PPC Masterclass - The Ultimate PPC Guide,www.udemy.com/course/amazon-ppc-masterclass-the-ultimate-ppc-guide/,Ryan Ford,199.99,18.99,4.5(1 rating),Marketing,Advertising,PPC Advertising,"3,583",English,Learn Everything You Need To Create Profitable PPC Campaigns and Generate More Amazon Sales,11/2019,12/29/19
Solo Ads Secrets: Elevate Your Business Without a List,www.udemy.com/course/solo-ads-secrets/,Scrembo Paul,199.99,11.39,4.6(37 ratings),Marketing,Growth Hacking,PPC Advertising,"3,159",English,Solo Ads Secrets will show you an easy to follow guide to elevating your business without an email list.,5/2015,12/29/19
Pay-Per-Click 101: Intro to Google & Facebook Advertising,www.udemy.com/course/ppc-101-an-introduction-to-pay-per-click-advertising/,Jim Weber,0.0,19.99,4.4(111 ratings),Marketing,Digital Marketing,PPC Advertising,"5,204",English,"Why & how to use Google & Facebook ads to grow your business, product or service",5/2017,12/29/19
Pay Per View Marketing: Create Profitable PPV Campaigns,www.udemy.com/course/ppv-marketing-a-z/,Barry North,89.99,11.39,4.1(47 ratings),Marketing,Marketing Fundamentals,PPC Advertising,"10,029",English,"Learn everything you need to know about Cost Per View Marketing, and how to sign up for CPV networks.",2/2017,12/29/19
[NEW] PPC: How To Grow Your Business FAST With Paid Traffic,www.udemy.com/course/paid-traffic-fundamentals-google-fb/,Nate Ginsburg,19.99,11.39,3.4(16 ratings),Marketing,Digital Marketing,Website Traffic,"1,671",English,"Learn PROVEN techniques to get massive amounts of traffic, leads and sales in no-time with paid traffic in 2015.",7/2015,12/29/19
Learn how to use pay per click ads for easy list building,www.udemy.com/course/learn-how-to-use-pay-per-click-ads-for-easy-list-building/,Tiberius Publishers Group,44.99,11.39,4.2(2 ratings),Marketing,Digital Marketing,PPC Advertising,"1,267",English,"Learn how to build a targeted email list, with online advertising, for only pennies per click.",6/2015,12/29/19
