Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Persuasion Masterclass: How To Powerfully Influence Anyone,www.udemy.com/course/persuasion-masterclass-how-to-powerfully-influence-anyone/,Brandon Hakim,194.99,16.19,"4.4(1,324 ratings)",Personal Development,Influence,Communication Skills,"9,011",English,Master The 3 Hidden Skills of the Most Persuasive People Without Manipulation In 10 Minutes A Day â¦Guaranteed!,6/2019,12/31/19
You’re Not the Boss of Me!,www.udemy.com/course/youre-not-the-boss-of-me-narcissist-workshop/,"Les Carter, Ph. D.",0.0,44.99,4.9(304 ratings),Health & Fitness,Mental Health,Personal Development,"1,559",English,Thriving in Spite of the Narcissist in Your Life,10/2019,12/31/19
Complete Personal Development Personal Transformation Course,www.udemy.com/course/complete-personal-development-personal-transformation-course/,TJ Walker,199.99,11.39,4.4(269 ratings),Personal Development,Personal Transformation,Life Purpose,"15,826",English,Live a More Fulfilling Life - Your Personal Development and Personal Transformation Can Start Now - Create Your Own Life,9/2019,12/31/19
Sounds True Presents: Brainspotting,www.udemy.com/course/brainspotting-by-david-grand/,Sounds True,99.99,25.00,4.5(596 ratings),Health & Fitness,Mental Health,Personal Development,"2,163",English,Dr. David Grand on a New Brain-Based Method for Healing and Expanding Performance and Creativity,2/2016,12/31/19
Coping Skills and Self-Care for Mental Health,www.udemy.com/course/coping-skills-and-self-care-for-mental-health/,Emma McAdam,49.99,11.39,4.5(19 ratings),Health & Fitness,Mental Health,Personal Development,172,English,Learn dozens of essential skills to manage intense emotions and develop a self-care practice to promote mental health.,11/2019,12/31/19
"Life Mastery - Happiness, Health & Success",www.udemy.com/course/life-mastery-happy-healthy-successful/,Chris Croft,64.99,11.39,4.6(592 ratings),Personal Development,Personal Transformation,Personal Development,"3,431",English,"Practical techniques to successfully master work-life balance, happiness, and goal setting.",7/2017,12/31/19
Self Hypnosis For Personal Development & Healing,www.udemy.com/course/self-hypnosis-for-personal-development/,Dan Jones,49.99,11.39,4.4(238 ratings),Personal Development,Personal Transformation,Self-Hypnosis,"2,147",English,"Take Control Of Your Mind | Self-Hypnosis Can Help With Weight Loss, Anxiety, Stress & More",10/2015,12/31/19
Become A Reading Machine MASTERCLASS: Read 300 Books,www.udemy.com/course/become-a-speed-reading-machine-accelerated-learning-strategies/,Brandon Hakim,199.99,11.39,4.4(91 ratings),Personal Development,Memory & Study Skills,Memory,800,English,"The ADVANCED Course To Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ¦ Guaranteed!",6/2019,12/31/19
The Compete Guide to Total Transformation,www.udemy.com/course/the-compete-guide-to-total-transformation/,Joeel & Natalie Rivera,149.99,11.39,4.6(18 ratings),Personal Development,Personal Transformation,Personal Development,366,English,"Breakthrough, create lasting change, be the hero of your own life story, fulfill your life purpose & master your destiny",12/2019,12/31/19
Productivity Masterclass: How To Powerfully Get Things Done,www.udemy.com/course/productivity-masterclass-how-to-powerfully-get-things-done/,Brandon Hakim,194.99,11.39,4.5(360 ratings),Personal Development,Productivity,Personal Productivity,"1,859",English,"Master This 4 Step Framework That's Given 1,000 People Two Years Worth of Productivity In As Little As 30 Days",6/2019,12/31/19
