Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Adobe Photoshop CC Essentials | Photoshop Masterclass,www.udemy.com/course/master-adobe-photoshop-cc-6-be-more-productive/,Chris Parker,199.99,11.99,"4.6(1,331 ratings)",Design,Design Tools,Photoshop,"37,294",English,This Adobe Photoshop masterclass will teach you Photoshop retouching + photo editing. Bonus: 7 Photoshop courses in 1.,12/2019,12/30/19
Photoshop Manipulation and Editing Masterclass,www.udemy.com/course/photoshop-manipulation-and-editing-masterclass/,Lindsay Marsh,159.99,11.99,4.5(140 ratings),Design,Graphic Design,Photoshop,"1,008",English,"Master Non-destructive Photo Editing, Retouching & Photo Manipulations: Perfect for Graphic Designers & Digital Artists",11/2019,12/30/19
Photoshop Retouching Techniques for Every Problem,www.udemy.com/course/photoshop-retouching-techniques-for-every-problem/,Marcin Mikus,199.99,11.99,4.5(40 ratings),Photography,Photography Tools,Photoshop,462,English,Learn photoshop techniques for image retouching. Solve every photography problem!,8/2019,12/30/19
Professional Retouching Course in Photoshop,www.udemy.com/course/professional-retouching-in-photoshop/,Marcin Mikus,199.99,11.99,4.3(791 ratings),Photography,Photography Tools,Photoshop Retouching,"24,528",English,"Photoshop Non-destructive Retouching Techniques. Learn Portrait, Beauty and Outdoor Retouching in Photoshop.",9/2019,12/30/19
Adobe Photoshop CC Retouching and Effects Masterclass,www.udemy.com/course/photoshop-portrait-photography-techniques/,"Chad Neuman, Ph.D.",199.99,11.99,4.5(780 ratings),Design,Design Tools,Photoshop,"65,949",English,Adobe Photoshop Retouching + Photoshop Effects for Photography & More. Learn the Essentials to Advanced! 5 Courses in 1!,11/2019,12/30/19
High End Beauty Retouching in Photoshop 2.0,www.udemy.com/course/professional-beauty-retouching-in-photoshop/,Marcin Mikus,199.99,11.99,4.7(160 ratings),Photography,Portraits,Photoshop Retouching,"13,481",English,Learn Professional High End Beauty Retouching Techniques in Adobe Photoshop CC - Get The Magazine Cover Look!,9/2018,12/30/19
Master Advanced High End Beauty Retouching in Photoshop,www.udemy.com/course/beauty-retouching/,Marcin Mikus,199.99,11.99,4.2(583 ratings),Design,Design Tools,Photoshop,"29,761",English,Photoshop High End Beauty Retouch - Learn Professional Beauty Retouching Techniques and Get Desired Magazine Covers Look,6/2018,12/30/19
Photoshop CC: Studio Image Retouching with Dodge & Burn,www.udemy.com/course/retouching-lingerie-swimwear-photoshop-masterclass/,Marcin Mikus,199.99,11.99,4.9(59 ratings),Photography,Photography Tools,Photoshop Retouching,"7,520",English,Learn Professional Retouching Techniques from Scratch - Beginner to Professional in Photoshop,5/2018,12/30/19
Adobe Photoshop CC Portrait Retouching Masterclass,www.udemy.com/course/adobe-photoshop-cc-portrait-retouching-masterclass/,Sandy Dee,144.99,11.99,3.9(110 ratings),Photography,Portraits,Photoshop Retouching,"2,065",English,Learn How To Edit And Retouch Portrait Photography Images Using Adobe Camera Raw and Photoshop CC,10/2018,12/30/19
Learn Black and White Photography Retouching in Photoshop,www.udemy.com/course/black-and-white-retouching-in-photoshop/,Marcin Mikus,199.99,11.99,4.6(131 ratings),Photography,Other,Black and White Photography,"18,920",English,Black and White Photography Post Production Revealed - Create Beathtaking Portraits in Photoshop,10/2017,12/30/19
Master Fashion Retouching in Photoshop,www.udemy.com/course/master-fashion-retouching-in-photoshop/,Marcin Mikus,99.99,11.99,3.5(182 ratings),Photography,Photography Tools,Fashion,"24,033",English,"Learn Amazing Fashion Retouching Techniques in Photoshop - Master non-destructive retouch, lights, and color grading!",6/2018,12/30/19
Color Harmony and Retouching in Photoshop,www.udemy.com/course/color-harmony-and-retouching-in-photoshop/,Marcin Mikus,99.99,11.99,4.4(165 ratings),Design,Design Tools,Photoshop,"17,229",English,Learn Color Harmony and How to apply it to Your work in Photoshop with Portrait Editing!,11/2016,12/30/19
Pro beauty retouching,www.udemy.com/course/pro-beauty-retouching/,Alexandr Vishnev,149.99,11.99,4.2(135 ratings),Photography,Other,Photoshop Retouching,"10,328",English,Improve your skills in hi-end beauty retouching in Adobe Photoshop,6/2018,12/30/19
Photoshop CC: Lifestyle Photography Retouching,www.udemy.com/course/lifestyle-photography-retouching/,Marcin Mikus,199.99,11.99,4.4(81 ratings),Photography,Commercial Photography,Photoshop Retouching,"15,978",English,Learn Commercial Lifestyle & Bikini Photography Retouching in Photoshop by Working on Real Life Examples,7/2018,12/30/19
