Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Ultimate Photoshop Training: From Beginner to Pro,www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/,Cristian Doru Barin,199.99,19.79,"4.6(11,731 ratings)",Design,Graphic Design,Photoshop,"83,002",English,Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course,12/2019,12/28/19
Adobe Photoshop CC – Essentials Training Course,www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,Daniel Walter Scott,199.99,11.39,"4.7(5,735 ratings)",Design,Graphic Design,Photoshop,"24,981",English,This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,11/2019,12/28/19
Adobe Photoshop CC – Advanced Training Course,www.udemy.com/course/adobe-photoshop-cc-advanced-training-course-tutorial/,Daniel Walter Scott,199.99,11.39,"4.7(2,180 ratings)",Design,Graphic Design,Photoshop,"18,733",English,You'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.,11/2019,12/28/19
Photoshop CC 2020 MasterClass,www.udemy.com/course/photoshop-cc-masterclass/,Martin Perhiniak,199.99,11.39,"4.6(5,197 ratings)",Design,Graphic Design,Photoshop,"33,374",English,Master the World's Best Imaging and Design Application and Become an Adobe Certified Associate.,11/2019,12/28/19
"Learn Photoshop, Web Design & Profitable Freelancing",www.udemy.com/course/learn-photoshop-web-design-profitable-freelancing/,Cristian Doru Barin,199.99,13.79,"4.6(4,451 ratings)",Design,Web Design,Photoshop,"34,688",English,"Learn Photoshop and use it to create amazing website designs and create a high, stable income. No coding needed!",12/2019,12/28/19
"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign",www.udemy.com/course/adobe-cc-masterclass-graphic-design-photoshop-illustrator-xd-indesign/,Lindsay Marsh,179.99,14.39,4.6(727 ratings),Design,Design Tools,Adobe Illustrator,"9,516",English,"Learn graphic design today with Photoshop, Illustrator, Adobe XD, InDesign & more in this Adobe CC Masterclass!",11/2019,12/28/19
Adobe Photoshop CC Essentials | Photoshop Masterclass,www.udemy.com/course/master-adobe-photoshop-cc-6-be-more-productive/,Chris Parker,199.99,11.99,"4.6(1,331 ratings)",Design,Design Tools,Photoshop,"37,289",English,This Adobe Photoshop masterclass will teach you Photoshop retouching + photo editing. Bonus: 7 Photoshop courses in 1.,12/2019,12/28/19
Photoshop CC for Beginners: Your Complete Guide to Photoshop,www.udemy.com/course/adobe-photoshop-course/,Phil Ebiner,199.99,11.99,"4.5(3,457 ratings)",Design,Design Tools,Photoshop,"130,195",English,Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.,3/2019,12/28/19
Photoshop Master Course: From Beginner to Photoshop Pro,www.udemy.com/course/supreme-photoshop-training-from-beginner-to-expert/,Manfred Werner,49.99,11.99,"4.4(4,254 ratings)",Design,Design Tools,Photoshop,"140,476",English,This Adobe Photoshop Beginner Course will teach a Beginner Photoshop user all essentials of Adobe Photoshop CC,11/2019,12/28/19
Painting Faces with the Power of Photoshop,www.udemy.com/course/painting-faces/,Hardy Fowler,59.99,11.39,4.6(700 ratings),Design,Graphic Design,Digital Painting,"4,122",English,Master a Timeless Art Form using the Digital Medium,4/2018,12/28/19
Digital Landscapes : Painting Environments with Photoshop,www.udemy.com/course/digital-landscapes-painting-environments-with-photoshop/,Hardy Fowler,24.99,11.39,"4.2(1,050 ratings)",Design,Other,Photoshop,"7,443",English,A step by step guide to create amazing digital environment paintings using adobe photoshop.,3/2016,12/28/19
Photoshop Beginners Mastery: Zero to Hero in Photoshop,www.udemy.com/course/getting-started-in-photoshop/,"Chad Neuman, Ph.D.",49.99,11.99,"4.4(5,209 ratings)",Design,Design Tools,Photoshop,"214,148",English,Learn Photoshop quickly and easily with essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.,11/2019,12/28/19
Master Web Design in Photoshop,www.udemy.com/course/master-web-design-in-photoshop/,Cristian Doru Barin,124.99,11.39,"4.5(1,808 ratings)",Design,Web Design,Photoshop,"20,721",English,Learn how to create stunning website designs in Photoshop; No coding included!,12/2019,12/28/19
Photoshop Manipulation and Editing Masterclass,www.udemy.com/course/photoshop-manipulation-and-editing-masterclass/,Lindsay Marsh,159.99,14.39,4.5(140 ratings),Design,Graphic Design,Photoshop,"1,005",English,"Master Non-destructive Photo Editing, Retouching & Photo Manipulations: Perfect for Graphic Designers & Digital Artists",11/2019,12/28/19
Painting Figures with the Power of Photoshop,www.udemy.com/course/painting-figures/,Hardy Fowler,59.99,11.39,4.8(282 ratings),Design,Graphic Design,Figure Drawing,"2,687",English,Master a Timeless Art Form using the Digital Medium,4/2018,12/28/19
Photoshop CC 2020 MasterClass: Be a Creative Professional,www.udemy.com/course/photoshop-cc-masterclass-be-a-creative-professional/,Khalil Ibrahim,199.99,11.39,4.8(62 ratings),Design,Design Tools,Photoshop,"2,431",English,"Master Adobe Photoshop for Graphic design, Photography, Photoshop retouching, digital painting & illustration, Animation",12/2019,12/28/19
Learn Professional 2D Game Graphic Design in Photoshop,www.udemy.com/course/create-quick-professional-2d-game-backgrounds-in-photoshop/,Jaysen Batchelor,149.99,16.19,"4.4(1,760 ratings)",Design,Game Design,Graphic Design,"59,671",English,Learn how you can create your own professional game graphics quickly in Photoshop!,2/2017,12/28/19
"Adobe Photoshop CC - Web Design, Responsive Design & UI",www.udemy.com/course/photoshop-cc-2015-building-website-designs-in-photoshop/,Daniel Walter Scott,94.99,11.39,4.7(483 ratings),Design,Web Design,Photoshop,"2,670",English,Learn how to design a professional quality website in Photoshop CC.,7/2019,12/28/19
Learn Professional 2D Game Asset Graphic Design in Photoshop,www.udemy.com/course/learn-professional-2d-game-asset-graphic-design-in-photoshop/,Jaysen Batchelor,149.99,13.79,"4.6(1,401 ratings)",Design,Game Design,Graphic Design,"64,389",English,Become an exquisite game designer and start creating game art today!,2/2017,12/28/19
Photoshop Retouching Techniques for Every Problem,www.udemy.com/course/photoshop-retouching-techniques-for-every-problem/,Marcin Mikus,199.99,14.99,4.5(40 ratings),Photography,Photography Tools,Photoshop,460,English,Learn photoshop techniques for image retouching. Solve every photography problem!,8/2019,12/28/19
