Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Pianoforall - Incredible New Way To Learn Piano & Keyboard,www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/,Robin Hall,199.99,11.99,"4.7(25,015 ratings)",Music,Instruments,Piano,"212,777",English,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",1/2019,01/01/20
Pianoforall - 'Classics By Ear' - Erik Satie,www.udemy.com/course/pianoforall-classics-by-ear-erik-satie/,Robin Hall,169.99,11.99,4.6(461 ratings),Music,Instruments,Piano,"4,800",English,An incredible new way to learn classical piano - from the creator of best selling piano course Pianoforall,12/2018,01/01/20
The Complete Piano Course - Master The Piano,www.udemy.com/course/the-complete-piano-course/,Iliya Ryakhovskiy,94.99,11.99,"4.4(1,126 ratings)",Music,Instruments,Piano,"10,493",English,A full guide on learning how to use every single note on the piano.,12/2016,01/01/20
Learn piano or keyboard from scratch - Complete piano course,www.udemy.com/course/learn-to-play-the-piano-from-scratch/,Martin Cohen,199.99,11.99,4.5(489 ratings),Music,Instruments,Piano,"5,751",English,"Piano lessons/ keyboard lessons for beginners. Complete piano course,reading music, improvisation, music theory, chords.",12/2019,01/01/20
How to play Piano - Go from a Beginner/Intermediate to a Pro,www.udemy.com/course/how-to-play-piano-go-from-a-beginnerintermediate-to-a-pro/,Oluwayanmife (Also Known as Yummy) Akintola,199.99,11.99,4.1(662 ratings),Music,Instruments,Piano,"12,149",English,"A Complete 40 Hours+ Piano Course | Learn about Scales , Chords , Playing piano by ear , Music Theory & more lessons !",11/2019,01/01/20
Piano Fastlane -  From ZERO to HERO with Piano & Keyboard,www.udemy.com/course/piano-fastlane/,Simon Kirkils,199.99,11.99,4.5(499 ratings),Music,Instruments,Piano,"4,506",English,The Platform's biggest Piano Course - lessons to play by ear & to read sheet music: from Pop or Classic to Improvisation,7/2019,01/01/20
The Complete Piano & Music Theory Beginners Course,www.udemy.com/course/piano-lessons-music-theory-beginners-course/,Musicians Inspired,99.99,11.99,"4.3(1,442 ratings)",Music,Instruments,Music Theory,"14,875",English,"Learn all piano and music theory basics quickly, and save big on months of initial private lessons!",1/2018,01/01/20
The Heavenly Piano Masterclass - Piano Improvisation Mastery,www.udemy.com/course/heavenlypianomasterclass/,Mark Shian,124.99,11.99,4.6(70 ratings),Music,Instruments,Piano,555,English,"Get from Beginner to Advanced, Master Piano Improvisation, Discover your Greatest Potential on Stage and in the Studio.",5/2019,01/01/20
Piano for Singer/Songwriters | Write Songs and Perform Live!,www.udemy.com/course/pianoforsingersongwriters/,Musicians Inspired,99.99,11.99,4.7(672 ratings),Music,Instruments,Piano,"6,658","English
 ","Perform and sing your favorite songs on the piano! Step by step, easy to follow modern keyboard lessons for beginners",1/2018,01/01/20
Beginner Piano,www.udemy.com/course/beginner-piano/,Benedict Westenra,29.99,11.99,4.7(497 ratings),Music,Instruments,Piano,"3,250",English,"Master keyboard fundamentals by learning popular tunes from ""the best piano teacher in London""",4/2019,01/01/20
Learn Jazz Piano Today,www.udemy.com/course/learn-jazz-piano-with-willie-today/,Willie Myette,49.99,11.99,4.3(320 ratings),Music,Instruments,Jazz,"3,273",English,"Rich piano chords, bass line and improvisation using a 12-bar blues. Take your piano playing to the next level.",7/2018,01/01/20
An Accelerated Piano Course for Beginners - Piano Lessons,www.udemy.com/course/an-accelerated-piano-course-for-beginners/,Carl Eden,79.99,11.99,4.7(19 ratings),Music,Instruments,Piano,732,English,"Piano lessons for beginners, reading music, learn to play piano, course includes primer book, experienced piano teacher",8/2019,01/01/20
Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,www.udemy.com/course/piano-singersongwriter-rhythm/,Musicians Inspired,99.99,11.99,4.6(170 ratings),Music,Instruments,Piano,"2,269",English,"Master Pop/Rock keyboard playing through Rhythm Immersion, develop strong internal rhythm and build hand independence",1/2018,01/01/20
EASY PIANO CHORDS: My 'shapes' shortcut to playing piano now,www.udemy.com/course/piano-hack-28-chords-in-under-an-hour/,Simon Glenister,94.99,11.99,4.6(181 ratings),Music,Instruments,Piano,"2,111",English,"Baffled by piano? Here's how it should be explained, no confusing notation - just easy to remember shape shortcuts",9/2019,01/01/20
Intermediate to Advanced Piano Course; Become a Top Pianist,www.udemy.com/course/intermediate-to-advanced-piano-course-become-a-top-pianist/,Oluwayanmife (Also Known as Yummy) Akintola,199.99,11.99,4.4(64 ratings),Music,Instruments,Piano,"6,068",English,"Piano lessons that teach about extended piano Chords like 9th, 11th & 13th Chords, Chord Voicings,Progressions & More!",11/2019,01/01/20
Ear Training - Develop Your Listening Skills on the Piano,www.udemy.com/course/train-your-musical-ear-hear-a-notechordsong-play-it/,Arthur Bird,49.99,11.99,4.5(46 ratings),Music,Music Fundamentals,Piano,544,English,Heard a song you love? Learn the skills to play Piano by ear. Essential beginners course for the Piano/Keyboard.,10/2018,01/01/20
Piano: The Chord Based System - Learn To Play As The Pros Do,www.udemy.com/course/learn-popular-piano-successfully-have-fun-making-music-now/,Stan Prentice,114.99,11.99,4.3(86 ratings),Music,Instruments,Piano,944,English,"Learn to play piano using beautiful-sounding, embellished chords. Quick & easy from a pro with 40+ years entertaining.",4/2018,01/01/20
Quicklessons Piano Course - Learn to Play Piano by Ear!,www.udemy.com/course/quicklessons-piano-course-learn-to-play-piano-by-ear/,Ozie Cargile,199.99,11.99,4.2(395 ratings),Music,Instruments,Piano,"7,771",English,Imagine playing piano by ear. How would that improve your music? Understand the theory and improvise your own songs.,6/2015,01/01/20
Complete Piano Course for Beginners (by ear and by score),www.udemy.com/course/piano-course-luciano-alves/,Luciano Alves,99.99,11.99,4.7(78 ratings),Music,Instruments,Piano,588,English,"Learn piano and keyboards with teacher, pianist and composer Luciano Alves (over 30 years of experience)",11/2019,01/01/20
