Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Pilates: A New Body in 30 Sessions,www.udemy.com/course/pilates-a-new-body-in-30-sessions/,Josie McKenlay,99.99,16.19,4.4(312 ratings),Health & Fitness,Fitness,Pilates,"4,802",English,"Transform your body in as little as 3 months: get your body into the best shape ever, improve your health & wellbeing",11/2019,12/31/19
Pilates Teacher Training Course,www.udemy.com/course/pilates-teacher-training-course/,Josie McKenlay,199.99,17.39,4.6(517 ratings),Health & Fitness,Fitness,Pilates,"3,401",English,Learn how to teach Classical Pilates Matwork safely and effectively,10/2019,12/31/19
Complete Pilates Mat Course: Beginner to Advanced Level,www.udemy.com/course/complete-pilates-mat-course-beginner-to-advanced-level/,Elif ATAY,99.99,15.59,4.4(144 ratings),Health & Fitness,Fitness,Pilates,"1,087",English,A new body with classic pilates workout taught step by step for all fitness levels.Reduce back pain and improve posture.,11/2019,12/31/19
Express Pilates: Build a Daily Practice,www.udemy.com/course/express-pilates/,Josie McKenlay,64.99,11.39,4.5(78 ratings),Health & Fitness,Fitness,Pilates,"2,136",English,Mini Pilates workouts for even the busiest of days,5/2018,12/31/19
Pilates with props: Transform your body in short time,www.udemy.com/course/pilates-with-props-transform-your-body-get-fit/,Elif ATAY,99.99,11.39,4.9(19 ratings),Health & Fitness,Fitness,Pilates,164,English,"Develop excellent balanced muscle tone and get fit with Pilates Ball, Pilates Ring and Resistance Band fitness workouts",11/2019,12/31/19
Pilates with Props: Small Ball,www.udemy.com/course/pilates-with-props-small-ball/,Josie McKenlay,24.99,11.39,5.0(5 ratings),Health & Fitness,Fitness,Pilates,47,English,Transform your practice and take it to the next level,11/2019,12/31/19
Pilates Props: The Foam Roller,www.udemy.com/course/pilates-props-the-foam-roller/,Josie McKenlay,24.99,11.39,0.0(0 ratings),Health & Fitness,Fitness,Pilates,31,English,Add a new dimension to Classical Mat Pilates,12/2019,12/31/19
The Pilates Practice: Uncovering the Basics,www.udemy.com/course/pilates-basics/,Robyn Whale,99.99,11.39,4.8(50 ratings),Health & Fitness,Fitness,Pilates,"5,808",English,Start your Pilates journey and build a body you love by learning the basics,8/2019,12/31/19
Fully Accredited Easy Pilates Course! Get The Body You Want,www.udemy.com/course/fully-accredited-easy-pilates-course-get-the-body-you-want/,Dr Karen E Wells,94.99,11.39,4.9(10 ratings),Health & Fitness,General Health,Pilates,143,English,Professional Diploma Course For Easy & Effective Techniques To Tone Your Body & Lose Weight with Pilates,11/2019,12/31/19
Pilates Comprehensive Course (from a Pilates Instructor),www.udemy.com/course/pilates-comprehensive-8-week-course/,Chika Orton,199.99,11.39,3.6(2 ratings),Health & Fitness,Fitness,Pilates,16,English,Easy to Learn Pilates Exercises from an expert Pilates instructor! Gain good posture and tone up your body,9/2019,12/31/19
Pilates For Pregnancy,www.udemy.com/course/pilates-for-pregnancy/,Dr Fleur Castlereagh,44.99,11.39,4.1(23 ratings),Health & Fitness,General Health,Pilates,315,English,Learn the basics of Pilates to strengthen and tone your body during your Pregnancy.,11/2016,12/31/19
Beginner Pilates To Reduce Back Pain and Tone Your Body!,www.udemy.com/course/beginner-pilates-for-back-pain-sufferers/,Dr Fleur Castlereagh,44.99,11.39,4.5(27 ratings),Health & Fitness,Fitness,Pilates,466,English,21 day program that is basic and easy to follow.,5/2016,12/31/19
