Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Excel - Data Analysis with Excel Pivot Tables,www.udemy.com/course/data-analysis-with-excel-pivot-tables/,Maven Analytics,174.99,11.99,"4.6(11,805 ratings)",Office Productivity,Microsoft,Excel,"64,389",English,Master Excel Pivot Tables & data analysis with real-world cases from a best-selling Excel instructor (Excel 2010-2019),11/2019,12/29/19
Microsoft Excel - Excel with Excel Pivot Tables Bootcamp!,www.udemy.com/course/excel-with-excel-pivot-tables/,MyExcelOnline John Michaloudis,199.99,11.99,"4.4(1,109 ratings)",Office Productivity,Microsoft,Pivot Tables,"27,876",English,"Excel with the A-Z Microsoft Excel Pivot Tables & Excel Data Analysis [Excel 2010, Excel 2013, Excel 2016, Excel 2019]",10/2019,12/29/19
Master Excel Pivot Tables - Excel 2016,www.udemy.com/course/master-excel-pivot-tables/,Tom Meservy,39.99,11.99,"4.6(1,518 ratings)",Office Productivity,Microsoft,Pivot Tables,"5,445",English,"Master Microsoft Excel Pivot Tables in an afternoon! Excel 2016, Excel 2013, and Excel 2010 Pivot Tables.",6/2016,12/29/19
Excel Master Class - Pivot Tables and Pivot Charts,www.udemy.com/course/excel-master-class-pivot-tables-and-pivot-charts/,Ian Littlejohn,99.99,11.99,4.7(63 ratings),Office Productivity,Microsoft,Excel,345, English,Learn to analyze and summarize your data in seconds. Pivot Tables are the most powerful feature in Microsoft Excel,9/2019,12/29/19
Excel Pivot Table Master Course,www.udemy.com/course/excel-pivot-table-master-course/,Matt Jackman,179.99,11.99,4.5(236 ratings),Office Productivity,Microsoft,Pivot Tables,"1,035",English,"Learn everything you need to know about Excel Pivot Tables with a highly rated instructor! Excel 2010, 2013 & 2016",3/2018,12/29/19
Excel Pivot Tables: The Power of Pivot Tables... Made Easy,www.udemy.com/course/pivottables/,IsáBel .,124.99,11.99,4.5(183 ratings),Office Productivity,Microsoft,Pivot Tables,"1,765",English,"Summarize, reorganize, group, filter and sort your data using one of the most powerful, and useful, features in Excel.",9/2019,12/29/19
"Building dynamic interactive human resource dashboard, Excel",www.udemy.com/course/building-dynamic-interactive-human-resource-dashboards/,Gloria Tibakunirwa,19.99,11.99,4.2(44 ratings),Business,Human Resources,Excel Dashboard,208,English,"Using raw HR data, learn how to create HR statistics from your employee list and display on a dynamic dashboard",1/2019,12/29/19
Excel Deep Dive: Pivot Tables Workshop,www.udemy.com/course/excel-pivot-table/,Alex Mozes,94.99,11.99,4.5(925 ratings),Office Productivity,Microsoft,Pivot Tables,"6,541",English,Excel data mastery is possible! Learn how to use pivot tables in excel and learn how to use pivot tables to get a raise,8/2019,12/29/19
Excel in Microsoft Excel 3: Pivot Tables Intro & Masterclass,www.udemy.com/course/master-pivot-tables-introduction-and-masterclass/,Phillip Burton,99.99,11.99,4.7(22 ratings),Office Productivity,Microsoft,Excel,257,English,"Create data analysis in Excel using Pivot Tables with just a few clicks, together with summary Pivot Charts. Exam 70-779",3/2019,12/29/19
The Complete Excel Pivot Table Course,www.udemy.com/course/the-complete-excel-2013-pivot-table-course/,Alex Moore,19.99,11.99,4.9(74 ratings),Office Productivity,Microsoft,Pivot Tables,931,English,Learn to master the Pivot Table for more efficient data management and analytics.,1/2016,12/29/19
Excel Pivot Tables for Management Consultants & Analysts,www.udemy.com/course/excel-pivot-tables-for-management-consultants-analysts/,Asen Gyczew,99.99,11.99,4.6(95 ratings),Business,Management,Excel,"3,500",English,Practical guide how to do data and business analyses using Pivot Tables during consulting projects,11/2019,12/29/19
The Ultimate Microsoft Excel Pivot Table MasterClass,www.udemy.com/course/the-ultimate-microsoft-excel-pivot-table-masterclass/,The Excel Gurus,99.99,11.99,4.4(8 ratings),Office Productivity,Microsoft,Pivot Tables,"2,534",English,"Learn the core of Pivot tables with Best Practices, Case Studies, Techniques and become an Excel Pivot Table Ninja.",9/2019,12/29/19
Excel 2016 Pivot Tables Deep Dive,www.udemy.com/course/practical-excel-2016-pivot-tables-and-pivot-charts/,Optima Train,29.99,11.99,4.3(139 ratings),Office Productivity,Microsoft,Excel Charts,907,English,Become indispensable at work! Become a power user and earn a huge raise by working Pivot magic in Excel.,2/2016,12/29/19
Microsoft Excel Pivot Tables - In-Depth Excel Training,www.udemy.com/course/microsoft-excel-pivot-tables-in-depth/,Infinite Skills,49.99,11.99,4.4(66 ratings),Office Productivity,Microsoft,Excel,907,English,Learn How To Manipulate Your Excel Data With Pivot Tables. An Essential Course For All Excel Users,1/2017,12/29/19
Excel Pivot Tables with Excel 2016: From Basic to PowerPivot,www.udemy.com/course/excel-pivot-tables-with-excel-2016/,Kawser Ahmed,94.99,11.99,4.6(22 ratings),Office Productivity,Microsoft,Pivot Tables,241,English,Learn Excel Pivot Tables with Excel 2016 from Scratch to Advanced Level with introduction to Power Pivot & DAX Language.,6/2017,12/29/19
Excel 2016 for Mac 3: Pivot Tables Intro & Masterclass,www.udemy.com/course/excel-2016-for-mac-3-pivot-tables-intro-masterclass/,Phillip Burton,99.99,11.99,4.6(31 ratings),Office Productivity,Microsoft,Excel,308,English,"Create data analysis in Excel using Pivot Tables with just a few clicks, together with summary Pivot Charts. Exam 70-779",3/2019,12/29/19
Microsoft Excel - Pivot Tables,www.udemy.com/course/microsoft-excel-pivot-tables/,eLearnExcel,19.99,11.39,4.2(28 ratings),Office Productivity,Microsoft,Pivot Tables,443,English,This course provides details of how Pivot Tables work and the structure that must be followed to create useful reports.,9/2013,12/29/19
Excel Pivot Tables: Master Data Analysis and Dashboards,www.udemy.com/course/excel-pivot-tables-and-data-analysis/,Georg Lasar,179.99,11.39,4.9(6 ratings),Office Productivity,Microsoft,Pivot Tables,"1,642",English,Learn Excel Pivot Tables hands-on: Perform Data Analysis and build your own Excel Dashboards (Microsoft Excel 2010-2019),11/2019,12/29/19
Excel Pivot Tables Data Analysis Master Class,www.udemy.com/course/easy-excel-pivot-tables-data-analysis-with-igor/,Igor Ovchinnikov,84.99,11.39,4.3(78 ratings),Business,Data & Analytics,Pivot Tables,654,English,Excel at Excel Pivot Tables. Learn to create pivot-table and pivot-chart reports using Excel for data analysis.,4/2016,12/29/19
Excel: Application of Pivot Table  in AML/CFT Investigations,www.udemy.com/course/excel-application-of-pivot-table-in-amlcft-investigations/,Nasiru Musa,24.99,11.39,3.8(337 ratings),Office Productivity,Microsoft,Excel,"7,904",English,Analysing Bank Account Statements,6/2019,12/29/19
