Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Photography Composition & Portrait Photography Masterclass,www.udemy.com/course/creative-photography-composition-masterclass/,Mark Timberlake,199.99,11.99,4.5(920 ratings),Photography,Digital Photography,Photography,"9,525",English,"Creative Photography : DSLR Photography, Black And White Photography, Studio Portrait Lighting, Street Photography",3/2019,12/30/19
Portrait Photography and Posing For Photographers,www.udemy.com/course/photography-posing/,Rapid Growth Coaching Top 10% on Udemy,199.99,11.99,4.1(732 ratings),Photography,Digital Photography,Portrait Photography,"7,450",English,For those who want to get paid to take photos. Learn the pro tricks every portrait photographer needs.,12/2018,12/30/19
Posing Like A Pro: Create Your Best Portraits Ever! Part 1,www.udemy.com/course/posing-like-a-pro-create-your-best-portraits-ever/,Sandy Dee,199.99,11.99,4.3(444 ratings),Photography,Portraits,Posing,"3,801",English,Learn the Foundations of Poses That Will Flatter Your Subjects And Elevate Your Portrait Photography Skills,10/2018,12/30/19
"Portrait Photography Masterclass, All About Headshots",www.udemy.com/course/portrait-photography/,Rapid Growth Coaching Top 10% on Udemy,99.99,11.99,4.2(302 ratings),Photography,Digital Photography,Portrait Photography,"3,403",English,"Your complete guide to pro headshots with simple gear. You'll discover how to use your gear, edit like a pro, and more",3/2019,12/30/19
The Ultimate Recipe For Taking Amazing Portraits Every Time!,www.udemy.com/course/the-ultimate-recipe-for-taking-amazing-portraits-every-time/,Sandy Dee,89.99,11.99,4.7(25 ratings),Photography,Portraits,Portrait Photography,173,English,From Posing to Lighting to Storytelling: 7 Special Ingredients to Master Your Photography Workflow & Shoot Like a Pro!,8/2019,12/30/19
Nikon Z6 / Z7 Crash Course,www.udemy.com/course/nikon-z6-z7-crash-course/,Michael Andrew,0.0,39.99,4.6(34 ratings),Photography,Digital Photography,Cameras,110,English,Made for Beginners,8/2019,12/30/19
Canon 90D Crash Course Training,www.udemy.com/course/canon-90d-crash-course-training/,Michael Andrew,0.0,39.99,4.8(7 ratings),Photography,Digital Photography,Portrait Photography,13,English,Made For Beginners,11/2019,12/30/19
Portrait Photography for Beginners,www.udemy.com/course/portrait-photography-course/,William Carnahan,99.99,11.99,4.0(295 ratings), Photography,Portraits,Portrait Photography,"25,697",English,You'll learn how to take better portraits with any camera in this complete portrait photography course.,3/2019,12/30/19
Mastering Portrait Photography,www.udemy.com/course/mastering-portrait-photography/,Creative Online School,194.99,11.99,4.3(144 ratings),Photography,Portraits,Portrait Photography,"18,764",English,"Compositional Techniques for Portraits, Lighting skills, Tips for Corporate Portraits, Wedding and Event Portraits",1/2019,12/30/19
Portrait Photography: Creative Tips & Ideas for Great Images,www.udemy.com/course/photography-creative-portraiture-tips-and-ideas/,Bernie Raffe AMPA,39.99,11.99,4.2(94 ratings),Photography,Portraits,Portrait Photography,489,English,"Tips, tricks & Ideas for stunning portraits using natural light & flash. Live sessions with models, families & children",11/2018,12/30/19
Digitally Painting Vintage Pinup Portraits from a Photograph,www.udemy.com/course/create-vintage-style-pin-up-portraits-from-a-photograph/,Lori Jill,49.99,11.99,4.8(94 ratings),Photography,Portraits,Portrait Photography,773,English,Learn to create classic style Pin-up art using Photoshop and step above the competition by offering something unique,12/2014,12/30/19
