Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
How to Draw From Beginner to Master,www.udemy.com/course/how-to-draw-from-beginner-to-master/,Joseph Patric Daniels,199.99,22.79,"4.7(1,084 ratings)",Lifestyle,Arts & Crafts,Drawing,"10,390",English,Drawing and Shading From Fundamentals to Photorealism,5/2019,12/31/19
Mastering the Art of the Portrait - Drawing For Beginners,www.udemy.com/course/master-portrait-drawing/,Chris Petrocchi,194.99,17.99,4.4(192 ratings),Design,Other,Portraiture,"2,803",English,How To Draw Human Faces : Realistic Portrait Drawing : Beginners Portraiture Step by Step : How To Draw Portraits : Art,12/2019,12/31/19
Portrait Drawing Fundamentals Made Simple,www.udemy.com/course/portrait-drawing-fundamentals-made-simple/,Ethan Nguyen,99.99,15.59,4.5(714 ratings),Lifestyle,Arts & Crafts,Drawing,"4,869",English,Learn How to Draw Realistic Heads & Faces Step-by-Step! Sketch People & Facial Features For Beginners.,10/2019,12/31/19
Portrait Painting From Photograph - Colorful Watercolor,www.udemy.com/course/portrait-painting-from-photograph-colorful-watercolor/,Liron Yanconsky,29.99,14.99,4.2(112 ratings),Design,Other,Portraiture,714,English,Learn How to Draw and Paint Colorful and Vibrant Portrait Paintings in Watercolor,3/2018,12/31/19
Portrait Drawing The Smart Way,www.udemy.com/course/portrait-drawing-the-smart-way/,Matthew Fussell,34.99,14.99,4.2(228 ratings),Lifestyle,Arts & Crafts,Drawing,"1,885",English,Lessons and Exercises for Drawing Accurate Portraits,9/2017,12/31/19
Beginners Guide to Studio Portrait Photography,www.udemy.com/course/the-absolute-beginners-guide-to-studio-portraiture/,Charlie Borland,29.99,11.39,4.8(85 ratings),Lifestyle,Arts & Crafts,Portraiture,"1,132",English,Start your own studio portrait business and learn learn how to light people in a complimentary way.,2/2019,12/31/19
The Face Anatomy Drawing Course: Anatomy To Render,www.udemy.com/course/face-anatomy-for-artist/,Alejandro Encisso,89.99,14.99,3.9(45 ratings),Lifestyle,Arts & Crafts,Portraiture,627,English,Take your portraits to another level understanding the anatomy of the face. With 3d models and Drawing examples,9/2018,12/31/19
"Simple Portraits | Easy, Effective Portraiture Lessons",www.udemy.com/course/simple-portraits-easy-effective-portraiture-lessons/,Matthew Dewey,29.99,11.39,4.8(4 ratings),Lifestyle,Arts & Crafts,Drawing,809,English,I teach you the effective and easy methods to draw portraits. I will teach you everything from structure to shading.,10/2019,12/31/19
Complete Portrait And Figure Painting (step-by-step),www.udemy.com/course/complete-portrait-and-figure-painting-step-by-step/,Donelli DiMaria,19.99,11.99,3.5(86 ratings),Lifestyle,Arts & Crafts,Painting,624,English,Course covers the basics of figure and portrait painting using a limited palette.,1/2015,12/31/19
The Ultimate Portrait Drawing Course - Beginner to advanced,www.udemy.com/course/the-ultimate-portrait-drawing-course-beginner-to-advanced/,Alejandro Encisso,89.99,11.39,4.0(27 ratings),Design,Graphic Design,Drawing,376,English,Lean how to draw a realistic portrait like a pro in 20 minutes whith a simple and easy metod,7/2018,12/31/19
Beautiful Woman Portrait Drawing with Colored Ballpoint Pens,www.udemy.com/course/beautiful-woman-portrait-drawing-with-colored-ballpoint-pens/,Matin Shafiei,89.99,11.39,5.0(2 ratings),Design,Graphic Design,Pen Drawing,90,English,Learn How to Draw a Beautiful Portrait with Colored Ballpoint Pens,2/2019,12/31/19
Head Drawing Fundamentals,www.udemy.com/course/head-drawing-fundamentals/,Mark Hill,29.99,11.39,4.3(4 ratings),Design,Graphic Design,Portraiture,20,English,Learn how to construct a portrait from start to finish!,8/2019,12/31/19
How to Draw Head and Face of a Person in the Procreate 2019,www.udemy.com/course/how-to-draw-head-and-face-of-a-person-in-the-procreate-2019/,Tofan Pourreza,19.99,11.39,3.6(3 ratings),Design,Graphic Design,Procreate Digital Illustration App,33,English,"Learn How to Draw Full-Faced, Profile and Two Thirds Face of a Person with Procreate App 2019",5/2019,12/31/19
Learn how to paint my Watercolor painting wedding portrait.,www.udemy.com/course/learn-how-to-paint-my-watercolor-painting-wedding-portrait/,David Walker,34.99,11.39,5.0(2 ratings),Lifestyle,Arts & Crafts,Portraiture,15,English,"Follow my step by step lessons,right from the beginning,paint watercolor portraits like a professional artist does it!",9/2019,12/31/19
Watercolor realistic portrait painting step by step workshop,www.udemy.com/course/watercolor-realistic-portrait-painting-step-by-step-workshop/,Tetiana Khalazii,19.99,11.39,3.5(25 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,174,English,Watch me creating realistic portrait of a smiling gir in watercolor. I show the process and provide you with comments.,2/2016,12/31/19
