Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become a Probability & Statistics Master,www.udemy.com/course/statistics-probability/,Krista King,199.99,11.39,"4.6(2,826 ratings)",Teaching & Academics,Math,Probability,"24,047",English,"Learn everything from Probability & Statistics, then test your knowledge with 600+ practice questions",12/2019,01/01/20
Probability for Statistics and Data Science,www.udemy.com/course/probability-for-statistics-and-data-science/,365 Careers,194.99,11.39,4.4(202 ratings),Development,Data Science,Probability,"2,169",English,"Probability for improved business decisions: Introduction, Combinatorics, Bayesian Inference, Distributions",10/2019,01/01/20
Workshop in Probability and Statistics,www.udemy.com/course/statshelp/,George Ingersoll,39.99,11.39,"4.5(2,976 ratings)",Teaching & Academics,Math,Probability,"23,595",English,This workshop will teach you the fundamentals of statistics in order to give you a leg up at work or in school.,1/2019,01/01/20
Probability and Statistics - Practice Tests and Solutions,www.udemy.com/course/probability-and-statistics-quizzes-mcq/,Sandeep Kumar ­,39.99,11.39,5.0(2 ratings),Business,Data & Analytics,Probability,125,English,Master the Probability and Statistics Concepts by Solving 100+ Problems - Explanation Videos Included.,12/2019,01/01/20
Master Special Probability Distributions in Statistics.,www.udemy.com/course/master-special-probability-distributions-in-statistics/,Shilank Singh,174.99,11.39,4.1(15 ratings),Teaching & Academics,Math,Probability,692,English,"Learn here everything about Normal Distribution, Hypothesis Testing, Chi - Square Test, etc., with 90+ Solved Example.",11/2019,01/01/20
"Probability & Statistics Mistakes, in Decision Making!",www.udemy.com/course/probability-statistics-mistakes-misconceptions-lessons/,Sivakami S,79.99,11.39,4.7(53 ratings),Personal Development,Leadership,Decision Making,475,English,"Lessons for Leaders and Managers: Learn and Avoid the common Misconceptions and Mistakes, in Probability & Statistics.",10/2019,01/01/20
Statistics : Random Variables and Probability Distributions,www.udemy.com/course/random-variables-probability-distributions/,Shubham Kalra,99.99,11.39,4.1(41 ratings),Teaching & Academics,Math,Probability,"2,256",English,"60+ solved questions to help you get into the flow of cracking statistics problems (Binomial,Normal Distribution etc)",11/2019,01/01/20
Probability and Statistics for Beginners,www.udemy.com/course/statistics-and-probability-basics-introduction-course/,LetsTute Make it Easy,19.99,11.39,3.7(42 ratings),Teaching & Academics,Math,Probability,"3,293",English,A Complete Beginner Guide to statistics & Probability. Master the Fundamentals of Probability and Statistics.,8/2019,01/01/20
Introduction To Applied Probability,www.udemy.com/course/probability-and-statistics-for-machine-learning-1/,Shilank Singh,109.99,11.39,3.9(14 ratings),Teaching & Academics,Math,Probability,411,English,"Fundamental Course in Probability for Machine Learning, Data Science, Computer Science and Electrical Engineering",11/2019,01/01/20
Probability and Statistics 1: The Complete Guide,www.udemy.com/course/probability-and-statistics-1-the-complete-guide/,L Sang,199.99,11.39,4.2(19 ratings),Teaching & Academics,Math,Probability,"8,651",English,Learn everything fast through concise yet contented lectures,11/2019,01/01/20
GRE Probability,www.udemy.com/course/probability-gre/,SWARTWOOD PREP,129.99,11.39,4.8(5 ratings),Teaching & Academics,Test Prep,GRE,16,English,All the Probability You Need for the GRE!,3/2019,01/01/20
Introductory Probability (A Crash Course),www.udemy.com/course/introductory-probability/,SWARTWOOD PREP,24.99,11.39,4.7(13 ratings),Teaching & Academics,Test Prep,Probability,764,English,From Permutations & Combinations to the Law of Total Probability,1/2019,01/01/20
Introductory Probability and Statistics,www.udemy.com/course/introductory-probability-and-statistics/,Ash Narayan Sah,149.99,11.39,4.1(8 ratings),Development,Data Science,Probability,74,English, An Excel Oriented Course,1/2019,01/01/20
Probability made easy: Continuous randomness,www.udemy.com/course/probability-made-easy-continuous-randomness/,Dynamic Lectures,19.99,11.39,4.7(7 ratings),Teaching & Academics,Math,Probability,"1,180",English,Get ready for a college exam,1/2016,01/01/20
Learn Probability concepts and counting techniques ,www.udemy.com/course/learn-probability-concepts-and-counting-techniques/,Luc Zio,49.99,11.39,4.1(13 ratings),Teaching & Academics,Math,Probability,729,English,Learn how to solve probability and counting problems through this hands-on course with many quizzes and solved problems.,10/2013,01/01/20
Basics of Probability,www.udemy.com/course/basics-of-probability/,Paula Cavalcanti,99.99,11.39,5.0(1 rating),Teaching & Academics,Math,Probability,4,English,Counting and Distributions,10/2019,01/01/20
Probability Made Easy,www.udemy.com/course/probability-made-easy/,Dynamic Lectures,19.99,11.39,4.3(20 ratings),Teaching & Academics,Math,Probability,876,English,Learn fundamental notions of discrete probability theory,1/2016,01/01/20
A Quick Bite in Probability,www.udemy.com/course/a-quick-bite-in-probability/,Girijesh Pathak,39.99,11.39,4.6(72 ratings),Teaching & Academics,Math,Probability,229,English,Beginning of mastering Probability and Statistics. Build strong foundation to excel in data science.,11/2019,01/01/20
Probability - Strengthen your Basics!,www.udemy.com/course/dont-memorise-probability/,Don't Memorise,19.99,11.39,5.0(1 rating),Teaching & Academics,Math,Probability,5,English,"Learn the basics of Probability, and test your knowledge with many practice questions",8/2019,01/01/20
Probability For Beginners : Building a  Foundation,www.udemy.com/course/probability-foundation-course/,Surya Kumari Gandikota,39.99,11.39,4.5(12 ratings),Teaching & Academics,Math,Probability,"1,614",English,This course lays a strong foundation of concepts to compute and interpret theoretical and experimental probabilities.,12/2013,01/01/20
Probability for beginners | Mathematics & Statistics,www.udemy.com/course/probability-o/,LetsTute Make it Easy,19.99,11.39,4.2(42 ratings),Teaching & Academics,Math,Probability,"2,800",English,An entire course on Statistics and Probability from beginner's level to advanced level.,8/2019,01/01/20
Probability made easy: Learn counting techniques,www.udemy.com/course/probability-made-easy-learn-counting-techniques/,Dynamic Lectures,19.99,11.39,4.2(9 ratings),Teaching & Academics,Math,Probability,741,English,Learn counting techniques,1/2016,01/01/20
