Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Drawing and Painting on the iPad with Procreate,www.udemy.com/course/drawing-and-painting-on-the-ipad-with-procreate/,Brad Colbow,19.99,11.99,"4.6(6,663 ratings)",Design,Design Tools,Digital Art,"26,240",English,Learn everything you need to know about Procreate with hands on drawing lessons. Now updated for Procreate 4.3.,8/2019,12/30/19
"Procreate: Draw, Sketch, Paint, and Design on Your iPad",www.udemy.com/course/procreate-draw-sketch-paint-and-design-on-your-ipad/,Video School Online Inc,199.99,16.79,"4.5(1,058 ratings)",Lifestyle,Arts & Crafts,Procreate Digital Illustration App,"8,261",English,Learn how to draw on your iPad with this complete Procreate course! Bring your imaginations to life with digital art!,11/2019,12/30/19
The Beginner's Guide to Digital Art with Procreate on iPad!,www.udemy.com/course/procreate-guide/,Kurt Michael Russell,49.99,12.59,"4.6(1,322 ratings)",Lifestyle,Arts & Crafts,Digital Art,"6,927",English,"Learn the basics of digital art on your iPad with these step-by-step lessons for Procreate, a powerful digital art app!",1/2019,12/30/19
ProCreate Masterclass: How to Draw and Paint on iPad Course,www.udemy.com/course/procreate-course-how-to-draw-on-your-ipad-how-to-paint-on-your-ipad/,Scott Harris,199.99,11.99,"4.5(1,001 ratings)",Design,Other,Procreate Digital Illustration App,"7,713",English,The top course on how to draw and paint on iPad with Procreate and Apple Pencil. Learn to use Procreate within today!,12/2019,12/30/19
How to Draw Cartoon Characters In Procreate,www.udemy.com/course/how-to-draw-cartoon-characters-in-procreate/,Brad Colbow,19.99,11.39,4.7(573 ratings),Design,Design Tools,Procreate Digital Illustration App,"2,660",English,Learn how to bring your cartoon characters to life using Procreate,2/2019,12/30/19
The Procreate 4.1 Super Course,www.udemy.com/course/the-procreate-4-super-course/,Austin Batchelor,119.99,11.39,4.5(621 ratings),Design,Design Tools,Procreate Digital Illustration App,"12,596",English,The most comprehensive course on Procreate 4.1 available on the internet,11/2019,12/30/19
The Digital Painting w/ Procreate Guide | Grayscale method,www.udemy.com/course/procreatepainting/,Kurt Michael Russell,49.99,11.39,4.7(396 ratings),Lifestyle,Arts & Crafts,Digital Painting,"3,155",English,"We'll complete a digital painting in this step-by-step, easy to follow course with tons of tips, tricks, & shortcuts!",1/2019,12/30/19
"Procreate Academy. Ultimate Course, Digital Drawing on Ipad.",www.udemy.com/course/procreate-academy_procreate-course-ipad-digital-drawing-illustration/,Andres Brachetta ⭐⭐⭐⭐⭐,199.99,14.39,4.2(90 ratings),Design,Design Tools,Digital Art,835,English,â¢ Best Seller Instructor - Top #1 Procreate Academy | Create Incredible Ilustrations & Digital Drawings on your Ipad pro,12/2019,12/30/19
The Advanced Guide to Digital Art with Procreate on iPad!,www.udemy.com/course/procreate-guide-advanced/,Kurt Michael Russell,49.99,11.39,4.5(246 ratings),Lifestyle,Arts & Crafts,Procreate Digital Illustration App,"2,692",English,"Learn creative tips, art techniques, little-known gestures, & shortcuts for this powerful digital art app for iPad!",2/2019,12/30/19
Procreate like a Pro: Create Awesome Digital Art on an iPad,www.udemy.com/course/procreate-like-a-pro-create-awesome-digital-art-on-an-ipad/,Robert Marzullo,199.99,13.79,4.7(156 ratings),Lifestyle,Arts & Crafts,Digital Art,"1,258",English,Learn how to use this amazing app and an iPad to create professional looking artwork.,12/2018,12/30/19
