Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become a Product Manager | Learn the Skills & Get the Job,www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/,Cole Mercer,194.99,13.79,"4.5(18,898 ratings)",Business,Management,Product Management,"82,983",English,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",12/2019,01/02/20
"Advanced Product Management: Vision, Strategy & Metrics",www.udemy.com/course/advanced-product-management-vision-strategy-metrics/,Cole Mercer,199.99,11.99,"4.4(1,077 ratings)",Business,Management,Product Management,"7,840",English,"Learn the skills Product Managers use every day. Vision, strategy, & advanced metrics for Product Managers",12/2019,01/02/20
Advanced Product Management #2: Leadership & Communication,www.udemy.com/course/advanced-product-management-2-leadership-communication/,Cole Mercer,149.99,11.39,4.5(175 ratings),Business,Management,Product Management,"3,069",English,"Accelerate your Product Management career. Master communication, people management, & leadership",12/2019,01/02/20
The Complete Product Management Course,www.udemy.com/course/the-complete-product-management-course/,Charles Du,199.99,11.39,"4.3(2,778 ratings)",Business,Management,Product Management,"12,956",English,"Learn the skills, tools, and processes needed to become an irreplaceable PM. Examples from NASA, Google, Zappos, Apple",3/2019,01/02/20
Product Management 101,www.udemy.com/course/productmanagement101/,Todd Birzer,19.99,11.39,"4.5(2,806 ratings)",Business,Management,Product Management,"33,625",English,Learn to become a more strategic product manager - and have a greater impact on your company and your products.,12/2019,01/02/20
Master the Product Manager Interview - The Complete Guide,www.udemy.com/course/productmanagementinterview/,Charles Du,199.99,11.39,"4.4(1,449 ratings)",Business,Management,Product Management,"10,246",English,"Learn the secrets to giving perfect answers at a product management interview, get noticed, and land multiple job offers",7/2017,01/02/20
Product Management :Agile Requirements using Product Backlog,www.udemy.com/course/agile-product-management-scrum/,Paul Ashun,194.99,15.59,3.7(413 ratings),Business,Management,Product Management,"17,040",English,"Learn to manage requirements as a scrum product owner using user stories ( Business Analysis , Scrum Master)",9/2019,01/02/20
Product Management A-Z: Excel as a PM & Build great Products,www.udemy.com/course/productmonk-a-z-become-product-manager-build-and-scale-your-product/,Vaibhav Gupta,84.99,21.25,4.4(187 ratings),Business,Management,Product Management,980,English,Product Management course (with Live Case Exercises & inputs from PMs @Top Tech cos.)- Build n Grow products & Get Hired,3/2019,01/02/20
Build Persuasive Products,www.udemy.com/course/designing-engaging-user-experiences/,Anders Toxboe,49.99,11.39,4.5(317 ratings),Design,User Experience,Product Management,"2,494",English,Learn how to apply psychology to design engaging online user experiences that make people take action.,8/2015,01/02/20
Digital Product Management,www.udemy.com/course/digital-product-management/,Scott Germaise,174.99,11.39,3.6(172 ratings),Business,Management,Digital Product,"1,145",English,Learn what you'll need to craft successful Digital Products whether Startup or Corporate,8/2017,01/02/20
Product Management: Building Great Products,www.udemy.com/course/product-management-building-great-products/,Jon Kolko,0.0,44.99,4.0(22 ratings),Business,Entrepreneurship,Product Management,109,English,A step-by-step guide to design-led product management,2/2017,01/02/20
