Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Presentation and Public Speaking/Speech Course,www.udemy.com/course/the-complete-presentation-and-public-speaking-speech-course/,Chris Haroun,199.99,11.99,"4.4(6,274 ratings)",Business,Communications,Presentation Skills,"62,286",English,From page to stage; learn everything you need to know about giving a great speech for business & personal presentations.,10/2019,12/30/19
2020 Complete Public Speaking Masterclass For Every Occasion,www.udemy.com/course/the-complete-public-speaking-masterclass-for-every-occasion/,TJ Walker,199.99,17.39,"4.3(3,746 ratings)",Personal Development,Influence,Public Speaking,"49,680",English,"TJ Walker's Incredibly Thorough and Comprehensive Public Speaking Course for Every Situation, Audience and Skill Level",12/2019,12/30/19
Public Speaking: You Can be a Great Speaker within 24 Hours,www.udemy.com/course/the-ultimate-public-speaking-course/,TJ Walker,199.99,12.59,4.6(242 ratings),Business,Communications,Public Speaking,"5,065",English,"Public Speaking - Give fantastic speeches, presentations and PowerPoint talks. Never be a Mediocre presenter again.",4/2019,12/30/19
Public Speaking Training & Facilitator Certification,www.udemy.com/course/public-speaker-training-workshop-facilitator-certification/,Joeel & Natalie Rivera,194.99,11.99,4.4(597 ratings),Business,Communications,Facilitation,"3,834",English,"World-class public speaking and facilitating: Learn presentations skills, engage your audience, and develop confidence",12/2019,12/30/19
Public Speaking and Presentations Pro: No Beginners Allowed!,www.udemy.com/course/give-a-dazzling-keynote-presentation/,Jason Teteak,199.99,11.39,"4.5(1,583 ratings)",Business,Communications,Presentation Skills,"12,071",English,"Learn the public speaking secrets to giving a master presentation, techniques most speakers have never even heard of.",10/2019,12/30/19
Acumen Presents: Chris Anderson on Public Speaking,www.udemy.com/course/chris-anderson-on-public-speaking/,+Acumen Courses,179.99,45.00,"4.5(4,536 ratings)",Business,Communications,Public Speaking,"26,226",English,The Head of TED Teaches You How to Deliver Talks that Share Powerful Ideas,4/2018,12/30/19
Become Better and Funnier at Public Speaking,www.udemy.com/course/7-comedic-habits-to-be-consistently-funnier-presenting/,David Nihill,94.99,13.19,"4.5(1,094 ratings)",Business,Communications,Public Speaking,"13,969",English,"Quick, easy & fun steps to enliven your presentation skills with proven techniques from the world of stand-up comedy.",3/2016,12/30/19
Powerful speaking,www.udemy.com/course/powerful-speaking/,Julian Treasure,0.0,29.99,"4.4(4,631 ratings)",Business,Communications,Public Speaking,"22,009",English,Learn how to speak so people listen from a 5-time TED speaker - includes a masterclass in public speaking.,12/2013,12/30/19
Speak Up! Stand Out and be HAPPY,www.udemy.com/course/speak-up/,Alexa Fischer,44.99,11.39,4.4(356 ratings),Business,Communications,Public Speaking,"6,690",English,"Polish your communication skills by learning simple techniques + easy adjustments to your mind, voice + body.",10/2013,12/30/19
Motivation: You Can Become a Motivational Speaker,www.udemy.com/course/how-to-be-a-motivational-speaker/,TJ Walker,199.99,16.19,4.3(206 ratings),Personal Development,Personal Transformation,Public Speaking,"2,634",English,Motivation: You can mold the experiences of your life into a a great motivational speech and a speaking career,4/2019,12/30/19
"Presentation Skills: Give More Powerful, Memorable Talks",www.udemy.com/course/presentation-skills-public-speaking/,Joseph Liu,0.0,199.99,4.4(697 ratings),Business,Communications,Presentation Skills,"3,341",English,Improve your public speaking skills by using proven branding techniques to make your presentations truly shine,1/2019,12/30/19
Speak Like a Pro: Public Speaking for Professionals,www.udemy.com/course/speak-like-a-pro-public-speaking-for-professionals/,Jennifer Hennings,0.0,199.99,4.5(514 ratings),Business,Communications,Public Speaking,"2,205",English,"Master presentation skills and impromptu speaking, conquer speech anxiety, and get your point across to any audience",4/2019,12/30/19
Easily Release Your Fear of Public Speaking Right Now,www.udemy.com/course/how-to-release-the-fear-of-public-speaking/,Alexa Fischer,199.99,11.39,4.2(187 ratings),Business,Communications,Public Speaking,"3,791",English,"Identify and Remove Your Public Speaking Anxiety Once and For All Using Incredibly Effective, Simple Techniques",3/2016,12/30/19
Storytelling for Public Speaking,www.udemy.com/course/storytelling-for-public-speakers-from-zero-to-hero/,Alex Glod,124.99,11.39,4.3(501 ratings),Business,Communications,Storytelling,"5,711",English,"Inspire, Engage and Persuade your Audiences With Powerful Storytelling and Expressive Public Speaking",5/2018,12/30/19
The Art of Public Speaking - Become a Confident Presenter,www.udemy.com/course/the-art-of-public-speaking-become-a-confident-presenter/,Jimmy Naraine,199.99,11.39,4.6(224 ratings),Business,Communications,Public Speaking,"3,701",English,Overcoming public speaking anxiety is not as hard as you may think! All you need is the right public speaking course.,11/2019,12/30/19
Enhance Your Speaking Voice,www.udemy.com/course/enhance-your-speaking-voice/,Marina Deestan-Jones,19.99,11.39,4.0(145 ratings),Business,Communications,Public Speaking,"2,662",English,"Your voice says a lot about you - improve your delivery, confidence and performance.",3/2018,12/30/19
Public Speaking for Kids: Kids Can Be Great Speakers Now!,www.udemy.com/course/public-speaking-for-kids/,TJ Walker,34.99,11.99,4.0(109 ratings),Teaching & Academics,Social Science,Public Speaking,"6,671",English,Public Speaking: It's never to early to learn how to speak effectively and with confidence. An essential life skill,4/2019,12/30/19
