Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Sounds True Presents: Qi Gong for Health and Healing,www.udemy.com/course/qi-gong-for-health-and-healing/,Lee Holden,159.99,13.19,"4.6(1,250 ratings)",Health & Fitness,General Health,Qi Gong,"10,010",English,An Online Course with Lee Holden to Unleash the Power of Your Life-Force Energy,6/2014,01/01/20
"Extensive QiGong movement, breathing and meditation course.",www.udemy.com/course/qigong-course/,Michaël Bijker,199.99,13.19,4.6(232 ratings),Health & Fitness,Other,Qi Gong,"3,727",English,"Tap into the power of your life energy (Qi) and bring focus, clarity, strength and health into your life.",12/2019,01/01/20
Sounds True Presents: Qigong Master Key with Robert Peng,www.udemy.com/course/sounds-true-qigong-robert-peng/,Robert Peng,49.99,14.39,4.7(260 ratings),Personal Development,Personal Transformation,Qi Gong,"1,280",English,"Qigong Secrets for Vitality, Love, and Wisdom",7/2017,01/01/20
The Dao Of Self Healing,www.udemy.com/course/the-dao-of-self-healing/,Wobbly Spoon,199.99,11.39,4.5(29 ratings),Health & Fitness,General Health,Qi Gong,397,English,"Fundamentals of Qi Gong, Meditation, Dao Yin Yoga, Nutritional Healing & Self Healing Philosophy",3/2018,01/01/20
Learn Advanced Qigong to give you Instant Power & Strength,www.udemy.com/course/learn-advanced-qigong-to-give-you-instance-power-strength/,Peter Caughey,64.99,11.39,4.2(157 ratings),Health & Fitness,General Health,Qi Gong,"1,711",English,"This course teaches the Zhan Zhuang standing posture Qigong system, which will grow your strength, stamina and awareness",8/2018,01/01/20
Easy 18 Qigong for Health and Stress Reduction,www.udemy.com/course/easy-18-qigong/,Susan Thompson,34.99,11.39,4.7(69 ratings),Health & Fitness,General Health,Qi Gong,471,English,Finding health through gentle movement,7/2018,01/01/20
Qi Gong Instructor Training Certification Course Part 1/2,www.udemy.com/course/qigonginstructortrainingpart1/,Aihan Kuhn,0.0,199.99,4.9(11 ratings),Teaching & Academics,Teacher Training,Qi Gong,27,English,Become a Certified Qi Gong Instructor/Teacher Through This Home Study Program - Learn how to teach Qi Gong Effectively,7/2018,01/01/20
Mystical Qi Gong: Healing & Balancing of Body & Mind,www.udemy.com/course/mystical-qigong/,Orpheus B,64.99,16.25,4.7(38 ratings),Health & Fitness,General Health,Qi Gong,276,English,Mystical Qigong leading you into a healing intuitive flow of sacred martial arts movements,10/2017,01/01/20
Learn Advanced 5 Element Qigong Exercises & Healing Sounds,www.udemy.com/course/learn-advanced-5-element-qigong-exercises-healing-sounds/,Peter Caughey,69.99,11.39,4.6(11 ratings),Health & Fitness,General Health,Qi Gong,84,English,Learn profound exercises called Qigong known for thousands of years that give you extraordinary energy & exuberance,5/2019,01/01/20
Connecting Heaven & Earth Qigong,www.udemy.com/course/connecting-heaven-earth-qigong/,Des Lawton,64.99,11.39,4.9(89 ratings),Personal Development,Personal Transformation,Qi Gong,538,English,"A Five Elements, stand-alone Qigong exercise",10/2018,01/01/20
The Five Taoist Yin Qigong,www.udemy.com/course/the-five-taoist-yin-qigong/,Des Lawton,64.99,11.39,4.8(40 ratings),Health & Fitness,Meditation,Qi Gong,379,English,Qigong that brings balance to the entire meridian system,11/2017,01/01/20
Learn Advanced Heaven to Earth Qigong Exercises,www.udemy.com/course/learn-advanced-heaven-to-earth-qigong-exercises/,Peter Caughey,69.99,11.39,5.0(5 ratings),Health & Fitness,General Health,Qi Gong,69,English,Learn how to connect Heaven and Earth energy in your body,5/2019,01/01/20
Swimming Dragon Qigong,www.udemy.com/course/swimming-dragon-qigong/,Franklin Fick,69.99,11.39,4.1(4 ratings),Health & Fitness,General Health,Qi Gong,26,English,Simple Powerful Effective,11/2019,01/01/20
The Eight Exceptional Vessels Qigong,www.udemy.com/course/the-eight-exceptional-vessels-qigong/,Des Lawton,64.99,11.39,4.8(37 ratings),Personal Development,Personal Transformation,Qi Gong,427,English,Working with the Qi of the Extraordinary Meridians,11/2018,01/01/20
Qi Gong Instructor Training Certification Course Part 2/2,www.udemy.com/course/qigonginstructortrainingpart2/,Aihan Kuhn,0.0,199.99,5.0(3 ratings),Health & Fitness,General Health,Qi Gong,16,English,Become a Certified Qi Gong Instructor/Teacher Through This Home Study Program - Learn how to teach Qi Gong Effectively,7/2018,01/01/20
White Tiger Qigong Presents: Qigong to Conquer Fear,www.udemy.com/course/qigong-to-conquer-fear/,Tevia Feng,49.99,11.39,4.4(11 ratings),Health & Fitness,Yoga,Qi Gong,72,English,An online Course of Dynamic Healing and Qigong Fear Exercises,3/2019,01/01/20
The Embroidered Brocade Qigong,www.udemy.com/course/the-embroidered-brocade-qigong/,Des Lawton,64.99,11.39,4.5(20 ratings),Personal Development,Personal Transformation,Qi Gong,204,English,Bringing balance to life,11/2019,01/01/20
Learn Qigong — for Instant Health!,www.udemy.com/course/8pieceqigong/,Chris Anthony,44.99,11.39,4.6(24 ratings),Health & Fitness,Fitness,Qi Gong,180,English,Strength and flexibility for activities of daily life! Practicing daily Qigong leads to a longer life!,1/2017,01/01/20
"Lift Qi Up, Pour Qi Down",www.udemy.com/course/lift-qi-up-pour-qi-down/,Jeremy Colledge,29.99,11.39,4.7(23 ratings),Health & Fitness,Other,Qi Gong,138,English,A Zhineng Qigong beginners course,2/2019,01/01/20
Blue Mantis Presents - Swimming Dragon Qi Gong,www.udemy.com/course/blue-mantis-presents-swimming-dragon-qi-gong/,Adam Hansen,0.0,199.99,5.0(1 rating),Health & Fitness,General Health,Qi Gong,7,English,An internal journey to heal your life,4/2017,01/01/20
White Tiger Qigong Presents: Qigong for Worry and Anxiety,www.udemy.com/course/qigong-for-worry-and-anxiety/,Tevia Feng,49.99,11.39,4.7(11 ratings),Health & Fitness,Yoga,Qi Gong,103,English,An Online Course of Qigong meditation and deep breathing exercises to release Worry and Anxiety,8/2018,01/01/20
Qigong For Releasing Back Pain,www.udemy.com/course/qigong-for-releasing-back-pain/,Tevia Feng,49.99,11.39,4.6(10 ratings),Health & Fitness,Yoga,Qi Gong,88,English,An Online Course of Dynamic Qigong Exercises for a Pain Free Back,7/2019,01/01/20
White Tiger Qigong For Stress and Anger,www.udemy.com/course/white-tiger-qigong-for-stress-and-anger/,Tevia Feng,49.99,11.39,4.7(8 ratings),Health & Fitness,Other,Qi Gong,78,English,A special online Course that would help you find relief from stress and anger.,7/2019,01/01/20
Zhan Zhuang Qi Gong,www.udemy.com/course/zhan-zhuang-qi-gong/,Simone Marini,39.99,11.39,4.5(7 ratings),Health & Fitness,General Health,Qi Gong,59,English,Breathing exercises for physical and mental heatlh,9/2018,01/01/20
"Strengthen and Heal With Qigong: Body, Mind, Heart",www.udemy.com/course/ancientdesign/,Kelly Whelan-Enns,69.99,11.39,4.6(7 ratings),Health & Fitness,Fitness,Qi Gong,140,English,Qigong: A Practical Approach to Health and Healing,2/2017,01/01/20
Learn Secret Chinese Exercises: Live stress free & happy,www.udemy.com/course/learn-secret-chinese-health-exercises-live-free-from-stress/,Peter Caughey,49.99,11.39,4.7(66 ratings),Health & Fitness,General Health,Qi Gong,563,English,Learn profound Chinese exercises called Qigong known for thousands of years that create extraordinary energy & health,8/2018,01/01/20
White Tiger Qigong: Qigong for Upper Back and Neck Pain,www.udemy.com/course/qigong-for-upper-back-and-neck-pain/,Tevia Feng,49.99,11.39,4.4(16 ratings),Health & Fitness,Other,Qi Gong,85,English,An Online Course of Dynamic healing relief from neck and upper back pain,9/2018,01/01/20
White Tiger Qigong Presents: Qigong for Grief and Sadness,www.udemy.com/course/qigong-for-grief-and-sadness/,Tevia Feng,49.99,11.39,4.6(3 ratings),Health & Fitness,Yoga,Qi Gong,52,English,"An online course of Deep, Dynamic Healing Qigong Exercises",9/2018,01/01/20
Fitness and Health : Improve Fasciae Fitness with Qi Gong,www.udemy.com/course/fasciae-fitness-with-qi-gong/,Didier Hartmann,99.99,11.39,4.3(15 ratings),Health & Fitness,General Health,Fitness,165,English,"Fitness and health : Reconnect fasciae tissue : Improve Fitness and Health with Qi Gong - prevent pain, more energy",11/2018,01/01/20
Zodiac Qi Gong and Experiential Astrology - Healing Movement,www.udemy.com/course/zodiac-qi-gong-and-experiential-astrology-healing-movement/,VerDarLuz CelestiOwl,194.99,11.39,4.7(3 ratings),Health & Fitness,Yoga,Qi Gong,35,English,"Embody each Element and Align with each Sign of the Zodiac to Rejuvenate Body, Mind, and Soul",3/2019,01/01/20
Martial Arts — Iron Arm Qigong Program,www.udemy.com/course/ironarms/,Chris Anthony,89.99,11.39,4.3(2 ratings),Health & Fitness,Self Defense,Qi Gong,43,English,Traditional Iron Arm Qigong,6/2018,01/01/20
Therapeutic Qi Gong,www.udemy.com/course/therapeuticqigong/,Aihan Kuhn,0.0,19.99,4.9(7 ratings),Health & Fitness,Meditation,Qi Gong,23,English,Move your way to better mental and physical health with Qi Gong.,7/2018,01/01/20
"White Tiger Qigong for Pain-free Shoulders, Wrist, & Fingers",www.udemy.com/course/white-tiger-qigong-for-pain-free-shoulders-wrist-fingers/,Tevia Feng,49.99,11.39,4.2(3 ratings),Health & Fitness,Yoga,Qi Gong,56,English,"An online Course of dynamic Qigong exercises to stretch, strengthen and eliminate pain in target areas",9/2018,01/01/20
Relieve and End Your Lower Back Pain with Tai Chi & QiGong,www.udemy.com/course/relieve-and-end-your-lower-back-pain-with-tai-chi-qigong/,Ramel Rones,29.99,11.39,4.2(50 ratings),Health & Fitness,Fitness,Tai Chi,740,English,"Learn essential Tai Chi, QiGong, and Mind-Body techniques to relieve, end & prevent lower back pain & other conditions",11/2013,01/01/20
The Four Shen Qigong - working with the consciousness,www.udemy.com/course/four-shen-qigong/,Des Lawton,0.0,64.99,4.6(4 ratings),Personal Development,Other,Qi Gong,23,English,Advanced Qigong that can unlock your potential,12/2017,01/01/20
