Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"React - The Complete Guide (incl Hooks, React Router, Redux)",www.udemy.com/course/react-the-complete-guide-incl-redux/,Academind by Maximilian Schwarzmüller,189.99,11.99,"4.6(57,912 ratings)",Development,Programming Languages,React,"193,879",English,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",12/2019,12/30/19
"Complete React Developer in 2020 (w/ Redux, Hooks, GraphQL)",www.udemy.com/course/complete-react-developer-zero-to-mastery/,Andrei Neagoie,199.99,11.99,"4.7(3,868 ratings)",Development,Web Development,React,"24,164",English,"Become a Senior React Developer! Build a massive E-commerce app with Redux, Hooks, GraphQL, ContextAPI, Stripe, Firebase",12/2019,12/30/19
Modern React with Redux [2019 Update],www.udemy.com/course/react-redux/,Stephen Grider,179.99,11.99,"4.6(51,570 ratings)",Development,Web Development,React,"170,026",English,"Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App. Includes Hooks!",12/2019,12/30/19
The Complete React Developer Course (w/ Hooks and Redux),www.udemy.com/course/react-2nd-edition/,Andrew Mead,99.99,11.99,"4.7(13,732 ratings)",Development,Web Development,React,"48,499",English,"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",5/2019,12/30/19
React Front To Back 2019,www.udemy.com/course/modern-react-front-to-back/,Brad Traversy,119.99,11.99,"4.7(2,528 ratings)",Development,Web Development,React,"9,907",English,"Learn Modern React 16.8+ Including Hooks, Context API, Full Stack MERN & Redux By Building Real Life Projects",6/2019,12/30/19
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",www.udemy.com/course/modern-react-bootcamp/,Colt Steele,199.99,11.99,"4.7(2,377 ratings)",Development,Web Development,React,"13,187",English,Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!,5/2019,12/30/19
Node with React: Fullstack Web Development,www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,179.99,11.99,"4.6(10,053 ratings)",Development,Web Development,React,"54,193",English,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",12/2019,12/30/19
GraphQL with React: The Complete Developers Guide,www.udemy.com/course/graphql-with-react-course/,Stephen Grider,149.99,11.99,"4.6(5,916 ratings)",Development,Web Development,GraphQL,"33,327",English,Learn and master GraphQL by building real web apps with React and Node,12/2019,12/30/19
2019 Update! React Testing with Jest and Enzyme,www.udemy.com/course/react-testing-with-jest-and-enzyme/,Bonnie Schulkin,99.99,11.99,"4.4(1,269 ratings)",IT & Software,Other,React,"6,725",English,"Improve your React, Redux, Hooks and Context Code with Test Driven Development",10/2019,12/30/19
Advanced React and Redux: 2019 Edition,www.udemy.com/course/react-redux-tutorial/,Stephen Grider,139.99,11.99,"4.6(8,546 ratings)",Development,Web Development,React,"58,413",English,"Detailed walkthroughs on advanced React and Redux concepts - Authentication, Testing, Middlewares, HOC's, and Deployment",12/2019,12/30/19
MERN Stack - The Complete Guide,www.udemy.com/course/mern-stack-the-complete-guide/,Reed Barger,29.99,11.99,4.4(159 ratings),Development,Web Development,React,"1,327",English,"The Best Resource for Building Amazing Full-Stack Apps with the Best in MongoDB, Express, React and Node.js",12/2019,12/30/19
Go Java Full Stack with Spring Boot and React,www.udemy.com/course/full-stack-application-with-spring-boot-and-react/,in28Minutes Official,199.99,11.99,4.5(651 ratings),Development,Programming Languages,React,"3,256",English,Build Your First Java Full Stack Application with React & Spring Boot. Become a Java Full Stack Java Web Developer Now!,10/2019,12/30/19
Complete Next.js with React & Node - Beautiful Portfolio App,www.udemy.com/course/awesome-nextjs-with-react-and-node-amazing-portfolio-app/,Filip Jerga,179.99,11.99,4.5(314 ratings),Development,Web Development,React,"2,486",English,"Master Next.js (Next 9), React (React 16+) & Node. Learn how to build Isomorphic Website, incl. SEO, Blog, Deployment",12/2019,12/30/19
MERN Stack React Node Multi User Blogging Platform with SEO,www.udemy.com/course/react-node-nextjs-fullstack-multi-user-blogging-platform-with-seo/,Ryan Dhungel,19.99,11.99,4.7(76 ratings),Development,Web Development,React,698,English,Become an Ultimate Web Developer by building a Truly Real World SEO Web App using MERN (Mongo Express React Node) Stack,12/2019,12/30/19
