Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Fundamentals of Analyzing Real Estate Investments,www.udemy.com/course/real-estate-investment-analysis/,Symon He,199.99,13.19,"4.5(6,211 ratings)",Business,Real Estate,Real Estate Investing,"50,718",English,Learn professional investment analysis techniques for real estate investing in residential and commercial properties,12/2019,12/30/19
The Real Estate Financial Modeling Bootcamp,www.udemy.com/course/the-real-estate-financial-modeling-bootcamp/,Justin Kivel,199.99,11.99,"4.6(1,653 ratings)",Business,Real Estate,Real Estate Investing,"8,208",English,The Complete A to Z Guide to Modeling Real Estate Transactions in Microsoft Excel For Smarter Real Estate Investing,12/2019,12/30/19
Intro to Analyzing Rental Income Properties,www.udemy.com/course/real-estate-investing-introduction-investment-analysis/,Symon He,149.99,11.39,4.4(717 ratings),Business,Real Estate,Real Estate Investing,"16,085",English,Learn the fundamentals of investment analysis specifically for rental income property investments,7/2019,12/30/19
The Real Estate Pro Forma Modeling Master Class,www.udemy.com/course/the-real-estate-pro-forma-modeling-master-class/,Justin Kivel,199.99,12.59,4.8(564 ratings),Business,Real Estate,Financial Modeling,"4,748",English,"The Complete Step-By-Step Guide To Building Dynamic, Institutional-Quality Real Estate Pro Forma Models in Excel",12/2019,12/30/19
The Complete Guide To Multifamily Real Estate Investing,www.udemy.com/course/multifamily-real-estate-masters/,Justin Kivel,199.99,11.39,4.7(478 ratings),Business,Real Estate,Real Estate Investing,"3,398", English,The Step-By-Step Guide To Analyzing and Acquiring Multifamily Properties,12/2019,12/30/19
The Advanced Real Estate Financial Modeling Bootcamp,www.udemy.com/course/the-advanced-real-estate-financial-modeling-bootcamp/,Justin Kivel,199.99,11.39,4.8(237 ratings),Business,Real Estate,Real Estate Investing,"2,133",English,The Complete Guide To Advanced Real Estate Financial Modeling For Real Estate Investment Professionals,12/2019,12/30/19
The Real Estate Equity Waterfall Modeling Master Class,www.udemy.com/course/the-real-estate-equity-waterfall-modeling-master-class/,Justin Kivel,199.99,11.99,4.8(424 ratings),Business,Real Estate,Real Estate Investing,"3,703",English,The Complete Guide To Building Dynamic Real Estate Equity Waterfall Models In Microsoft Excel,12/2019,12/30/19
The Real Estate Development Modeling Master Class,www.udemy.com/course/the-real-estate-development-pro-forma-modeling-master-class/,Justin Kivel,199.99,11.39,4.8(332 ratings),Business,Real Estate,Real Estate Investing,"2,055",English,The Complete Guide To Building Real Estate Development Pro Forma Models From Scratch For Smarter Real Estate Investing,12/2019,12/30/19
"Real Estate Investing: Learn to Fix & Flip , Step by Step!",www.udemy.com/course/discover-how-to-fix-and-flip-houses-step-by-step/,Khari Parker,199.99,11.39,4.4(767 ratings),Business,Real Estate,Real Estate Investing,"6,556",English,Learn how to fix and flip your first real estate investing deal with no experience. Excel as a Real Estate Entrepreneur!,3/2019,12/30/19
Commercial Real Estate Investing 101,www.udemy.com/course/commercial-real-estate-investing-101/,Justin Kivel,199.99,11.39,4.7(402 ratings),Business,Real Estate,Real Estate Investing,"3,278",English,"The Complete Beginner's Guide to Apartment, Retail, Office, and Industrial Real Estate Investing",12/2019,12/30/19
How to Analyze Multifamily Investment Opportunities,www.udemy.com/course/multifamily-investment-analysis/,Symon He,104.99,11.39,4.7(392 ratings),Business,Real Estate,Real Estate Investing,"12,002",English,Learn professional techniques and use investment-grade models to analyze multifamily investment deals,7/2019,12/30/19
