Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
SAP Simplified for Absolute Beginners,www.udemy.com/course/sap-simplified-for-absolute-beginners/,Ulrika Garner,69.99,11.99,"4.4(2,796 ratings)",Office Productivity,SAP, ,"9,196",English,Easy to follow Introduction into SAP ERP,8/2019,01/02/20
SAP ERP Essential Training,www.udemy.com/course/sap-erp-essential-training/,Joseph Beverly,199.99,14.39,4.2(497 ratings),Office Productivity,SAP, ,"5,178",English,Launch 6-figure SAP career with a 360-degree understanding of SAP ERP in 1 week,9/2019,01/02/20
SAP S/4 HANA Essential Training,www.udemy.com/course/sap-s4-hana-erp/,George Boyle,199.99,14.39,3.9(132 ratings),Office Productivity,SAP, ,"3,175",English,Master complete coverage of the latest SAP S4 HANA features and techniques to become a successful SAP ERP consultant,9/2019,01/02/20
SAP S4 HANA SIMPLE LOGISTICS,www.udemy.com/course/sap-s4-hana-simple-logistics/,Knowasap Training,199.99,11.39,4.1(197 ratings),Office Productivity,SAP,SAP S/4HANA,"1,678",English,Learn S4 HANA Simple Logistics and stay ahead,6/2019,01/02/20
Learn SAP Course - Online Beginner Training,www.udemy.com/course/learn-sap/,Peter Moxon,74.99,11.39,"4.0(1,707 ratings)", Office Productivity,SAP, ,"8,448",English,Learn SAP with Peter Moxon - Ideal Beginner SAP Training Course! Unlimited Life Time Access & Fully Downloadable!,3/2013,01/02/20
SAP ARIBA Training,www.udemy.com/course/sap-ariba-training/,Knowasap Training,199.99,11.39,3.2(24 ratings),IT & Software,IT Certification,SAP,331,English,SAP ARIBA Complete Course,10/2019,01/02/20
SAP HANA SQL Scripting - Step 2,www.udemy.com/course/sap-hana-sql-scripting-step-2/,Time For HANA (T4H),199.99,11.39,4.2(20 ratings),Office Productivity,SAP, ,471,English,Take your SAP HANA SQL & SQL Scripting skills to next level.,7/2019,01/02/20
SAP Logistic Execution,www.udemy.com/course/sap-logistic-execution-r3/,Abdul Maulud,74.99,11.39,4.4(134 ratings),Office Productivity,SAP, ,"1,102",English,A SAP Deepdive into the Logistic Execution,3/2019,01/02/20
SAP Data Services (BODS) Masterclass : Learn From Scratch,www.udemy.com/course/sap-bods/,Learn Anywhere,199.99,11.39,4.2(98 ratings),IT & Software,IT Certification,SAP,"1,203",English,"Extract ,Transform & Load Data using BODS|Connect to Data Sources|Schedule Jobs |Change Data Capture|Connect to Cloud",10/2019,01/02/20
Product Cost Controlling (CO-PC) in SAP - Real-Life Scenario,www.udemy.com/course/product-cost-controlling-in-sap/,Tim Hebb,0.0,64.99,4.1(56 ratings),IT & Software,Other,SAP,481,English,Learn how Product Costing (CO-PC) works in SAP through a real-life end-to-end scenario.,10/2018,01/02/20
SAP Security Training,www.udemy.com/course/sap-security-and-authorizations/,Dev S,94.99,11.39,3.9(269 ratings),IT & Software,Network & Security,SAP,"1,082",English,A practical and detail training program on SAP Security & Authorizations,8/2019,01/02/20
How to become a successful SAP Project Manager,www.udemy.com/course/sapprojectmanager/,Success Learner,0.0,54.99,4.4(226 ratings),IT & Software,Other, Project Management,"2,182",English,This course will teach you everything you need to become a successful SAP Project Manager.,10/2018,01/02/20
