Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
SEO 2019: Complete SEO Training + SEO for WordPress Websites,www.udemy.com/course/seo-get-to-number1-in-google-search/,Arun Nagarathanam,199.99,13.19,"4.3(7,343 ratings)",Marketing,Search Engine Optimization,SEO,"47,496",English,"Rank 1 on Google with Technical SEO, 1s Pagespeed, UX SEO, Backlink SEO, Keyword Research SEO + WordPress SEO Training",12/2019,12/31/19
Complete SEO Training With Top SEO Expert Peter Kent!,www.udemy.com/course/search-engine-optimization-for-beginners-seo-that-works/,Peter Kent,199.99,12.59,"4.3(3,383 ratings)",Marketing,Search Engine Optimization,SEO,"28,049",English,Win The SEO Game & Dominate The Search Engines With the Author of Best-Selling Search Engine Optimization for Dummies.,3/2018,12/31/19
The Complete SEO Guide to Ranking Local Business Websites,www.udemy.com/course/rank-local-business-websites/,Christine Maisel,199.99,11.39,"4.5(3,034 ratings)",Marketing,Search Engine Optimization,SEO,"21,330",English,Watch over my shoulder as I redesign and rank a real live client local business website on the 1st page of Google,4/2019,12/31/19
Amazon Affiliate Marketing + SEO | 250+ Videos | 18.0 Hours,www.udemy.com/course/seo-complete-guide-to-building-amazon-affiliate-sites/,The SEO Academy Leaders in SEO education,49.99,11.39,"4.4(1,782 ratings)",Marketing,Affiliate Marketing,SEO,"20,271",English,"Build Amazon Affiliate Marketing Sites - Niche & Keyword Research, Link Building, Silo Architecture, WordPress SEO",6/2019,12/31/19
The Complete SEO Training Masterclass 2020,www.udemy.com/course/complete-seo-training-masterclass/,Robin & Jesper | Digital Marketing Professionals,199.99,11.39,4.5(197 ratings),Personal Development,Career Development,SEO,"1,178",English,Effective SEO Training To Optimize Your Website & Get Traffic From Google To Your Or Clients Websites with SEO.,12/2019,12/31/19
SEO Training: Get Free Traffic to Your Website With SEO,www.udemy.com/course/seo-roadmap/,Daragh Walsh,199.99,11.39,"4.4(2,864 ratings)",Marketing,Search Engine Optimization,SEO,"33,123",English,"SEO Training to Rank #1 in Google. SEO Audit, Keyword Research, On Page SEO, Link Building, WordPress SEO & More!",10/2019,12/31/19
"Custom SEO Strategy: Keyword Research, Audit & Link Building",www.udemy.com/course/profitable-keyword-research/,Christine Maisel,199.99,11.99,4.5(785 ratings),Marketing,Search Engine Optimization,Keyword Research,"9,417",English,"Successfully rank your website on the 1st page of Google. Select the best keywords, optimize your site and build links",4/2019,12/31/19
YouTube SEO: How to Rank #1 on YouTube,www.udemy.com/course/youtubemaster/,Diego Davila,194.99,13.19,4.5(701 ratings),Marketing,Digital Marketing,YouTube Marketing,"7,745",English,"Proven Step by Step Strategy, That You Can Implement Right Now, to Rank Your Videos in the First Page of YouTube SEO",10/2019,12/31/19
2020 SEO Masterclass: Beginner To Advanced SEO,www.udemy.com/course/seo-with-google-other-large-platforms-to-get-great-scale/,Alex Genadinik,74.99,11.39,4.5(304 ratings),Marketing,Search Engine Optimization,SEO,"3,506",English,SEO marketing strategies effective for 2020. Get highly converting SEO traffic! Course updated monthly & always current!,12/2019,12/31/19
Build WordPress Sites that Attract Unlimited [Free] Traffic,www.udemy.com/course/build-a-wordpress-site-that-pulls-in-40000-visitors-a-month/,Theo McArthur,179.99,11.39,4.7(192 ratings),Business,Home Business,SEO,"1,659",English,New for 2019. How to use SEO and WordPress to attract unlimited free traffic from Google and the other search engines,10/2019,12/31/19
