Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete SQL Bootcamp,www.udemy.com/course/the-complete-sql-bootcamp/,Jose Portilla,194.99,11.99,"4.6(47,680 ratings)",Business,Data & Analytics,SQL,"198,578",English,Become an expert at SQL!,9/2019,12/30/19
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Colt Steele,179.99,11.99,"4.6(30,707 ratings)",Development,Databases,MySQL,"149,412",English,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,12/2019,12/30/19
SQL - MySQL for Data Analytics and Business Intelligence,www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,365 Careers,194.99,11.99,"4.6(11,509 ratings)",Business,Data & Analytics,MySQL,"46,250",English,"SQL that will get you hired â SQL for Business Analysis, Marketing, and Data Management",12/2019,12/30/19
Master SQL For Data Science,www.udemy.com/course/master-sql-for-data-science/,Imtiaz Ahmad,199.99,11.99,"4.6(3,758 ratings)",Business,Data & Analytics,SQL,"16,232",English,Become a SQL query wizard and never be afraid to look at a large SQL query again!,8/2019,12/30/19
Advanced SQL : SQL Expert Certification Preparation Course,www.udemy.com/course/sql-advanced/,"Oracle Master Training • 40,000+ Students Worldwide",199.99,11.99,"4.3(1,175 ratings)",Development,Databases,SQL,"14,330",English,Complete Your SQL Knowledge From Intermediate to Advanced Level and Get Your SQL Expert Certificate in Oracle!,11/2019,12/30/19
SQL for Data Analysis: Weekender Crash Course for Beginners,www.udemy.com/course/sql-for-newbs/,A Course You'll Actually Finish,199.99,11.99,"4.1(8,960 ratings)",Business,Data & Analytics,SQL,"49,970","English
 ","Using MySQL but applicable to Oracle SQL, Microsoft SQL Server, and PostgreSQL. Taught by a Data Scientist and PM.",4/2019,12/30/19
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,www.udemy.com/course/sqldatabases/,Kirill Eremenko,199.99,11.99,"4.4(2,601 ratings)",Development,Data Science,SQL,"16,155",English,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises,12/2019,12/30/19
Learn SQL Using PostgreSQL: From Zero to Hero,www.udemy.com/course/postgresql-from-zero-to-hero/,Will Bunker,124.99,11.99,4.4(738 ratings),Development,Databases,PostgreSQL,"5,401",English,"Master PostgreSQL starting with basics to advanced features like triggers, PL/pgSQL functions, Window Functions and CTE",11/2019,12/30/19
SQL & PostgreSQL for Beginners,www.udemy.com/course/sql-and-postgresql-for-beginners/,Jon Avis - SQL Instructor,199.99,11.99,"4.5(1,165 ratings)",IT & Software,Other,PostgreSQL,"6,817",English,SQL & PostgreSQL Tutorial: Become an Expert in SQL and PostgreSQL by Writing SQL Queries using PostgreSQL and PgAdmin 4.,8/2019,12/30/19
SQL Advanced,www.udemy.com/course/advanced-sql-tutorial/,Amarnath Reddy,149.99,11.99,"4.6(1,088 ratings)",IT & Software,Other,SQL,"8,273",English,Lead yourself to enhance your SQL skills and transform into Senior SQL Developer. Learn SQL by doing with me.,12/2018,12/30/19
SQL for Beginners: Learn SQL using MySQL and Database Design,www.udemy.com/course/sql-for-beginners-course/,Tim Buchalka's Learn Programming Academy,99.99,11.99,"4.5(1,899 ratings)",Development,Databases,SQL,"9,463",English,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,12/2019,12/30/19
"Become an SQL Developer:  Learn (SSRS, SSIS, SSAS,T-SQL,DW)",www.udemy.com/course/become-an-sql-developer-learn-ssrs-ssis-ssast-sqldw/,Bluelime Learning Solutions,194.99,11.99,"3.8(1,048 ratings)",Development,Databases,SQL,"6,927",English,"Learn SQL Developer Skills from Scratch(SSRS, SSIS, SSAS,T-SQL,Data Warehouse(DW))",8/2019,12/30/19
"MySQL, SQL and Stored Procedures from Beginner to Advanced",www.udemy.com/course/mysql-and-sql-from-beginner-to-advanced/,John Purcell,29.99,11.99,"4.4(1,816 ratings)",IT & Software,Other,MySQL,"11,766",English,"A beginners' guide to MySQL queries, database design, transactions and stored procedures.",5/2016,12/30/19
SQL For Data Science With Google Big Query,www.udemy.com/course/sql-for-data-science-with-google-big-query/,Chris Levy,99.99,11.99,4.5(419 ratings),IT & Software,Other,SQL,"1,993",English,"Learn SQL for Data Visualization, Data Analysis, and Data Science Using Google Cloud Platform",1/2019,12/30/19
Oracle 12c SQL Tuning - the Ultimate Guide,www.udemy.com/course/oracle-12c-sql-tuning/,Ahmed Baraka,169.99,42.50,4.6(83 ratings),IT & Software,Other,SQL,485,English,Be one of the top professionals who know how to tune Oracle SQL. No other course covers all this course topics.,9/2019,12/30/19
SQL Course For Beginners: Learn SQL Using MySQL Database,www.udemy.com/course/sqlcourse/,Ashutosh Pawar,194.99,11.99,"4.5(1,192 ratings)",Development,Databases,MySQL,"6,789",English,"Learn SQL From Scratch Using MySQL Databases, A Complete SQL Course For Beginners",4/2017,12/30/19
Learn SQL +Security(pen) testing from Scratch,www.udemy.com/course/database-testing-tutorial/,Rahul Shetty,199.99,11.39,4.4(791 ratings),Development,Software Testing,SQL,"5,278",English,Step by step Tutorial to learn SQL and Web Security testing with real time examples,3/2019,12/30/19
200+ SQL Interview Questions,www.udemy.com/course/sql-interview-questions/,Amarnath Reddy,99.99,11.39,4.1(894 ratings),Office Productivity,Oracle,SQL,"5,949",English,Prepare for an SQL Developer Interview with these 200+ Real World SQL Questions and Practical Answers,1/2017,12/30/19
SQL Masterclass: SQL for Data Analytics,www.udemy.com/course/the-complete-sql-masterclass-for-data-analytics/,Start-Tech Academy,199.99,11.39,4.2(982 ratings),Business,Data & Analytics,SQL,"51,893",English,SQL course covering basic to advanced SQL topics for SQL Database ( PostgreSQL ). Elucidates SQL Database for beginners,11/2019,12/30/19
Practical SQL Bootcamp for Data Analysts and Data Scientists,www.udemy.com/course/practical-sql-bootcamp-for-analysts/,"Ava Cas, PhD",199.99,11.39,4.7(198 ratings),Business,Data & Analytics,SQL,"1,048",English,Master One of the Most In-Demand Skills for Data Analysts in 2019!,9/2019,12/30/19
"Node, SQL, & PostgreSQL - Mastering Backend Web Development",www.udemy.com/course/node-postgresql/,David Joseph Katz,99.99,11.39,4.4(555 ratings),Development,Web Development,Node.Js,"3,167",English,"Boost your Node, Express, SQL, PostgreSQL and Backend Development Skills! NodeJS, Databases, Express, JS, ES6, + more!",11/2017,12/30/19
Oracle SQL - Step by Step SQL,www.udemy.com/course/oracle-sql-step-by-step-approach/,Amarnath Reddy,199.99,11.39,"4.3(1,941 ratings)",IT & Software,Other,SQL,"13,629",English,Discover essential SQL skills necessary to transform you into SQL developer which can earn you $70k+ in the IT Industry,12/2018,12/30/19
SQL Tutorial: Learn SQL with MySQL Database -Beginner2Expert,www.udemy.com/course/sql-tutorial-learn-sql-with-mysql-database-beginner2expert/,Pradnyankur Nikam,194.99,11.39,"4.5(1,398 ratings)",Development,Databases,SQL,"8,199",English,"Learn SQL and Database Development to work effectively in DBMS like MySQL, SQL Server, Oracle, PostgreSQL, DB2 etc.",4/2018,12/30/19
