Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
BECOME A GREAT SINGER: Your Complete Vocal Training System,www.udemy.com/course/become-a-great-singer-your-complete-vocal-training-system/,Robert Lunte,199.99,17.39,"4.3(3,717 ratings)",Music,Vocal,Singing,"39,785",English,"Immediately Improve Your Singing. (Any Level, Any Style)",11/2019,12/29/19
SINGING SIMPLIFIED #1: The Fast-Track to Singing Like a Pro,www.udemy.com/course/singing-simplified/,Steve Glazer,149.99,11.39,"4.7(1,315 ratings)",Music,Vocal,Singing,"11,426",English,"Find your unique voice naturally, while having FUN doing it! A modern approach to singing lessons & vocal training.",7/2019,12/29/19
Elite Singing Techniques - Phase I,www.udemy.com/course/elite-singing-techniques-phase-1/,Eric Arceneaux,0.0,99.99,"4.7(2,308 ratings)",Music,Vocal,Singing,"9,001",English,"Step by step singing system proven to develop great technique and vocal mastery, Results are immediate!",9/2019,12/29/19
Find your voice of nature (Throat singing),www.udemy.com/course/find-your-voice-of-nature/,Alex Kuular,199.99,50.00,4.7(200 ratings),Music,Vocal,Singing,897,English,This master class will help you to learn throat singing at home,2/2019,12/29/19
How To Sing #1: Complete Vocal Warm ups & Voice Physiology,www.udemy.com/course/singing-lessons-online/,Roma Waterman,149.99,11.39,"4.6(2,059 ratings)",Music,Vocal,Singing,"17,779",English,Singing Lessons for Vocal Warm Up Tips & Voice Essentials,10/2019,12/29/19
"SINGING SIMPLIFIED #2: Greater Range, Power and Control",www.udemy.com/course/singing-simplified-level-2/,Steve Glazer,149.99,11.39,4.6(156 ratings),Music,Vocal,Singing,"5,759",English,Singing lessons for YOUR unique voice. A FUN and modern approach to singing lessons & vocal training!,7/2019,12/29/19
Phase 2 - Becoming A Natural Singer ,www.udemy.com/course/phase-2-becoming-a-natural-singer/,Eric Arceneaux,0.0,99.99,4.9(397 ratings),Music,Vocal,Singing,"1,859",English,Advanced vocal training for experienced singers who are ready to take their skills to the next level.,12/2015,12/29/19
Extreme Singing: Grit & Screaming,www.udemy.com/course/extreme-singing/,Draven Grey,149.99,11.39,4.5(224 ratings),Music,Vocal,Singing,"1,887",English,"Learn Correct Vocal Distortion, Rasp, Grit, Rattle, Screaming, and Growling Without Grinding or Hurting Your Throat.",10/2019,12/29/19
How To Sing  #2: Increase Vocal Range & Blend Registers,www.udemy.com/course/how-to-sing-increase-vocal-range-blend-registers-agility/,Roma Waterman,149.99,11.39,4.2(451 ratings),Music,Vocal,Singing,"8,043",English,"Vocal Workouts To Get You Singing Higher, Louder & Stronger With More Flexibility",10/2019,12/29/19
Vocal Warmups for Great Technique,www.udemy.com/course/vocal-warmups-for-great-technique/,Robert Lischetti,199.99,11.39,4.8(350 ratings),Music,Vocal,Singing,"3,131",English,Singing lessons for beginners and professionals. Vocal training from an experienced voice teacher.,10/2018,12/29/19
SINGING MADE EASY (LEVEL 1): Complete Voice Training System,www.udemy.com/course/easy-steps-to-sing-like-a-pro/,Gabriel Burrafato,199.99,11.39,4.7(76 ratings),"Teaching & Academics
 ",Teacher Training,Singing,506,English,INSTANT RESULTS (All Levels & All Styles): Learn the secrets of the trade from AWARD WINNING BROADWAY CREDITED SINGER,9/2019,12/29/19
Throat singing / overtone singing,www.udemy.com/course/throat-singing-overtone-singing/,Jonathan (Jonny) Cope,34.99,11.39,4.7(122 ratings),Music,Vocal,Singing,"1,022",English,Techniques that allow the simultaneous production of two or more notes by the same singer.,11/2017,12/29/19
The Foundations of Singing,www.udemy.com/course/the-foundations-of-singing/,Georgina Hill-Brown,29.99,11.39,4.5(18 ratings),Music,Vocal,Singing,132,English,Ideal for beginners or anyone who wants to know about the foundations of singing technique.,10/2019,12/29/19
Vocal Workouts #1: SINGING SIMPLIFIED,www.udemy.com/course/vocal-workouts-1/,Steve Glazer,114.99,11.39,4.6(83 ratings),Music,Vocal,Singing,"3,089",English,"10, 30-minute vocal exercise sessions to help you get better, faster! (100 singing lessons)",4/2019,12/29/19
Learn Hindustani Classical Singing,www.udemy.com/course/beginners-course-to-hindustani-vocal-music/,Chandrani Sarma,99.99,11.39,4.8(42 ratings),Music,Vocal,Singing,861,English,Beginner's Guide To Mastering Hindustani Singing & Music: From Basic Sur & Taal To Bollywood Songs & Raags,5/2019,12/29/19
Vocal Boot Camp: Riffs and Runs ,www.udemy.com/course/vocal-boot-camp-riffs-and-runs/,Paul McKay,99.99,11.39,4.7(473 ratings),Music,Music Techniques,Singing,"3,173",English,A step by step guide to modern vocal improvisation for musicians and intermediate vocalists.,4/2017,12/29/19
Become a Better Singer: Lessons & Exercises for All Levels!,www.udemy.com/course/bettersinger/,Nathan Lawrence,149.99,11.39,4.5(195 ratings),Music,Vocal,Singing,"5,633",English,"Learn what's holding you back from great singing, then use our original vocal exercises to develop your voice.",8/2018,12/29/19
How To Sing #3 - Learn To Sing Harmonies,www.udemy.com/course/how-to-sing-3-learn-to-sing-harmonies/,Roma Waterman,124.99,11.39,3.9(91 ratings),Music,Vocal,Singing,"1,493",English,"Harmony Tips and Tricks for Duo, Group and Choir singing",10/2019,12/29/19
Sing like a Pro: Gain Vocal Mastery for any Tv Talent Show,www.udemy.com/course/sing-like-a-pro-gain-vocal-mastery-for-any-tv-talent-show/,Katarina Petric,119.99,11.39,5.0(3 ratings),Music,Vocal,Singing,102,English,"Advanced singing lessons and dozens of practical vocal training exercises, on the longest and most detailed course.",9/2019,12/29/19
Riffs and Runs 2: The Amazing Pentatonic (for singers),www.udemy.com/course/riffs-and-runs-2-the-amazing-pentatonic-for-singers/,Paul McKay,94.99,11.39,4.5(168 ratings),Music,Vocal,Singing,"1,598",English,Be competitive in todays pop/r&b market. Improve your Riffs and Runs.,12/2016,12/29/19
Ultimate Vocal Warm Up - Your Daily Singing Workout,www.udemy.com/course/ultimate-vocal-warm-up-your-daily-singing-workout/,Roma Waterman,89.99,11.39,4.8(29 ratings),Music,Vocal,Singing,289,English,"A Simple, Quick And Easy Vocal Warm You Can Use Everyday",10/2019,12/29/19
How to sing: Vocal technique - singing made easy!,www.udemy.com/course/how-to-sing-vocal-technique-singing-made-easy/,Maruja Retana,149.99,11.39,4.9(37 ratings),Music,Vocal,Singing,182,English,"Real world techniques as used by professional & successful singers. Works on ANY voice, not matter what level or genre!",8/2019,12/29/19
How To Sing Better - Full Singing Course And Vocal Exercises,www.udemy.com/course/how-to-sing-better/,Cathy Vard,99.99,13.79,4.2(95 ratings),Music,Vocal,Singing,"1,656",English,Learn how to sing effortlessly with triple platinum awarded recording artist and vocal coach Cathy Vard.,9/2018,12/29/19
Vocal Boot Camp: Increasing Your Range,www.udemy.com/course/vocal-boot-camp-increasing-your-range/,Paul McKay,89.99,11.39,4.7(199 ratings),Music,Vocal,Singing,"2,304",English,"A introductory guide to singing/vocalizing higher, louder and stronger.",9/2016,12/29/19
Breathing for Better Singing,www.udemy.com/course/breathing-for-better-singing/,Robert Lischetti,129.99,11.39,4.8(47 ratings),Music,Vocal,Singing,364,English,Singing with great breath support!,6/2018,12/29/19
How to Sing: Vocal Psychology - Perform & Think like a Pro,www.udemy.com/course/how-to-sing-vocal-psychology-perform-think-like-a-pro/,Maruja Retana,149.99,11.39,4.7(20 ratings),Music,Vocal,Singing,156,English,Holistic vocal coaching & success mindset coaching for singers of all levels & genres,4/2019,12/29/19
SINGING MADE EASY (LEVEL 2): Sing like a Pro!,www.udemy.com/course/singing-made-easy-level-2-sing-like-a-pro/,Gabriel Burrafato,199.99,11.39,5.0(2 ratings),Music,Vocal,Singing,51,English,Learn The Secrets Of The Trade From Award Winning Broadway Voice Coach Gabriel Burrafato,10/2019,12/29/19
Singing for Busy People,www.udemy.com/course/singing-course-for-busy-people/,Ramesha Nani,64.99,14.39,4.3(126 ratings),Music,Vocal,Singing,"1,267",English,Learn to sing while commuting to work (or performing other tedious tasks),6/2019,12/29/19
Stop Being Tone-Deaf,www.udemy.com/course/stop-being-tone-deaf/,Adam Mishan,99.99,11.39,4.4(6 ratings),Music,Vocal,Singing,55,English,Learn how to sing on pitch and carry a tune,11/2019,12/29/19
Natural Singing for everyone,www.udemy.com/course/online-singing-lessons/,John Oxley,119.99,11.99,4.4(104 ratings),Music,Vocal,Singing,995,English,Singing is breathing & Breathing is singing using the John Oxley Technique,4/2019,12/29/19
Vocal Improvement for Great Singing,www.udemy.com/course/voice-improvement-for-great-singing/,Chandrani Sarma,19.99,11.39,4.3(26 ratings),Music,Vocal,Singing,127,English,This course provides Vocal exercises for a more confident resonant voice with greater volume.,7/2018,12/29/19
Learn to Sing (Even if You Suck),www.udemy.com/course/learn-to-sing/,Micah Blake,99.99,11.39,4.2(140 ratings),Music,Vocal,Singing,"5,180",English,Have fun singing even if you are tone deaf,9/2018,12/29/19
Instant Voice Training: How to Train Your Voice Instantly!,www.udemy.com/course/instant-voice-training/,The INSTANT-Series,24.99,11.39,4.4(153 ratings),Business,Communications,Singing,"3,727",English,Vocal training and voice exercises used by professionals to improve your voice OVERNIGHT!,5/2018,12/29/19
Human Beatboxing - A Complete Course,www.udemy.com/course/the-complete-beatboxing-course/,Danny Ladwa,29.99,11.39,3.8(13 ratings),Music,Vocal,Breathing Techniques,212,English,Learn The Art Of Human Beatboxing With UK Championship Beatboxer Danny Ladwa.,8/2018,12/29/19
How to Sing High Notes Without Effort,www.udemy.com/course/how-to-sing-high-notes-without-effort/,Ramesha Nani,59.99,11.39,4.4(79 ratings),Music,Vocal,Singing,728,English,Expanding Your Vocal Range the Easy and Natural Way,6/2019,12/29/19
The Foundations of Singing: Level 2,www.udemy.com/course/chest-voice-and-head-voice-development-and-transitions/,Tim Buse,199.99,11.39,4.4(28 ratings),Music,Vocal,Singing,490,"English
 ","Learn singing with more control, range and power without straining your voice.",1/2018,12/29/19
Singing: Musical Theatre Vocal Skills,www.udemy.com/course/singing-music-theatre-vocals/,Eve Williams MMus,74.99,11.39,4.7(22 ratings),Music,Vocal,Singing,210,English,Ace Music Theatre Singing Auditions and Exams: A Bootcamp for Singers. Includes free downloadable mp3 exercises.,5/2019,12/29/19
Vocal Resonance and Tone with Theory,www.udemy.com/course/vocal-resonance-and-tone-with-theory/,Paul McKay,89.99,11.39,4.7(60 ratings),Music,Vocal,Singing,367,English,A practical introductory guide to basic Vocal Theory,11/2017,12/29/19
How to Sing in Tune,www.udemy.com/course/how-to-sing-in-tune/,Ramesha Nani,79.99,11.39,4.5(15 ratings),Music,Vocal,Singing,110,English,Vocal Exercises to Master Your Singing Pitch,6/2019,12/29/19
Learn how to sing 9 traditional Irish songs,www.udemy.com/course/learn-how-to-sing-9-traditional-irish-songs/,Fionnuala Maxwell,89.99,11.39,4.9(25 ratings),Music,Vocal,Singing,155,English,Explore the art of and the history behind Irish Traditional Singing.,2/2018,12/29/19
The Foundations of Singing: Level 1,www.udemy.com/course/the-foundations-of-singing-not-only-for-rock-singers/,Tim Buse,129.99,11.39,4.2(95 ratings),Music,Vocal,Singing,"1,045",English,Learn the essential techniques for a strong and powerful tone and add depth to your voice,12/2017,12/29/19
Advanced Singing: Aim for a Record Deal,www.udemy.com/course/advanced-singing-aim-for-a-record-deal/,Eve Williams MMus,194.99,11.39,4.3(9 ratings),Music,Vocal,Singing,108,English,Singing Techniques & Business Info for a Pro Singing Career with FREE mp3 mini course plus advice from signed artists,10/2019,12/29/19
Voice Warm-Up for Actors & Voice-Over Artists,www.udemy.com/course/voicewarmup/,Leanne Mauro,0.0,49.99,4.6(21 ratings),Personal Development,Influence,Singing,208,English,No other course like it. It's your COMPLETE voice warm up program! Very practical & hands on. Everything you need & more,4/2019,12/29/19
Sing Jazz for beginners,www.udemy.com/course/sing-jazz-for-beginners/,Ilse Huizinga,34.99,11.39,4.2(29 ratings),Music,Vocal,Singing,128,English,"Learn how to find your jazz voice, timing, repertoire and style with jazz singer Ilse Huizinga",4/2019,12/29/19
Voice Yoga  Improve your singing wellbeing & self expression,www.udemy.com/course/voice-yoga/,Ahisha (FKA) Vanessa Ellen,189.99,11.39,4.5(17 ratings),Music,Vocal,Happiness,182,English,Learn to sing and much much more!,10/2018,12/29/19
Learn to lead a singing circle,www.udemy.com/course/-singingcircle/,Medicine of Sound,49.99,11.39,4.6(2 ratings),Music,Vocal,Singing,52,English,Sing Mantras and Medicine Songs!,4/2019,12/29/19
How Your Singing Voice Works - Simplified,www.udemy.com/course/how-the-singing-voice-works/,Dylan Ball,29.99,11.39,4.5(39 ratings),Music,Vocal,Singing,892,English,Clearly Understand Your Singing Voice - Beginner Singing Course,7/2018,12/29/19
Singing Like a Pro: Notice Changes to Your Singing Fast,www.udemy.com/course/singing-for-beginners-to-advanced-vocalists/,Eve Williams MMus,49.99,11.39,4.1(39 ratings),Music,Vocal,Singing,"2,839",English,Make real changes in your voice & supercharge your singing with critically acclaimed singer & expert teacher. Free mp3s.,5/2019,12/29/19
Vocal Presentation Skills From Hollywood Legends,www.udemy.com/course/vocal-presentation-skills-from-broadcasters-hollywood-legends/,Arthur Joseph,0.0,199.99,3.6(33 ratings),Business,Communications,Singing,352,English,An introduction to the concept of Visceral Language and how to make your voice more visual when you speak.,5/2016,12/29/19
Preschool Music Singing Games and Activities,www.udemy.com/course/teaching-music-to-young-children/,Risa Greenwood,19.99,11.99,4.1(17 ratings),Music,Other,Singing,53,English,"Sharing music activities and teaching tools to help introduce young children to melody, rhythm and movement.",1/2019,12/29/19
"Learn how to play with Voice, Body & Rhythm",www.udemy.com/course/learn-how-to-play-with-rhythm-body-voice/,Kouame Sereba,64.99,11.99,4.9(21 ratings),Health & Fitness,Meditation,Singing,422,English,Learn how to combine your Voice and Body with Rhythm and unlock the power of feeling good.,10/2017,12/29/19
Foundations for being a great singer.,www.udemy.com/course/foundations-for-being-a-great-singer/,Frankie Francis,19.99,11.99,4.5(36 ratings),Music,Vocal,Singing,342,English,Understand & maximise your singing voice. Learn all the foundations to great singing. Go from bedroom to stage.,1/2017,12/29/19
Learn to Sing: Warm-Ups & Exercises For Busy People,www.udemy.com/course/warm-ups/,Nathan Lawrence,99.99,11.99,4.9(67 ratings),Music,Vocal, Singing,"2,763",English,Vocal Exercises to Develop & Expand Your Singing Power and Freedom!,3/2018,12/29/19
