Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,www.udemy.com/course/social-media-marketing-ads/,COURSE ENVY,199.99,11.39,"4.5(6,408 ratings)",Marketing,Social Media Marketing,PPC Advertising,"52,774",English,"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy â¢",12/2019,01/01/20
Mega Digital Marketing Course A-Z: 12 Courses in 1 + Updates,www.udemy.com/course/digital-marketing-strategy-course-wordpress-seo-instagram-facebook/,Pouya Eti • Digital Marketing Expert,199.99,11.39,"4.4(1,866 ratings)",Marketing,Digital Marketing,Marketing Strategy,"19,262",English,"Digital Marketing Strategy, Social Media Marketing, WordPress, SEO, Digital Sale, Email, Instagram, Facebook, ads ..",12/2019,01/01/20
"The Ultimate SEO, Social Media & Digital Marketing MASTERY",www.udemy.com/course/digital-marketing-courses/,"Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert",199.99,11.99,4.4(588 ratings),Marketing,Digital Marketing,Social Media Marketing,"16,208",English,"Facebook, YouTube, Instagram, SEO: SEO Keywords, SEO Copywriting, UX SEO, WordPress SEO, Local SEO, Voice SEO, Video SEO",12/2019,01/01/20
Social Media Marketing Masterclass 2020,www.udemy.com/course/social-marketing-media-masterclass/,Robin & Jesper | Digital Marketing Professionals,199.99,11.99,4.6(458 ratings), Marketing,Social Media Marketing, ,"2,634",English,"Master Social Media Marketing & Digital Marketing - Facebook Marketing, Facebook Ads, Instagram Marketing & Google",12/2019,01/01/20
Social Media Marketing - Digital Marketing Strategy - 2020,www.udemy.com/course/social-media-marketing-masterclass/,Mark Timberlake,199.99,13.19,"4.4(2,387 ratings)",Marketing,Social Media Marketing, ,"19,686", English,Social Media Marketing Strategy - Create Marketing Content - Posts / Blogs / Podcasts / Video - Master Google Local SEO,12/2019,01/01/20
Social Media Marketing - Complete Certificate Course,www.udemy.com/course/learn-social-media-marketing-course/,SO ME Academy,29.99,11.99,"4.3(8,070 ratings)",Marketing,Social Media Marketing, ,"43,336",English,"The comprehensive social media course, beginner to advanced. Go viral, get started today!",2/2017,01/01/20
Etsy 101: Set Up a Shop and Promote It on Social Media,www.udemy.com/course/etsy-101-set-up-a-shop-and-promote-it-on-social-media/,COURSE ENVY,49.99,11.39,4.8(284 ratings),Business,Home Business,Etsy,"4,303",English,Learn how to sell on ETSY and what marketing strategies to use for ETSY success!,7/2019,01/01/20
Start a Successful Social Media Marketing Agency from Home,www.udemy.com/course/how-to-start-a-successful-social-media-marketing-agency-work-from-home/,Brian Gray,24.99,11.39,"4.1(1,097 ratings)",Business,Home Business,Social Media Marketing,"5,160",English,Start Your Own FB Marketing Agency even if you know nothing about marketing or agencies,11/2018,01/01/20
Go Viral on 6 Social Media Marketing Platforms,www.udemy.com/course/viral-social-media-marketing/,iMarket XL,199.99,11.39,4.4(672 ratings),Marketing,Social Media Marketing,Viral Marketing,"13,386",English,"Secrets to Increase Fans, Engagement & Reach on YouTube, Facebook, Pinterest, Twitter, Quora & Linkedin",8/2019,01/01/20
WIN at Starting a Social Media Management Business,www.udemy.com/course/become-a-freelance-social-media-manager/,SO ME Academy,19.99,11.39,4.7(942 ratings),Marketing,Social Media Marketing, ,"9,234",English,"Learn how to become a freelance social media manager. Get started with videos, templates & support. Join 8,000 students!",3/2015,01/01/20
