Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
#1 Sourdough Bread Baking 101,www.udemy.com/course/sourdough-bread-baking-101/,Teresa L Greenway,29.99,11.99,"4.5(1,916 ratings)",Lifestyle,Food & Beverage,Sourdough Bread Baking,"13,475",English,Bake your first real sourdough bread with coaching from an expert sourdough bread baker.,11/2019,12/31/19
#2 Bake Artisan Sourdough Bread Like a Professional,www.udemy.com/course/rediscover-real-artisan-sourdough-baking/,Teresa L Greenway,99.99,11.99,4.4(909 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"6,178",English,Baking the best bread means baking real Sourdough Bread. NO KNEAD bread - video baking classes in your own home.,11/2019,12/31/19
#3 Bake Classic Sourdough Bread Like a Professional,www.udemy.com/course/learn-to-bake-classic-breads-artisan-sourdough/,Teresa L Greenway,99.99,11.99,4.3(419 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"3,847",English,Baking Classic Sourdough bread using a sourdough starter and NO KNEAD methods.,12/2019,12/31/19
Sourdough Bread Baking Exploration,www.udemy.com/course/sourdough-bread-baking-exploration/,Teresa L Greenway,79.99,11.99,4.6(132 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"1,051",English,Sourdough 102. Explore some of the techniques behind bread baking and learn to challenge baking methods.,9/2018,12/31/19
Bake San Francisco Style Sour Sourdough Bread,www.udemy.com/course/bake-san-francisco-style-sourdough-bread/,Teresa L Greenway,79.99,11.99,4.7(312 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"1,682",English,"Learn to Bake Real Authentic SOUR Sourdough, San Francisco Style.",4/2019,12/31/19
Learn to Bake Panettone,www.udemy.com/course/learn-to-bake-panettone/,Teresa L Greenway,79.99,11.99,4.0(160 ratings),Lifestyle,Food & Beverage,Baking,942,English,Discover the method of how to bake one of the most loved holiday breads in the world.,11/2018,12/31/19
#9 Bake Extreme Fermentation Sourdough Bread,www.udemy.com/course/extreme-fermentation-sourdough-bread/,Teresa L Greenway,79.99,11.99,4.9(222 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"1,721",English,"New method for extreme fermentation using ""hands off"" and extended ferments.",3/2018,12/31/19
#5 Bake the Best Bagels,www.udemy.com/course/5-bake-the-best-bagels/,Teresa L Greenway,79.99,11.99,4.1(162 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"1,624",English,Take your bread baking skills to a new level with a variety of delicious sourdough and yeast bagels.,10/2019,12/31/19
#8 Advanced Sourdough Bread Baking Experiments,www.udemy.com/course/sourdough-bread-baking-experiments/,Teresa L Greenway,79.99,11.99,4.3(246 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"2,032",English,Interesting and fun methods for playing around with sourdough bread baking.,6/2018,12/31/19
#4 Old Fashioned Sourdough Baking,www.udemy.com/course/4-old-fashioned-sourdough-baking/,Teresa L Greenway,79.99,11.99,4.6(134 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,"1,685",English,"Bake up Quick Bread for Breakfast - Pancakes, Biscuits, Scones, Tortillas, Cinnamon Rolls +",12/2019,12/31/19
#10 More Fun With Sourdough Bread Baking,www.udemy.com/course/more-fun-with-sourdough-bread-baking/,Teresa L Greenway,79.99,11.99,4.7(76 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,838,English,Incorporating More Whole Grains Into Your Sourdough Bread Baking.,7/2019,12/31/19
Know Your Dough,www.udemy.com/course/know-your-dough/,Dragan Matijevic,59.99,11.99,4.7(11 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,67,English,In-depth insights on how to bake your best breads ever!,11/2019,12/31/19
Artisan Sourdough Made Simple,www.udemy.com/course/artisan-sourdough-made-simple/,Dragan Matijevic,39.99,11.99,4.6(66 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,462,English,How to make stunning breads using natural leaven.,5/2019,12/31/19
GET BREADY: Sourdough 101,www.udemy.com/course/get-bready-sourdough-101/,Tess Frame,119.99,11.99,4.9(16 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,139,English,"The Beginner's Guide to Sourdough with Starter Basics and Recipes for Bread, Bagels, and Cinnamon Rolls",5/2018,12/31/19
Sourdough Croissants,www.udemy.com/course/learning-to-make-sourdough-croissants/,Nelson Mansfield,19.99,11.99,3.7(9 ratings),Teaching & Academics,Test Prep,Sourdough Bread Baking,38,English,"Lets Bake some Croissants, bi colour dough",5/2018,12/31/19
Sourdough Bread & Starter No Fail Recipe Easy To Understand,www.udemy.com/course/sourdough-bread-starter-no-fail-recipe-easy-to-understand/,Michele Bowers,39.99,11.99,4.6(9 ratings),Lifestyle,Food & Beverage,Sourdough Bread Baking,54,English,This is a broken down & decoded full length recipe tutorial on how to make an amazing authentic loaf of sourdough bread!,2/2019,12/31/19
