Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,Jonathan Levi,199.99,11.99,"4.3(19,548 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"123,636",English,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,7/2019,12/29/19
10X Effective Learning: Speed Reading & Memory Booster,www.udemy.com/course/learn-speed-reading-memory-techniques/,Silviu Marisk - Top Instructor,199.99,11.99,"4.6(1,866 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"29,437",English,"How to Learn Anything Fast: Advanced Speed Reading, Memory And Productivity Techniques To Skyrocket Your Learning!",12/2019,12/29/19
Become a Speed Reading MACHINE How To Read 307 Books In 2019,www.udemy.com/course/speed-reading-mastery/,Silviu Marisk - Top Instructor,199.99,11.99,4.6(319 ratings),Personal Development,Memory & Study Skills,Speed Reading,"7,889",English,"The ULTIMATE Secret To Reading 100, 200 Or Even 300 Books Per Year Without Using Speed Reading Or Book Summaries",12/2019,12/29/19
Become A Learning Machine 2.0: Read 300 Books This Year,www.udemy.com/course/become-a-learning-machine-read-300-books/,Brandon Hakim,194.99,11.99,"4.1(2,145 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"11,140",English,"How To Finally Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ¦ Guaranteed!",6/2019,12/29/19
The DEFINITIVE course on Speed Reading. All techniques+hacks,www.udemy.com/course/learn-super-reading-hack-your-productivity-10x-guaranteed/,Matt Wong,29.99,11.99,4.5(568 ratings),Personal Development,Productivity,Speed Reading,"4,904",English,"Forget speed reading, learn how to SUPER READ and you'll be consuming information faster than anyone you know.",12/2017,12/29/19
Advanced Course - Speed Reading And Memory,www.udemy.com/course/advanced-course-speed-reading-and-memory/,Louay El Charif,199.99,11.99,4.3(44 ratings),Personal Development,Memory & Study Skills,Memory,"2,687",English,The Ultimate Speed Reading And Memory Enhancement Course To Improve Your Reading Speed And Memory,10/2019,12/29/19
Become A Reading Machine MASTERCLASS: Read 300 Books,www.udemy.com/course/become-a-speed-reading-machine-accelerated-learning-strategies/,Brandon Hakim,199.99,11.99,4.4(91 ratings),Personal Development,Memory & Study Skills,Memory,797,English,"The ADVANCED Course To Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ¦ Guaranteed!",6/2019,12/29/19
Become A Learning Machine: How To Read 300 Books This Year,www.udemy.com/course/read-300-books/,Brandon Hakim,194.99,11.99,"4.1(1,548 ratings)",Personal Development,Memory & Study Skills,Learning Strategies,"13,901",English,"Secrets From Elon Musk, Bill Gates and 22 Other Radically Successful People To Read Almost A Full Book A Day",6/2019,12/29/19
Speed Reading Mastery: Double Your Reading Speed In 7 Days,www.udemy.com/course/speed-reading-mastery-course/,Jordan Harry,19.99,11.99,4.3(190 ratings),Personal Development,Memory & Study Skills,Speed Reading,"4,209",English,Become a speed reader who can learn anything faster.,11/2019,12/29/19
Speed Learning: Learn Fast with Instant Accelerated Learning,www.udemy.com/course/speed-learning-instant-accelerated-learning-beyond-speed-reading/,Matthew Key,94.99,11.99,4.0(115 ratings),Personal Development,Productivity,Speed Reading,"2,597",English,How to Beat Information Overload and Learn from Any Medium 3-4x Faster - Without Any Speed Reading or Memory Drills!,8/2016,12/29/19
#3 Read Music Notes Fast:   Speed Read 11 Treble Clef Notes,www.udemy.com/course/read-music-notes-fast-l3-how-to-read-music-notes-in-speed/,Rosa Suen,194.99,11.99,4.5(21 ratings),Music,Music Fundamentals,Speed Reading,"1,345",English,Fun drilling games to sight read 11 Treble Clef music notes with increasing speed. From 45 - 73 - 96 - 120 - 200 BPM!,10/2019,12/29/19
The 7 Skills of Speed Reading,www.udemy.com/course/the-7-skills-of-speed-reading/,May Ling Lai,59.99,11.99,4.1(18 ratings),Personal Development,Memory & Study Skills,Speed Reading,99,English,The Seberson Method of Speed Reading,9/2019,12/29/19
Speed Reading Mastery: Double Your Reading Speed In 30 Days,www.udemy.com/course/ultimate-speed-reading-double-your-reading-speed/,Brandon Hakim,94.99,11.99,4.1(132 ratings),Personal Development,Memory & Study Skills,Speed Reading,"4,554",English,"Learn The Strategies I Used To Double My Reading Speed In 30 Days, Practicing Just 15 Minutes A Day",11/2017,12/29/19
Improve Your Reading Speed and Comprehension,www.udemy.com/course/improve-your-reading-speed-and-comprehension/,"Ronald Johnson (B.A.) Professional Tutor, Online Instructor",29.99,11.99,4.4(8 ratings),Personal Development,Memory & Study Skills,Speed Reading,63,English,Make both pleasure reading and academic reading more effective,1/2019,12/29/19
Speed Reading for Business. Improve focus and comprehension.,www.udemy.com/course/speed-reading-for-business/,Alex Garcez,104.99,11.99,4.2(76 ratings),Personal Development,Memory & Study Skills,Speed Reading,"2,175",English,"It takes 4 hours to fast forward your career. Learn how to blast through your books, documents and social media.",8/2015,12/29/19
The Ultimate Speed Reading Training Program & Formula 2.0 ®,www.udemy.com/course/the-ultimate-speed-reading-training-program-formula-20/,The Best-Selling Author | Noah Merriby ​,199.99,11.99,3.8(43 ratings),Personal Development,Memory & Study Skills,Speed Reading,"2,349",English,"Learn How Effective Speed Reading Works. Speed Reading Techniques, Informative Insights, and Limitations",6/2019,12/29/19
