Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Statistics for Data Science and Business Analysis,www.udemy.com/course/statistics-for-data-science-and-business-analysis/,365 Careers,149.99,11.99,"4.5(9,336 ratings)",Development,Data Science,Business Analytics,"48,001",English,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",12/2019,12/30/19
Become a Probability & Statistics Master,www.udemy.com/course/statistics-probability/,Krista King,199.99,11.99,"4.6(2,826 ratings)",Teaching & Academics,Math,Probability,"23,898",English,"Learn everything from Probability & Statistics, then test your knowledge with 600+ practice questions",12/2019,12/30/19
Statistics for Business Analytics and Data Science A-Z™,www.udemy.com/course/data-statistics/,Kirill Eremenko,199.99,11.99,"4.5(4,986 ratings)",Development,Data Science,Statistics,"29,716",English,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",12/2019,12/30/19
Probability and Statistics for Business and Data Science,www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,Jose Portilla,194.99,11.99,"4.5(2,071 ratings)",Development,Data Science,Statistics,"11,517",English,Learn how to apply probability and statistics to real data science and business applications!,9/2019,12/30/19
Python for Statistical Analysis,www.udemy.com/course/python-for-statistical-analysis/,Samuel Hinton,199.99,11.99,4.7(207 ratings),Development,Data Science,Statistics,"2,568",English,Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries,11/2019,12/30/19
Statistics & Applied Data Science - Business Data Analysis,www.udemy.com/course/ureadup_sds/,Mahmoud Ali,189.99,11.99,4.5(218 ratings),Development,Data Science,AP Statistics,"6,278",English,"Data Science Statistics : Data Science from Scratch for Beginners : Data Analysis Techniques, Method Course : Analytics",10/2019,12/30/19
Statistics for Data Analysis Using Excel 2016,www.udemy.com/course/statistics-using-excel/,Sandeep Kumar ­,134.99,11.99,4.5(899 ratings),Development,Data Science,Data Analysis,"6,298",English,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma,7/2019,12/30/19
Workshop in Probability and Statistics,www.udemy.com/course/statshelp/,George Ingersoll,39.99,11.99,"4.5(2,976 ratings)",Teaching & Academics,Math,Probability,"23,583",English,This workshop will teach you the fundamentals of statistics in order to give you a leg up at work or in school.,1/2019,12/30/19
Statistics & Probability (Complete) For College/AP Students,www.udemy.com/course/statisticsandprobability/,Kody Amour,19.99,11.99,4.4(21 ratings),Teaching & Academics,Math,Statistics,"4,012",English,"Includes 100+ Meaningful Lectures, Homework Assignments, Quizzes, Comprehensive Exams & An Online Statistics Textbook!",9/2019,12/30/19
"Complete & Practical SAS, Statistics & Data Analysis Course",www.udemy.com/course/complete-practical-sas-statistics-data-analysis-course/,Shenggang Li,89.99,11.99,"4.3(1,379 ratings)",Development,Data Science,Statistics,"8,735",English,"A complete guide and use cases study for job seekers and beginners -- start career in SAS, Statistics and Data science",12/2018,12/30/19
