Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,www.udemy.com/course/tableau10/,Kirill Eremenko,199.99,11.39,"4.6(36,356 ratings)",Business,Data & Analytics,Tableau,"115,255",English,Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,12/2019,01/02/20
Tableau 10 Advanced Training: Master Tableau in Data Science,www.udemy.com/course/tableau10-advanced/,Kirill Eremenko,199.99,11.39,"4.7(7,826 ratings)",Business,Data & Analytics,Tableau,"46,983",English,Master Tableau 10 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,12/2019,01/02/20
"Tableau for Beginners: Get CA Certified, Grow Your Career",www.udemy.com/course/tableau-accelerate-your-career-and-get-certified/,Lukas Halim,39.99,13.19,"4.6(6,996 ratings)",Business,Data & Analytics,Tableau,"25,850",English,Jump into data visualization with hands-on exercises and pass the Certified Associate exam.,12/2019,01/02/20
The Complete Tableau Bootcamp for Data Visualization,www.udemy.com/course/complete-tableau-bootcamp-dashboards/,Jose Portilla,199.99,11.99,4.5(608 ratings),Business,Data & Analytics,Tableau,"5,322",English,Build 70+ Tableau Worksheets and Create Professional Dashboards - Master Tableau 10 for Data Visualization and Analytics,11/2019,01/02/20
"Tableau 2019, 2018 & 10: Certified Associate certification",www.udemy.com/course/tableau-2018-tableau-10-qualified-associate-certification/,Phillip Burton,199.99,11.99,"4.5(2,834 ratings)",IT & Software,IT Certification,Tableau,"11,738",English,"Learn the skills you need for the Certified Associate or Desktop Specialist certifications: Tableau 2019, 2018 and 10",12/2019,01/02/20
Master Course in Tableau 10 & 2019 for Business Intelligence,www.udemy.com/course/mastertableau/,Jamie Fry,199.99,11.99,"4.5(3,275 ratings)",Business,Data & Analytics,Tableau,"14,815",English,Master data visualization in tableau desktop. Covers tableau certification syllabus and more. Tableau Tutorials,12/2019,01/02/20
Tableau Desktop 2019 - A Complete Introduction,www.udemy.com/course/tableau-desktop-a-complete-introduction/,Academind by Maximilian Schwarzmüller,199.99,11.39,4.5(54 ratings),Business,Data & Analytics,Tableau,669,English,"A Comprehensive Guide on Business Intelligence with Tableau Desktop 2019+ to Prepare, Analyze and Visualize Data",10/2019,01/02/20
TABLEAU 2018: Hands-On Tableau Training For Data Science!,www.udemy.com/course/tableau-2018/,Kirill Eremenko,199.99,11.39,"4.6(1,414 ratings)",Business,Data & Analytics,Tableau,"5,079",English,Learn Tableau for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,12/2019,01/02/20
Tableau Expert: Top Visualization Techniques in Tableau 10,www.udemy.com/course/mastering-top-visualization-techniques-in-tableau/,Ben Young,199.99,11.39,4.6(844 ratings),Business,Data & Analytics,Tableau,"8,014",English,"Become An Expert In Tableau 10 - Master Visualisation Techniques Including Sankey Diagrams, Viola Charts And More",12/2019,01/02/20
Tableau Specialist Certification Prep,www.udemy.com/course/tableau-specialist-certification-prep/,Lukas Halim,34.99,11.39,4.6(333 ratings),IT & Software,IT Certification,Tableau,974,English,"Includes videos covering all exam guide topics, downloadable study guide, and THREE full-length practice exams!",12/2019,01/02/20
TABLEAU 2018 ADVANCED: Master Tableau in Data Science,www.udemy.com/course/tableau-2018-advanced/,Kirill Eremenko,199.99,11.39,4.6(627 ratings),Business,Data & Analytics,Tableau,"4,155",English,Master Tableau in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,12/2019,01/02/20
Building Interactive Dashboards with Tableau,www.udemy.com/course/building-interactive-dashboards-with-tableau/,Packt Publishing,84.99,11.99,4.5(445 ratings),Development,Programming Languages,Tableau,"4,609",English,Create a variety of fully interactive and actionable Tableau dashboards that will inform and impress your audience!,12/2015,01/02/20
Creating Bespoke Data Visualisations in Tableau,www.udemy.com/course/creating-bespoke-data-visualisations-in-tableau/,Toan Hoang,99.99,11.39,4.8(128 ratings),IT & Software,Other,Data Visualization,657,English,Improving your Tableau Skills through engaging your imagination,8/2019,01/02/20
Advanced Tableau - Level of Detail Expressions / LOD,www.udemy.com/course/advanced-tableau-level-of-detail-expressions-tableau-lod/,R-Tutorials Training,109.99,11.39,4.3(292 ratings),Business,Data & Analytics,Tableau,"2,518",English,Take Your Tableau Data Visualization and Data Analytics Skills to the Next Level and Design Custom Solutions with Ease,9/2019,01/02/20
Tableau Desktop Specialist Certification - Practice Tests'20,www.udemy.com/course/tableau-ds-certification-tests/,Aruna A,19.99,11.99,4.3(117 ratings),IT & Software,IT Certification,Tableau Desktop Specialist,363,English,"*4 NEW Mock Preps with 120 Questions+ 1 Bonus Prep, Study Guide and Tips which will equip you to pass the certification.",12/2019,01/02/20
Tableau Desktop Specialist Certification Guide,www.udemy.com/course/tableau-desktop-specialist-certification-guide/,John David Ariansen,99.99,11.39,4.3(251 ratings),IT & Software,IT Certification,Tableau Desktop Specialist,758,English,Tableau Desktop Specialist Certification Exam Subjects Covered in Detail! + Real World Case Study & 2 Practice Tests,5/2019,01/02/20
