Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Secrets of Powerful, Peaceful & Beautiful Tai Chi! ☯️",www.udemy.com/course/wudang-tai-chi-online-course-learn-beginners-taiji/,Master Gu,149.99,37.50,4.7(351 ratings),Health & Fitness,Self Defense,Tai Chi,"1,471",English,Learn Tai Chi with YouTube SENSATION Master Gu! Tai Chi beginner's course with Wudang Tai Chi Master.,5/2018,12/31/19
Tai Chi - Yang style- Chi Kung ,www.udemy.com/course/tai-chi-chi-kung-for-health/,SiFu Wong,44.99,11.39,4.8(308 ratings),Health & Fitness,General Health,Tai Chi,"1,614",English,The Master Wong Tai Chi Health course 1 is the beginning of learning Tai Chi training,6/2016,12/31/19
Learn 24 Yang Style Tai Chi,www.udemy.com/course/learn-24-yang-style-tai-chi/,Susan Thompson,29.99,11.39,4.5(142 ratings),Health & Fitness,General Health,Tai Chi,"1,093",English,"Be successful in learning the most popular style of Tai Chi, the 24 Yang Style Tai Chi form set.",12/2018,12/31/19
Tai Chi Chen Style,www.udemy.com/course/tai-chi-chen-style/,SiFu Wong,49.99,12.50,4.8(112 ratings),Health & Fitness,General Health, Tai Chi,751,English,The Master Wong Tai Chi Chen Style Course is the next stage of learning within The Master Wong Tai Chi System,2/2016,12/31/19
Tai Chi Made Fun and Easy,www.udemy.com/course/tai-chi-in-paradise/,David-Dorian Ross,199.99,16.19,4.5(182 ratings),Health & Fitness,Fitness,Tai Chi,"3,527",English,"The beginners' guide to how YOU can develop great fitness, health, longevity and inner peace.",9/2014,12/31/19
Tai Chi Combat,www.udemy.com/course/free-tai-chi-lesson/,SiFu Wong,24.99,11.39,4.8(141 ratings),Health & Fitness,Self Defense,Tai Chi,"3,249",English,Master Wong Tai Chi System,3/2016,12/31/19
Meditation in Motion: Beginners Tai Chi Course,www.udemy.com/course/meditation-in-motion-tai-chi-qigong-and-mindfulness/,Isaac Blencowe,109.99,11.39,4.5(31 ratings),Health & Fitness,Meditation,Tai Chi,510,English,"Tai Chi for absolute beginners. Reduce stress, improve focus, increase energy and improve your overall health.",11/2018,12/31/19
Improve Your Physical and Mental Success with Tai Chi,www.udemy.com/course/improve-your-physical-and-mental-success-with-tai-chi/,Ramel Rones,39.99,11.39,4.7(140 ratings),Health & Fitness,Fitness,Tai Chi,"2,389",English,Learn Tai Chi to improve your physical performance and balance your emotions. Tai Chi for beginners course.,10/2012,12/31/19
Learn the simple 24 Posture Yang style Taiji form,www.udemy.com/course/learn-the-simple-24-yang-style-taiji-quan-tai-chi-form/,Peter Caughey,74.99,11.39,4.5(29 ratings),Health & Fitness,Fitness,Tai Chi,522,English,This course teaches a step by step method to learn an easy 24 Posture Yang style Taiji Quan (Tai Chi Chuan) form,8/2018,12/31/19
High Energy Taoist Tai Chi and Taoist Yoga (Lishi),www.udemy.com/course/high-energy-daoist-tai-chi-and-taoist-yoga-lishi/,Wai-Yii Lishi,24.99,11.39,4.4(65 ratings),Health & Fitness,Other,Tai Chi,419,English,"An introduction to the Taoist Arts of Lishi (Tai Chi, Yoga, Qigong, Breathing and Moving Meditation)",1/2018,12/31/19
Tai Chi for Absolute Beginners! (Part 1),www.udemy.com/course/tai-chi-for-absolute-beginners-part-1/,Julia Williams,29.99,11.39,4.8(25 ratings),Health & Fitness,Sports,Tai Chi,512,English,A step by step guide to get you started learning Tai Chi: improve your balance and find inner calm!,9/2018,12/31/19
"Easy-To-Learn Tai Chi Program (24 Steps, Yang Style)",www.udemy.com/course/10weektaichi/,Aihan Kuhn,0.0,74.99,4.4(111 ratings),Health & Fitness,Meditation,Tai Chi,782,English,"Learn 24 Step Yang Style Tai Chi, 13 Tai Chi Foundational movements, Tai Chi Qi Gong, Tai Chi Walking and Much More",8/2016,12/31/19
Shortest and powerful Tai chi flow,www.udemy.com/course/shortest-and-powerful-tai-chi-flow/,Orpheus B,99.99,25.00,5.0(3 ratings),Health & Fitness,Self Defense,Tai Chi,59,English,"8 steps Yang style, learn in one week.",5/2018,12/31/19
Tai Chi Instructor Training Certification Course Part 2/3,www.udemy.com/course/taichiinstructortrainingpart2/,Aihan Kuhn,0.0,194.99,5.0(1 rating),Health & Fitness,General Health,Tai Chi,4,English,Become a Certified Tai Chi Instructor/Teacher Through This Home Study Program - Learn how to teach Tai Chi Effectively,7/2018,12/31/19
Tai Chi Instructor Training Certification Course Part 1/3,www.udemy.com/course/taichiinstructortrainingpart1/,Aihan Kuhn,0.0,194.99,5.0(2 ratings),Health & Fitness,General Health,Tai Chi,7,English,Become a Certified Tai Chi Instructor/Teacher Through This Home Study Program - Learn how to teach Tai Chi Effectively,7/2018,12/31/19
Tai Chi Instructor Training Certification Course Part 3/3,www.udemy.com/course/taichiinstructortrainingpart3/,Aihan Kuhn,0.0,194.99,5.0(2 ratings),Health & Fitness,General Health,Tai Chi,5,English,Become a Certified Tai Chi Instructor/Teacher Through This Home Study Program - Learn how to teach Tai Chi Effectively,7/2018,12/31/19
A Beginners Guide to Tai Chi Breathing Exercises,www.udemy.com/course/just-breathe/,Paul Read,39.99,11.39,4.6(23 ratings),Health & Fitness,General Health,Tai Chi,150,English,Simple Techniques for Energising the Body and Calming the Mind,6/2018,12/31/19
Seated Tai Chi,www.udemy.com/course/seated-tai-chi/,Susan Thompson,24.99,11.39,5.0(2 ratings),Health & Fitness,General Health,Tai Chi,24,English,Yang Style Tai Chi Seated,7/2019,12/31/19
Tai Chi 5 Minutes a day beginners Course,www.udemy.com/course/tai-chi-5-minutes-a-day-beginners-course/,Leia Cohen,69.99,11.39,5.0(1 rating),Health & Fitness,Fitness,Tai Chi,8,English,A little everyday will make a huge difference,10/2019,12/31/19
Barefoot Doctor's Tai Chi moves training,www.udemy.com/course/tai-chi-training/,Barefoot Doctor,104.99,26.25,4.9(4 ratings),Health & Fitness,Mental Health,Tai Chi,31,English,The easiest fastest way to learn tai chi,11/2017,12/31/19
Beginners Guide to the Tai Chi Form,www.udemy.com/course/beginners-guide-to-the-tai-chi-form/,Paul Read,34.99,11.39,4.5(27 ratings),Health & Fitness,General Health,Tai Chi,169,English,"The Essential 10 Tai Chi postures in a simple, adaptable and flexible Form",5/2019,12/31/19
Relieve and End Your Lower Back Pain with Tai Chi & QiGong,www.udemy.com/course/relieve-and-end-your-lower-back-pain-with-tai-chi-qigong/,Ramel Rones,29.99,11.39,4.2(50 ratings),Health & Fitness,Fitness,Tai Chi,739,English,"Learn essential Tai Chi, QiGong, and Mind-Body techniques to relieve, end & prevent lower back pain & other conditions",11/2013,12/31/19
Tai Chi for a Focused Mind - Pure and Simple,www.udemy.com/course/tai-chi-for-a-focused-mind-pure-and-simple/,Ramel Rones,24.99,11.39,4.3(23 ratings),Health & Fitness,Mental Health,Tai Chi,343,English,A detailed guide to a Tai Chi routine for physical health and mental wellness. Form-focused and straight forward.,6/2014,12/31/19
Strengthen Your Immune System with Tai Chi and Qi Gong,www.udemy.com/course/strengthen-your-immune-system-with-tai-chi-and-qi-gong/,Ramel Rones,19.99,11.39,4.4(13 ratings),Health & Fitness,Meditation,Qi Gong,123,English,Improve your quality of life with gentle exercises and guided meditations.,10/2016,12/31/19
"Introductory Tai Chi: Learn the ""Easy"" way!",www.udemy.com/course/introductory-tai-chi-learn-the-easy-way/,Sui Huang,119.99,11.39,4.3(39 ratings),Health & Fitness,Yoga,Tai Chi,453,English,"Enjoy learning a centuries old Chinese tradition of maintaining your health, fitness, and flexibility.",10/2015,12/31/19
Tai Chi with Master Tsou,www.udemy.com/course/taichiclass/,Kevin Holthaus,39.99,11.39,3.8(20 ratings),Health & Fitness,Other,Tai Chi,323,English,"Tai Chi exercise class with questions to the Master, internal arts, Eastern Philosophy, tao practice",3/2014,12/31/19
"Tai Chi & Chi Kung: Sitting, Standing, & Moving Meditation",www.udemy.com/course/mindfulness_martial_arts/,Ramel Rones,19.99,11.39,3.1(4 ratings),Health & Fitness,Meditation,Tai Chi,84,English,"Learn simple and authentic meditations to help strengthen your brain power, boost your health, and invest in prevention",12/2014,12/31/19
Tai Chi Yang Style Short Form,www.udemy.com/course/tai-chi-yang-style-short-form/,Paul Carlos,19.99,11.39,0.0(0 ratings),Health & Fitness,Meditation,Tai Chi,954,English,Section One,12/2019,12/31/19
Uncover The Secret Of MEDITATION！,www.udemy.com/course/how-to-do-meditation-correctly/,Yi Chen,19.99,11.39,3.5(1 rating),Health & Fitness,Meditation,Tai Chi,2,English,I will tell you everything about meditation that you have never heard ofï¼,4/2019,12/31/19
Martial Meditations: Reduce Stress & Make Better Decisions,www.udemy.com/course/martial-meditations-reduce-stress-make-better-decisions/,Ramel Rones,19.99,11.39,0.0(0 ratings),Health & Fitness,Meditation,Tai Chi,4,English,Martial Art Meditation Techniques for the Corporate Business World,3/2018,12/31/19
Tai Chi for Seniors Home Study Program,www.udemy.com/course/taichiforseniors/,Aihan Kuhn,0.0,124.99,0.0(0 ratings),Health & Fitness,General Health,Tai Chi,10,English,An intensive course for Seniors who would like to learn Tai Chi,7/2018,12/31/19
Chi Kung (Qigong) for Diabetes,www.udemy.com/course/chi-kung-qigong-for-diabetes/,Andy Wright,0.0,Free,4.1(320 ratings),Health & Fitness,General Health,Diabetes,"12,223",English,This free course consists of Qigong movements determined to be beneficial for treating diabetes,3/2016,12/31/19
Your First Three Steps to Learning Tai Chi,www.udemy.com/course/your-first-three-steps-to-learning-tai-chi/,Paul Read,0.0,Free,4.3(62 ratings),Health & Fitness,General Health,Tai Chi,"3,573",English,"A simple guide to Posture, Movement and Breathing exercises in Tai Chi Chuan",5/2019,12/31/19
"Tai Chi Qi Gong Moves for Beginners - For Energy, Arthritis",www.udemy.com/course/tai-chi-moves-for-beginners-work-out-and-benefits/,David Wong,0.0,Free,4.1(50 ratings),Health & Fitness,General Health,Tai Chi,"5,348",English,Learn Essential Tai Chi Routine For Physical Health and Mental Wellness,1/2019,12/31/19
Tai Chi Chuan For Beginners,www.udemy.com/course/tai-chi-chuan-for-beginners/,David Wong,0.0,Free,4.7(155 ratings),Health & Fitness,Self Defense,Tai Chi,"8,894",English,"The beginners' guide to how YOU can develop great fitness, health, longevity and inner peace.",12/2017,12/31/19
Curso de Tai Chi Chuan para a Saúde e bem estar,www.udemy.com/course/curso-de-tai-chi-chuan-para-a-saude-e-bem-estar/,Carlos Gomes,49.99,11.99,4.5(162 ratings),SaÃºde e fitness,Fitness,Tai Chi,832,PortuguÃªs,PrÃ¡tica de Tai Chi Chuan e exercÃ­cios para o bem estar e saÃºde,1/2018,12/31/19
Qi Gong y Meditación para la salud - NIVEL 1,www.udemy.com/course/chi-kung-y-meditacion-para-la-salud/,Sifu Luis | Español,119.99,11.99,4.3(41 ratings),Salud y fitness,Yoga,Tai Chi,242,EspaÃ±ol,"Los secretos del sistema Qi Gong (Chi Kung) y MeditaciÃ³n, los conocimientos budistas y taoÃ­stas de la antigua China.",6/2018,12/31/19
Dao Yoga - Tai Chi - Qi Gong 1,www.udemy.com/course/dao-yoga-tai-chi-qi-gong-1/,Lishi Life Balance,24.99,11.99,5.0(12 ratings),Gesundheit & Fitness,Yoga,Tai Chi,78,Deutsch,Meditation in Bewegung - Flow - Entspannung - Achtsamkeit - Atem- + Energielenkung - Dehnen und StÃ¤rken der Muskulatur,8/2019,12/31/19
Dao Tai Chi Form nach Lishi,www.udemy.com/course/dao-tai-chi-form-nach-lishi/,Lishi Life Balance,24.99,11.99,5.0(15 ratings),Gesundheit & Fitness,Allgemeine Gesundheit,Tai Chi,104,Deutsch,"Meditation in Bewegung, Die ersten 4 Sequenzen der Lishi Dao Tai Chi Form mit Spiegelform.",6/2019,12/31/19
Alinhamento postural para a prática de Tai Chi Chuan,www.udemy.com/course/alinhamento-postural-para-a-pratica-de-tai-chi-chuan/,Carlos Gomes,19.99,11.99,4.5(11 ratings),SaÃºde e fitness,Fitness,Tai Chi,143,PortuguÃªs,ExercÃ­cios de Tai Chi Chuan para alinhamento postural e auxilio em movimentos coordenativos,7/2017,12/31/19
Dao Yoga - Tai Chi - Qi Gong 2,www.udemy.com/course/dao-yoga-tai-chi-qi-gong-2/,Lishi Life Balance,24.99,11.99,4.8(4 ratings),Gesundheit & Fitness,Yoga,Tai Chi,29,Deutsch,Meditation in Bewegung - Tao Wave,4/2019,12/31/19
Ocho brocados de seda | QI GONG,www.udemy.com/course/ocho-brocados/,Sifu Luis | Español,54.99,11.99,4.6(7 ratings),Salud y fitness,Yoga,Qi Gong,28,EspaÃ±ol,Mejora tu estado fÃ­sico a travÃ©s del sistema de Qi Gong (Chi Kung) mÃ¡s popular en China.,12/2018,12/31/19
Chi Kung y Meditación para la salud - Versión LITE,www.udemy.com/course/chi-kung-y-meditacion-para-la-salud-version-lite/,Sifu Luis | Español,39.99,11.99,4.4(9 ratings),Salud y fitness,Yoga,MeditaciÃ³n,35,EspaÃ±ol,"Los secretos del sistema Qi Gong (Chi Kung) y MeditaciÃ³n, los conocimientos budistas y taoÃ­stas de la antigua China.",9/2017,12/31/19
站桩，养身万法之源   stake-standing,www.udemy.com/course/stake-standing/,Bowenshanghai wen qunbin,0.0,19.99,0.0(0 ratings),å¥åº·è¿å¨,ä¸è¬å¥åº·,å¤ªæ,3,Simplified Chinese,æ­¦å½å¤ªæä¼ ç»å»èº«åæ³ Wudang stake-standing,6/2019,12/31/19
太极拳24式。现今全世界学习得最多的一个太极养生套路,www.udemy.com/course/24-taijiquan/,Bowenshanghai wen qunbin,0.0,19.99,0.0(0 ratings),å¥åº·è¿å¨,ä¸è¬å¥åº·,å¤ªæ,0,Simplified Chinese,å¤ªææ³24å¼å¥è·¯è¯¦è§£,6/2019,12/31/19
