Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete C# Unity Developer 2D: Learn to Code Making Games,www.udemy.com/course/unitycourse/,Ben Tristem,194.99,11.99,"4.7(66,952 ratings)",Development,Game Development,Unity,"327,123",English,"Game development & design. Learn Unity 2018 in C#. Your first 7 2D Unity games for web, Mac & PC. Includes Tilemap",10/2019,01/01/20
Complete C# Unity Developer 3D: Learn to Code Making Games,www.udemy.com/course/unitycourse2/,Ben Tristem,194.99,11.99,"4.6(14,758 ratings)",Development,Game Development,3D Game Development,"89,376",English,"Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.",12/2019,01/01/20
The Ultimate Guide to Game Development with Unity 2019,www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,Jonathan Weinberger,194.99,11.99,"4.5(9,475 ratings)",Development,Game Development,Unity,"45,762",English,Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,6/2019,01/01/20
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,www.udemy.com/course/unityrpg/,Ben Tristem,194.99,11.99,"4.7(5,707 ratings)",Development,Game Development,3D Game Development,"64,511",English,"Build a Role Playing Game (RPG) in Unity. Improve your C sharp, code architecture, game & level design. Full game scale.",12/2019,01/01/20
Learn To Create A Roguelike Game In Unity 2019,www.udemy.com/course/unityroguelike/,James Doyle,194.99,11.99,4.6(187 ratings),Development,Game Development,Unity,"1,889",English,Game development made easy. Learn C# using Unity and create your very own classic RPG!,10/2019,01/01/20
Learn To Create An RPG Game In Unity,www.udemy.com/course/unity2drpg/,James Doyle,194.99,11.99,"4.7(1,918 ratings)",Development,Game Development,Unity,"10,603",English,Game development made easy. Learn C# using Unity and create your very own classic RPG!,11/2018,01/01/20
Unity Game Development: Create 2D And 3D Games With C#,www.udemy.com/course/unity-game-development-create-2d-and-3d-games-with-c/,Awesome Tuts,199.99,11.99,4.6(214 ratings),Development,Game Development,Unity,"2,762",English,Master The Fundamentals Of Game Development And Learn How To Create 2D And 3D Games With Unity Game Engine,10/2019,01/01/20
Visual Effects for Games in Unity - Beginner To Intermediate,www.udemy.com/course/vfx-for-games-in-unity-beginner-to-intermediate/,Gabriel Aguiar,199.99,11.99,4.6(442 ratings),Design,Game Design,Unity,"2,974",English,By the end of this course you will have started your own portfolio as a Triple-A Visual Effects artist for Games.,12/2019,01/01/20
The Ultimate Guide to 2D Mobile Game Development with Unity,www.udemy.com/course/the-ultimate-guide-to-mobile-game-development-with-unity/,Jonathan Weinberger,194.99,11.99,"4.3(2,099 ratings)",Development, Game Development,Unity,"12,481",English,"Created in partnership with Unity Technologies: Master C#, Unity Ads, 2D mobile game development, and publishing",9/2018,01/01/20
Build A Multiplayer Kart Racing Game In Unity V.2019,www.udemy.com/course/kart-racing/,Penny de Byl,34.99,11.99,4.7(90 ratings),Development,Game Development,3D Game Development,"1,359",English,"Learn all about vehicle physics, game mechanics, AI, and networking for multiplayer kart racing experiences.",12/2019,01/01/20
