Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
User Experience Design Essentials - Adobe XD UI UX Design,www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,Daniel Walter Scott,199.99,11.99,"4.6(11,374 ratings)",Design,User Experience,User Experience Design,"49,092",English,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",5/2019,12/30/19
User Experience (UX): The Ultimate Guide to Usability and UX,www.udemy.com/course/ultimate-guide-to-ux/,David Travis,194.99,48.75,"4.5(4,031 ratings)",Design,User Experience,User Experience Design,"15,927",English,Get a job in UX and build your user research and UX design skills with this hands-on user experience training course.,8/2019,12/30/19
"UX & Web Design Master Course: Strategy, Design, Development",www.udemy.com/course/ux-web-design-master-course-strategy-design-development/,Joe Natoli,194.99,11.99,"4.4(9,451 ratings)",Design,User Experience,User Experience Design,"70,019",English,"Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!",9/2019,12/30/19
Learn Figma - UI/UX Design Essential Training,www.udemy.com/course/learn-figma/,Caleb Kingston,119.99,11.99,"4.5(1,786 ratings)",Design,User Experience,User Interface,"8,781",English,Learn how to design a beautiful and engaging mobile app with Figma. Learn-by-doing approach.,3/2019,12/30/19
User Experience Design Fundamentals,www.udemy.com/course/user-experience-design-fundamentals/,Joe Natoli,94.99,11.99,"4.4(7,136 ratings)",Design,User Experience,User Experience Design,"66,495",English,Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.,12/2019,12/30/19
UX Design & User Experience Design Course - Theory Only,www.udemy.com/course/how-to-change-careers-and-become-a-ux-designer/,Daniel Walter Scott,199.99,11.99,"4.3(2,413 ratings)",Design,User Experience,User Experience Design,"11,397",English,This course is for anyone interested in learning the theory of UX design.,7/2019,12/30/19
The Complete User Interface Design Bootcamp - Sketch UI/UX,www.udemy.com/course/the-complete-user-interface-design-bootcamp-sketch-uiux/,Arash Ahadzadeh,199.99,11.99,4.6(102 ratings),Design,User Experience,User Experience Design,816,English,"Master Sketch software to get a job in UI Design, User Interface, User Experience design, Web Design & UX design.",12/2019,12/30/19
Sketching for UX Designers - Boost UX work with pen & paper!,www.udemy.com/course/sketching-for-ux-designers/,Krisztina Szerovay,94.99,11.99,"4.6(1,864 ratings)",Design,User Experience,User Experience Design,"11,817",English,"Learn how to boost your UX design workflow with sketching user interfaces, animations and storyboarding.",11/2019,12/30/19
"iOS 12 & Swift 5 - App Design, UI/UX plus Development",www.udemy.com/course/app-design-uiux-plus-ios-development/,Gwinyai Nyatsoka,199.99,11.99,4.6(456 ratings),Development,Mobile Apps,User Experience Design,"3,223",English,"The three-in-one course that teaches app design, UI/UX and iOS development. Includes Sketch and Figma.",7/2019,12/30/19
Gamification & Behavioral Design: The Octalysis Framework,www.udemy.com/course/gamification-behavioral-design-the-octalysis-framework/,Yu-kai Chou,0.0,194.99,"4.5(2,983 ratings)",Design,User Experience,User Experience Design,"18,188",English,"Learn the 8 Core Drives that motivate us all (beyond Points, Badges, and Leaderboards)",2/2019,12/30/19
Instructional Design Pro (Part 2): No Beginners Allowed!,www.udemy.com/course/curriculum-teaching-design/,Jason Teteak,199.99,11.99,4.4(127 ratings),Teaching & Academics,Teacher Training,User Experience Design,"2,132",English,Write Golden Training Curriculum thatâs Easier to Learn and More Enjoyable to Teach,11/2018,12/30/19
The Ultimate UX Portfolio Course,www.udemy.com/course/the-ultimate-ux-portfolio-course/,Oz Chen,199.99,11.99,4.4(918 ratings),Design,User Experience,User Experience Design,"5,410",English,"Create a Job-Winning UX Portfolio using a repeatable, content-first strategy",9/2016,12/30/19
UX Strategy Fundamentals,www.udemy.com/course/ux-strategy-fundamentals/,Joe Natoli,44.99,11.99,4.2(806 ratings),Design,User Experience,User Experience Design,"4,839",English,"Practical principles and simple methods to make sure your app, site or system delivers GREAT UX!",8/2016,12/30/19
User Experience Design - Learn the UX UI Process & Adobe XD,www.udemy.com/course/user-interface-user-experience-design-ui-ux-with-adobe-xd/,Jeremy Deighan,174.99,11.99,4.5(111 ratings),Design,User Experience,User Experience Design,"5,740",English,This user interface and user experience design course will teach you the basics of UI/UX design and how to use Adobe XD.,11/2019,12/30/19
UX Design Process Simplified from User Research to Usability,www.udemy.com/course/ux-design-process-for-beginners-from-user-research-to-usability/,Muhammad Ahsan Pervaiz,99.99,11.99,4.4(118 ratings),Design,User Experience,User Experience Design,724,English,"UX Process for Beginners from User Interviews to Personas, User stories, Information architecture to Usability testing",5/2019,12/30/19
UX Design for Beginners - Learn User Behavior & Psychology,www.udemy.com/course/ux-for-beginners-design-delightful-digital-experiences/,Muhammad Ahsan Pervaiz,99.99,11.99,4.3(321 ratings),Design,User Experience,User Experience Design,"1,991",English,Learn User Experience Priciples & Human Behavior Patterns and Apply them to improve UX Design of Websites & Mobile Apps,10/2019,12/30/19
Service Design: Designing for Experience Over Time,www.udemy.com/course/servicedesign/,Jon Kolko,0.0,44.99,4.4(500 ratings),Business,Strategy,User Experience Design,"2,194",English,Learn how to structure new service innovations that deliver value to customers and users,2/2017,12/30/19
Become a UX Designer | Learn the Skills & Get the Job,www.udemy.com/course/learn-real-world-ux/,Brendan Bolton-Klinger,199.99,11.99,"4.1(1,090 ratings)",Design,User Experience, User Experience Design,"10,292",English,UX based on real world examples. Gain powerful UX skills you can use to start a UX career or improve your projects.,3/2019,12/30/19
