Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Film using ANY Camera! Basics of Shooting Video Correctly,www.udemy.com/course/videocamerabasics/,Gene Nagata,0.0,49.99,4.8(480 ratings),Photography,Video Design,Videography,"1,056",English,"Complete guide to filming on a Phone, DSLR, Mirrorless, or Cinema Camera",7/2019,01/01/20
VIDEO CINEMATOGRAPHY techniques loved by pro filmmakers,www.udemy.com/course/motivate-inspire-and-empower-your-video-audience/,Andrew St.Pierre White,99.99,11.39,"4.4(1,165 ratings)",Photography,Video Design,Videography,"6,438",English,Creative video. Learn what pro broadcast camera ops do to grab and excite an audience. Taught by a pro broadcaster,3/2018,01/01/20
Cinematography Course: Shoot Expert Video on Any Camera,www.udemy.com/course/cinematographycourse/,Dale McManus,74.99,11.39,"4.6(1,435 ratings)",Photography,Video Design,Videography,"5,129",English,Your Online Guide to Professional Cinematography. Learn to Shoot Stunning Video Like a Professional With Any Camera.,6/2018,01/01/20
Cinematic Wedding Films: A Guide to Wedding Videography,www.udemy.com/course/cinematic-wedding-films/,Matti Haapoja,94.99,23.75,4.2(689 ratings),Photography,Video Design,Videography,"2,135",English,A guide to making emotional cinematic wedding films that will take you to the next level as a filmmaker.,3/2016,01/01/20
Videography for Beginners: Shooting With a DSLR /Mirrorless,www.udemy.com/course/videography-for-beginners-shooting-with-a-dslr-mirrorless/,Kush Sharma,149.99,11.39,4.5(37 ratings),Photography,"Video Design
 ",Videography,240,English,Learn how to shoot videos with your DSLR or Mirrorless Camera Even If You Have No Prior Knowledge,6/2019,01/01/20
Wedding Videography: Learn To Shoot And Edit Wedding Videos,www.udemy.com/course/weddingvideographybyzafertanyas/,Zafer Tanyaş,94.99,11.39,4.3(133 ratings),Photography,Video Design,Videography,542,English,Learn shooting by watching me on field. Learn editing by watching the work on screen over my shoulder.,5/2019,01/01/20
Wedding Videography: Complete Guide to Wedding Videography,www.udemy.com/course/weddings/,Phil Ebiner,199.99,11.39,4.2(202 ratings),Photography,Video Design,Videography,"14,391",English,Everything you need to know to launch your wedding videography business. Wedding photographers welcome too!,11/2018,01/01/20
Drones: Learn Aerial Photography and Videography Basics,www.udemy.com/course/aerial-photography-and-videography-with-drones/,Mark Richardson,199.99,15.59,3.7(193 ratings),Photography,Other,Videography,"2,637",English,Learn how to safely setup and fly a DJI Phantom and configure it for FPV. Learn how to process aerial photos and video.,5/2017,01/01/20
Honoring Memories,www.udemy.com/course/honoring-memories/,Paul Jenkins,194.99,11.39,5.0(6 ratings),Photography,Video Design,Videography,53,English,How to Capture Life Memories with a Smartphone,11/2019,01/01/20
Canon DSLR Videography - Better your Video Production Skills,www.udemy.com/course/on-point-dslr-video-production/,James Buffin,59.99,11.39,4.2(23 ratings),Photography,Video Design,DSLR,155,English,Prioritize the most important settings in Canon DSLR Videography with Pro guidance for video production,1/2019,01/01/20
