Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
BEGINNERS Watercolor. Get clear on the basics and just paint,www.udemy.com/course/painting-for-the-petrified/,Nicola A Blakemore,99.99,11.99,"4.5(1,145 ratings)",Lifestyle,Arts & Crafts,Watercolor Painting,"9,820",English,"Painting in watercolor? Start with the real BASICS. Play, learn, gain understanding & confidence as you play & paint.",8/2019,12/30/19
The Mechanics of Watercolor Painting,www.udemy.com/course/the-mechanics-of-watercolor-painting/,Jill Poyerd,19.99,11.99,4.8(143 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"1,368",English,A comprehensive approach to the fundamentals of watercolor painting.,4/2019,12/30/19
Paint Realistic Watercolor and Botanicals - STUDIO BASICS,www.udemy.com/course/paint-realistic-watercolor-and-botanicals-studio-basics/,Heidi Willis,69.99,11.99,"4.6(1,682 ratings)",Lifestyle,Arts & Crafts,Watercolor Painting,"8,850",English,This foundation tutorial will help you understand essential work+studio basics for realistic watercolour and botanicals,8/2016,12/30/19
The Watercolor Workshop,www.udemy.com/course/the-watercolor-workshop/,Matthew Fussell,34.99,11.99,4.5(562 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"5,067",English,"""The Watercolor Workshop"" develops the confidence needed for success with watercolor painting.",5/2015,12/30/19
Foundations for Mastering Watercolor Painting,www.udemy.com/course/foundations-for-mastering-watercolor-painting/,Jill Poyerd,19.99,11.99,"4.7(1,026 ratings)",Lifestyle,Arts & Crafts,Watercolor Painting,"4,629",English,"An in-depth, approachable look at painting materials that will make mastering the medium truly possible.
 ",11/2019,12/30/19
Beginners Watercolor Techniques with Geoff Hutchins,www.udemy.com/course/beginners-watercolor-techniques-with-geoff-hutchins/,Geoff Hutchins,39.99,11.99,4.3(321 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"2,263",English,Learn to master the essential basics of watercolor painting,3/2019,12/30/19
Paint Realistic Watercolour and Botanicals - MAGNOLIAS,www.udemy.com/course/paint-realistic-watercolour-and-botanicals-magnolias/,Heidi Willis,69.99,11.99,4.6(357 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"2,598",English,"Washes, glazing, texture, divine elegance and beauty... the Magnolia is a 'MUST PAINT' subject for any botanical artist",6/2017,12/30/19
Paint Realistic Watercolour and Botanicals - CHASING AUTUMN,www.udemy.com/course/chasing-autumn-paint-realistic-watercolour-and-botanicals/,Heidi Willis,69.99,11.99,4.6(435 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"3,611",English,Exploring the incredible colours and textures of Autumn in the watercolour medium and botanical illustration genre,8/2016,12/30/19
Paint Landscapes in Watercolor Part 1,www.udemy.com/course/paint-landscapes-in-watercolor-part-1/,Andy Walker,24.99,11.99,4.6(237 ratings),Lifestyle,Arts & Crafts,Watercolor Painting,"1,609",English,Learn how to paint realistic landscapes in a loose and free style,12/2017,12/30/19
Art for Kids & Beginners: Drawing and Watercolor Painting,www.udemy.com/course/art-for-kids-how-to-draw-and-watercolor-paint-step-by-step/,Em Winn,24.99,11.99,5.0(318 ratings),Personal Development,Creativity,Watercolor Painting,"2,225",English,Learn How to Draw and Paint with Watercolors: 9 Simple Art Lessons Designed Especially for Kids and Beginners Ages 6+.,11/2019,12/30/19
