Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Ninja Writing: The Four Levels Of Writing Mastery,www.udemy.com/course/ninja-writing-the-four-levels-of-writing-mastery/,Shani Raja,199.99,11.99,"4.4(7,591 ratings)",Business,Communications,Writing,"67,741",English,"Turn Your Business Writing, Blogs, Books & Essays Into Masterpieces",11/2017,12/29/19
Writing With Flair: How To Become An Exceptional Writer,www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/,Shani Raja,199.99,11.39,"4.5(8,115 ratings)",Business,Communications,Writing,"83,495",English,"Ex-Wall Street Journal Editor Teaches How To Write With Confidence, Style & Impact",3/2019,12/29/19
Writing With Confidence: Writing Beginner To Writing Pro,www.udemy.com/course/writing-for-business/,Clare Lynch,199.99,11.99,"4.5(3,395 ratings)",Business,Communications,Writing,"28,209",English,Pro copywriter/Cambridge University writing teacher reveals the secrets for writing blogs and business docs that enthral,11/2019,12/29/19
Punctuation Mastery,www.udemy.com/course/punctuation-mastery/,Shani Raja,149.99,11.99,"4.5(1,956 ratings)",Business,Communications,Punctuation,"17,431",English,A Non-Technical Guide To Using Punctuation With Style,8/2016,12/29/19
Writing Great Fantasy: World Building Workshop,www.udemy.com/course/world-building-workshop-for-fantasy-writing/,Jason Link,199.99,11.39,4.5(486 ratings),Personal Development,Creativity,Writing,"6,070",English,Writing fantasy: The step-by-step method to writing a believable and compelling world that will enchant your readers,8/2019,12/29/19
Writing Tools & Hacks: Copywriting/Blogging/Content Writing,www.udemy.com/course/writing-tools-hacks/,Tyler Speegle,194.99,11.39,"4.3(1,233 ratings)","Marketing
 ",Content Marketing,Writing,"9,083",English,"The best FREE writing tools & apps + Hacks to take your copywriting, blogging, & content writing to the next level.",11/2019,12/29/19
Travel Writing: Explore the World & Publish Your Stories!,www.udemy.com/course/travel-writing-class/,Dave Fox,89.99,13.19,4.5(864 ratings),Lifestyle,Travel,Writing,"7,442",English,Learn to write travel tales readers (and editors) will love. Sell your freelance writing to newspapers and magazines!,11/2019,12/29/19
Productivity Hacks for Writers (Writing Mastery),www.udemy.com/course/writing-mastery-productivity-hacks-for-writers/,Jessica Brody,99.99,11.39,"4.7(1,081 ratings)",Business,Communications,Writing,"6,150",English,Simple strategies and proven techniques to be more productive and get the most out of every writing day,12/2019,12/29/19
Develop Blockbuster Story Ideas that Sell! (Writing Mastery),www.udemy.com/course/writing-mastery-creating-high-concept-ideas-that-sell/,Jessica Brody,59.99,11.39,4.6(979 ratings),Business,Communications,Writing,"5,016",English,"Proven methods to unleash your creativity and brainstorm bestselling, high concept book and movie ideas",10/2019,12/29/19
Grammar Boot Camp: Easy Lessons for Common Writing Mistakes,www.udemy.com/course/grammar-boot-camp/,"S.J. Lawrence, PhD",49.99,11.99,4.6(834 ratings),Teaching & Academics,Language,English Grammar,"4,116",English,"Become an editing pro as you master English grammar, punctuation, and style",11/2019,12/29/19
Rhetoric of Story : Learn the 7 foundations of storytelling.,www.udemy.com/course/the-rhetoric-of-story/,Damien Walter,199.99,11.39,4.7(205 ratings),Personal Development,Creativity,Writing,"2,973",English,Essential writing skills for creative and professional writers.,9/2018,12/29/19
Conquering Writer's Block (Writing Mastery),www.udemy.com/course/conquering-writers-block-writing-mastery/,Jessica Brody,49.99,11.39,4.6(141 ratings),Business,Communications,Writing,939,English,"Proven strategies and tools to overcome writer's block, renew your motivation, and become a Prolific Writer",10/2019,12/29/19
