Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Internationally Accredited Diploma in Yoga Training,www.udemy.com/course/internationally-accredited-diploma-in-yoga-training/,Akash Sehrawat,199.99,16.79,4.4(936 ratings),Health & Fitness,Yoga, ,"12,237",English,Start a New Career in Yoga with this Yoga Course for Beginners/Intermediates,12/2019,12/29/19
Sounds True Presents: The Yoga of Awakening,www.udemy.com/course/seane-corn/,Sounds True,199.99,50.00,"4.9(2,266 ratings)",Health & Fitness,Yoga, ,"8,651",English,An In-Depth Training in Energetic and Emotional Healing with Seane Corn,7/2016,12/29/19
Yoga for Back Pain Relief & Prevention✅Certification Course,www.udemy.com/course/yoga-for-spinal-health-lower-back-pain-relief/,Yoga Instructor Seva Samadhi,194.99,17.39,4.6(402 ratings),Health & Fitness,Yoga,Back Pain,"2,734",English,The SAFE WAY to do Yoga for Back Pain!Alleviate your Pain & Strengthen your Spine with Yoga! INCLUDES 2 CERTIFICATES,12/2019,12/29/19
Yoga Medicine’s Guide to Therapeutic Yoga,www.udemy.com/course/yoga-medicines-guide-to-therapeutic-yoga/,Tiffany Cruikshank,99.99,25.00,5.0(439 ratings),Health & Fitness,Yoga, ,"2,065",English,"Empower your yoga practice with key insights from anatomy, physiology, & mental health for improved well-being",10/2017,12/29/19
Professional Accredited Yoga Teacher Training Diploma Course,www.udemy.com/course/professional-accredited-yoga-teacher-training-course/,Dr Karen E Wells,94.99,11.39,4.0(584 ratings),Health & Fitness,Yoga,Teacher Training,"3,495",English,Full Certification Diploma Course to Learn the In depth techniques of Yoga to teach to Students & Groups!,11/2019,12/29/19
Yoga Nidra Facilitators Course: Teacher Training Program,www.udemy.com/course/yoga-nidra-facilitators-course-teacher-training-program/,Tripura Yoga,44.99,11.39,4.4(97 ratings),Health & Fitness,Yoga,Meditation,651,English,Learn To Impart The Inner Spiritual Experience To Your Students And Clients,4/2019,12/29/19
Learn to Teach Yoga to Children,www.udemy.com/course/using-yoga-with-young-children/,Sara J. Weis,49.99,11.39,4.0(178 ratings),Health & Fitness,Yoga,Early Childhood Education,"1,828",English,"Help Kids Become Focused, Mindful, and Calm with Yoga at School and Home Through Poses, Games, Stories and More",7/2019,12/29/19
Sounds True Presents: Mystic Flow - The Yoga of Awakening,www.udemy.com/course/mystic-flow-by-seane-corn/,Sounds True,99.99,25.00,4.9(301 ratings),Health & Fitness,Yoga, ,"1,742",English,An In-Depth Yoga Training with Seane Corn,7/2016,12/29/19
Beginner’s Yoga Workout System For Inflexible People,www.udemy.com/course/guyoga-beginners-yoga-for-men/,Body By Yoga,24.99,11.39,4.6(172 ratings),Health & Fitness,Yoga, ,"2,066",English,Discover Yoga's Amazing Benefits. Created For All Ages With Modifications For Those Who Can't Touch Their Toes,8/2016,12/29/19
The Revolution Yoga Anatomy Teacher Training Course,www.udemy.com/course/yogaanatomyrevolution/,Sadie Nardini,99.99,11.39,4.7(158 ratings),Teaching & Academics,Teacher Training,Yoga,"2,695",English,"A next-level anatomy, movement and cueing training to revolutionize how you teach--and attract more students to class!",12/2016,12/29/19
Embody Your Voice: The Yoga of Sound,www.udemy.com/course/embodiedvoice/,Destiny Love,199.99,14.39,4.7(152 ratings),Music,Vocal,Yoga,"1,132",English,Clear Energetic Stagnation and Open Your Creative Channel of Expression Through Self Sound Healing and Ancient Nada Yoga,12/2019,12/29/19
Total Transformation Yoga Teacher Training: Anatomy & Flow!,www.udemy.com/course/total-transformation/,Sadie Nardini,194.99,11.99,4.4(406 ratings),Health & Fitness,Yoga,Teacher Training,"8,432",English,Sadie and Tyler's trainings are renowned as the best Anatomy & Vinyasa Yoga trainings in the world. Grab yours now!,12/2016,12/29/19
"Lunar Cycle Yoga, Meditation & Journaling",www.udemy.com/course/lunar-cycle-yoga-and-meditation/,Aprille Walker,69.99,11.39,4.8(18 ratings),Health & Fitness,Yoga, ,123,English,Working with Moon Phases to Manifest Your Dreams,9/2019,12/29/19
Yin Yoga for Chakra Balance & Healing,www.udemy.com/course/yin-yoga-for-chakra-balance-healing/,Aprille Walker,64.99,14.39,4.6(42 ratings),Health & Fitness,Yoga,Chakra,217,English,Explore the chakras using yoga and meditation,9/2019,12/29/19
