Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
iOS 13 & Swift 5 - The Complete iOS App Development Bootcamp,www.udemy.com/course/ios-13-app-development-bootcamp/,Angela Yu,199.99,11.99,"4.7(27,761 ratings)",Development,Mobile Apps,Swift,"106,864",English,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,12/2019,01/02/20
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,www.udemy.com/course/ios11-app-development-bootcamp/,Angela Yu,199.99,11.99,"4.7(30,619 ratings)",Development,Mobile Apps,iOS Development,"113,606",English,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,10/2019,01/02/20
The Complete iOS 13 Developer Course - and SwiftUI!,www.udemy.com/course/the-complete-ios-developer-course-with-swift/,Codestars by Rob Percival,199.99,11.99,4.5(328 ratings),Development,Mobile Apps,iOS Development,"3,227",English,"Learn iOS 13 development with Swift 5 + Xcode 11. Build apps, games (Instagram, Foursquare etc) + also discover SwiftUI!",10/2019,01/02/20
iOS 13 - How to Make Amazing iPhone Apps: Xcode 11 & Swift 5,www.udemy.com/course/how-to-make-an-iphone-app-course-xcode-11-swift-5-ios-13/,Nick Walter,199.99,11.99,4.6(143 ratings),Development,Mobile Apps,iOS Development,"1,933",English,"Learn SwiftUI, Dark Mode, Sign in with Apple, Swift Package Manager and SF Symbols on the new Xcode 11 and Swift 5.1",11/2019,01/02/20
The Complete iOS 12 & Swift Developer Course - Build 28 Apps,www.udemy.com/course/ios-12-developer-course/,Rob Percival,199.99,11.99,"4.4(1,665 ratings)",Development,Mobile Apps,iOS Development,"16,359",English,"Use Xcode 10 & Swift 4 to make real iOS12 apps like Uber and Instagram, with CoreML & ARKit. Includes AWS Credits & more",7/2019,01/02/20
"iOS 12 & Swift 5 - App Design, UI/UX plus Development",www.udemy.com/course/app-design-uiux-plus-ios-development/,Gwinyai Nyatsoka,199.99,11.99,4.6(455 ratings),Development,Mobile Apps,User Experience Design,"3,252",English,"The three-in-one course that teaches app design, UI/UX and iOS development. Includes Sketch and Figma.",7/2019,01/02/20
iOS 12 Swift 4.2 - The Complete iOS App Development Bootcamp,www.udemy.com/course/ios-12-app-development-bootcamp/,Angela Yu,199.99,11.99,4.7(78 ratings),Development,Mobile Apps,iOS Development,"1,962",English,From Beginner to iOS App Developer with Just One Course!,11/2019,01/02/20
Build a Rental App with Flutter: iOS & Android Masterclass,www.udemy.com/course/ios-android-masterclass-build-3-apps-with-google-flutter/,Mammoth Interactive,199.99,11.99,4.3(29 ratings),Development,Mobile Apps,Firebase,436,English,Start an empire with your first startup app. Learn the Dart programming language and back-end development with Firebase!,9/2019,01/02/20
iOS 12 & Swift 4: From Beginner to Paid Professional,www.udemy.com/course/devslopes-ios12/,Devslopes by Mark Price,199.99,11.99,"4.6(1,065 ratings)",Development,Mobile Apps,iOS Development,"6,032",English,"Learn iOS 12, Swift 4, ARKit, CoreML, App Design, Advanced Programming and Much More",11/2018,01/02/20
SwiftUI - The Complete Guide - Build iOS Apps with SwiftUI,www.udemy.com/course/swiftui-course-build-ios-apps-with-swiftui/,"Paulo Dichone | Android, Java, Flutter Developer and Teacher",199.99,11.99,4.3(89 ratings),Development,Mobile Apps,iOS Development,656,English,"Master SwiftUI & Build Beautiful UI for iOS, MacOS, Watch OS with SwiftUI, a Swift based Framework by Apple",12/2019,01/02/20
iOS 12: Learn to Code & Build Real iOS 12 Apps in Swift 4.2,www.udemy.com/course/ios-12-learn-to-code/,Caleb Stultz,199.99,11.99,4.6(651 ratings),Development,Mobile Apps,iOS Development,"3,820", English,Master iOS 12 development with Swift 4.2 building full-stack apps in this brand new course. Incl. Core ML 2 & ARKit 2!,9/2019,01/02/20
iOS 11 & Swift 4: From Beginner to Paid Professional™,www.udemy.com/course/devslopes-ios11/,Mark Price,199.99,11.99,"4.5(4,393 ratings)",Development,Mobile Apps,iOS Development,"39,284",English,"Build iOS Apps & Learn iOS 11, Swift 4, ARKit (Augmented Reality), CoreML (Machine Learning)",8/2018,01/02/20
