Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Photography Masterclass: A Complete Guide to Photography,www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,"Phil Ebiner, William Carnahan, Video School Online Inc, Sam Shimizu-Jones","₩220,000","₩12,100","Rating: 4.6 out of 54.6 - (25,875)",Photography,Photography Fundamentals,Photography,"137,806",English,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,1/2020,01/14/20
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,"Phil Ebiner, Video School Online Inc","₩220,000","₩12,100","Rating: 4.6 out of 54.6 - (12,741)",Photography,Video Design,Adobe Premiere,"147,138",English,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,11/2019,01/14/20
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,www.udemy.com/course/adobe-lightroom/,"Phil Ebiner, Rapid Growth Coaching Top 10% on Udemy, Video School Online Inc","₩220,000","₩12,100","Rating: 4.3 out of 54.3 - (4,717)",Photography,Photography Tools,Adobe Lightroom,"49,378",English,"Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!",3/2019,01/14/20
iPhone Photography | Take Professional Photos On Your iPhone,www.udemy.com/course/iphonephotography/,Dale McManus,"₩55,000","₩12,100","Rating: 4.7 out of 54.7 - (5,588)",Photography,Digital Photography,iPhone Photography,"18,027",English,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,3/2019,01/14/20
The Complete Video Production Bootcamp,www.udemy.com/course/video-production-bootcamp/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc","₩220,000","₩12,100","Rating: 4.5 out of 54.5 - (4,669)",Photography,Video Design,Video Production,"58,110",English,"Make better videos with the ultimate course on video production, planning, cinematography, editing & distribution.",11/2018,01/14/20
Night Photography: You Can Shoot Stunning Night Photos,www.udemy.com/course/night-photography/,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School Online Inc","₩110,000","₩12,100",Rating: 4.4 out of 54.4 - (981),Photography,Digital Photography,Night Photography,"41,731",English,You will shoot amazing night photos that impress your family and friends with this complete night photography course!,3/2019,01/14/20
Adobe Lightroom CC Masterclass: Complete Photo Editing Guide,www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/,"Phil Ebiner, Video School Online Inc","₩220,000","₩12,100","Rating: 4.5 out of 54.5 - (1,003)",Photography,Photography Tools,Adobe Lightroom,"13,953",English,Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,11/2019,01/14/20
Complete Filmmaker Guide: Become an Incredible Video Creator,www.udemy.com/course/incrediblevideocreator/,Julian Melanson,"₩220,000","₩12,100","Rating: 4.3 out of 54.3 - (2,107)",Photography,Video Design,Video Production,"13,489",English,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,9/2018,01/14/20
VIDEO STORYTELLING. Creative Excellence Class,www.udemy.com/course/videography-storytelling/,Andrew St.Pierre White,"₩165,000","₩12,100",Rating: 4.5 out of 54.5 - (517),Photography,Video Design,Storytelling,"2,769",English,"Creative videography, storytelling, shooting and editing in an easy to follow course for intermediates and beginners.",12/2019,01/14/20
Film using ANY Camera! Basics of Shooting Video Correctly,www.udemy.com/course/videocamerabasics/,Gene Nagata,0,"₩55,000",Rating: 4.7 out of 54.7 - (516),Photography,Video Design,Videography,"1,103",English,"Complete guide to filming on a Phone, DSLR, Mirrorless, or Cinema Camera",7/2019,01/14/20
Color Grading with Da Vinci Resolve:  Beginner to Advanced,www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/,Matthew Falconer,"₩165,000","₩12,100",Rating: 4.6 out of 54.6 - (639),Photography,Video Design,Color Grading,"4,307",English,Learn to grade like a professional with hands-on projects and guidance!,11/2019,01/14/20
The Complete Final Cut Pro X Course Beginner To Intermediate,www.udemy.com/course/finalcutproxcourse/,"Joe Parys, Joe Parys Support","₩220,000","₩12,100","Rating: 4.4 out of 54.4 - (1,022)",Photography,Video Design,Final Cut Pro,"13,129",English,In this complete course students will learn how to edit their videos using Final Cut Pro X from beginner to intermediate,10/2019,01/14/20
Beginner Nikon Digital SLR (DSLR) Photography,www.udemy.com/course/jp-nikon-dslr-for-beginners/,JP Teaches Photo .,"₩33,000","₩12,100","Rating: 4.6 out of 54.6 - (3,848)",Photography,Digital Photography,DSLR,"20,989",English,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,12/2013,01/14/20
Affinity Photo: Solid Foundations,www.udemy.com/course/affinityphoto-solid-foundations/,Simon Foster,"₩110,000","₩12,100","Rating: 4.5 out of 54.5 - (3,056)",Photography,Photography Fundamentals,Affinity Photo,"10,880",English,The best selling beginners guide to Affinity Photo - complete with a 50 page PDF to aid your study!,8/2019,01/14/20
