Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Complete Blender Creator: Learn 3D Modelling for Beginners,www.udemy.com/course/blendertutorial/,Michael Bridges,194.99,11.99,"4.6(32,535 ratings)",Design,,3D Modeling
Creating 3D environments in Blender,www.udemy.com/course/blender-environments/,Rob Tuytel,124.99,11.99,"4.5(4,659 ratings)",Design,,3D Modeling
Blender 2.8 The complete guide from beginner to pro,www.udemy.com/course/blender-28-the-complete-guide-from-beginner-to-pro/,Julien Deville,184.99,11.99,4.5(724 ratings),Design,,3D Modeling
The Ultimate Blender 3D Modeling Guide,www.udemy.com/course/blender3dmodelingguide/,Alex Cordebard,199.99,11.99,4.4(235 ratings),Design,,3D Modeling
Blender 2.81 - Substance painter - Sci fi asset creation,www.udemy.com/course/blender-281-substance-painter-sci-fi-asset-creation/,Julien Deville,59.99,11.99,4.7(30 ratings),Design,,3D Modeling
Learn Blender 3D Modeling for Unity Video Game Development,www.udemy.com/course/learn-blender-3d-modeling-for-unity-video-game-development/,Billy McDaniel,44.99,11.99,"4.5(1,175 ratings)",Design,,3D Modeling
3D Modeling Piped Systems in AutoCAD,www.udemy.com/course/autocad3d/,Paul Lynn,99.99,11.99,4.7(476 ratings),Design,,3D Modeling
3D Modeling in Blender 2.8 for Unity Video Game Developers,www.udemy.com/course/3d-modeling-in-blender-2-8-for-unity-video-game-developers/,Billy McDaniel,44.99,11.99,4.7(116 ratings),Design,,3D Modeling
Blender 2.8 - Modeling and texturing assets for videogames,www.udemy.com/course/next-gene-assets-for-videogames/,Jose Moreno,34.99,11.99,4.4(139 ratings),Design,,3D Modeling
Blender 2.8: Ultimate Low Poly Game Assets in Blender/Unity,www.udemy.com/course/lowpolyblender2-8/,Daniel Krafft,59.99,11.99,4.6(112 ratings),Design,,3D Modeling
Siemens NX Unigraphics (UG) Fundamental 3D Modelling Course,www.udemy.com/course/siemens-nx-unigraphics-ug-basic-to-advance-3d-modelling/,Veer Tutorial,49.99,11.99,4.0(255 ratings),Design,,3D Modeling
Create a Character in Blender3D - Vol.1 Modeling,www.udemy.com/course/create-a-character-volume1/,Lee Salvemini,54.99,11.99,4.4(423 ratings),Design,,3D Modeling
Rhino 3D V6 ( or V5 ) Level 2 Ship Surfacing,www.udemy.com/course/rhino-3d-v6-or-v5-level-2-ship-surfacing/,Alexandre Galin,199.99,11.99,4.8(8 ratings),Design,,3D Modeling
Blender 2.8 Creating your First 3D Game Model,www.udemy.com/course/blender-2-8-creating-your-first-3d-game-model/,Neil Bettison,39.99,11.99,4.5(12 ratings),Design,,3D Modeling
Game Asset Crash Course - 3D Modeling in Blender and 3D-Coat,www.udemy.com/course/game-asset-crash-course-3d-modeling-in-blender-and-3d-coat/,Concept Courses ⁯⁯⁯⁯⁯,99.99,11.99,4.6(318 ratings),Design,,3D Modeling
Create Professional 3D Models from Scratch in Maya,www.udemy.com/course/create-professional-3d-models-from-scratch-in-maya/,Alex Zaragoza,129.99,11.99,4.0(155 ratings),Design,,3D Modeling
Intermediate Game Asset Creation - 3D Modeling in Blender,www.udemy.com/course/intermediate-game-asset-creation-3d-modeling-in-blender/,Concept Courses ⁯⁯⁯⁯⁯,99.99,11.99,4.7(175 ratings),Design,,3D Modeling
BIM Dynamo Geometry Modeling 2018,www.udemy.com/course/dynamo-geometry/,Enrique Galicia,49.99,11.99,4.0(170 ratings),Design,,3D Modeling
Hard Surface 3D Modeling in Cinema 4D: Hyper Realistic Watch,www.udemy.com/course/hard-surface-3d-modeling-in-cinema-4d-hyper-realistic-watch-moylobito/,Moy Lobito,199.99,11.99,4.9(14 ratings),Design,,3D Modeling
Blender 3D Modeling & Animation : 20+ 3D Projects in Blender,www.udemy.com/course/blender-3d-modelling-for-unity-game-development/,Raja Biswas,194.99,11.99,4.9(125 ratings),Design,,3D Modeling
Video Game Weapon Course : Modeling / Substance Painter 2,www.udemy.com/course/video-game-weapon-course-modeling-substance-painter-2/,Bradley Wascher,19.99,11.99,4.8(322 ratings),Design,,3D Modeling
Cinema 4D - High quality furniture modeling,www.udemy.com/course/cinema-4d-high-quality-furniture-modeling/,Zelimir Prgic,99.99,11.99,4.5(100 ratings),Design,,3D Modeling
Create Captain America's Motorcycle with Blender,www.udemy.com/course/create-captain-americas-motorcycle-with-blender/,Darrin Lile,19.99,11.99,4.7(184 ratings),Design,,3D Modeling
Weapon Modeling & Texturing For Game - Complete Pipeline,www.udemy.com/course/weapon-modeling-texturing-for-game-complete-pipeline/,Nalini Kanta Jena,99.99,11.99,4.8(61 ratings),Design,,3D Modeling
