Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
AWS Certified Solutions Architect - Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate/,Ryan Kroonenburg,179.99,19.19,"4.5(158,645 ratings)",IT & Software,,AWS Certification
Ultimate AWS Certified Solutions Architect Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,16.79,"4.6(12,859 ratings)",IT & Software,,AWS Certification
Ultimate AWS Certified Developer Associate 2020 - NEW!,www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,14.99,"4.6(11,823 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,18.59,"4.6(8,966 ratings)",IT & Software,,AWS Certification
AWS Certified Developer - Associate 2020,www.udemy.com/course/aws-certified-developer-associate/,Ryan Kroonenburg,149.99,16.19,"4.3(32,753 ratings)",IT & Software,,AWS Certification
Amazon Web Services (AWS) Certified 2019 - 4 Certifications!,www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,BackSpace Academy,199.99,14.99,"4.5(11,728 ratings)",IT & Software,,AWS Certification
AWS Certified Cloud Practitioner: 6 full practice tests 2020,www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mozdora Education,74.99,11.99,"4.4(4,428 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect - Associate [Latest Exam],www.udemy.com/course/aws-certified-solutions-architect-associate-exam/,DolfinEd - Learning that,0,39.99,"4.7(5,696 ratings)",IT & Software,,AWS Certification
Ultimate AWS Certified SysOps Administrator Associate 2020,www.udemy.com/course/ultimate-aws-certified-sysops-administrator-associate/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,11.99,"4.7(2,212 ratings)",IT & Software,,AWS Certification
AWS Certified Big Data Specialty 2020 - In Depth & Hands On!,www.udemy.com/course/aws-big-data/,Sundog Education by Frank Kane,199.99,11.99,"4.5(1,834 ratings)",IT & Software,,AWS Certification
AWS Certified SysOps Administrator - Associate 2020,www.udemy.com/course/aws-certified-sysops-administrator-associate/,Ryan Kroonenburg,149.99,13.79,"4.4(10,047 ratings)",IT & Software,,AWS Certification
AWS Certified Developer Associate 2020 [4 Practice Tests],www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,99.99,11.39,"4.5(1,902 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect Professional Practice Exam,www.udemy.com/course/aws-solutions-architect-professional-practice-exams-2018/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,14.99,4.4(870 ratings),IT & Software,,AWS Certification
AWS Certified SysOps Administrator Associate Practice Exams,www.udemy.com/course/aws-certified-sysops-administrator-associate-practice-exams-soa-c01/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,13.19,4.6(889 ratings),IT & Software,,AWS Certification
AWS Certified Developer Associate Practice Exams,www.udemy.com/course/aws-certified-developer-associate-practice-exams-amazon/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,11.39,4.7(419 ratings),IT & Software,,AWS Certification
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests-k/,Neal Davis | AWS Certified Solutions Architect,79.99,15.59,"4.5(2,074 ratings)",IT & Software,,AWS Certification
AWS Certified Security Specialty 2019,www.udemy.com/course/aws-certified-security-specialty/,Zeal Vora,0,34.99,"4.3(1,417 ratings)",IT & Software,,AWS Certification
AWS Certified Cloud Practitioner Ultimate Exam Training 2020,www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,Neal Davis | AWS Certified Solutions Architect,94.99,11.39,4.6(412 ratings),IT & Software,,AWS Certification
AWS Certified Solutions Architect - Associate Practice Tests,www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests/,Ryan Kroonenburg,99.99,11.39,"3.9(5,122 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect - Professional 2019,www.udemy.com/course/aws-certified-solutions-architect-professional/,Zeal Vora,0,34.99,4.3(776 ratings),IT & Software,,AWS Certification
AWS Networking in depth: Learn practically in 7 hours,www.udemy.com/course/networking-in-aws/,Chetan Agrawal,99.99,11.39,4.5(373 ratings),IT & Software,,AWS Certification
AWS Certified Solutions Architect - Associate,www.udemy.com/course/linux-academy-aws-certified-solutions-architect-associate/,Linux Academy,179.99,11.99,"4.4(2,637 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect–Professional : Real Tests,www.udemy.com/course/aws-certified-solutions-architectprofessional-real-tests/,Get Certified,84.99,11.39,4.1(166 ratings),IT & Software,,AWS Certification
AWS Certified Solutions Architect Professional,www.udemy.com/course/aws-certified-solutions-architect-professional-whizlabs/,Whizlabs Learning Center,34.99,11.39,4.2(116 ratings),IT & Software,,AWS Certification
AWS Certified Cloud Practitioner 2019 Practice Questions,www.udemy.com/course/aws-certified-cloud-practitioner-2018-practice-questions/,SKILLCERTPRO : Get Certified,19.99,11.99,"4.2(1,061 ratings)",IT & Software,,AWS Certification
AWS Certified DevOps Engineer - Professional 2019,www.udemy.com/course/master-aws-certified-devops-engineer-professional/,Zeal Vora,0,34.99,4.1(301 ratings),IT & Software,,AWS Certification
AWS Certified Cloud Practitioner- Updated:400+ Questions,www.udemy.com/course/aws-cloud-certified-practitioner-mock-tests/,Dhananjay Singh,19.99,11.39,4.3(357 ratings),IT & Software,,AWS Certification
AWS Certified Security Specialist,www.udemy.com/course/aws-security-specialist/,Alan Rodrigues,149.99,11.39,4.2(288 ratings),IT & Software,,AWS Certification
AWS Certified Big Data - Specialty 2019 (Exam Prep Course),www.udemy.com/course/aws-certified-big-data-specialty-exam/,Arpan Solanki,49.99,11.39,3.8(169 ratings),IT & Software,,AWS Certification
2019 Practice Test AWS Solutions Architect Associate,www.udemy.com/course/practice-test-aws-certified-solutions-architect-associate/,Chandra Lingam,19.99,11.39,"4.4(1,927 ratings)",IT & Software,,AWS Certification
AWS Certified Developer Associate : Real Tests (2019),www.udemy.com/course/aws-certified-developer-associate-real-tests-o/,Get Certified,84.99,11.39,4.1(326 ratings),IT & Software,,AWS Certification
AWS Certified Cloud Practitioner - Updated 2019,www.udemy.com/course/aws-certified-cloud-practitioner-2018/,Alan Rodrigues,99.99,11.39,"4.2(1,376 ratings)",IT & Software,,AWS Certification
AWS Certified Solutions Architect - Associate  2019,www.udemy.com/course/aws-certified-solutions-architect-associate-2018/,Zeal Vora,0,29.99,4.4(537 ratings),IT & Software,,AWS Certification
AWS Certified Advanced Networking - Specialty Practice Exams,www.udemy.com/course/aws-certified-advanced-networking-specialty-practice-exams/,Certification Practice Exams,49.99,11.99,4.0(23 ratings),IT & Software,,AWS Certification
