Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,Phil Ebiner,199.99,11.99,"4.6(12,416 ratings)",Photography,,Adobe Premiere
Adobe Premiere Pro CC: Video Editing in Adobe Premiere Pro,www.udemy.com/course/adobe-premiere-pro-cc-2017-video-editing/,Louay Zambarakji,199.99,11.99,"4.7(2,800 ratings)",Photography,,Adobe Premiere
The Complete Adobe Premiere Pro CC Master Class Course,www.udemy.com/course/adobepremiereprocc/,Joe Parys,199.99,11.99,4.5(480 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro CC Tutorial - MasterClass Training,www.udemy.com/course/adobe-premiere-pro-cc/,Infinite Skills,49.99,11.99,"4.2(1,196 ratings)",Photography,,Adobe Premiere
Premiere Pro Lumetri: Color Correct like a Pro,www.udemy.com/course/premiere-pro-lumetri-color-correct-like-a-pro/,Jordy Vandeput,39.99,11.99,4.5(755 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro CC: Learn Video Editing In Premiere Pro,www.udemy.com/course/learnpremierepro/,Life Progression Project,154.99,11.99,"4.6(1,258 ratings)",Photography,,Adobe Premiere
Video Editing with Adobe Premiere Pro for Corporate Video,www.udemy.com/course/premiere-pro-for-corporate-video/,Daniel Walter Scott,19.99,11.99,4.8(278 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro: Ultimate Beginner Course,www.udemy.com/course/premiere-pro-with-brad-newton/,Brad Newton,199.99,11.99,4.5(441 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro CC: Complete A Video Editing Project,www.udemy.com/course/adobe-premiere-pro-cc-complete-a-video-editing-project/,Life Progression Project,184.99,11.99,4.7(189 ratings),Photography,,Adobe Premiere
"Adobe Premiere Pro CC: Greenscreen, Captions, Proxies & More",www.udemy.com/course/premiereprotips/,Life Progression Project,94.99,11.99,4.5(202 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro CS6 Tutorial - MasterClass Training,www.udemy.com/course/adobe-premiere-pro-cs6-master-class/,Infinite Skills,49.99,11.99,4.7(312 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro CS6: The Complete Video Editing Course,www.udemy.com/course/adobe-premiere-pro/,Phil Ebiner,99.99,11.99,4.5(966 ratings),Photography,,Adobe Premiere
Adobe Certified Expert Practice Tests for Premiere Pro CC,www.udemy.com/course/adobe-premiere-pro-expert-certification/,Aaron Wheeler,99.99,11.99,3.8(81 ratings),Photography,,Adobe Premiere
Adobe Premiere Rush: Edit your YouTube videos in an easy way,www.udemy.com/course/adobe-premiere-rush2019/,Joseph adam,99.99,11.99,4.1(26 ratings),Photography,,Adobe Premiere
Learn Video Editing with Premiere Pro CC for beginners,www.udemy.com/course/getting-started-with-adobe-premiere-pro/,Jordy Vandeput,29.99,11.99,4.6(352 ratings),Photography,,Adobe Premiere
Adobe Premiere Pro 2019 -TV Commercials - Movies & YouTube,www.udemy.com/course/adobe-premiere-pro-cc-2018-beginner-special-fx/,Greyson James,19.99,11.99,4.3(36 ratings),Photography,,Adobe Premiere
The Complete Adobe Premiere Pro Masterclass,www.udemy.com/course/the-complete-adobe-premiere-pro-masterclass/,Bryan Guerra,199.99,11.39,3.8(101 ratings),Photography,,Adobe Premiere
