Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Affinity Photo: Solid Foundations,www.udemy.com/course/affinityphoto-solid-foundations/,Simon Foster,99.99,13.19,"4.5(3,009 ratings)",Photography,,Affinity Photo
Affinity Photo: A Beginner's Guide to Photo Compositing,www.udemy.com/course/affinity-photo-a-beginners-guide-to-photo-compositing/,Jeremy Hazel,99.99,13.79,4.6(66 ratings),Photography,,Affinity Photo
Affinity Photo: Beginner to Pro via Reference and Workflow,www.udemy.com/course/affinity-photo-beginner-to-pro-via-reference-and-workflow/,Simon Foster,99.99,14.99,4.6(731 ratings),Photography,,Affinity Photo
Affinity Photo for the iPad,www.udemy.com/course/affinity-photo-for-the-ipad/,Simon Foster,99.99,14.99,4.6(771 ratings),Photography,,Affinity Photo
Affinity Photo: Complete Guide to Photo Editing in Affinity,www.udemy.com/course/affinity-photo/,Phil Ebiner,199.99,17.39,4.3(298 ratings),Photography,,Affinity Photo
Affinity Photo: The Little Box of Tricks,www.udemy.com/course/affinity-photo-the-little-box-of-tricks/,Simon Foster,99.99,13.19,4.4(503 ratings),Photography,,Affinity Photo
Affinity Photo: Raw Image Development,www.udemy.com/course/affinity-photo-raw-image-development/,Simon Foster,59.99,13.19,4.4(554 ratings),Photography,,Affinity Photo
Affinity Photo: Modern Special Effects,www.udemy.com/course/affinity-photo-modern-special-effects/,Simon Foster,59.99,11.39,4.6(73 ratings),Photography,,Affinity Photo
Affinity Photo: Developing Landscapes,www.udemy.com/course/affinity-photo-developing-landscapes/,Simon Foster,59.99,11.39,4.3(180 ratings),Photography,,Affinity Photo
Affinity Photo: The Fast Guide,www.udemy.com/course/affinity-photo-the-fast-guide/,Simon Foster,99.99,11.39,4.6(98 ratings),Photography,,Affinity Photo
Affinity Photo: Digital Painting a Character,www.udemy.com/course/free-painting-character-in-affinity-photo/,Andrey Bzhitskikh,49.99,11.39,4.2(16 ratings),Photography,,Affinity Photo
Affinity Photo for Total Beginners: Photo Editing Simplified,www.udemy.com/course/affinity-photo-simplified/,Hector Carrasquilla,19.99,11.39,4.5(22 ratings),Photography,,Affinity Photo
Create a Surrealist Landscape on Blender & Affinity Photo,www.udemy.com/course/create-a-surrealist-landscape-on-blender-affinity-photo/,Hector Carrasquilla,19.99,11.39,4.1(2 ratings),Photography,,Affinity Photo
Quick and Easy Editing with Affinity Photo,www.udemy.com/course/a-guide-to-essential-post-processing-in-affinity-photo/,Life Skills Media,19.99,11.39,0.0(0 ratings),Photography,,Affinity Photo
Affinity Photo For Beginners,www.udemy.com/course/affinityphoto/,Suspendee Studios,99.99,11.39,3.5(32 ratings),Photography,,Affinity Photo
Affinity Photo: Five Steps to Better Photos,www.udemy.com/course/affinity-photo-five-steps-to-better-photos/,Simon Foster,0,Free,4.6(196 ratings),Photography,,Affinity Photo
