Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
After Effects CC 2020: Complete Course from Novice to Expert,www.udemy.com/course/after-effects-kinetic-typography/,Louay Zambarakji,199.99,11.39,"4.6(13,679 ratings)",Design,,After Effects
After Effects CC Masterclass: With CC 2020 Updates,www.udemy.com/course/after-effects-cc/,Phil Ebiner,199.99,17.99,"4.5(3,705 ratings)",Design,,After Effects
After Effects - Motion Graphics & Data Visualization,www.udemy.com/course/animated-infographic-video-data-visualisation/,Daniel Walter Scott,194.99,11.39,"4.6(2,379 ratings)",Design,,After Effects
Adobe After Effects CC: The Complete Motion Graphics Course,www.udemy.com/course/adobe-after-effects-2017-essential-motion-graphics-training/,Louay Zambarakji,199.99,11.39,"4.6(2,204 ratings)",Design,,After Effects
Adobe After Effects CC - Motion Graphics Design & VFX,www.udemy.com/course/become-a-motion-graphic-designer-using-after-effects/,Daniel Walter Scott,94.99,11.39,4.6(990 ratings),Design,,After Effects
After Effects CC 2019 Motion Graphics & Animation Principles,www.udemy.com/course/motion-graphics-course/,Louay Zambarakji,199.99,11.39,4.7(274 ratings),Design,,After Effects
Futuristic HUD Motion Graphics in After Effects,www.udemy.com/course/futuristic-hud-animations-in-after-effects/,Sam DeZeeuw,74.99,11.39,4.7(225 ratings),Design,,After Effects
Learning Adobe After Effects CC Tutorial Videos,www.udemy.com/course/learning-adobe-after-effects-cc-tutorial/,Infinite Skills,49.99,11.39,4.0(626 ratings),Design,,After Effects
After Effects CC: Beginner's Guide to VFX Visual Effects,www.udemy.com/course/visual-effects-in-after-effects/,Louay Zambarakji,149.99,13.79,4.2(132 ratings),Design,,After Effects
Advanced Particle VFX in Unity and After Effects,www.udemy.com/course/advanced-particle-vfx-in-unity-and-after-effects/,Timothy Trankle,49.99,11.39,4.4(334 ratings),Design,,After Effects
VFX Compositing with After Effects: The Complete Edition,www.udemy.com/course/vfx-compositing-with-after-effects-the-complete-edition/,Vicki Lau,74.99,11.39,4.3(136 ratings),Design,,After Effects
3D in After Effects CC: Working & Animating in 3D Space,www.udemy.com/course/after-effects-3d-animation-motion-graphics/,Louay Zambarakji,99.99,11.39,4.4(160 ratings),Design,,After Effects
Create HUD graphics in After Effects and Illustrator,www.udemy.com/course/hud-interface-animation-in-after-effects-and-illustrator/,Motion School,164.99,11.39,4.8(118 ratings),Design,,After Effects
After Effects CC Expressions: Animated Infographics Design,www.udemy.com/course/adobe-after-effects-expressions-create-motion-infographics/,Louay Zambarakji,99.99,11.39,4.7(199 ratings),Design,,After Effects
