Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
"CBT for Depression, Anxiety, Phobias and Panic Attacks",www.udemy.com/course/cbt-for-depression-anxiety-phobias-and-panic-attacks/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.99,"4.1(2,283 ratings)",Personal Development,,Anxiety Management
"Emotional Intelligence: Master Anxiety, Fear, & Emotions",www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,Joeel & Natalie Rivera,134.99,11.99,4.2(962 ratings),Personal Development,,Anxiety Management
The Complete Stress & Anxiety Breakthrough Programme,www.udemy.com/course/the-complete-stress-management-masterclass/,Kain Ramsay,199.99,11.99,4.4(357 ratings),Personal Development,,Anxiety Management
Mindfulness for Anxiety and Sleep - with Tara Brach,www.udemy.com/course/heal-anxiety-sleep-easily-tara-brach/,"Tara Brach, Ph.D.",49.99,11.99,4.5(434 ratings),Personal Development,,Anxiety Management
Anxiety Boot Camp: A Guide to Beating Anxiety and Stress,www.udemy.com/course/how_to_overcome_anxiety/,Kain Ramsay,114.99,11.99,4.4(258 ratings),Personal Development,,Anxiety Management
"EFT Tapping for Anxiety, Stress & Worry: Complete EFT Course",www.udemy.com/course/eft-tapping-natural-self-healing-for-anxiety-stress-worry/,"Arianna Opper, DO, Integrative Wellness Coach",199.99,11.99,4.6(388 ratings),Personal Development,,Anxiety Management
Mindfulness for Anxiety: The Ultimate Anxiety Program!,www.udemy.com/course/mindfulness-for-anxiety-the-ultimate-anxiety-program/,Ryan Hassan,74.99,11.99,4.9(29 ratings),Personal Development,,Anxiety Management
"How I Overcame Social Anxiety, Grew Confidence & Self-Esteem",www.udemy.com/course/build-rock-solid-confidence-self-esteem-become-your-best/,Tobias Atkins,19.99,11.99,4.1(375 ratings),Personal Development,,Anxiety Management
Anxiety and Stress,www.udemy.com/course/anxiety-and-stress/,Chris Croft,99.99,11.99,4.5(197 ratings),Personal Development,,Anxiety Management
Overcome Anxiety and Panic Attacks,www.udemy.com/course/overcome-anxiety/,Matt Lewis,149.99,11.99,4.6(85 ratings),Personal Development,,Anxiety Management
The Ultimate Anxiety Elimination & Control Training Program®,www.udemy.com/course/the-ultimate-anxiety-elimination-control-training-program/,The Best-Selling Author | Noah Merriby ​,199.99,11.99,4.5(19 ratings),Personal Development,,Anxiety Management
Natural Therapies for Depression and Anxiety,www.udemy.com/course/natural-therapies-for-depression-and-anxiety/,Ross Pelton,49.99,11.99,4.7(53 ratings),Personal Development,,Anxiety Management
"Breathing Retraining: Asthma Anxiety Snoring Apnea, Buteyko",www.udemy.com/course/breathing-retraining/,Tracey  Anderson Askew,0,194.99,4.3(20 ratings),Personal Development,,Anxiety Management
Overcoming Shyness and Social Anxiety,www.udemy.com/course/overcoming-shyness-and-social-anxiety/,Randy Hyde PhD,199.99,11.99,3.9(89 ratings),Personal Development,,Anxiety Management
Anxiety Breakthrough - help yourself without medication,www.udemy.com/course/how-to-completely-cure-anxiety-forever-without-medication/,Graham Nicholls,194.99,11.99,4.7(58 ratings),Personal Development,,Anxiety Management
The Anxiety Rebalance Course From the #1 Bestseller & Coach,www.udemy.com/course/anxiety-rebalance-course/,Carl Vernon,34.99,11.99,4.3(44 ratings),Personal Development,,Anxiety Management
Eliminate Anxiety & Reclaim Your Happiness,www.udemy.com/course/eliminate-anxiety-reclaim-your-happiness/,Ram Verma,59.99,11.39,4.8(15 ratings),Personal Development,,Anxiety Management
How to Quickly Overcome Depression and Anxiety Starting Now!,www.udemy.com/course/anxiety-and-depression-interrupted/,"Audrey Sherman, Ph.D.",149.99,11.39,4.5(9 ratings),Personal Development,,Anxiety Management
Conquer Anxiety,www.udemy.com/course/conquer-anxiety/,Warren Broad,24.99,11.39,4.7(62 ratings),Personal Development,,Anxiety Management
Overcome Anxiety - Rewire your brain,www.udemy.com/course/overcome-anxiety-rewire-your-brain/,Deborah Bispham,69.99,11.39,4.8(7 ratings),Personal Development,,Anxiety Management
Beat Anxiety in (2019) with EFT the Tapping Therapy,www.udemy.com/course/beat-anxiety-with-the-tapping-therapy-the-healer-within/,Alan Kirwan,34.99,11.39,4.5(31 ratings),Personal Development,,Anxiety Management
How to Overcome Approach Anxiety With Women,www.udemy.com/course/how-to-overcome-approach-anxiety-with-women/,Alex Peguero,29.99,11.39,3.8(51 ratings),Personal Development,,Anxiety Management
How to Stop Worrying & Overcome Anxiety Without Using Drugs,www.udemy.com/course/how-to-stop-worrying-without-taking-drugs/,Ken Wells,174.99,11.39,3.7(139 ratings),Personal Development,,Anxiety Management
Mindfulness for Health Anxiety,www.udemy.com/course/mindfulness-for-health-anxiety/,Chris Worfolk,99.99,11.39,4.2(11 ratings),Personal Development,,Anxiety Management
Decrease Anxiety & Panic Attacks in 7 Days,www.udemy.com/course/anxiety-how-to-get-rid-of-it-for-good/,David Groomes,29.99,11.39,4.6(43 ratings),Personal Development,,Anxiety Management
Mindfulness for Anxiety,www.udemy.com/course/mindfulness-for-anxiety/,Katie Sheen,39.99,11.39,4.6(43 ratings),Personal Development,,Anxiety Management
Acceptance & Commitment Therapy for Social Anxiety & shyness,www.udemy.com/course/act-therapy-for-social-anxiety-shyness-acceptance-and-commitment/,Aman Varma,104.99,11.39,3.4(4 ratings),Personal Development,,Anxiety Management
Transcend Anxiety by Looking at Reality,www.udemy.com/course/transcend-anxiety-by-looking-at-reality/,Gentiana Bordieanu,189.99,11.39,4.3(8 ratings),Personal Development,,Anxiety Management
Break Free from Loneliness Anxiety,www.udemy.com/course/break-free-from-loneliness-anxiety/,Diana Mikas,159.99,11.39,4.5(2 ratings),Personal Development,,Anxiety Management
Stop Struggling with Anxiety - Overcome It the Feelgood Way,www.udemy.com/course/overcoming-anxiety/,Sue Breton,69.99,17.50,4.5(32 ratings),Personal Development,,Anxiety Management
Heal past hurts & trauma causing your anxiety and addiction.,www.udemy.com/course/heal-past-hurts-trauma-causing-your-anxiety-and-addiction/,Mary-Anne Quezel,29.99,11.39,5.0(1 rating),Personal Development,,Anxiety Management
Anxiety Management Qi Gong For Anxiety - Anxiety Relief,www.udemy.com/course/natural-anxiety-relief-techniques-qi-gong-for-anxiety/,Sonia Bruce,49.99,11.39,4.8(3 ratings),Personal Development,,Anxiety Management
Hacking Energy Healing For Anxiety,www.udemy.com/course/hacking-energy-healing-for-anxiety/,Rose Osman,39.99,11.39,4.6(24 ratings),Personal Development,,Anxiety Management
Jump Off the Hamster Wheel of Anxiety,www.udemy.com/course/jump-off-the-hamster-wheel-of-anxiety/,Sara Hocking,19.99,11.39,5.0(7 ratings),Personal Development,,Anxiety Management
Mindfulness for Social Anxiety,www.udemy.com/course/mindfulness-for-social-anxiety/,Chris Worfolk,99.99,11.39,4.7(3 ratings),Personal Development,,Anxiety Management
Depression and Anxiety Destroyer P1,www.udemy.com/course/depression-and-anxiety-destroyer/,Ehab Masoud,149.99,11.39,4.1(30 ratings),Personal Development,,Anxiety Management
Managing Stress and Anxiety - Licensed Therapist,www.udemy.com/course/managing-stress-and-anxiety/,Alexander R Tipton,119.99,11.39,0.0(0 ratings),Personal Development,,Anxiety Management
Anxiety & Depression: Journey to Natural Healing Course,www.udemy.com/course/naturalhealing/,MindQuest Academy,59.99,11.39,4.4(31 ratings),Personal Development,,Anxiety Management
Overcoming Overwhelm: Free from Anxiety,www.udemy.com/course/overcoming-overwhelm/,Elaine Hilides,49.99,11.39,4.7(29 ratings),Personal Development,,Anxiety Management
From ANXIETY to EMPOWERMENT ,www.udemy.com/course/r-u-self-referral-or-r-u-object-referral/,"Marlene Prinzing, M.A.",0,19.99,4.4(4 ratings),Personal Development,,Anxiety Management
Confidence & Social Anxiety Masterclass - Become Good Enough,www.udemy.com/course/confidence-social-anxiety-masterclass-become-good-enough/,Andrei Antoniu,199.99,11.39,3.8(26 ratings),Personal Development,,Anxiety Management
"Beat anxiety and stress, with mindfulness and self hypnosis",www.udemy.com/course/beat-anxiety-and-stress-with-mindfulness-and-self-hypnosis/,Tom MacKay,84.99,11.39,4.8(4 ratings),Personal Development,,Anxiety Management
Overcoming Social Anxieties,www.udemy.com/course/overcoming-social-anxieties/,Tracy Atkinson,59.99,11.39,5.0(1 rating),Personal Development,,Anxiety Management
"Stop Anxiety: Crush  it without doctors, pills, or therapy.",www.udemy.com/course/easy-steps-to-crush-anxiety-the-dragostea-micro-step-method/,Jamey Cunningham - Dragostea,199.99,11.39,4.3(13 ratings),Personal Development,,Anxiety Management
The Hack Anxiety Toolbox,www.udemy.com/course/hack-anxiety-toolbox/,Mark DeNicola,94.99,11.39,4.4(11 ratings),Personal Development,,Anxiety Management
How to Control and Stop Anxiety Attacks.,www.udemy.com/course/stop-anxiety-attacks/,Liza J Alvarado,44.99,11.39,4.6(8 ratings),Personal Development,,Anxiety Management
Barefoot Doctor's Anxiety Busting System,www.udemy.com/course/barefoot-doctors-anxiety-busting-system/,Barefoot Doctor,44.99,11.39,4.5(3 ratings),Personal Development,,Anxiety Management
From Social Anxiety to Social Confidence,www.udemy.com/course/social-anxiety-to-social-confidence/,Dayo Samuel,19.99,11.39,3.9(4 ratings),Personal Development,,Anxiety Management
Working with That Pesky Mind - Calm Anxiety,www.udemy.com/course/working-with-that-pesky-mind/,"Loreen O'Brien, M.A., LMHC License Mental Health Counselor",99.99,25.00,4.8(10 ratings),Personal Development,,Anxiety Management
Eliminate Social Anxiety at Grocery Stores and Malls,www.udemy.com/course/khailkapp_social_anxiety_grocery_stores/,Khail Kapp,19.99,11.39,5.0(4 ratings),Personal Development,,Anxiety Management
Practical Steps to Overcoming Performance Anxiety,www.udemy.com/course/practical-steps-to-overcoming-performance-anxiety/,Luciane Cardassi,94.99,11.39,4.1(44 ratings),Personal Development,,Anxiety Management
Cancer Without Fear,www.udemy.com/course/cancer-without-fear/,Dr Anne Curtis,34.99,11.39,4.8(12 ratings),Personal Development,,Anxiety Management
Overcome Fear & Anxiety Today With 3 Tricks - Be Calm Today!,www.udemy.com/course/overcome-fear-and-anxiety/,David Fonvielle,199.99,11.39,3.9(25 ratings),Personal Development,,Anxiety Management
Beat Anxiety: Overcome Anxiety and Reclaim Your Life,www.udemy.com/course/beat-anxiety-overcome-anxiety/,Alexandra Massey,89.99,11.39,4.4(3 ratings),Personal Development,,Anxiety Management
Mindfulness: A State Where Anxiety Doesn't Exist,www.udemy.com/course/mindfulness-a-state-where-anxiety-doesnt-exist/,Gentiana Bordieanu,159.99,11.39,4.2(10 ratings),Personal Development,,Anxiety Management
Natural Solutions To Overcome Anxiety!,www.udemy.com/course/natural-solutions-to-overcome-anxiety/,Laurențiu Marga,29.99,11.39,4.9(3 ratings),Personal Development,,Anxiety Management
The 7 Gates To Your Tranquility Zone,www.udemy.com/course/seven-gates-to-your-tranquility-zone/,Shaya Ostrov,189.99,11.39,4.7(9 ratings),Personal Development,,Anxiety Management
Conquer Your Anxiety: 30 Strategies for Anxiety Management,www.udemy.com/course/conquer-your-anxiety-30-strategies-to-overcome-anxiety/,Charlene Rossiter,19.99,11.39,4.0(1 rating),Personal Development,,Anxiety Management
Anxiety Mastery Course by John Cordray,www.udemy.com/course/anxiety-mastery-course/,"John Cordray, LPC, NCC",194.99,11.39,4.4(7 ratings),Personal Development,,Anxiety Management
Conquering your Anxiety Issues,www.udemy.com/course/nerves-or-anxiety-crossing-the-line/,Dr. J's Psychology,24.99,11.99,4.1(26 ratings),Personal Development,,Anxiety Management
How to stop worrying - learn a smart way.,www.udemy.com/course/how-to-stop-worrying-in-10-minutes-or-less/,Dmitry Oganesov,24.99,11.39,4.4(4 ratings),Personal Development,,Anxiety Management
Combating Anxiety: Create New Ways of Experiencing Life,www.udemy.com/course/anxiety-g/,Louisa Link-McDowell,49.99,11.39,0.0(0 ratings),Personal Development,,Anxiety Management
Control Anxiety & Depression- Non-Medicated Solutions,www.udemy.com/course/understanding-anxiety-depression/,Jessica Brown,29.99,11.39,4.6(31 ratings),Personal Development,,Anxiety Management
Meditation for Beginners (with Bonus Advanced Techniques),www.udemy.com/course/how-to-stop-overthinking-end-anxieties-and-sleep-better/,Joseph Woerly,34.99,11.39,4.3(25 ratings),Personal Development,,Anxiety Management
Anxiety: Beat It and Regain Peace,www.udemy.com/course/beat-anxiety-and-regain-your-peace/,Dr Sonia Greenidge,139.99,11.39,4.6(5 ratings),Personal Development,,Anxiety Management
