Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Therapeutic Art Life Coach Certification  (Accredited),www.udemy.com/course/art-therapy-life-coach-certification/,Joeel & Natalie Rivera,199.99,19.79,"4.1(5,903 ratings)",Personal Development,,Art Therapy
Arts Therapy - Arts Therapy For Self Healing (Part One),www.udemy.com/course/art-therapy-for-everyone/,Libby Seery - Founder of Renaissance Life Therapies,199.99,15.59,"4.3(6,205 ratings)",Personal Development,,Art Therapy
"Therapeutic Art for Healing, Happiness & Stress Reduction",www.udemy.com/course/art-therapy-for-healing-happiness-stress-reduction/,Joeel & Natalie Rivera,199.99,11.99,4.1(511 ratings),Personal Development,,Art Therapy
Arts Therapy : Arts Therapy For Self-Exploration (Part 2),www.udemy.com/course/art-and-colouring-for-adults/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.2(878 ratings),Personal Development,,Art Therapy
Arts Therapy : How To Use Arts Therapy With Other People,www.udemy.com/course/how-to-use-arts-therapy-arts-therapy-working-with-others/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.99,4.1(499 ratings),Personal Development,,Art Therapy
30 Relaxing Art Therapy Exercises For Mental Well-Being,www.udemy.com/course/16-art-therapy-exercises-drawing-painting-crafts-coloring-creativity/,Tatiana Ambrose Creative Artist,199.99,11.39,4.2(180 ratings),Personal Development,,Art Therapy
"Arts Therapy : For Greater Understanding of The ""Self""",www.udemy.com/course/arts-therapy-for-greater-understanding-of-the-self/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.2(266 ratings),Personal Development,,Art Therapy
Massage Therapy,www.udemy.com/course/massage-therapy-l/,Academy of Film Fashion and Design,19.99,11.39,4.4(96 ratings),Personal Development,,Art Therapy
SEVEN (7) COURSES :Art therapy leading to self-healing + DBT,www.udemy.com/course/art-therapy-painting-and-depression/,Chris Bankes Sivewright,149.99,12.59,4.2(57 ratings),Personal Development,,Art Therapy
ArtWorks! Art Therapy Guide For Personal Development,www.udemy.com/course/art-therapy/,LYFE Academy,54.99,11.99,4.0(205 ratings),Personal Development,,Art Therapy
Intuitive Graphic Drawing and Art Meditation. Map of wishes.,www.udemy.com/course/intuitive-graphic-drawing-and-art-meditation-map-of-wishes/,Galina Stark,24.99,11.39,3.9(13 ratings),Personal Development,,Art Therapy
Art Therapy for Kids - Building Confidence & Self Expression,www.udemy.com/course/art-therapy-for-kids-building-confidence-self-esteem/,Liz Edwards,19.99,11.99,3.9(53 ratings),Personal Development,,Art Therapy
Personal Development and Self Healing through Art / Beginner,www.udemy.com/course/personal-development-and-self-healing-through-art-beginner/,"Anike Kehinde Art Therapist BA, Creative Coach and Artist",199.99,11.39,4.6(9 ratings),Personal Development,,Art Therapy
Arts Therapy: A Student's Perspective on Art Therapy,www.udemy.com/course/art-therapy-course/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.5(107 ratings),Personal Development,,Art Therapy
Therapeutic Art + Oxford Diploma,www.udemy.com/course/therapeutic-art/,Chris Bankes Sivewright,149.99,11.39,4.7(3 ratings),Personal Development,,Art Therapy
Create a Healing Spirit Art Doll,www.udemy.com/course/create-a-healing-spirit-art-doll/,jeanie mossa,144.99,14.99,4.8(50 ratings),Personal Development,,Art Therapy
Art Therapy For Depression & Anxiety ™,www.udemy.com/course/rewire-your-brain-through-neuroplasticity/,Mayez El Merhbi,199.99,11.39,4.0(28 ratings),Personal Development,,Art Therapy
Your Craft Business: Step By Step Guide To Make Money Online,www.udemy.com/course/automate-your-art-craft-business-and-make-money-on-autopilot/,Lana King,199.99,11.39,3.8(8 ratings),Personal Development,,Art Therapy
An Introductory Guide to Art Therapy,www.udemy.com/course/an-introductory-guide-to-art-therapy/,Syeda Rahman,49.99,12.50,3.8(14 ratings),Personal Development,,Art Therapy
What is art therapy?,www.udemy.com/course/what-is-art-therapy/,Beth Ann Short,0,19.99,4.0(12 ratings),Personal Development,,Art Therapy
Magic in Therapy: Mind Control and Protection,www.udemy.com/course/magic-in-therapy-mind-control-and-protection/,Eugene Subbotsky,44.99,11.39,3.9(3 ratings),Personal Development,,Art Therapy
"Paint with your intuition, sketch and COLOR yourself HAPPY.",www.udemy.com/course/paint-with-your-intuition-feel-the-healing-creative-flow/,Nicola A Blakemore,19.99,11.39,4.1(28 ratings),Personal Development,,Art Therapy
Art Therapy (based on Vedic Sciences),www.udemy.com/course/art-therapy-based-on-vedic-sciences/,Elena Zelenina,99.99,11.39,3.6(32 ratings),Personal Development,,Art Therapy
Rock Painting and Beyond - Decorative Stone Art,www.udemy.com/course/rock-painting-and-beyond-decorative-stone-art/,Rick Cheadle,24.99,11.39,4.1(5 ratings),Personal Development,,Art Therapy
Tree of Success. Art Meditation. Energy psychology.,www.udemy.com/course/tree-of-success-art-meditation-energy-psychology/,Galina Stark,19.99,11.39,3.0(1 rating),Personal Development,,Art Therapy
Make with THE Mind (Guided Meditation and Therapeutic Art) ,www.udemy.com/course/make-with-the-mind-guided-meditation-and-therapeutic-art/,Kate Havord,44.99,11.39,3.5(7 ratings),Personal Development,,Art Therapy
