Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
StichMethod Blues Master Class Part 1.,www.udemy.com/course/stichmethod-blues-master-class-part-1/,Ian Stich,0,44.99,4.8(778 ratings),Music,,Blues Guitar
Pure Pentatonic Power: Rock and Blues Lead Guitar Course,www.udemy.com/course/pure-pentatonic-power-a-masterclass-in-rock-and-blues/,Guitar Joolz,99.99,11.99,4.4(187 ratings),Music,,Blues Guitar
StichMethod Blues Master Class Part 2. The Continuation,www.udemy.com/course/stichmethod-blues-master-class-part-2-the-continuation/,Ian Stich,0,44.99,4.9(179 ratings),Music,,Blues Guitar
Beginner To Advanced Blues Guitar Masterclass (2020 Update),www.udemy.com/course/beginner-blues-guitar/,Henry Olsen,199.99,11.99,4.7(115 ratings),Music,,Blues Guitar
Acoustic Blues Guitar Lessons : Learn Blues Guitar,www.udemy.com/course/jim-bruce-blues-guitar-lessons-36-pack/,Jim Bruce,134.99,33.75,4.6(184 ratings),Music,,Blues Guitar
Blues and Advanced Guitar Lessons,www.udemy.com/course/blues-and-advanced-guitar-lessons/,Erich Andreas,94.99,11.99,4.2(204 ratings),Music,,Blues Guitar
Play Modern Blues Now,www.udemy.com/course/play-modern-blues-now/,Steve Stine,49.99,11.99,4.7(423 ratings),Music,,Blues Guitar
Traditional Acoustic Blues Guitar - For Beginners,www.udemy.com/course/traditional-acoustic-blues-guitar-for-beginners/,David Moore,199.99,11.99,4.6(9 ratings),Music,,Blues Guitar
Blues for the Curious Guitarist,www.udemy.com/course/blues-for-the-curious-guitarist/,Dan Dresnok,199.99,11.99,4.6(75 ratings),Music,,Blues Guitar
Acoustic Blues Guitar Lessons,www.udemy.com/course/acoustic-blues-guitar-lessons/,Daniele Pacchini,74.99,11.99,4.7(56 ratings),Music,,Blues Guitar
Blues Guitar - Beyond The Pentatonic,www.udemy.com/course/blues-guitar-beyond-the-pentatonic/,John Robson,39.99,11.99,4.6(23 ratings),Music,,Blues Guitar
Traditional Style Electric Blues Guitar - Part 2/Lead Guitar,www.udemy.com/course/traditional-style-electric-blues-guitar-for-beginners-l/,David Moore,74.99,11.99,4.4(14 ratings),Music,,Blues Guitar
Easy Blues Guitar Crash Course,www.udemy.com/course/easy-blues-guitar-crash-course/,Dan Dresnok,199.99,11.99,4.8(2 ratings),Music,,Blues Guitar
Ultimate Blues Guitar Beginner Lessons,www.udemy.com/course/ultimate-blues-guitar-beginners-course/,Dan Holton,19.99,11.99,4.3(114 ratings),Music,,Blues Guitar
Traditional-Style Electric Blues Guitar For Beginners,www.udemy.com/course/traditional-style-electric-blues-guitar-for-beginners/,David Moore,24.99,11.99,4.5(35 ratings),Music,,Blues Guitar
Finger Style Blues Guitar Made Easy,www.udemy.com/course/finger-style-blues-guitar-made-easy/,David Green,29.99,11.99,4.7(33 ratings),Music,,Blues Guitar
Freddy King - The Classic Instrumentals - Volume I,www.udemy.com/course/freddy-king-the-classic-instrumentals-volume-i/,David Moore,199.99,11.99,4.4(35 ratings),Music,,Blues Guitar
Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,www.udemy.com/course/blues-guitar-lessons-volume-2-slow-blues-essentials/,FretHub Guitar Lessons,34.99,11.99,4.1(69 ratings),Music,,Blues Guitar
Blues Guitar Lessons. For Intermediate Blues Guitar Players,www.udemy.com/course/blues-guitar-lessons-for-intermediate-and-advanced-players/,James Rogers,199.99,11.99,4.3(5 ratings),Music,,Blues Guitar
Blues Rock Rhythm Guitar Beginner Course.,www.udemy.com/course/the-complete-blues-rhythm-guitar-beginner-course/,Craig Garwood,74.99,11.99,4.4(44 ratings),Music,,Blues Guitar
Blues Guitar Lessons - Volume 3 - Minor Blues Essentials,www.udemy.com/course/blues-guitar-lessons-volume-3-minor-blues-essentials/,FretHub Guitar Lessons,34.99,11.99,4.5(19 ratings),Music,,Blues Guitar
Blues Accelerator - 21 Days to Blues Guitar Mastery,www.udemy.com/course/blues-accelerator-21-days-to-blues-mastery/,Mark Thomson,0,49.99,4.6(15 ratings),Music,,Blues Guitar
Blues Guitar Lessons - From Texas To Carolina,www.udemy.com/course/jim-bruce-blues-guitar-lessons-texas-carolina/,Jim Bruce,49.99,12.50,4.8(15 ratings),Music,,Blues Guitar
Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,www.udemy.com/course/guitar-lessons-ragtime-blues-blind-blake/,Jim Bruce,49.99,12.50,4.6(10 ratings),Music,,Blues Guitar
The Blues Guitar Style Of Big Bill Broonzy,www.udemy.com/course/the-blues-guitar-style-of-big-bill-broonzy/,Rick Payne,24.99,11.99,5.0(1 rating),Music,,Blues Guitar
Blues Guitar Lessons - Ragtime Blues Guitar,www.udemy.com/course/guitar-lessons-learn-ragtime-blues-guitar/,Jim Bruce,49.99,12.50,4.5(9 ratings),Music,,Blues Guitar
Paul Rose - Blues and Rock Guitar Tutorial,www.udemy.com/course/paul-rose-blues-and-rock-guitar-tutorial/,Paul Rose,29.99,11.99,4.1(8 ratings),Music,,Blues Guitar
Fingerstyle Guitar Lessons : Blues Chords : Fingerpicking,www.udemy.com/course/blues-guitar-finger-picking-basics-with-jim-bruce/,Jim Bruce,49.99,12.50,4.8(79 ratings),Music,,Blues Guitar
Blues Chords & Lessons: The Blues Guitar Of Broonzy & McGhee,www.udemy.com/course/swing-acoustic-blues-guitar-lessons/,Jim Bruce,49.99,12.50,4.4(52 ratings),Music,,Blues Guitar
Fingerstyle Blues Guitar - Acoustic Blues : 7 Blues Men,www.udemy.com/course/fingerstyle-blues-guitar-acoustic-blues-7-blues-men/,Jim Bruce,49.99,12.50,5.0(2 ratings),Music,,Blues Guitar
Pentatonics and Blues Guitar Solo Mastery ,www.udemy.com/course/blues-guitar-solo-mastery/,Dan Amerson,44.99,11.99,3.8(16 ratings),Music,,Blues Guitar
Blues Guitar Lessons - Robert Johnson and Scrapper Blackwell,www.udemy.com/course/robert-johnson-scrapper-blackwell-guitar-lessons/,Jim Bruce,19.99,11.99,4.3(19 ratings),Music,,Blues Guitar
Intros And Outros For Blues And Ragtime Guitar,www.udemy.com/course/intros-and-outros-for-blues-and-ragtime-guitar/,Rick Payne,29.99,11.39,4.7(5 ratings),Music,,Blues Guitar
How To Play Blues Guitar - Ragtime Blues Guitar Techniques,www.udemy.com/course/acoustic-blues-guitar-ragtime-blues-techniques/,Jim Bruce,49.99,12.50,4.5(1 rating),Music,,Blues Guitar
How To Play Blues Guitar - Open G and D,www.udemy.com/course/open-g-and-d-guitar-lessons/,Jim Bruce,49.99,12.50,4.1(14 ratings),Music,,Blues Guitar
Blues Guitar Lessons: Play Like the Greats - All Levels,www.udemy.com/course/guitar-greats-professional-guitar-masterclass/,Stetson Rylee,19.99,11.39,3.3(5 ratings),Music,,Blues Guitar
"Blues Guitar Lessons: Chords, Rhythm and Lead Guitar (w/Tab)",www.udemy.com/course/blues-guitar-lessons-for-beginners-chords-rhythm-and-lead/,Brian Jackson,19.99,11.39,4.4(29 ratings),Music,,Blues Guitar
Blues Chord Buster,www.udemy.com/course/blues-chord-buster/,Rick Payne,24.99,11.39,0.0(0 ratings),Music,,Blues Guitar
The Art of the Rock Shuffle - Guitarist's Guide,www.udemy.com/course/shuffle-school-101a-the-rock-shuffle-a-primer-for-guitar/,Scott Perry,19.99,11.39,4.6(9 ratings),Music,,Blues Guitar
Fingerpicking Blues Guitar Lessons,www.udemy.com/course/fingerpicking-acoustic-blues-guitar-lessons/,Jim Bruce,49.99,12.50,0.0(0 ratings),Music,,Blues Guitar
Blues In A Day,www.udemy.com/course/blues-in-a-day/,Rick Payne,24.99,11.39,0.0(0 ratings),Music,,Blues Guitar
Beyond Robert Johnson: Master the Early Delta Blues Style,www.udemy.com/course/beyond-robert-johnson-master-the-early-delta-blues-style/,Mitchell Park,19.99,11.39,4.0(9 ratings),Music,,Blues Guitar
Mastering The Blues Rhythm Guitar (Lite Version),www.udemy.com/course/mastering-the-blues-rhythm-guitar-lite-version/,Davide Pannozzo,49.99,11.39,0.0(0 ratings),Music,,Blues Guitar
The Art of the Blues Shuffle - A Guitarist's Guide,www.udemy.com/course/the-art-of-the-blues-shuffle-a-guitarists-guide/,Scott Perry,19.99,11.39,4.4(3 ratings),Music,,Blues Guitar
"Blues Guitar Basics and More, Learn Rhythm and Lead Guitar!",www.udemy.com/course/blues-guitar-basics-and-more-learn-rhythm-and-lead-guitar/,Chris Phillips,19.99,11.39,4.4(2 ratings),Music,,Blues Guitar
The Blues Guitar Of John Lee Hooker,www.udemy.com/course/hooker-blues/,Rick Payne,24.99,11.39,3.5(1 rating),Music,,Blues Guitar
Blues Guitar Made Simple,www.udemy.com/course/blues-guitar-made-simple/,Private Guitar Class,0,Free,4.3(7 ratings),Music,,Blues Guitar
15 Essential Blues Guitar Licks,www.udemy.com/course/15-essential-blues-guitar-licks/,Absolute Blues Guitar Guitar Lessons,0,Free,4.8(149 ratings),Music,,Blues Guitar
Blues Guitar For Beginners,www.udemy.com/course/blues-guitar-for-beginners/,True Fire,0,Free,4.2(71 ratings),Music,,Blues Guitar
Blues Guitar Guide (Beginners),www.udemy.com/course/blues-guitar-guide-beginners/,Gabriel Felix,0,Free,0.0(0 ratings),Music,,Blues Guitar
"Guitarra Blues - Do Zero ao Modern, com Mauricio Alabama",www.udemy.com/course/guitarra-blues-do-zero-ao-modern/,Mauricio Alabama,64.99,16.25,4.8(187 ratings),Music,,Blues Guitar
GUITAR EXTREME - Curso Completo de Guitarra,www.udemy.com/course/guitarextreme/,Thiago Toscano,199.99,18.99,4.5(270 ratings),Music,,Blues Guitar
"Escalas Pentatônicas - O Curso Final, com Mauricio Alabama",www.udemy.com/course/escalas-pentatonicas/,Mauricio Alabama,64.99,16.25,4.7(389 ratings),Music,,Blues Guitar
Técnica e Expressão na Guitarra Solo,www.udemy.com/course/tecnica-e-expressao-na-guitarra-solo/,Vilmar Gusberti,0,104.99,4.7(71 ratings),Music,,Blues Guitar
Curso completo de Guitarra Blues em Português,www.udemy.com/course/curso-completo-de-guitarra-blues-em-portugues/,Emilio Cantini,59.99,11.39,4.2(57 ratings),Music,,Blues Guitar
Guitarra Blues Para Principiantes,www.udemy.com/course/guitarra-blues-para-principiantes/,Rodolfo Gonzalez Rodriguez,54.99,11.39,4.4(20 ratings),Music,,Blues Guitar
Guitarra Blues- Rápido e Fácil - Pentatônicas e licks,www.udemy.com/course/guitarra-blues-rapido-facil/,Paulo Toth,69.99,11.39,4.4(16 ratings),Music,,Blues Guitar
Introduzione completa alla chitarra blues,www.udemy.com/course/introduzione-completa-alla-chitarra-blues/,Volontè & Co. s.r.l.,19.99,18.99,4.6(7 ratings),Music,,Blues Guitar
APRENDE GUITARRA DE BLUES en 10 licks,www.udemy.com/course/blues-guitar-masters-10-licks/,Fernando Quintana Toledo,24.99,11.39,5.0(1 rating),Music,,Blues Guitar
GUITARRA NOCAUTE: BLUES 16,www.udemy.com/course/guitarra-nocaute-blues-16/,Carlos Lichman,19.99,11.39,0.0(0 ratings),Music,,Blues Guitar
Guitarra Blues,www.udemy.com/course/guitarra-blues/,Sergio Fulqueris,19.99,11.39,4.3(13 ratings),Music,,Blues Guitar
Blues e Jazz para Iniciantes,www.udemy.com/course/bluesejazzparainiciantes/,Fernando Vieira,139.99,35.00,3.7(6 ratings),Music,,Blues Guitar
Mastering The Blues Rhythm Guitar (Versione Lite),www.udemy.com/course/mastering-the-blues-rhythm-guitar-versione-lite/,Davide Pannozzo,49.99,11.39,0.0(0 ratings),Music,,Blues Guitar
GUITARRA BLUES - Volume 1,www.udemy.com/course/guitarrabluesvolume1/,Daniel Rosa,0,44.99,5.0(2 ratings),Music,,Blues Guitar
Guitarra Violão Base,www.udemy.com/course/guitarra-violao-base/,Lucas Luppe,49.99,11.39,0.0(0 ratings),Music,,Blues Guitar
ブルースギター入門,www.udemy.com/course/morimusictv/,森 孝人,0,Free,4.6(11 ratings),Music,,Blues Guitar
