Course,URL,instructor,Price (full),Price (discount),Rank
#1 Sourdough Bread Baking 101,www.udemy.com/course/sourdough-bread-baking-101/,Teresa L Greenway,29.99,11.99,"4.5(1,916 ratings)"
#2 Bake Artisan Sourdough Bread Like a Professional,www.udemy.com/course/rediscover-real-artisan-sourdough-baking/,Teresa L Greenway,99.99,11.99,4.4(909 ratings)
#3 Bake Classic Sourdough Bread Like a Professional,www.udemy.com/course/learn-to-bake-classic-breads-artisan-sourdough/,Teresa L Greenway,99.99,14.39,4.3(419 ratings)
Bake San Francisco Style Sour Sourdough Bread,www.udemy.com/course/bake-san-francisco-style-sourdough-bread/,Teresa L Greenway,79.99,11.39,4.7(312 ratings)
#6 Learn to Bake Magnificent Challah Bread,www.udemy.com/course/learn-to-bake-magnificent-challah/,Teresa L Greenway,79.99,11.99,4.7(146 ratings)
Deliciously Gluten Free Artisan Breads,www.udemy.com/course/deliciously-gluten-free-artisan-breads/,Dragan Matijevic,39.99,13.79,4.4(102 ratings)
#9 Bake Extreme Fermentation Sourdough Bread,www.udemy.com/course/extreme-fermentation-sourdough-bread/,Teresa L Greenway,79.99,11.99,4.9(222 ratings)
#8 Advanced Sourdough Bread Baking Experiments,www.udemy.com/course/sourdough-bread-baking-experiments/,Teresa L Greenway,79.99,12.59,4.3(246 ratings)
How to  Bake Real Artisan Bread,www.udemy.com/course/how-to-bake-real-artisan-bread/,DAN MCTIERNAN,19.99,11.39,4.6(151 ratings)
#10 More Fun With Sourdough Bread Baking,www.udemy.com/course/more-fun-with-sourdough-bread-baking/,Teresa L Greenway,79.99,11.39,4.7(76 ratings)
Artisan Bread for Beginners,www.udemy.com/course/artisan-bread-for-beginners/,Dragan Matijevic,34.99,11.39,3.9(70 ratings)
Online Pastry School - Gluten Free Bread Baking Course,www.udemy.com/course/gluten-free-bread-baking-course-pastry-training-online/,Marco Ropke,0,24.99,4.2(29 ratings)
GET BREADY: Sourdough 101,www.udemy.com/course/get-bready-sourdough-101/,Tess Frame,119.99,11.39,4.9(16 ratings)
The French Baguette,www.udemy.com/course/the-french-baguette/,Baguette Academy,89.99,22.50,4.4(4 ratings)
Learn How to Bake Bread With 3 Master Chefs,www.udemy.com/course/learn-how-to-bake-bread-panna-cooking/,Panna Cooking,19.99,11.39,3.9(16 ratings)
Baking Essentials: Learn to Make Banana Bread,www.udemy.com/course/baking-essentials-learn-to-make-banana-bread/,John Pamperin,19.99,11.39,4.8(2 ratings)
