Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Business Intelligence Analyst Course 2019,www.udemy.com/course/the-business-intelligence-analyst-course-2018/,365 Careers,199.99,11.99,"4.5(9,871 ratings)",Business,,Business Analysis
Business Analysis Fundamentals,www.udemy.com/course/business-analysis-ba/,The BA Guide | Jeremy Aschenbrenner,199.99,11.99,"4.5(14,500 ratings)",Business,,Business Analysis
Business Analysis Modeling Skills & Techniques,www.udemy.com/course/visual-modeling-master-class/,The BA Guide | Jeremy Aschenbrenner,134.99,11.99,"4.5(2,585 ratings)",Business,,Business Analysis
Identify & Define the Problem with Business Analysis,www.udemy.com/course/identify-the-problem/,The BA Guide | Jeremy Aschenbrenner,164.99,11.99,"4.5(1,407 ratings)",Business,,Business Analysis
Conduct a Strategy Analysis using Business Analysis,www.udemy.com/course/business-analysis-conduct-a-strategy-analysis/,The BA Guide | Jeremy Aschenbrenner,164.99,11.99,4.5(584 ratings),Business,,Business Analysis
Fundamentals of Business Analysis,www.udemy.com/course/businessanalysis/,Don Hussey,199.99,11.99,"4.4(4,126 ratings)",Business,,Business Analysis
BUSINESS ANALYST JOB TRAINING + PMI PBA PREP 35 Contact Hrs,www.udemy.com/course/attention-pmps-get-pmi-pba-certified/,iLearn-iEarn. Value-Delivered.,0,199.99,4.2(40 ratings),Business,,Business Analysis
Azure DevOps Boards for Project Managers/Analyst/Developers,www.udemy.com/course/azure-devops-for-project-managers-analyst/,Patrick Videos,19.99,11.99,4.4(732 ratings),Business,,Business Analysis
Business Analysis Certification | BA Crash Course,www.udemy.com/course/business-analysis-certification/,Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation,199.99,11.99,4.3(978 ratings),Business,,Business Analysis
Business Analyst: Project Management Techniques and Tools,www.udemy.com/course/project-management-for-business-analyst/,The BA Guide | Jeremy Aschenbrenner,109.99,11.99,"4.3(1,266 ratings)",Business,,Business Analysis
BPMN for business analysts,www.udemy.com/course/bpmn-for-business-analysts/,Zbigniew Misiak,89.99,11.99,"4.3(1,303 ratings)",Business,,Business Analysis
Entry Certificate in Business Analysis (ECBA) Exam Prep,www.udemy.com/course/entry-certificate-in-business-analysis-ecba-exam-prep/,Swati Swani,0,129.99,4.1(68 ratings),Business,,Business Analysis
Statistics & Applied Data Science - Business Data Analysis,www.udemy.com/course/ureadup_sds/,Mahmoud Ali,189.99,11.99,4.6(217 ratings),Business,,Business Analysis
Plan the Project as a Business Analyst,www.udemy.com/course/business-analysis-plan-the-project/,The BA Guide | Jeremy Aschenbrenner,164.99,11.99,4.6(463 ratings),Business,,Business Analysis
Agile Business Analysis,www.udemy.com/course/agile-business-analysis/,Don Hussey,89.99,11.99,"4.4(2,119 ratings)",Business,,Business Analysis
Business Analyst: Software Testing Processes & Techniques,www.udemy.com/course/software-testing-business-analyst/,The BA Guide | Jeremy Aschenbrenner,119.99,11.99,"4.5(1,710 ratings)",Business,,Business Analysis
