Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The CFA Level 1 Bootcamp: CFA 2020 (Part 1/2),www.udemy.com/course/the-cfa-level-1-bootcamp/,365 Careers,199.99,11.39,4.5(110 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Financial Reporting & Analysis,www.udemy.com/course/cfa-level-1-fra-complete-mastery-course/,"PrepNuggets | Keith Tan, CFA",139.99,13.79,"4.5(1,486 ratings)",Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Quantitative Methods,www.udemy.com/course/cfa-level-1-complete-quantitative-methods/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(899 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Fixed Income,www.udemy.com/course/cfa-level-1-complete-fixed-income/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(330 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Equity Investments,www.udemy.com/course/cfa-level-1-complete-equity-investments/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.7(220 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Economics,www.udemy.com/course/cfa-level-1-complete-economics/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(80 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Derivatives,www.udemy.com/course/cfa-level-1-complete-derivatives/,"PrepNuggets | Keith Tan, CFA",49.99,11.39,4.5(372 ratings),Finance & Accounting,,CFA
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,www.udemy.com/course/financial-management-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.39,4.3(700 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",39.99,11.39,4.5(164 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) Ethical and Professional Standards,www.udemy.com/course/cfa-level-1-ethical-and-professional-standards/,Analyst Prep,149.99,11.39,4.2(70 ratings),Finance & Accounting,,CFA
Level 2- Quantitative Methods,www.udemy.com/course/cfa-level-2-quantitative-methods/,Monika Khetan,199.99,50.00,4.7(25 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) Financial Reporting and Analysis,www.udemy.com/course/cfa-level-1-financial-reporting-and-analysis/,Analyst Prep,149.99,11.39,4.6(57 ratings),Finance & Accounting,,CFA
CFA Level 2 - Corporate Finance (2020),www.udemy.com/course/cfa-level-2-corporate-finance-2019/,ProfEd Academy,129.99,11.39,4.4(5 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) Economics + Practice Questions,www.udemy.com/course/cfa-level-1-economics-analystprep/,Analyst Prep,149.99,11.39,4.0(77 ratings),Finance & Accounting,,CFA
CFA Level 1 (2019) Portfolio Management + Practice Questions,www.udemy.com/course/cfa-level-1-portfolio-management-analystprep/,Analyst Prep,149.99,11.39,4.7(30 ratings),Finance & Accounting,,CFA
"CFA Level 1 (2019) Fixed Income, Derivatives & Alternatives",www.udemy.com/course/cfa-level-1-fixed-income-analystprep/,Analyst Prep,149.99,11.39,4.3(32 ratings),Finance & Accounting,,CFA
CFA Corporate Finance Level 2,www.udemy.com/course/advanced-capital-budgeting-techniques/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.39,3.6(15 ratings),Finance & Accounting,,CFA
CFA Level 1 (2020) Quantitative Methods + Practice Questions,www.udemy.com/course/cfa-level-1-quantitative-methods/,Analyst Prep,149.99,11.39,4.3(58 ratings),Finance & Accounting,,CFA
CFA Level 1 - Corporate Finance (2019),www.udemy.com/course/cfa-level-1-corporate-finance-2019/,ProfEd Academy,129.99,11.39,4.1(28 ratings),Finance & Accounting,,CFA
CFA Level 1 (2019) Corporate Finance + Practice Questions,www.udemy.com/course/cfa-level-1-corporate-finance-analystprep/,Analyst Prep,149.99,11.39,3.9(30 ratings),Finance & Accounting,,CFA
CFA Level 1 (2019) Equity Investments + Practice Questions,www.udemy.com/course/cfa-level-1-equity-investments/,Analyst Prep,149.99,11.39,4.6(18 ratings),Finance & Accounting,,CFA
CFA Corporate Finance Level 1 (Part 1),www.udemy.com/course/learn-cost-of-capital-of-business/,"Raja Natarajan, B.Com., PGDBA, FCA",64.99,11.39,4.2(38 ratings),Finance & Accounting,,CFA
"Fixed Income Valuation and Analysis, CFA L2",www.udemy.com/course/fixed-income-simplified-for-cfa-l2/,Tanuja Yadav,19.99,11.39,3.3(19 ratings),Finance & Accounting,,CFA
CFA Level 1 - Derivatives,www.udemy.com/course/cfa-exam/,Soleadea Co.,44.99,11.39,4.4(49 ratings),Finance & Accounting,,CFA
Fixed Income Portfolio Management for CFA Level 3 2016,www.udemy.com/course/fixed-income-portfolio-management-for-cfa-level-3/,Tanuja Yadav,19.99,11.39,3.5(8 ratings),Finance & Accounting,,CFA
"Financial Reporting and Analysis, CFA L1",www.udemy.com/course/financial-reporting-and-analysis-cfa-l1/,Tanuja Yadav,19.99,11.99,4.1(27 ratings),Finance & Accounting,,CFA
"Options, Futures and other Derivatives - Incl CFA Level 1",www.udemy.com/course/options-futures-derivatives/,M Waterton,19.99,11.39,4.4(3 ratings),Finance & Accounting,,CFA
Ethics for CFA Level I,www.udemy.com/course/ethics-for-cfa-level-i/,FinStudyClub .,0,24.99,5.0(2 ratings),Finance & Accounting,,CFA
CFA Level 1 Introduction to Derivatives Markets and Pricing,www.udemy.com/course/cfa-level-1-introduction-to-derivatives-markets-and-pricing/,Pramod Kumar,54.99,11.39,0.0(0 ratings),Finance & Accounting,,CFA
Equity Valuation for CFA Level II,www.udemy.com/course/equity-valuation-for-cfa-level-ii/,FinStudyClub .,0,24.99,3.6(5 ratings),Finance & Accounting,,CFA
CFA Level 1 (2019) Practice Questions,www.udemy.com/course/cfa-level-1-2019-practice-questions/,Abinash Mishra,19.99,11.39,0.0(0 ratings),Finance & Accounting,,CFA
