Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Chinese Made Easy L1: Understand 65% of Chinese in 10 hours,www.udemy.com/course/dc-level-1/,Felix Lättman,199.99,11.99,"4.5(2,156 ratings)",Teaching & Academics,,Chinese Language
Chinese Made Easy L2: Understand 79% of Chinese in 10 hours,www.udemy.com/course/dc-level-2/,Felix Lättman,199.99,11.99,4.3(319 ratings),Teaching & Academics,,Chinese Language
Chinese language for beginners : Mandarin Chinese HSK1-HSK3,www.udemy.com/course/mandarinchinese/,Kamil Domanski,199.99,11.99,4.7(89 ratings),Teaching & Academics,,Chinese Language
College Mandarin Chinese Course on Your Own--Beginning Level,www.udemy.com/course/college-mandarin-chinese-course-on-your-own-beginning-level/,Hong Zeng,24.99,11.99,4.6(299 ratings),Teaching & Academics,,Chinese Language
CORE CHINESE 1: Build Up Chinese Foundations by Practice,www.udemy.com/course/core-chinese-1-build-up-foundations-through-practice/,Daniel Lin,199.99,11.99,4.0(968 ratings),Teaching & Academics,,Chinese Language
Chinese Beginner 2 - Everything in HSK2,www.udemy.com/course/chinesebeginner2byricelanguage/,Winkie Wong,24.99,11.99,4.7(27 ratings),Teaching & Academics,,Chinese Language
Learn Cantonese for Beginners: The Ultimate 80-Lesson Course,www.udemy.com/course/learn-cantonese-for-beginners/,Innovative Language,24.99,11.99,4.3(71 ratings),Teaching & Academics,,Chinese Language
CORE CHINESE 2: Advance to Intermediate Level,www.udemy.com/course/core-chinese-2-advance-to-intermediate-level/,Daniel Lin,199.99,11.99,4.4(127 ratings),Teaching & Academics,,Chinese Language
Learn 2700 Basic Chinese Words through Phrases (HSK 1 to 4),www.udemy.com/course/chinese-words/,Hong Zhu (FROGLANG),24.99,11.99,4.3(81 ratings),Teaching & Academics,,Chinese Language
Learn Basic Chinese - Speak Chinese Mandarin (Level 1),www.udemy.com/course/speaking-chinese-like-a-native-speaker-in-a-month-grade-one/,Michelle Wei,199.99,11.99,4.0(198 ratings),Teaching & Academics,,Chinese Language
