Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Color Grading with Da Vinci Resolve:  Beginner to Advanced,www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/,Matthew Falconer,149.99,13.79,4.5(598 ratings),Photography,,Color Grading
Cinematic Color Grading: Making Your Videos Come Alive,www.udemy.com/course/cinematic-color-grading-course/,Matti Haapoja,149.99,37.50,4.5(937 ratings),Photography,,Color Grading
Color Grading Masterclass: Resolve 15,www.udemy.com/course/color-grading-masterclass/,Jonny Von Wallström,139.99,16.79,4.4(394 ratings),Photography,,Color Grading
Complete Guide to Colour Grading in Final Cut Pro X,www.udemy.com/course/fcpx-grading/,Myles Fearnley,89.99,22.50,4.5(26 ratings),Photography,,Color Grading
Complete Color Grading & Color Correction in DaVinci Resolve,www.udemy.com/course/grading-in-davinci-resolve/,Kashif Altaf,199.99,17.39,4.3(51 ratings),Photography,,Color Grading
Adobe Premiere Pro CC 2018: Color Grading Masterclass,www.udemy.com/course/adobe-premiere-color-grading-masterclass/,George Katsilidis,199.99,14.39,4.1(124 ratings),Photography,,Color Grading
Mastering Advanced Color Grading in Photoshop,www.udemy.com/course/mastering-color-grading-in-photoshop/,Marcin Mikus,199.99,13.19,4.2(438 ratings),Photography,,Color Grading
Color Grading and Correction with DaVinci Resolve,www.udemy.com/course/color-correction-with-davinci-resolve/,GetFilming Film School,34.99,11.39,4.3(336 ratings),Photography,,Color Grading
Color Grading & Creating LUTs In Premiere Pro For Beginners,www.udemy.com/course/how-to-color-grade-premiere-pro/,Life Progression Project,99.99,11.39,4.2(9 ratings),Photography,,Color Grading
Easy Color Grading from a Photo Reference in Photoshop,www.udemy.com/course/color-grading-from-reference-photoshop/,Kasia Zmokla,0,49.99,4.4(16 ratings),Photography,,Color Grading
Adobe Lightroom СС: Color Correction in Lightroom A to Z,www.udemy.com/course/lightroom-cc-professional-color-correction/,Ustin Kompaniets,124.99,11.39,3.1(31 ratings),Photography,,Color Grading
Amber & Teal - Cinematic Color Grading in Photoshop,www.udemy.com/course/cinematic-color-grading/,Kasia Zmokla,0,29.99,4.3(53 ratings),Photography,,Color Grading
After Effects : Color Grading Made Easy,www.udemy.com/course/after-effects-color-grading-made-easy/,Aksh Animation,39.99,11.39,4.4(5 ratings),Photography,,Color Grading
SpeedGrade and Premiere Pro Master Video Color Correction,www.udemy.com/course/speedgrade-and-premiere-pro/,Infinite Skills,49.99,11.39,4.2(31 ratings),Photography,,Color Grading
Color Correction for Film & Video,www.udemy.com/course/color-correction-for-film-video/,Forge Productions,29.99,11.39,3.6(6 ratings),Photography,,Color Grading
How to Color Comic Books... with a Mouse,www.udemy.com/course/how-to-color-comic-books-with-a-mouse/,Kemp Studios,29.99,18.99,4.7(8 ratings),Photography,,Color Grading
