Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
NEW! CompTIA A+ 2019 Certification 1001. The Total Course,www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,"Total Seminars • 200,000+ Students",144.99,11.99,"4.7(9,728 ratings)",IT & Software,,CompTIA A+
NEW! CompTIA A+ 2019 Certification 1002. The Total Course,www.udemy.com/course/new-comptia-a-2019-certification-1002-the-total-course/,"Total Seminars • 200,000+ Students",144.99,11.99,"4.7(1,792 ratings)",IT & Software,,CompTIA A+
NEW! CompTIA A+ 2019 Cert. Core 1 (220-1001) Practice Test,www.udemy.com/course/comptia-a-certification-1001-practice-test/,"Total Seminars • 200,000+ Students",99.99,11.99,4.4(830 ratings),IT & Software,,CompTIA A+
NEW! CompTIA A+ 2019 Cert. Core 2 (220-1002) Practice Tests,www.udemy.com/course/comptia-a-certification-1002-practice-tests/,"Total Seminars • 200,000+ Students",99.99,11.99,4.3(263 ratings),IT & Software,,CompTIA A+
"CompTIA A+ (220-1001) Test Prep, Exams and Simulations",www.udemy.com/course/comptia-220-1001-exam/,"Jason Dion • 140,000+ Students Worldwide",99.99,11.99,4.7(365 ratings),IT & Software,,CompTIA A+
"CompTIA A+ (220-1002) Test Prep, Exams and Simulations",www.udemy.com/course/comptia-220-1002-exam/,"Jason Dion • 140,000+ Students Worldwide",99.99,11.99,4.7(96 ratings),IT & Software,,CompTIA A+
CompTIA A+ 220-1001 & 220-1002 Preparation (Latest Version),www.udemy.com/course/comptia-a-220-1001-220-1002-preparation-latest-version/,G Education®,99.99,11.99,4.5(31 ratings),IT & Software,,CompTIA A+
CompTIA A+ 220-802 - Prepare For The CompTIA A+ 220-802 Exam,www.udemy.com/course/comptia-a-220-802/,Infinite Skills,49.99,11.99,4.8(162 ratings),IT & Software,,CompTIA A+
CompTIA A+ (Exams 220-1001 & 220-1002),www.udemy.com/course/comptia-a-exams-220-1001-220-1002/,Integrity Training,149.99,11.99,4.7(7 ratings),IT & Software,,CompTIA A+
"220-1001,1002 CompTIA A+ Certification Exam: Core 1,Core 2",www.udemy.com/course/220-10011002-comptia-a-certification-exam-core-1core-2/,Prep For Certifications Pass-Certs,19.99,11.99,3.6(12 ratings),IT & Software,,CompTIA A+
CompTIA A+ Practice Test 220-1001 & 220-1002 (New exam 2019),www.udemy.com/course/comptia-a-practice-test-220-1001-220-1002-new-exam-2019/,Mehul Patel,29.99,11.99,3.4(24 ratings),IT & Software,,CompTIA A+
CompTIA A+ 2019 Certification Core 1 & 2 Practice Exams,www.udemy.com/course/comptia-a-core-1-2-practice-exams/,PrepCert Academy,19.99,11.99,3.6(9 ratings),IT & Software,,CompTIA A+
CompTIA A+ Core/1 220-1001 Practice Test,www.udemy.com/course/comptia-a-220-901-practice-test-n/,Ultimate Practice Tests,19.99,11.99,4.3(9 ratings),IT & Software,,CompTIA A+
CompTIA A+ Core/2  220-1002  Practice Test,www.udemy.com/course/comptia-a-220-902-practice-test/,Ultimate Practice,19.99,11.99,4.2(13 ratings),IT & Software,,CompTIA A+
CompTIA A+ Certification Preparation: Learn the Basics of IT,www.udemy.com/course/comptia-aplus-certification-prep/,CyberTraining 365,114.99,11.99,3.8(114 ratings),IT & Software,,CompTIA A+
CompTIA A+ 220-801 - Prepare For The CompTIA A+ 220-801 Exam,www.udemy.com/course/comptia-220-801/,Infinite Skills,49.99,11.99,4.8(320 ratings),IT & Software,,CompTIA A+
CompTIA A+ Certification (Part1 of 2),www.udemy.com/course/comptia-a-certification-part1-of-part2/,Stone River eLearning,199.99,11.39,4.0(32 ratings),IT & Software,,CompTIA A+
CompTIA A+ Certification ( Part 2 of 2),www.udemy.com/course/comptia-a-certification-part-2-of-part2/,Stone River eLearning,19.99,11.39,4.4(12 ratings),IT & Software,,CompTIA A+
CompTIA - A+ (Plus) Certification Exam - Practice Test,www.udemy.com/course/comptia-a-plus-certification-exam-practice-test/,Vicky Rajagopal,19.99,11.39,4.0(14 ratings),IT & Software,,CompTIA A+
CompTIA A+ Certification (220-901) Practice Tests,www.udemy.com/course/comptia-a-certification-220-901-practice-tests-e/,Dynamic Steps,19.99,11.39,4.4(5 ratings),IT & Software,,CompTIA A+
CompTIA A+ 220-901 and 220-902 Best Prep Tests 2018/2019,www.udemy.com/course/comptia-a-220-901-and-220-902-best-prep-tests-20172018/,Phillip Roos,49.99,11.39,4.2(44 ratings),IT & Software,,CompTIA A+
